DateTime,AddedIPs,RemovedIPs
1527113216,1,2
1527116808,1,0
1527120424,0,1
1527124027,1,11
1527127593,4,3
1527131210,2,11
1527134783,8,0
1527138407,7,0
1527142003,0,2
1527145600,2,0
1527149193,4,1
1527152810,1,1
1527156403,2,0
1527159988,3,1
1527163596,2,6
1527167178,5,2
1527170794,3,1
1527174409,1,2
1527177975,2,2
1527181598,0,1
1527185195,0,3
1527188796,3,3
1527192401,2,7
1527196000,2,2
1527199594,1,2
1527203226,1,13
1527206801,18,3
1527210436,1,1
1527214024,2,9
1527217619,2,1
1527221194,11,7
1527224822,3,1
1527228395,1,0
1527232006,6,1
1527235591,1,1
1527239191,2,4
1527242799,4,1
1527246402,2,1
1527250001,1,2
1527253624,1,1
1527257237,2,3
1527260802,1,4
1527264394,3,4
1527267994,1,1
1527271618,3,0
1527275229,1,3
1527278778,1,2
1527282398,3,0
1527286009,1,0
1527289622,0,3
1527293199,2,1
1527296813,2,0
1527300404,1,1
1527304005,1,0
1527307631,0,2
1527311208,2,6
1527314798,4,3
1527318380,5,2
1527321995,0,0
1527325578,1,1
1527329223,1,4
1527332813,1,1
1527336420,3,4
1527340022,2,16
1527343618,1,10
1527347220,1,6
1527350794,29,0
1527354426,109,0
1527358009,3,0
1527361593,2,0
1527365208,2,1
1527368820,2,0
1527372405,1,2
1527376010,2,3
1527379597,2,1
1527383201,0,5
1527386797,4,0
1527390398,0,1
1527394017,1,0
1527397593,0,2
1527401208,4,1
1527404828,0,4
1527408416,1,0
1527411994,3,2
1527415596,4,7
1527419201,5,0
1527422795,0,1
1527426390,0,3
1527429993,3,1
1527433602,0,1
1527440799,1,1
1527444529,1,0
1527448213,1,1
1527455221,1,1
1527458786,2,0
1527462397,0,5
1527465999,4,1
1527469622,0,2
1527473225,0,4
1527476816,0,6
1527480379,7,20
1527484002,21,2
1527487609,5,1
1527491234,1,0
1527494800,2,6
1527498407,4,2
1527501981,4,2
1527509235,0,1
1527512811,0,2
1527516430,0,12
1527520031,3,4
1527523606,3,3
1527527195,9,10
1527530796,13,0
1527534408,0,2
1527537991,6,0
1527541619,1,2
1527545193,1,2
1527548830,1,0
1527552424,1,6
1527556021,5,0
1527559638,2,1
1527563241,1,0
1527566851,1,3
1527570447,2,8
1527574022,9,2
1527577619,3,1
1527581226,0,1
1527584836,1,1
1527588424,1,3
1527592021,4,3
1527595653,1,0
1527599214,2,1
1527602834,1,2
1527606447,2,14
1527610025,12,2
1527613659,0,5
1527617229,3,1
1527620827,7,2
1527624435,1,3
1527631661,1,1
1527638794,4,1
1527642404,0,2
1527646023,2,1
1527649622,1,1
1527653238,1,3
1527656827,0,2
1527660409,5,6
1527664007,2,4
1527667626,7,1
1527671232,2,2
1527674812,1,5
1527678433,1,6
1527681995,6,3
1527685647,0,2
1527689209,8,1
1527692816,5,0
1527696416,1,1
1527700021,2,1
1527703630,0,1
1527707224,0,2
1527710813,1,4
1527714399,2,5
1527719421,3,5
1527722997,6,0
1527725305,2,1
1527728787,1,0
1527732402,2,2
1527739605,1,2
1527743199,1,1
1527746812,0,1
1527750419,1,1
1527754025,1,0
1527757617,1,1
1527761205,1,1
1527764831,1,2
1527768411,0,3
1527772022,3,2
1527775610,3,2
1527782803,1,1
1527786416,3,1
1527790003,0,2
1527793598,1,0
1527797202,2,7
1527800806,1,23
1527804415,8,5
1527808017,1,5
1527811614,25,1
1527815252,3,0
1527818836,0,1
1527822421,4,0
1527826023,1,3
1527829634,1,0
1527836830,0,7
1527840430,4,7
1527844030,8,0
1527847635,1,3
1527851242,2,0
1527854838,1,4
1527858442,2,24
1527862015,22,3
1527865638,0,2
1527869242,0,1
1527872848,3,0
1527876424,5,6
1527880039,4,0
1527883892,2,0
1527887251,0,3
1527890838,4,4
1527894424,4,2
1527898079,1,4
1527901645,2,1
1527905249,2,7
1527908854,0,18
1527912445,3,4
1527916030,6,4
1527919632,2,7
1527923233,0,1
1527926843,104,0
1527930438,1,1
1527934040,3,1
1527937636,0,25
1527941215,104,0
1527944848,0,3
1527948430,1,2
1527952025,14,3
1527955615,3,4
1527959230,0,0
1527962822,2,1
1527966428,0,20
1527970044,0,15
1527973630,30,4
1527977238,2,1
1527980842,2,2
1527984469,0,1
1527988022,96,0
1527991606,3,3
1527995223,0,2
1527998817,2,25
1528002408,17,2
1528006015,4,1
1528009624,5,5
1528013201,2,1
1528016817,8,14
1528020406,2,5
1528024011,5,8
1528027595,2,3
1528031210,7,9
1528034809,10,5
1528038416,1,1
1528042020,10,3
1528045603,2,2
1528049218,2,16
1528052811,9,5
1528056400,4,8
1528060009,9,3
1528063626,11,3
1528067208,1,7
1528070838,19,1
1528074410,1,6
1528078021,4,8
1528081614,1,2
1528085251,4,20
1528088806,32,0
1528092427,4,5
1528096016,0,1
1528099618,12,1
1528103223,0,7
1528106809,4,5
1528110420,2,1
1528113995,4,6
1528117603,4,0
1528121227,3,0
1528124830,2,1
1528128416,0,1
1528132017,2,2
1528135619,0,5
