DateTime,AddedIPs,RemovedIPs
1527167592,16,6
1527171203,14,7
1527174833,5,14
1527178396,18,11
1527182031,4,5
1527185601,4,10
1527189197,18,6
1527192823,3,30
1527196402,11,7
1527199997,6,6
1527203642,4,47
1527207255,81,7
1527210887,7,3
1527214455,3,13
1527218067,5,29
1527221607,15,19
1527225272,6,10
1527228816,10,5
1527232422,13,8
1527236019,8,10
1527239629,12,4
1527243225,9,10
1527246832,10,4
1527250423,2,7
1527254053,1,12
1527257669,5,8
1527261243,5,18
1527264806,20,6
1527268433,4,5
1527272050,12,1
1527275669,1,7
1527279203,11,11
1527282836,9,3
1527286433,10,9
1527290081,1,7
1527293639,22,26
1527297228,24,9
1527300828,11,6
1527304453,5,24
1527308076,3,9
1527311626,10,14
1527315224,8,23
1527318797,12,8
1527322425,10,6
1527325995,15,23
1527329655,3,12
1527333224,6,5
1527336868,9,15
1527340455,14,40
1527344050,8,15
1527347665,8,16
1527351189,64,2
1527354867,6,6
1527358431,17,4
1527362029,8,2
1527365651,10,8
1527369270,10,5
1527372840,5,7
1527376453,10,13
1527380051,23,22
1527383640,22,9
1527387248,20,3
1527390836,5,30
1527394471,2,3
1527398028,1,6
1527401611,9,11
1527405281,5,10
1527408850,6,2
1527412435,8,13
1527416023,6,14
1527419645,15,5
1527423225,4,6
1527426837,18,11
1527430430,6,5
1527434052,13,5
1527437670,1,4
1527441233,6,9
1527445525,8,6
1527448998,4,3
1527452175,5,1
1527455656,3,3
1527459232,3,9
1527462852,5,16
1527466449,25,13
1527470064,4,4
1527473655,2,15
1527477255,7,34
1527480798,17,36
1527484433,26,3
1527488040,27,7
1527491676,4,6
1527495235,8,9
1527498863,4,8
1527502426,14,31
1527506083,4,4
1527509707,9,9
1527513254,9,6
1527516887,4,32
1527520461,9,12
1527524048,10,11
1527527606,27,18
1527531235,25,0
1527534859,5,6
1527538437,24,0
1527542075,3,4
1527545636,4,5
1527549291,3,3
1527552887,14,32
1527556469,25,0
1527560100,10,7
1527563695,6,20
1527567320,3,6
1527570896,4,29
1527574478,21,8
1527578073,15,5
1527581699,1,6
1527585296,3,5
1527588889,5,18
1527592473,22,22
1527596121,3,7
1527599664,7,3
1527603273,7,5
1527606913,13,22
1527610480,26,2
1527614142,6,6
1527617664,11,2
1527621299,10,4
1527624885,5,6
1527628470,6,3
1527632137,2,31
1527635672,14,2
1527639232,37,14
1527642870,7,19
1527646454,24,4
1527650062,18,22
1527653693,2,6
1527657275,1,5
1527660833,10,9
1527664451,5,30
1527668084,16,3
1527671703,6,7
1527675267,3,20
1527678897,7,35
1527682409,37,10
1527686111,7,9
1527689654,28,3
1527693271,17,5
1527696861,6,12
1527700486,17,2
1527704060,3,4
1527707654,1,7
1527711268,2,4
1527714845,3,36
1527725711,70,5
1527729211,6,3
1527732856,2,7
1527736509,2,41
1527740051,17,13
1527743652,7,17
1527747257,18,7
1527750860,8,2
1527754485,5,8
1527758057,12,5
1527761652,6,5
1527765296,6,4
1527768853,5,8
1527772471,13,25
1527776056,20,6
1527779721,6,2
1527783284,3,7
1527786875,6,5
1527790503,0,19
1527794077,13,7
1527797682,7,13
1527801285,3,27
1527804899,11,12
1527808512,9,17
1527812124,52,7
1527815744,15,2
1527819326,7,6
1527822885,11,26
1527826520,5,13
1527830131,16,8
1527833730,6,9
1527837295,9,13
1527840925,10,12
1527844513,13,14
1527848166,7,9
1527851738,9,5
1527855362,8,7
1527858979,9,27
1527862549,28,9
1527866135,2,9
1527869719,7,12
1527873317,12,3
1527876933,16,15
1527880504,8,2
1527885139,15,1
1527887740,2,7
1527891304,9,9
1527894903,5,4
1527898599,24,10
1527902115,8,8
1527905738,6,9
1527909325,5,45
1527912929,12,10
1527916529,11,22
1527920105,12,13
1527923718,35,7
1527927343,5,9
1527930931,6,0
1527934513,7,13
1527938128,0,33
1527941702,31,8
1527945332,4,8
1527948908,5,3
1527952502,18,4
1527956115,2,9
1527959733,2,3
1527963300,9,4
1527966932,3,25
1527970538,7,19
1527974145,31,18
1527977730,6,9
1527981316,10,11
1527984948,0,8
1527988491,0,0
1527992085,457,0
1527995727,427,0
1527999283,11,23
1528002863,23,8
1528006483,9,4
1528010118,7,6
1528013671,8,4
1528017283,9,24
1528020870,7,11
1528024483,13,11
1528028065,11,7
1528031670,12,12
1528035304,15,12
1528038917,6,6
1528042483,14,10
1528046081,8,10
1528049708,5,28
1528053303,14,8
1528056866,17,14
1528060461,12,11
1528064104,11,12
1528067669,13,13
1528071332,45,13
1528074873,17,3
1528078497,9,13
1528082098,4,25
1528085744,7,24
1528089314,39,9
1528092899,9,8
1528096499,9,3
1528100151,15,2
1528103714,1,10
1528107297,8,7
1528110909,6,16
1528114469,21,9
1528118074,7,2
1528121708,4,6
1528125311,7,6
1528128901,2,11
1528132486,8,13
1528136130,9,6
1528139698,9,31
1528143315,19,11
1528147272,6,19
1528151528,16,7
1528154763,24,6
1528157752,28,11
1528161325,6,5
1528164894,24,4
1528168548,7,44
1528172115,16,10
1528175712,10,3
1528179328,6,5
1528182925,3,4
1528186548,8,4
1528190124,7,10
1528193721,8,2
1528197334,5,5
1528200892,6,13
1528204518,4,9
1528208089,15,9
1528211726,6,5
1528215297,3,9
1528218914,6,3
1528222507,3,36
1528226099,10,15
1528229728,15,10
1528233340,21,9
1528236903,22,4
1528240557,5,7
1528244190,25,11
1528247663,12,8
1528251292,2,13
1528254941,13,25
1528258498,5,19
1528262115,16,9
1528265698,6,9
1528269338,8,11
1528272933,6,8
1528276499,13,17
1528280082,9,19
1528283691,10,14
1528287318,10,9
1528290898,43,10
1528294507,20,10
1528298149,5,4
1528301693,5,4
1528305280,6,6
1528308893,5,28
1528312482,9,10
1528316096,24,17
1528319690,14,14
1528323309,10,3
1528326961,6,2
1528330568,23,11
1528334104,10,7
1528337714,9,7
1528341333,3,31
1528344905,6,44
1528348524,10,12
1528352078,21,19
1528355702,30,9
1528359267,9,5
1528362919,9,8
1528366490,8,10
1528370117,9,17
1528373749,18,11
1528377288,17,7
1528380890,11,11
1528384490,6,6
1528388103,8,11
1528391719,9,11
1528395285,17,4
1528398900,6,4
1528402508,3,2
1528406119,4,5
1528409712,3,20
1528413282,20,6
1528416980,29,6
1528420528,5,12
1528424105,8,8
1528427733,6,55
1528431310,22,13
1528434901,15,17
1528438551,19,20
1528442130,10,12
1528445695,39,8
1528449302,15,5
1528452923,9,14
1528456529,4,7
1528460137,3,19
1528463776,4,25
1528467313,18,15
1528470921,10,6
1528474483,25,2
1528478144,12,5
1528481726,17,6
1528485236,11,1
1528488854,4,4
1528492462,2,4
1528496087,2,5
1528499683,5,5
1528503293,23,4
1528506922,9,6
1528510519,7,5
1528514144,4,20
1528517684,6,7
1528521290,6,4
1528524919,6,6
1528528489,2,8
1528532121,4,4
1528535691,7,5
1528539306,9,4
1528542914,4,9
1528546508,10,6
1528550091,4,5
1528553679,6,7
1528557312,4,3
1528560909,3,6
1528564491,7,6
1528568087,10,3
1528571700,5,1
1528575257,5,5
1528578924,4,2
1528582661,3,4
1528587336,3,12
1528590438,18,12
1528593291,15,3
1528596875,4,4
1528600538,7,24
1528604106,1,5
1528607687,2,3
1528611258,4,4
1528614902,2,3
1528618511,4,4
1528622079,3,6
1528625741,5,2
1528629315,4,3
1528632880,3,4
1528636514,3,5
1528640084,1,5
1528643662,5,14
1528647293,4,10
1528650882,12,2
1528654491,10,2
1528658104,5,3
1528661705,4,5
1528665343,4,1
1528668870,4,3
1528672488,5,5
1528676141,23,10
1528679667,8,3
1528683275,5,5
1528686893,1,30
1528690485,2,5
1528694130,1,7
1528697685,6,4
1528701289,3,3
1528704927,6,4
1528708525,2,3
1528712125,2,6
1528715676,10,7
1528719297,12,4
1528722919,4,3
1528726515,3,1
1528730097,4,5
1528733680,6,0
1528737324,0,5
1528740890,3,4
1528744546,3,3
1528748093,2,4
1528751685,4,3
1528755314,4,4
1528758900,1,7
1528762556,21,4
1528766092,8,4
1528769711,3,2
1528773286,7,20
1528776934,3,4
1528780467,4,5
1528784088,2,5
1528787730,3,6
1528791287,3,7
1528794899,8,6
1528798494,7,2
1528802114,5,3
1528805701,4,8
1528809321,6,7
1528812910,4,5
1528816504,5,5
1528820072,3,5
1528823713,5,5
1528827302,4,2
1528830936,4,3
1528834481,4,9
1528838156,9,7
1528841688,5,8
1528845315,3,8
1528848946,25,3
1528852514,10,2
1528856094,3,4
1528859702,8,14
1528863320,5,6
1528866879,3,9
1528870468,7,2
1528874090,6,4
1528877680,7,6
1528881319,3,3
1528884885,3,7
1528888525,3,3
1528892137,8,10
1528895690,7,5
1528899276,3,3
1528902951,4,4
1528906483,6,7
1528910106,7,7
1528913680,5,2
1528917288,4,4
1528920900,5,5
1528924483,5,5
1528928124,4,2
1528931744,2,13
1528935303,25,8
1528938857,8,6
1528942499,6,8
1528946074,4,30
1528949676,5,10
1528953267,3,7
1528956890,3,8
1528960506,9,7
1528964089,12,15
1528967682,8,5
1528971220,18,5
