DateTime,AddedIPs,RemovedIPs
1524398685,0,1
1524405886,1,0
1524413088,2,1
1524416683,2,0
1524423877,0,1
1524427482,1,0
1524431074,0,2
1524434683,0,1
1524438293,1,0
1524456271,0,1
1524459873,0,1
1524463477,2,0
1524470660,1,0
1524474259,1,0
1524485062,0,1
1524488657,0,1
1524492259,1,0
1524503071,0,1
1524506643,1,0
1524549846,0,2
1524553455,2,0
1524585859,0,1
1524589462,1,0
1524593053,0,1
1524596654,1,0
1524618266,1,0
1524625444,0,1
1524632660,0,1
1524636258,1,2
1524639854,1,0
1524643454,2,0
1524657873,0,1
1524661461,0,2
1524665067,0,1
1524668670,3,0
1524704658,0,2
1524708271,2,0
1524719061,0,1
1524722655,2,0
1524726256,0,1
1524729852,1,1
1524733463,1,0
1524737045,0,1
1524740661,0,2
1524744254,3,1
1524747859,1,0
1524762262,0,1
1524769460,0,1
1524773051,1,0
1524787432,0,1
1524791056,1,0
1524798255,0,2
1524812663,0,3
1524816258,3,1
1524819851,1,0
1524823464,0,1
1524827055,1,0
1524888277,0,1
1524891876,1,0
1524909872,0,1
1524913489,2,0
1524917080,1,0
1524920672,1,1
1524927887,1,0
1524935059,1,1
1524938683,2,0
1524942279,0,2
1524945884,0,1
1524949473,0,1
1524953080,1,1
1524956682,2,0
1524967465,0,1
1524974665,0,1
1524978275,1,0
1524985474,1,0
1524989080,1,0
1525003486,0,1
1525007086,0,1
1525010685,0,1
1525014284,1,0
1525017886,0,2
1525021469,1,0
1525025073,1,3
1525028682,3,0
1525032275,1,1
1525035882,2,0
1525039483,1,0
1525043078,1,1
1525046645,0,1
1525053861,0,1
1525057480,1,2
1525061071,1,0
1525064661,1,1
1525068282,1,0
1525071866,2,1
1525075484,0,1
1525079076,0,2
1525082667,1,0
1525086274,1,2
1525097061,0,1
1525100651,1,1
1525107865,1,1
1525111463,3,0
1525122274,0,1
1525129468,0,2
1525133098,1,1
1525147468,1,2
1525151075,2,0
1525154667,0,1
1525158267,1,0
1525179881,1,4
1525183469,3,0
1525187071,1,0
1525197866,0,1
1525208676,1,1
1525212276,1,1
1525215876,1,0
1525226666,0,1
1525241063,0,2
1525244652,1,2
1525248277,3,0
1525251885,0,1
1525255465,3,1
1525259082,1,0
1525262675,0,1
1525266272,0,2
1525269877,0,1
1525277075,2,1
1525280679,1,0
1525291470,0,1
1525295090,1,1
1525298645,1,0
1525327453,1,0
1525334658,0,1
1525341861,1,1
1525356250,0,1
1525359861,1,0
1525363461,0,1
1525367050,1,0
1525370659,0,1
1525381446,1,0
1525385067,0,2
1525392239,2,0
1525406654,0,2
1525410264,1,0
1525413861,1,0
1525475059,1,3
1525478635,3,1
1525482259,0,2
1525489454,0,1
1525511064,0,1
1525514664,1,0
1525532653,0,1
1525539859,0,1
1525543447,1,0
1525547069,0,1
1525550660,1,0
1525572252,0,1
1525575850,1,0
1525590269,0,1
1525593869,1,0
1525604671,0,1
1525608327,1,2
1525611863,2,1
1525615461,1,1
1525622667,0,1
1525626263,2,0
1525669454,0,3
1525673053,0,1
1525676662,4,0
1525683864,0,1
1525691071,1,1
1525694663,1,0
1525698261,0,2
1525701861,2,0
1525705461,0,1
1525709054,0,1
1525712666,2,1
1525716266,1,0
1525719860,0,1
1525723455,1,0
1525727066,0,2
1525730669,1,0
1525752272,0,1
1525759455,1,1
1525763085,1,1
1525770272,1,1
1525777479,1,0
1525799093,1,0
1525809877,0,1
1525813475,0,1
1525817081,1,0
1525820677,0,1
1525824288,1,1
1525831475,1,0
1525838660,0,1
1525842272,1,0
1525867475,0,1
1525871070,1,0
1525892670,0,1
1525896252,0,1
1525899876,2,0
1525907078,0,1
1525910682,1,0
1525914264,0,1
1525917862,1,0
1525925070,0,1
1525935870,0,1
1525939451,2,0
1525946668,0,1
1525950275,2,0
1525953855,0,1
1525957476,1,0
1525961074,0,2
1525964673,2,2
1525968281,1,0
1525989863,0,3
1525993477,2,0
1525997090,1,0
1526015080,0,1
1526022273,1,0
1526040279,0,1
1526047479,1,0
1526119463,0,1
1526126674,1,0
1526133882,0,2
1526137473,2,0
1526162682,0,1
1526166275,1,0
1526220265,0,2
1526223863,2,0
1526227459,0,2
1526231064,1,1
1526234667,1,0
1526238239,1,1
1526241867,1,0
1526252665,0,1
1526259859,1,0
1526270664,0,1
1526277862,1,0
1526288664,0,1
1526292265,1,0
1526295834,0,1
1526299464,1,1
1526306653,1,0
1526331842,0,1
1526335458,1,0
1526346265,0,1
1526360662,1,0
1526403866,2,0
1526450651,0,1
1526457846,1,1
1526465049,1,0
1526479460,0,1
1526486649,1,0
1526490264,0,1
1526497449,1,0
1526504661,2,1
1526515449,1,2
1526519064,1,0
1526522667,0,1
1526526264,1,0
1526594664,0,1
1526598257,1,3
1526601828,3,0
1526619878,0,1
1526623476,1,2
1526627057,2,0
1526637863,0,3
1526641476,2,0
1526645077,1,0
1526652278,0,1
1526655867,1,1
1526659478,1,0
1526666681,0,1
1526670268,1,0
1526681071,0,1
1526684669,0,1
1526688302,2,0
1526702680,0,1
1526706278,1,1
1526709861,1,0
1526713476,0,2
1526717071,2,0
1526724276,0,1
1526731478,1,0
1526745865,0,1
1526749465,1,0
1526760267,0,1
1526771054,1,0
1526789060,0,2
1526796273,1,2
1526799865,2,0
1526835872,0,1
1526839471,1,0
1526853879,0,1
1526861104,1,1
1526868273,1,0
1526879075,0,1
1526882670,1,0
1526889876,0,1
1526897073,1,0
1526900680,0,1
1526904269,1,0
1526907870,0,1
1526915079,1,0
1526918672,1,7
1526922276,5,0
1526925881,2,0
1526936673,2,1
1526940279,0,1
1526947478,1,2
1526983452,0,1
1526990681,1,0
1527001464,0,2
1527008673,2,0
1527019472,0,1
1527026666,1,0
1527044664,0,1
1527051860,1,0
1527062667,0,1
1527066259,0,2
1527069857,1,1
1527073463,2,0
1527077056,1,0
1527091456,0,3
1527095061,1,0
1527098657,0,1
1527102259,1,0
1527109457,0,1
1527116659,1,1
1527120245,1,0
1527145455,0,2
1527149048,2,1
1527163454,1,0
1527174254,0,1
1527181454,1,0
1527195845,0,1
1527199457,1,0
1527206648,0,1
1527210272,1,1
1527217462,1,0
1527231866,0,1
1527235449,0,1
1527239059,2,0
1527242646,0,2
1527246268,2,0
1527253459,1,0
1527264256,0,1
1527267856,1,0
1527289459,0,0
1527293038,0,0
1527296672,0,0
1527300263,0,0
1527303858,0,0
1527307466,0,1
1527311066,1,0
1527314668,0,0
1527318243,0,0
1527321858,0,0
1527325448,0,0
1527329062,0,0
1527332653,0,0
1527336252,0,0
1527339859,0,2
