DateTime,AddedIPs,RemovedIPs
1527620897,1,9
1527622810,3,1
1527626672,4,0
1527628569,3,2
1527630504,1,0
1527632425,0,1
1527634330,1,3
1527636251,0,9
1527638188,1,0
1527642969,6,2
1527644951,61,0
1527648789,1,2
1527650668,1,0
1527654487,0,1
1527656457,1,0
1527660281,0,1
1527667974,1,0
1527669866,1,0
1527671800,0,1
1527675648,1,3
1527677541,1,2
1527680583,0,2
1527684486,0,2
1527686410,1,0
1527688327,0,1
1527692185,1,2
1527694091,1,1
1527696044,1,3
1527698210,1,0
1527700022,1,1
1527702007,1,2
1527707768,1,0
1527709716,2,2
1527711609,28,2
1527713527,45,7
1527715450,29,0
1527717368,1,1
1527723168,0,1
1527726977,5,0
1527728904,1,0
1527730819,0,59
1527732743,0,1
1527734676,3,1
1527736577,1,0
1527738500,1,1
1527740419,4,1
1527742353,1,1
1527746188,0,1
1527750067,1,0
1527753876,2,2
1527755787,1,1
1527757704,0,1
1527759619,1,1
1527761554,1,1
1527763491,0,1
1527765381,2,0
1527769241,0,1
1527773058,1,0
1527776895,0,1
1527778835,1,0
1527780783,1,0
1527782662,1,2
1527784620,0,1
1527788457,1,1
1527790492,1,1
1527794174,2,1
1527796132,1,1
1527798014,1,34
1527799952,0,45
1527801871,1,31
1527803792,1,1
1527807869,1,0
1527809817,2,0
1527813626,1,4
1527817493,0,1
1527819387,2,0
1527821325,0,2
1527823221,0,1
1527827070,0,2
1527829011,0,2
1527830908,1,0
1527832877,0,1
1527836668,0,1
1527840520,1,3
1527842450,0,1
1527844361,3,0
1527846306,1,0
1527848188,1,0
1527850110,2,1
1527852039,5,2
1527853947,5,0
1527857833,1,2
1527859700,1,0
1527861677,0,1
1527863563,1,0
1527865467,2,0
1527869342,0,2
1527873081,1,1
1527876970,1,3
1527878907,1,0
1527882730,1,1
1527884670,1,2
1527888489,0,1
1527894543,0,3
1527896433,0,2
1527898397,8,1
1527900304,7,0
1527902241,4,0
1527904144,2,1
1527906075,2,1
1527907989,0,1
1527916433,2,1
1527918671,0,1
1527921129,0,0
1527928509,2,2
1527933068,0,4
1527935210,0,0
1527937866,0,0
1527942637,1,3
1527944962,4,1
1527949060,2,2
1527951386,2,1
1527953713,3,0
1527956400,1,1
1527961190,1,1
1527963553,0,0
1527965960,0,1
1527968414,0,1
1527970733,1,0
1527972874,0,0
1527974850,0,0
1527977281,0,0
1527979836,0,0
1527984232,0,1
1527986635,0,1
1527988966,1,1
1527991395,0,1
1527993816,0,1
1527996216,2,0
1527998606,0,1
1528001071,1,2
1528003373,1,1
1528007356,1,1
1528009252,1,0
1528011135,0,1
1528013055,0,2
1528016894,0,1
1528018837,3,3
1528020738,1,0
1528022651,1,0
1528024479,1,0
1528026486,0,1
1528030337,1,4
1528032254,1,2
1528036096,0,11
1528038049,1,8
1528039938,0,3
1528041866,0,1
1528043767,0,1
1528045694,1,0
1528049539,1,1
1528051496,0,2
1528053388,0,1
1528055329,0,1
1528059182,0,1
1528061058,16,1
1528067775,0,1
1528071618,29,0
1528073534,27,0
1528075450,9,2
1528079299,1,0
1528082228,2,2
1528087938,0,1
1528089892,4,0
1528091766,3,0
1528093719,0,1
1528095662,1,2
1528097569,0,2
1528099458,20,0
1528101437,4,0
1528103291,0,1
1528105257,1,3
1528107143,0,3
1528109086,0,2
1528110975,0,2
1528114827,1,0
1528118670,0,1
1528124491,3,1
1528128323,1,0
1528130180,0,1
1528135947,0,1
1528141704,1,0
1528143625,3,0
1528147470,1,16
1528156107,0,1
1528158009,0,27
1528159927,0,25
1528161869,0,10
1528163765,0,1
1528165689,0,1
1528168580,2,1
1528170532,1,1
1528172424,1,0
1528176274,0,3
1528178176,2,0
1528180398,3,0
1528182261,1,0
1528184173,3,0
1528186098,0,23
1528188013,2,1
1528189937,2,0
1528191862,0,1
1528193774,3,0
1528199538,0,1
1528207251,1,0
1528209141,0,1
1528211070,0,3
1528213491,1,0
1528215396,2,2
1528217305,12,0
1528219210,7,1
1528221155,2,0
1528223054,1,0
1528224996,0,2
1528226886,2,0
1528229006,1,2
1528234810,0,1
1528236742,0,4
1528238652,1,0
1528240570,2,0
1528246331,2,0
1528248264,1,0
1528250179,3,0
1528252088,2,1
1528254064,2,1
1528256027,0,2
1528257859,0,1
1528259783,0,1
1528265556,2,1
1528267768,0,1
1528269617,1,1
1528273461,1,1
1528277302,0,2
1528279260,0,2
1528281151,0,3
1528283072,2,0
1528292677,0,1
1528296499,0,2
1528300335,1,1
1528302271,1,2
1528304173,2,7
1528306269,1,6
1528308288,0,2
1528311700,1,1
1528313581,0,1
1528320488,4,0
1528324412,0,0
1528326771,1,0
1528331794,3,3
1528335429,3,2
1528337303,1,2
1528339226,1,1
1528341166,0,2
1528343171,2,0
1528344997,0,1
1528346900,3,0
1528350758,1,0
1528352965,1,1
1528358664,0,1
1528362496,1,2
1528366334,1,2
1528368256,1,0
1528370176,0,1
1528374022,0,2
1528375957,2,1
1528379772,0,1
1528384574,2,2
1528386501,0,1
1528388425,0,1
1528390334,0,1
1528392262,1,2
1528398048,0,1
1528399937,0,2
1528401860,0,1
1528403795,2,1
1528405704,2,2
1528407618,2,0
1528409556,1,0
1528411644,1,1
1528415559,1,1
1528417472,0,1
1528419379,0,1
1528421296,1,3
1528423253,2,1
1528425135,0,2
1528427069,1,1
1528428968,1,3
1528434736,1,1
1528436812,2,0
1528438807,2,0
1528440959,0,1
1528442889,1,2
1528446997,0,1
1528448915,0,1
1528451065,1,0
