DateTime,AddedIPs,RemovedIPs
1520015310,0,1
1520029259,1,0
1520115162,1,1
1520199630,0,1
1520656942,1,0
1520742749,0,1
1521672264,1,0
1521758138,0,1
1522081700,1,0
1522166210,0,1
1522183961,1,0
1522185871,3,0
1522187778,4,0
1522192676,1,0
1522194515,2,0
1522198585,2,0
1522201725,3,0
1522203623,1,0
1522205793,1,0
1522207803,2,0
1522209906,1,0
1522215485,4,0
1522219702,1,0
1522226598,2,0
1522238696,3,0
1522241086,1,0
1522244675,5,0
1522247818,0,6
1522276481,0,5
1522278327,0,3
1522282515,0,3
1522286687,0,2
1522288591,0,3
1522292432,0,2
1522296286,0,3
1522300107,0,1
1522303953,0,4
1522311626,0,1
1522315471,0,3
1522321172,0,1
1523307085,0,0
1524886754,1,0
1524972749,0,1
1526322766,1,0
1526399289,0,1
1526528203,1,0
1526555065,1,0
1526565101,1,0
1526577876,1,0
1526615803,0,1
1526640750,0,1
1526651314,0,1
1526739871,0,1
1526876819,1,0
1526958566,1,0
1526964546,0,1
1527014218,1,0
1527045629,0,1
1527100348,0,1
1527221171,1,0
1527291347,0,0
1527293544,0,0
1527295597,0,0
1527298154,0,0
1527300895,0,0
1527303217,0,0
1527305652,1,0
1527361547,1,1
1527364301,0,0
1527366743,0,0
1527369499,0,0
1527372646,0,0
1527375534,0,0
1527378874,0,0
1527381319,0,0
1527383937,0,0
1527386908,0,0
1527389246,0,0
1527391901,0,0
1527393918,0,0
1527396083,0,0
1527398006,0,0
1527400173,0,0
1527445215,0,1
1527495628,1,0
1527542211,24,0
1527546024,11,0
1527549876,11,0
1527557533,2,0
1527559461,5,0
1527563321,9,0
1527567156,15,0
1527570990,15,0
1527574825,13,0
1527576757,1,0
1527578653,8,0
1527582496,9,0
1527586364,13,0
1527588274,14,0
1527592128,17,0
1527595944,9,0
1527599788,12,0
1527603616,11,0
1527607482,12,0
1527609368,1,0
1527611404,19,0
1527613497,16,0
1527617311,8,0
1527621313,11,0
1527625452,13,0
1527627387,0,23
1527629297,12,0
1527633158,7,10
1527635067,6,8
1527638918,5,2
1527642758,9,3
1527646570,6,4
1527650419,8,9
1527654253,10,16
1527658090,12,15
1527661951,9,14
1527663856,11,9
1527667716,10,9
1527671537,9,11
1527675391,13,14
1527679210,17,16
1527683311,8,8
1527687154,16,12
1527689064,13,12
1527692929,0,13
1527694814,0,1
1527696783,0,19
1527700812,0,15
1527704672,0,8
1527708488,0,10
1527711402,0,15
1527715238,0,12
1527719085,0,8
1527722922,0,5
1527726821,0,5
1527728667,0,9
1527732507,0,6
1527736333,0,8
1527740179,0,9
1527744007,0,14
1527747876,0,10
1527751685,0,11
1527754584,0,10
1527758408,0,9
1527762257,0,12
1527766088,0,17
1527769940,0,9
1527771867,0,17
1527775690,19,13
1527779769,9,0
1527783622,13,0
1527787960,6,0
1527789867,11,0
1527793961,11,0
1527797773,7,0
1527801620,5,0
1527805472,11,0
1527809485,10,0
1527811482,2,0
1527815319,12,0
1527819146,3,0
1527822985,6,0
1527824897,1,0
1527826829,7,0
1527830672,7,0
1527834510,6,0
1527838350,8,0
1527840253,7,0
1527844107,5,0
1527847938,14,0
1527851768,9,0
1527855635,15,0
1527859453,10,0
1527863289,12,15
1527867132,13,8
1527869075,15,12
1527873081,17,7
1527876970,6,11
1527880810,12,10
1527884671,10,8
1527888490,10,6
1527892336,9,9
1527894543,9,11
1527898398,6,2
1527902242,4,11
1527906075,8,4
1527909920,8,6
1527911821,0,1
1527914405,7,8
1527916433,9,6
1527918672,0,0
1527921130,8,6
1527923309,0,8
1527926019,0,0
1527933068,24,12
1527935211,6,12
1527937867,14,9
1527940228,0,0
1527942638,17,14
1527944963,11,9
1527947203,0,0
1527949061,16,13
1527951387,0,0
1527956401,17,27
1527958691,0,0
1527961191,13,19
1527963553,7,7
1527965961,0,0
1527968415,19,14
1527970734,14,8
1527972875,0,0
1527974851,16,11
1527977282,15,10
1527979836,0,1
1527984233,30,12
1527986636,276,0
1527988967,10,5
1527991396,11,9
1527993817,0,0
1527996217,7,8
1527998607,10,7
1528001073,0,0
1528003374,5,9
1528007356,5,7
1528011135,6,7
1528013056,8,11
1528016894,10,14
1528020739,1,4
1528024479,8,15
1528028302,7,16
1528032254,11,14
1528036097,13,14
1528039939,18,10
1528041867,7,8
1528045695,13,13
1528049540,26,7
1528053389,11,18
1528057215,6,13
1528061058,10,16
1528064910,11,14
1528067776,7,19
1528071619,9,11
1528075451,10,13
1528079300,12,11
1528082229,10,6
1528086044,9,10
1528089893,9,5
1528093719,7,5
1528097571,8,7
1528099459,4,8
1528103292,10,8
1528107143,12,1
1528110976,10,8
1528114828,7,7
1528118670,11,11
1528122497,11,15
1528126333,14,19
1528128324,8,9
1528132129,11,13
1528135947,6,22
1528139800,12,12
1528143626,12,7
1528147471,20,9
1528151321,12,11
1528155138,7,8
1528157059,8,8
1528160902,4,10
1528164744,5,11
1528168580,9,12
1528172425,3,9
1528176274,11,8
1528180399,9,6
1528182262,7,7
1528186098,10,7
1528189937,7,10
1528193775,15,13
1528197621,14,9
1528201450,12,7
1528205298,7,8
1528208183,11,13
1528212014,16,13
1528216332,9,9
1528218269,10,11
1528222089,18,6
1528225936,12,11
1528229793,21,11
1528233626,12,20
1528237481,10,11
1528239743,4,9
1528243459,4,7
1528247305,13,4
1528251143,8,6
