DateTime,Entries,UniqueIPs
1526565101,3,3
1526577876,4,4
1526615803,3,3
1526640750,2,2
1526651314,1,1
1526739871,0,0
1526876819,1,1
1526958566,2,2
1526964546,1,1
1527014218,2,2
1527045629,1,1
1527100348,0,0
1527221171,1,1
1527291347,1,1
1527293544,1,1
1527295597,1,1
1527298154,1,1
1527298154,1,1
1527300895,1,1
1527300895,1,1
1527303217,1,1
1527303217,1,1
1527305652,1,1
1527305652,1,1
1527361547,1,1
1527361547,1,1
1527364301,1,1
1527366743,1,1
1527366743,1,1
1527369499,1,1
1527369499,1,1
1527372646,1,1
1527372646,1,1
1527375534,1,1
1527375534,1,1
1527378874,1,1
1527378874,1,1
1527381319,1,1
1527381319,1,1
1527383937,1,1
1527383937,1,1
1527386908,1,1
1527386908,1,1
1527389246,1,1
1527389246,1,1
1527391901,1,1
1527393918,1,1
1527393918,1,1
1527396083,1,1
1527396083,1,1
1527398006,1,1
1527398006,1,1
1527400173,1,1
1527445215,0,0
1527495628,1,1
1527542211,25,25
1527546024,36,36
1527549876,47,47
1527557533,49,49
1527559461,54,54
1527563321,63,63
1527567156,78,78
1527570990,93,93
1527574825,106,106
1527576757,107,107
1527578653,115,115
1527582496,124,124
1527586364,137,137
1527588274,151,151
1527592128,168,168
1527595944,177,177
1527599788,189,189
1527603616,200,200
1527607482,212,212
1527609368,213,213
1527611404,232,232
1527613497,248,248
1527617311,256,256
1527621313,267,267
1527625452,280,280
1527627387,257,257
1527629297,269,269
1527633158,266,266
1527635067,264,264
1527638918,267,267
1527642758,273,273
1527646570,275,275
1527650419,274,274
1527654253,268,268
1527658090,265,265
1527661951,260,260
1527663856,262,262
1527667716,263,263
1527671537,261,261
1527675391,260,260
1527679210,261,261
1527683311,261,261
1527687154,265,265
1527689064,266,266
1527692929,253,253
1527694814,252,252
1527696783,233,233
1527700812,218,218
1527704672,210,210
1527708488,200,200
1527711402,185,185
1527715238,173,173
1527719085,165,165
1527722922,160,160
1527726821,155,155
1527728667,146,146
1527732507,140,140
1527736333,132,132
1527740179,123,123
1527744007,109,109
1527747876,99,99
1527751685,88,88
1527754584,78,78
1527758408,69,69
1527762257,57,57
1527766088,40,40
1527769940,31,31
1527771867,14,14
1527775690,20,20
1527779769,29,29
1527783622,42,42
1527787960,48,48
1527789867,59,59
1527793961,70,70
1527797773,77,77
1527801620,82,82
1527805472,93,93
1527809485,103,103
1527811482,105,105
1527815319,117,117
1527819146,120,120
1527822985,126,126
1527824897,127,127
1527826829,134,134
1527830672,141,141
1527834510,147,147
1527838350,155,155
1527840253,162,162
1527844107,167,167
1527847938,181,181
1527851768,190,190
1527855635,205,205
1527859453,215,215
1527863289,212,212
1527867132,217,217
1527869075,220,220
1527873081,230,230
1527876970,225,225
1527880810,227,227
1527884671,229,229
1527888490,233,233
1527892336,233,233
1527894543,231,231
1527898398,235,235
1527902242,228,228
1527906075,232,232
1527909920,234,234
1527911821,233,233
1527914405,232,232
1527916433,235,235
1527918672,235,235
1527921130,237,237
1527923309,235,235
1527923309,235,235
1527926019,235,235
1527926019,235,235
1527933068,247,247
1527933068,247,247
1527935211,241,241
1527935211,241,241
1527937867,246,246
1527937867,246,246
1527940228,246,246
1527942638,249,249
1527942638,249,249
1527944963,251,251
1527944963,251,251
1527947203,251,251
1527947203,251,251
1527949061,254,254
1527949061,254,254
1527951387,254,254
1527951387,254,254
1527956401,244,244
1527956401,244,244
1527958691,244,244
1527958691,244,244
1527961191,238,238
1527961191,238,238
1527963553,238,238
1527963553,238,238
1527965961,238,238
1527965961,238,238
1527968415,243,243
1527968415,243,243
1527970734,249,249
1527970734,249,249
1527972875,249,249
1527972875,249,249
1527974851,254,254
1527974851,254,254
1527977282,259,259
1527977282,259,259
1527979836,258,258
1527979836,258,258
1527984233,276,276
1527984233,276,276
1527986636,276,276
1527986636,276,276
1527988967,281,281
1527988967,281,281
1527991396,283,283
1527991396,283,283
1527993817,283,283
1527993817,283,283
1527996217,282,282
1527996217,282,282
1527998607,285,285
1527998607,285,285
1528001073,285,285
1528001073,285,285
1528003374,281,281
1528003374,281,281
1528007356,279,279
1528011135,278,278
1528013056,275,275
1528016894,271,271
1528020739,268,268
1528024479,261,261
1528028302,252,252
1528032254,249,249
1528036097,248,248
1528039939,256,256
1528041867,255,255
1528045695,255,255
1528049540,274,274
1528053389,267,267
1528057215,260,260
1528061058,254,254
1528064910,251,251
1528067776,239,239
1528071619,237,237
1528075451,234,234
1528079300,235,235
1528082229,239,239
1528086044,238,238
1528089893,242,242
1528093719,244,244
1528097571,245,245
1528099459,241,241
1528103292,243,243
1528107143,254,254
1528110976,256,256
1528114828,256,256
1528118670,256,256
1528122497,252,252
1528126333,247,247
1528128324,246,246
1528132129,244,244
1528135947,228,228
1528139800,228,228
1528143626,233,233
1528147471,244,244
1528151321,245,245
1528155138,244,244
1528157059,244,244
1528160902,238,238
1528164744,232,232
1528168580,229,229
1528172425,223,223
1528176274,226,226
1528180399,229,229
1528182262,229,229
1528186098,232,232
1528189937,229,229
1528193775,231,231
1528197621,236,236
1528201450,241,241
1528205298,240,240
1528208183,238,238
1528212014,241,241
1528216332,241,241
1528218269,240,240
1528222089,252,252
1528225936,253,253
1528229793,263,263
1528233626,255,255
1528237481,254,254
1528239743,249,249
1528243459,246,246
1528247305,255,255
1528251143,257,257
1528254971,263,263
1528258815,287,287
1528262667,287,287
1528266797,293,293
1528268673,295,295
1528272504,294,294
1528276354,296,296
1528278278,295,295
1528280176,290,290
1528284015,286,286
1528287868,283,283
1528291709,292,292
1528295549,300,300
1528297462,299,299
1528301331,313,313
1528305151,312,312
1528311702,298,298
1528313581,316,316
1528320489,330,330
1528324413,328,328
1528326773,353,353
1528331796,355,355
1528335430,350,350
1528337304,349,349
1528341168,342,342
1528343172,341,341
1528344998,321,321
1528348813,320,320
1528352966,319,319
1528355781,319,319
1528359618,323,323
1528363448,332,332
1528367295,341,341
1528371138,354,354
1528373070,353,353
1528376895,348,348
1528380733,347,347
1528384575,350,350
1528388426,340,340
1528392263,343,343
1528396096,348,348
1528399937,343,343
1528401861,336,336
1528405704,324,324
1528409557,324,324
1528413608,316,316
1528417473,322,322
1528421296,337,337
1528425135,347,347
1528427069,345,345
1528430916,341,341
