DateTime,AddedIPs,RemovedIPs
1526884834,1,1
1526888677,1,0
1526892564,1,1
1526894425,0,1
1526898301,1,0
1526900222,0,1
1526913853,0,1
1526925676,1,0
1526927576,1,0
1526929497,0,1
1526934686,1,0
1526938823,1,0
1526945092,0,1
1526952770,0,1
1526958567,0,1
1526970542,1,1
1526974620,0,1
1526976533,1,0
1526978444,0,1
1526982293,1,0
1526986123,0,1
1526994289,1,0
1526996718,1,0
1527004367,1,0
1527010125,2,1
1527014219,0,1
1527019978,1,0
1527021895,0,1
1527024187,0,1
1527026081,2,0
1527031969,1,0
1527055264,1,0
1527057164,0,1
1527059089,1,0
1527062936,0,1
1527066775,1,0
1527068694,0,1
1527079726,0,1
1527090506,0,1
1527092425,1,0
1527096499,0,2
1527102270,1,0
1527106106,0,1
1527111902,0,1
1527113789,0,1
1527119800,0,1
1527125572,2,0
1527133962,1,0
1527137808,1,0
1527141664,0,1
1527145970,0,1
1527153861,0,1
1527179812,0,1
1527190110,0,1
1527210517,1,1
1527212424,0,1
1527218196,1,0
1527220119,0,1
1527243629,1,0
1527270760,1,1
1527288998,2,0
1527291347,0,0
1527293544,0,0
1527295597,0,0
1527298154,0,1
1527300895,0,0
1527303217,1,0
1527311238,6,0
1527314158,0,0
1527316665,0,0
1527318575,0,0
1527320946,0,0
1527322890,0,0
1527325307,0,0
1527336886,1,1
1527339155,0,0
1527343537,0,0
1527346504,0,0
1527350711,1,0
1527352733,0,0
1527355499,0,0
1527358177,0,1
1527361547,0,0
1527364301,0,0
1527366743,0,0
1527369500,0,0
1527372647,0,0
1527375534,0,2
1527378875,0,0
1527381319,0,0
1527383937,0,0
1527386908,0,0
1527389281,0,1
1527391904,1,0
1527393918,0,0
1527396083,0,0
1527398006,0,0
1527400173,0,0
1527415465,1,0
1527419326,0,1
1527432766,1,0
1527436595,0,1
1527444278,0,1
1527446218,1,0
1527450021,1,0
1527455781,1,0
1527462513,1,0
1527468314,1,0
1527470178,1,0
1527475987,2,0
1527477880,1,1
1527502829,0,1
1527510489,2,0
1527520114,1,1
1527525849,1,0
1527533532,0,1
1527535451,0,1
1527537387,1,0
1527543145,0,1
1527548981,0,1
1527554653,0,1
1527556599,0,1
1527558511,2,0
1527562398,0,2
1527564308,0,1
1527571989,1,0
1527596902,1,2
1527606536,1,0
1527608425,0,1
1527610400,1,0
1527613147,2,1
1527622810,1,1
1527642969,1,0
1527644951,0,2
1527646811,1,0
1527657369,0,1
1527665072,1,0
1527670849,1,0
1527674679,1,0
1527682571,0,1
1527686411,1,0
1527690254,2,0
1527692185,3,1
1527694092,2,0
1527697096,2,0
1527698907,0,1
1527700812,1,1
1527704672,1,0
1527706593,1,0
1527708488,2,0
1527711403,1,1
1527728667,0,1
1527730607,1,0
1527732507,0,1
1527747877,1,0
1527751686,0,1
1527757501,0,1
1527761328,0,1
1527768995,1,0
1527770897,1,0
1527772857,0,1
1527778580,0,2
1527780783,0,1
1527784620,0,2
