DateTime,AddedIPs,RemovedIPs
1526627800,0,1
1526629716,0,1
1526631633,0,1
1526635474,1,0
1526637376,0,1
1526642202,0,2
1526648537,0,1
1526650357,0,2
1526668367,0,1
1526670267,1,0
1526677965,1,1
1526681812,1,0
1526689965,1,0
1526701722,0,1
1526722841,0,1
1526749966,1,0
1526752027,1,0
1526757868,0,1
1526763876,0,1
1526767702,0,1
1526777317,0,1
1526779211,1,0
1526783075,1,0
1526818108,37,0
1526820026,2,0
1526829641,2,0
1526835398,0,1
1526837322,2,1
1526839296,1,0
1526843086,2,0
1526844977,1,0
1526846929,1,0
1526850771,1,0
1526852684,2,0
1526857490,1,0
1526859383,1,0
1526861452,3,0
1526863457,1,0
1526865384,1,0
1526867290,1,0
1526869157,0,1
1526871131,1,0
1526873020,1,0
1526874968,2,0
1526886788,1,0
1526888678,1,0
1526890587,1,0
1526900223,1,0
1526902106,1,0
1526904101,0,27
1526905962,2,9
1526907879,0,1
1526909951,1,1
1526915770,0,1
1526917709,0,1
1526921799,1,0
1526923704,0,2
1526925690,1,1
1526929497,0,2
1526931626,0,1
1526934686,0,2
1526938824,0,3
1526943201,1,1
1526945093,1,1
1526947105,0,2
1526948930,2,2
1526950910,0,1
1526952771,1,1
1526956682,2,1
1526958568,0,1
1526962633,1,2
1526964547,2,0
1526970543,0,1
1526972506,2,1
1526974621,0,1
1526976534,0,1
1526978445,1,0
1526986124,0,1
1526988495,1,1
1526992407,2,2
1526996719,2,1
1527000511,1,0
1527008182,1,1
1527010126,1,0
1527012102,0,1
1527018047,1,0
1527019979,1,0
1527028116,1,0
1527030142,0,1
1527031970,1,1
1527036023,1,2
1527037970,1,0
1527039892,2,1
1527041799,0,1
1527043716,0,1
1527049483,0,1
1527051414,1,2
1527057165,1,0
1527059090,3,2
1527064866,0,1
1527066776,1,0
1527068695,2,0
1527073004,3,0
1527074929,0,1
1527076902,1,0
1527078765,1,2
1527080682,1,0
1527082605,1,2
1527084799,1,0
1527086662,0,1
1527094610,1,1
1527096500,0,1
1527102270,1,0
1527104199,0,1
1527106107,0,1
1527108021,3,0
1527115970,1,1
1527117874,2,1
1527121817,0,1
1527123725,0,1
1527125573,0,1
1527127898,0,1
1527129851,2,0
1527131786,1,0
1527133962,1,0
1527137809,0,1
1527139763,2,0
1527141698,1,0
1527143669,1,1
1527145970,0,3
1527148138,1,0
1527153862,2,1
1527155801,0,2
1527157718,1,1
1527159695,0,2
1527163965,1,1
1527165878,1,1
1527167779,0,1
1527169938,1,2
1527174152,1,0
1527179813,0,1
1527190111,1,1
1527194906,0,3
1527198753,1,0
1527200667,2,0
1527202579,2,1
1527204494,1,2
1527208606,1,0
1527216283,1,1
1527218197,1,1
1527220119,1,1
1527223953,2,0
1527225877,0,1
1527227805,0,2
