DateTime,AddedIPs,RemovedIPs
1527723170,3,0
1527725062,0,2
1527726979,1,3
1527728906,4,1
1527730821,0,2
1527732745,1,2
1527738501,2,2
1527740421,0,2
1527742355,4,0
1527744266,1,0
1527746190,2,0
1527748132,1,2
1527750093,1,1
1527755789,1,1
1527759622,0,1
1527763493,1,1
1527769243,0,2
1527774984,1,0
1527778899,1,0
1527780785,0,1
1527784622,1,0
1527788460,1,1
1527792305,1,1
1527794176,1,0
1527796134,1,1
1527798016,1,2
1527799954,2,1
1527803794,0,2
1527806004,2,3
1527807871,2,5
1527809819,0,1
1527811710,1,0
1527813628,1,0
1527815558,2,0
1527817495,2,0
1527819389,2,1
1527821327,2,1
1527825166,0,3
1527829013,0,4
1527830909,1,1
1527832901,0,1
1527836670,0,1
1527840523,1,1
1527842452,1,2
1527844363,1,1
1527846309,3,0
1527850112,1,2
1527853949,1,0
1527857835,2,0
1527861698,1,1
1527865468,2,0
1527871229,1,1
1527873083,1,0
1527875062,1,0
1527876972,0,1
1527878910,2,0
1527880811,2,1
1527884672,1,2
1527886574,1,1
1527888491,0,1
1527890539,5,0
1527895212,1,5
1527897158,1,0
1527899054,2,2
1527902244,5,1
1527904146,1,2
1527906077,0,2
1527907992,1,3
1527916435,8,0
1527918674,0,0
1527921132,1,0
1527923313,0,0
1527926022,2,0
1527928513,4,1
1527930855,3,1
1527933071,0,2
1527935213,0,0
1527937869,1,0
1527942640,2,2
1527944965,0,2
1527947206,1,0
1527949063,1,0
1527951389,1,3
1527953716,4,1
1527956403,0,0
1527961193,4,1
1527963555,2,0
1527965963,0,3
1527968418,3,3
1527970736,3,0
1527972877,1,1
1527974853,1,0
1527977284,0,4
1527984235,2,2
1527986638,2,3
1527991398,3,3
1527993819,1,0
1527996219,1,0
1528005404,3,7
1528007358,1,2
1528011137,1,0
1528013058,1,1
1528016896,2,2
1528024481,1,0
1528026488,3,2
1528032256,2,0
1528034175,3,0
1528036099,5,1
1528038097,0,2
1528039940,1,1
1528041868,0,1
1528043769,0,1
1528045696,0,2
1528047698,2,3
1528053390,2,2
1528055331,1,4
1528057217,3,2
1528061060,3,2
1528063005,3,0
1528064912,1,1
1528066898,0,2
1528068745,1,1
1528070685,3,2
1528072568,1,0
1528074532,2,1
1528076415,1,5
1528078386,0,1
1528080254,1,1
1528082231,1,2
1528084106,3,0
1528086046,0,1
1528087940,1,0
1528097573,2,0
1528099460,0,1
1528101440,2,0
1528103293,4,1
1528105259,2,1
1528107145,1,1
1528109088,1,1
1528110978,1,3
1528112917,0,2
1528114829,1,0
1528116780,0,1
1528118672,0,2
1528120538,1,3
1528122499,1,6
1528124496,2,0
1528126335,1,1
1528134043,1,2
1528135949,4,0
1528137865,1,0
1528139802,1,1
1528141706,3,1
1528143628,7,2
1528145561,1,0
1528147473,0,3
1528149382,2,3
1528151323,2,6
1528153308,1,1
1528155140,1,1
1528157060,1,2
1528158994,0,1
1528160903,5,1
1528162816,2,0
1528164746,3,1
1528166666,1,1
1528168582,2,1
1528170534,0,1
1528172427,1,1
1528174341,0,1
1528180400,3,0
1528182264,0,1
1528184175,2,1
1528188015,2,1
1528189939,0,3
1528191864,0,1
1528195693,3,2
1528201452,1,1
1528203377,0,1
1528205300,1,0
1528207298,2,1
1528209143,1,2
1528211072,1,1
1528213493,1,0
1528215398,0,1
1528219212,0,1
1528221157,1,3
1528223056,2,2
1528226888,1,1
1528229008,1,4
1528230970,1,4
1528232904,2,2
1528234812,2,2
1528236744,3,1
1528238654,1,1
1528240571,2,1
1528242497,0,1
1528244421,2,1
1528246333,0,2
1528248266,3,2
1528250181,1,1
1528252090,1,0
1528254105,1,1
1528257861,3,2
1528259785,2,0
1528261690,1,1
1528265557,1,0
1528267769,2,1
1528269619,2,0
1528271556,0,1
1528273463,0,1
1528275387,1,2
1528279292,1,1
1528281152,0,1
1528283073,0,3
1528284993,1,1
1528286917,0,1
1528290755,2,1
1528292678,1,2
1528294578,2,2
1528296501,0,1
1528298425,0,2
1528302272,0,1
1528304175,2,0
1528306271,0,1
1528308290,2,4
1528311704,1,2
1528313583,0,0
1528320492,1,2
1528324415,0,6
1528326775,1,1
1528331803,3,2
1528335432,1,0
1528337306,0,2
1528339230,2,1
1528341169,0,2
1528343175,3,0
1528345000,2,3
1528346902,4,3
1528348814,1,0
1528350760,1,3
1528352968,1,0
1528354879,1,1
1528356742,1,1
1528358665,1,0
1528362497,0,2
1528364419,0,1
1528372092,1,1
1528374024,1,0
1528375959,2,0
1528377851,1,1
1528379773,1,2
1528384576,3,1
1528390336,0,1
1528392265,1,0
1528394186,0,3
1528396098,0,4
1528398096,1,3
1528401862,3,0
1528403797,4,1
1528405706,3,1
1528407620,2,0
1528409558,3,0
1528411646,2,1
1528413609,1,4
1528415561,1,3
1528419381,3,1
1528423302,2,0
1528425137,2,0
1528427071,0,1
1528428970,0,1
1528430918,1,2
1528432825,1,3
1528434738,1,0
1528436814,0,1
1528438809,0,2
1528440961,0,1
1528442890,0,2
1528444894,0,1
1528446999,1,0
1528448917,0,1
1528451067,3,1
1528456807,0,1
1528460662,0,1
1528462568,0,2
1528464497,0,2
1528466499,1,1
1528471209,2,1
1528475050,0,2
1528478886,2,2
1528480898,0,1
1528482739,1,0
1528484654,3,0
1528486874,3,1
1528488745,0,2
1528490656,1,3
1528492595,1,2
1528494500,1,2
1528496433,0,1
1528498500,1,0
1528502504,1,2
1528504357,2,0
1528508188,2,0
1528510191,2,1
1528512018,2,2
1528513941,2,3
1528515888,3,2
1528519701,1,0
1528521636,0,1
1528527396,2,0
1528531292,2,0
1528533163,0,1
1528535067,0,1
1528537002,0,1
1528538903,1,2
1528540824,0,2
1528542755,1,0
1528544683,3,0
1528546593,0,1
1528548505,2,0
1528550421,1,0
1528552375,3,1
1528554277,3,0
1528556194,2,1
1528558098,6,1
1528563873,1,0
1528565798,0,1
1528569613,1,3
1528571535,2,3
1528573455,1,3
1528575374,1,1
1528577305,1,0
1528579214,0,2
