DateTime,Entries,UniqueIPs
1527977285,1157,1157
1527981994,870,870
1527984235,1176,1176
1527984235,1176,1176
1527986638,1179,1179
1527991399,1192,1192
1527991399,1192,1192
1527993819,1190,1190
1527993819,1190,1190
1527996219,1196,1196
1527996219,1196,1196
1527998610,813,813
1527998610,813,813
1528001075,838,838
1528003377,833,833
1528005404,853,853
1528007358,968,968
1528009309,1473,1473
1528011137,1947,1947
1528013058,2401,2401
1528014989,2912,2912
1528016896,3305,3305
1528018839,3712,3712
1528020741,4097,4097
1528022654,4373,4373
1528024481,4375,4375
1528026488,4355,4355
1528028304,4357,4357
1528030340,4372,4372
1528032256,4382,4382
1528034176,4528,4528
1528036099,4540,4540
1528038097,4551,4551
1528039941,4560,4560
1528041869,5278,5278
1528043769,5475,5475
1528045697,5484,5484
1528047698,5497,5497
1528049542,5517,5517
1528051499,5489,5489
1528053391,5462,5462
1528055332,5491,5491
1528057217,5500,5500
1528059184,5500,5500
1528061060,5504,5504
1528063005,5498,5498
1528064912,5499,5499
1528066901,5525,5525
1528068745,5522,5522
1528070685,5517,5517
1528072568,5517,5517
1528074533,5517,5517
1528076416,5525,5525
1528078387,5528,5528
1528080254,5529,5529
1528082231,5528,5528
1528084107,5529,5529
1528086047,5531,5531
1528087940,5586,5586
1528089895,5585,5585
1528091768,5579,5579
1528093721,5732,5732
1528095700,5516,5516
1528097574,5246,5246
1528099461,4910,4910
1528101440,4593,4593
1528103294,4381,4381
1528105259,4168,4168
1528107145,3961,3961
1528109088,3789,3789
1528110978,3787,3787
1528112917,3791,3791
1528114830,3798,3798
1528116781,3778,3778
1528118672,3768,3768
1528120538,3760,3760
1528122499,3742,3742
1528124496,3729,3729
1528126335,3715,3715
1528128326,2173,2173
1528130183,1783,1783
1528132131,1767,1767
1528134043,1745,1745
1528135949,1722,1722
1528137865,1704,1704
1528139802,1692,1692
1528141707,1661,1661
1528143628,3421,3421
1528145562,3566,3566
1528147473,3563,3563
1528149382,3562,3562
