DateTime,AddedIPs,RemovedIPs
1527968419,7,22
1527970737,7,10
1527972879,0,96
1527974855,18,17
1527984236,113,42
1527986639,4,11
1527991399,25,32
1527993820,16,16
1527996220,12,24
1527998611,2,21
1528003378,4,33
1528005405,6,17
1528007359,3,14
1528009322,3,12
1528011138,1,15
1528013059,3,12
1528014990,3,12
1528016897,4,22
1528018840,10,15
1528020742,0,12
1528022654,15,16
1528024482,16,26
1528026489,10,15
1528028305,12,9
1528030340,7,43
1528032257,2,4
1528034176,1,17
1528036100,7,13
1528038098,9,11
1528039941,1,2
1528041869,5,1
1528043770,9,8
1528045697,4,6
1528047699,6,1
1528049542,8,4
1528051499,9,7
1528053391,2,4
1528055332,6,11
1528057218,1,4
1528059185,6,11
1528061061,2,11
1528063006,5,6
1528064913,27,11
1528066905,22,9
1528068746,14,7
1528070686,15,7
1528072569,20,4
1528074533,13,10
1528076416,14,10
1528078387,2,20
1528080255,3,13
1528082232,4,12
1528084107,11,3
1528086048,11,0
1528087941,1,1
1528089896,3,4
1528091769,2,3
1528093722,3,4
1528095700,7,2
1528097575,9,5
1528099462,7,5
1528101441,4,2
1528103295,2,2
1528105260,11,5
1528107146,5,5
1528109090,3,13
1528110979,1,23
1528112918,5,9
1528114830,3,15
1528116781,3,7
1528118673,4,2
1528120539,3,1
1528122500,8,7
1528124497,11,9
1528126336,1,1
1528128327,2,6
1528130184,14,11
1528132132,5,3
1528134044,3,7
1528135950,4,8
1528137866,0,12
1528139803,4,1
1528141707,4,7
1528143630,1,2
1528145563,2,7
1528147474,2,4
1528149384,1,4
1528151325,4,29
1528153310,2,20
1528155142,0,18
1528157062,4,17
1528158996,1,21
1528160905,9,21
1528162817,5,16
1528164747,8,5
1528166667,7,3
1528168583,6,4
1528170535,1,12
1528172429,2,10
1528174343,2,3
1528176278,4,8
1528178179,10,1
1528180402,7,4
1528182265,2,9
1528184177,7,11
1528186101,11,5
1528188016,12,6
1528189940,5,5
1528191865,2,11
1528193777,5,7
1528195694,3,3
1528197624,2,2
1528199542,3,5
1528201454,6,2
1528203378,2,2
1528205301,4,3
1528207300,1,3
1528209145,3,11
1528211073,2,9
1528213495,8,3
1528215399,14,5
1528217308,13,8
1528219213,25,6
1528221158,14,2
1528223057,9,3
1528224999,13,2
1528226889,10,3
1528229010,6,1
1528230972,123,1
1528232906,5,3
1528234814,4,1
1528236746,9,3
1528238655,11,2
1528240573,4,0
1528242498,12,2
1528244423,6,2
1528246334,2,2
1528248267,9,8
1528250182,11,7
1528252091,10,8
1528254106,7,6
1528256029,13,6
1528257863,11,1
1528259786,10,4
1528261692,17,3
1528263616,15,4
1528265559,14,8
1528267771,22,3
1528269620,13,2
1528271557,14,9
1528273465,12,7
1528275388,12,10
1528277305,11,3
1528279293,11,3
1528281153,11,4
1528283074,9,1
1528284994,16,4
1528286919,12,7
1528288820,14,2
1528290756,19,3
1528292680,19,3
1528294579,19,3
1528296501,10,3
1528298426,14,1
1528300337,16,4
1528302274,8,14
1528304176,11,10
1528306273,8,16
1528308291,7,11
1528311706,13,17
1528313585,2,7
1528320494,21,141
1528324417,12,17
1528326777,6,5
1528331807,9,17
1528335434,8,10
1528337308,7,10
1528339232,5,16
1528341170,7,6
1528343176,6,14
1528345001,7,9
1528346903,9,16
1528348815,6,13
1528350761,6,12
1528352970,14,16
1528354900,9,23
1528356744,13,9
1528358667,15,17
1528360573,14,11
1528362498,5,12
1528364421,11,14
1528366336,2,9
1528368257,4,11
1528370180,5,18
1528372092,4,17
1528374025,7,12
1528375960,4,16
1528377853,5,16
1528379775,6,22
1528381635,11,14
1528383692,2,17
1528385557,8,13
1528387464,5,16
1528389385,2,8
1528391317,5,12
1528393223,5,8
1528395154,6,6
1528397070,6,7
1528398977,5,7
1528400918,4,4
1528402821,8,9
1528404739,14,8
1528406680,17,3
1528408581,17,3
1528411109,14,5
1528413135,5,5
1528415081,28,6
1528416990,33,3
1528418894,5,3
1528420826,15,1
1528422754,15,6
1528424663,14,2
1528427805,29,4
1528429694,10,3
1528431632,9,8
1528433544,9,8
1528435474,8,8
1528437384,14,11
1528439192,14,11
1528441255,19,12
1528443141,18,10
1528445051,14,14
1528447000,19,14
1528448918,11,6
1528451067,10,7
1528452980,13,4
1528454902,8,6
1528456808,11,6
1528458736,38,2
1528460663,13,6
1528462569,6,5
1528464498,11,3
1528466500,11,7
1528469273,7,9
1528471210,11,4
1528473149,20,7
1528475051,28,3
1528476969,23,4
1528478888,11,7
1528480899,20,4
1528482741,20,9
1528484655,9,4
1528486875,8,3
1528488747,11,8
1528490658,4,11
1528492597,4,14
1528494502,6,16
1528496434,4,10
1528498502,7,9
1528500509,7,8
1528502527,14,27
1528504359,13,13
1528506268,13,7
1528508189,22,14
1528510192,18,14
1528512019,17,8
1528513942,13,15
1528515889,17,7
1528517786,8,10
1528519703,15,4
1528521637,11,5
1528523541,13,12
1528525473,26,14
1528527397,20,15
1528529298,27,12
1528531293,1,7
1528533165,12,15
1528535069,17,22
1528537004,8,14
1528538905,10,9
1528540825,9,10
1528542757,7,5
1528544684,15,26
1528546595,13,15
1528548506,9,6
1528550422,8,10
1528552377,6,7
1528554278,6,6
1528556195,4,2
1528558099,6,10
1528560100,11,23
1528561960,20,18
1528563875,16,19
1528565800,20,15
1528567705,17,24
