DateTime,Entries,UniqueIPs
1527974855,570,570
1527984236,641,641
1527984236,641,641
1527986639,634,634
1527991399,627,627
1527991399,627,627
1527993820,627,627
1527993820,627,627
1527996220,615,615
1527998611,596,596
1528003378,567,567
1528005405,556,556
1528007359,545,545
1528009322,536,536
1528011138,522,522
1528013059,513,513
1528014990,504,504
1528016897,486,486
1528018840,481,481
1528020742,469,469
1528022654,468,468
1528024482,458,458
1528026489,453,453
1528028305,456,456
1528030340,420,420
1528032257,418,418
1528034176,402,402
1528036100,396,396
1528038098,394,394
1528039941,393,393
1528041869,397,397
1528043770,398,398
1528045697,396,396
1528047699,401,401
1528049542,405,405
1528051499,407,407
1528053391,405,405
1528055332,400,400
1528057218,397,397
1528059185,392,392
1528061061,383,383
1528063006,382,382
1528064913,398,398
1528066905,411,411
1528068746,418,418
1528070686,426,426
1528072569,442,442
1528074533,445,445
1528076416,449,449
1528078387,431,431
1528080255,421,421
1528082232,413,413
1528084107,421,421
1528086048,432,432
1528087941,432,432
1528089896,431,431
1528091769,430,430
1528093722,429,429
1528095700,434,434
1528097575,438,438
1528099462,440,440
1528101441,442,442
1528103295,442,442
1528105260,448,448
1528107146,448,448
1528109090,438,438
1528110979,416,416
1528112918,412,412
1528114830,400,400
1528116781,396,396
1528118673,398,398
1528120539,400,400
1528122500,401,401
1528124497,403,403
1528126336,403,403
1528128327,399,399
1528130184,402,402
1528132132,404,404
1528134044,400,400
1528135950,396,396
1528137866,384,384
1528139803,387,387
1528141707,384,384
1528143630,383,383
1528145563,378,378
1528147474,376,376
1528149384,373,373
1528151325,348,348
1528153310,330,330
1528155142,312,312
1528157062,299,299
1528158996,279,279
1528160905,267,267
1528162817,256,256
1528164747,259,259
1528166667,263,263
1528168583,265,265
1528170535,254,254
1528172429,246,246
1528174343,245,245
1528176278,241,241
1528178179,250,250
1528180402,253,253
1528182265,246,246
1528184177,242,242
1528186101,248,248
1528188016,254,254
1528189940,254,254
1528191865,245,245
1528193777,243,243
1528195694,243,243
1528197624,243,243
1528199542,241,241
1528201454,245,245
1528203378,245,245
1528205301,246,246
1528207300,244,244
1528209145,236,236
1528211073,229,229
1528213495,234,234
1528215399,243,243
1528217308,248,248
1528219213,267,267
1528221158,279,279
1528223057,285,285
1528224999,296,296
1528226889,303,303
1528229010,308,308
1528230972,430,430
1528232906,432,432
1528234814,435,435
1528236746,441,441
1528238655,450,450
1528240573,454,454
1528242498,464,464
1528244423,468,468
1528246334,468,468
1528248267,469,469
1528250182,473,473
1528252091,475,475
1528254106,476,476
1528256029,483,483
1528257863,493,493
1528259786,499,499
1528261692,513,513
1528263616,524,524
1528265559,530,530
1528267771,549,549
1528269620,560,560
1528271557,565,565
1528273465,570,570
1528275388,572,572
1528277305,580,580
1528279293,588,588
1528281153,595,595
1528283074,603,603
1528284994,615,615
1528286919,620,620
1528288820,632,632
1528290756,648,648
1528292680,664,664
1528294579,680,680
