DateTime,AddedIPs,RemovedIPs
1527961195,27,17
1527963559,12,5
1527965966,11,2
1527968420,7,6
1527970739,15,4
1527984237,67,27
1527986641,8,0
1527991400,28,6
1527993821,7,3
1527996221,5,4
1527998613,3,5
1528001078,9,8
1528005406,31,4
1528007360,7,1
1528009325,6,5
1528011139,10,2
1528013060,7,6
1528014991,9,3
1528016898,7,6
1528018841,8,3
1528020743,8,1
1528022655,8,0
1528024483,4,1
1528026490,3,2
1528028306,1,1
1528030342,0,4
1528032258,3,5
1528034178,5,1
1528036101,3,5
1528038099,1,12
1528039942,6,7
1528041870,3,7
1528043771,6,2
1528045699,5,7
1528047700,3,9
1528049543,3,6
1528051501,5,7
1528053393,2,9
1528055334,6,2
1528057219,2,12
1528059186,2,8
1528061062,2,5
1528063007,2,12
1528064915,7,9
1528066906,8,5
1528068747,9,14
1528070687,4,10
1528072570,6,5
1528074535,9,12
1528076418,6,12
1528078389,8,7
1528080256,5,8
1528082233,1,7
1528084108,2,5
1528086049,5,6
1528087942,5,5
1528089896,1,9
1528091770,4,11
1528093723,2,7
1528095701,1,7
1528097576,0,10
1528099462,7,6
1528101441,1,12
1528103295,3,8
1528105261,1,5
1528107147,2,7
1528109090,5,9
1528110980,1,5
1528112918,2,5
1528114831,4,6
1528116782,1,1
1528118674,0,4
1528120540,1,7
1528122501,5,3
1528124498,1,4
1528126338,1,7
1528128328,1,5
1528130185,2,6
1528132132,2,5
1528134045,1,5
1528135951,33,4
1528137866,18,4
1528139803,4,3
1528141708,7,6
1528143630,10,4
1528145563,9,5
1528147475,8,3
1528149384,2,1
1528151325,6,8
1528153310,10,7
1528155142,4,7
1528157063,2,4
1528158996,5,9
1528160905,12,10
1528162817,9,6
1528164747,3,7
1528166668,10,4
1528168584,6,2
1528170536,11,2
1528172430,4,4
1528174343,12,4
1528176279,6,2
1528178181,7,5
1528180403,6,4
1528182267,8,1
1528184178,7,0
1528186102,3,7
1528188018,10,2
1528189940,7,2
1528191866,9,3
1528193778,6,2
1528195695,9,5
1528197625,6,1
1528199542,2,3
1528201454,2,3
1528203379,2,1
1528205302,4,0
1528207300,5,1
1528209145,4,5
1528211074,7,2
1528213495,4,1
1528215399,3,1
1528217308,2,3
1528219214,3,2
1528221159,6,31
1528223058,2,7
1528224999,3,12
1528226890,8,6
1528229010,5,11
1528230972,5,2
1528232907,6,5
1528234815,5,2
1528236746,3,0
1528238656,8,7
1528240574,4,6
1528242499,10,4
1528244423,2,5
1528246335,4,7
1528248267,1,8
1528250182,1,4
1528252091,0,5
1528254106,1,8
1528256030,5,7
1528257863,3,6
1528259787,3,10
1528261693,0,4
1528263616,2,5
1528265560,3,9
1528267771,3,3
1528269621,0,7
1528271558,2,7
1528273465,3,8
1528275389,8,6
1528277305,3,8
1528279294,1,8
1528281154,4,6
1528283075,2,6
1528284995,2,7
1528286920,4,4
1528288821,2,2
1528290757,0,6
1528292681,4,6
1528294579,1,5
1528296502,6,10
1528298427,2,5
1528300338,4,5
1528302274,1,5
1528304177,2,7
1528306273,6,4
1528308291,6,7
1528311708,13,10
1528313586,9,5
1528320495,35,19
1528324419,18,10
1528326779,9,8
1528331810,27,18
1528335435,17,2
1528337309,8,1
1528339234,6,0
1528341172,13,4
1528343178,9,3
1528345003,8,3
1528346904,5,3
1528348817,7,4
1528350762,8,1
1528352971,8,5
1528354901,3,1
1528356745,7,1
1528358668,6,3
1528360574,5,2
1528362499,9,8
1528364422,5,1
1528366337,7,1
1528368258,3,4
1528370181,8,1
1528372093,6,5
1528374027,8,0
1528375961,6,1
1528377853,6,0
1528379775,6,4
1528381635,3,4
1528383695,7,3
1528385558,27,6
1528387464,19,1
1528389386,5,1
1528391318,3,3
1528393223,4,6
1528395154,2,5
1528397071,3,5
1528398978,3,5
1528400918,4,13
1528402821,8,6
1528404740,6,8
1528406681,4,8
1528408582,7,10
1528411110,5,8
1528413135,3,9
1528415081,2,7
1528416991,3,11
1528418895,8,4
1528420827,4,5
1528422755,8,9
1528424665,3,7
1528426896,3,8
1528428741,3,7
1528430669,2,8
1528432588,1,8
1528434510,7,3
1528436438,0,7
1528438368,1,5
1528440365,3,4
1528442283,1,5
1528444104,5,7
1528446023,4,6
1528447933,2,5
1528449869,0,11
1528451822,1,4
1528453701,2,7
1528455684,3,10
1528457538,5,6
1528459471,5,4
1528461398,2,8
1528463309,2,9
1528465157,2,5
1528467058,2,6
1528469273,5,6
1528471211,1,9
1528473150,2,29
1528475052,0,19
1528476970,0,6
1528478888,5,4
1528480900,0,4
1528482742,4,4
1528484656,3,4
1528486876,3,1
1528488747,6,9
1528490658,2,7
1528492597,1,4
1528494502,1,9
1528496435,1,6
1528498502,1,3
1528500510,5,10
1528502529,9,7
1528504359,3,7
1528506269,0,4
1528508190,3,10
1528510192,2,6
1528512020,3,3
1528513943,4,3
1528515889,4,2
1528517787,3,2
1528519704,1,1
1528521638,4,7
1528523543,7,0
1528525474,5,1
1528527398,3,4
1528529298,3,2
1528531294,2,6
1528533166,3,2
1528535070,1,1
1528537005,3,1
1528538906,1,1
1528540826,1,4
1528542757,0,3
1528544685,7,7
1528546596,4,1
1528548507,0,4
1528552377,2,3
1528554279,3,2
1528556196,6,3
1528558100,2,1
1528560101,2,2
1528561960,2,0
1528563876,3,1
1528565801,3,5
1528567706,5,2
1528569615,5,4
1528571537,3,1
1528573457,4,4
1528575376,0,6
1528577306,4,2
1528579216,3,2
1528581154,2,1
1528583076,2,2
1528586022,2,3
1528587874,0,4
1528589812,4,9
1528591706,5,1
1528593655,1,2
1528595560,4,2
1528597493,1,3
1528599391,0,3
1528601319,4,3
1528603304,1,3
1528605180,1,4
1528607073,2,2
1528609036,0,8
1528610933,4,3
1528612877,0,3
1528614760,1,3
1528616694,0,3
1528618579,2,1
1528620529,1,5
1528622455,8,1
1528624362,2,3
1528626265,3,1
1528628210,1,0
1528630095,1,1
1528632103,0,7
1528633953,15,3
1528635885,30,0
1528637784,4,1
1528639989,1,4
1528641868,2,4
1528643888,2,2
1528645719,0,1
1528647643,0,3
1528649557,1,2
1528651479,0,2
1528653391,1,6
1528655345,5,3
1528657301,2,6
1528659168,4,3
1528661069,2,3
1528663125,1,0
1528666375,5,8
1528668667,2,2
1528670572,2,2
1528672480,3,2
1528674408,2,1
1528676335,1,2
1528678228,1,5
1528680165,5,3
1528682080,0,2
1528683997,1,1
1528685863,1,0
1528687840,0,5
1528690595,0,1
1528692494,2,3
1528694434,2,0
1528698257,2,4
1528700187,3,0
1528702103,1,0
1528704971,2,2
1528707157,2,2
1528709059,1,8
1528710970,5,2
1528712907,2,3
1528714882,3,1
1528716743,1,2
1528718679,1,0
1528720572,1,17
1528722518,1,32
1528724411,6,2
1528726343,2,1
1528728263,1,2
1528730188,4,3
1528732200,3,0
1528734463,1,0
1528736586,2,1
1528738609,1,0
1528740610,1,2
1528742701,3,5
1528744593,3,1
1528746424,2,6
1528748412,2,0
1528750329,6,2
1528752258,10,4
1528754185,17,0
1528756096,6,4
1528758100,8,0
1528760049,13,3
1528761865,7,2
1528763771,7,2
1528765704,8,3
1528767620,13,2
1528769535,9,1
1528771465,7,1
1528773367,6,0
1528775290,7,0
1528777228,3,0
1528779135,7,2
1528781054,7,2
1528782987,10,0
1528784898,7,2
1528786903,12,3
1528788751,11,1
1528790657,8,2
1528792572,8,1
1528794513,6,2
1528796415,4,4
1528798338,9,1
1528800272,5,3
1528802172,5,1
1528804097,5,2
1528806054,3,0
1528807932,4,2
1528809852,5,4
1528811786,6,3
1528813695,8,2
1528815712,8,3
1528817559,4,3
1528819890,5,2
1528821870,6,1
1528823774,6,1
1528825706,3,1
1528827624,4,1
1528829530,7,3
1528831454,8,4
1528833385,7,2
1528835289,3,2
1528837106,1,5
1528838908,7,8
1528840944,1,15
1528842967,8,4
1528844895,5,8
1528846828,8,8
1528848731,2,4
1528850663,6,6
1528852567,3,9
1528854488,2,12
1528856422,6,3
1528858344,2,8
1528860250,1,6
1528862182,3,5
1528864089,2,4
1528866101,2,1
1528867951,2,10
1528869867,6,5
1528871773,0,5
1528873720,2,11
1528875617,2,7
1528877538,3,7
1528879468,2,6
1528881382,4,6
1528883294,1,4
1528885228,2,8
1528887141,20,3
1528889054,1,5
1528890987,18,3
1528892896,3,3
1528894899,0,4
1528896754,1,4
1528898662,0,7
1528900572,5,8
1528902502,1,7
1528904417,1,5
1528906351,1,4
1528908261,0,8
1528910179,2,6
1528912110,1,5
1528914011,2,4
1528915954,5,8
1528918910,9,11
1528920748,8,4
1528922657,6,5
1528924588,7,9
1528926495,9,3
1528928432,10,4
1528931668,13,18
1528933470,10,6
1528935394,12,3
1528937426,1,4
1528939230,0,3
1528941140,0,2
1528943057,2,7
1528945938,8,8
1528947854,4,0
1528949808,2,7
1528951702,0,2
1528953609,1,3
1528955549,1,7
1528957450,1,4
1528959747,0,4
1528961770,1,3
1528963698,1,4
1528965629,4,3
1528967531,3,3
1528969466,7,3
1528971371,16,1
