DateTime,Entries,UniqueIPs
1527203788,52,52
1527205892,51,51
1527207875,52,52
1527210089,53,53
1527211959,51,51
1527213901,52,52
1527215817,51,51
1527217735,49,49
1527219639,52,52
1527221581,51,51
1527223480,50,50
1527225407,48,48
1527227295,47,47
1527229250,45,45
1527231149,46,46
1527236953,45,45
1527238865,44,44
1527240927,41,41
1527242908,38,38
1527246736,40,40
1527255139,39,39
1527257023,40,40
1527260927,41,41
1527262844,41,41
1527265078,41,41
1527266905,36,36
1527268930,35,35
1527270764,34,34
1527272804,32,32
1527274897,32,32
1527276736,30,30
1527278659,30,30
1527282494,29,29
1527284681,28,28
1527286592,29,29
1527289002,33,33
1527291352,35,35
1527293549,34,34
1527295602,33,33
1527298158,32,32
1527298158,32,32
1527300901,33,33
1527300901,33,33
1527303222,34,34
1527303222,34,34
1527311242,40,40
1527311242,40,40
1527314162,40,40
1527314162,40,40
1527316670,39,39
1527316670,39,39
1527318581,39,39
1527318581,39,39
1527320951,39,39
1527320951,39,39
1527322896,39,39
1527322896,39,39
1527325314,38,38
1527325314,38,38
1527327534,38,38
1527336891,40,40
1527336891,40,40
1527339159,41,41
1527339159,41,41
1527343542,41,41
1527343542,41,41
1527346508,41,41
1527346508,41,41
1527350716,41,41
1527352737,41,41
1527352737,41,41
1527355504,42,42
1527355504,42,42
1527358182,42,42
1527358182,42,42
1527361552,41,41
1527361552,41,41
1527369504,50,50
1527369504,50,50
1527372651,55,55
1527372651,55,55
1527375538,50,50
1527375538,50,50
1527378881,50,50
1527381324,51,51
1527381324,51,51
1527383942,51,51
1527383942,51,51
1527386914,48,48
1527389398,49,49
1527389398,49,49
1527391916,45,45
1527393922,45,45
1527393922,45,45
1527396088,44,44
1527396088,44,44
1527398010,45,45
1527398010,45,45
1527400179,45,45
1527411696,46,46
1527413567,47,47
1527417396,48,48
1527419330,48,48
1527421222,47,47
1527423163,47,47
1527425072,46,46
1527428906,45,45
1527430819,43,43
1527434667,42,42
1527436598,44,44
1527438503,46,46
1527440493,45,45
1527442362,46,46
1527444281,45,45
1527446221,46,46
1527448126,47,47
1527450024,45,45
1527451948,41,41
1527453891,41,41
1527457705,34,34
1527460592,32,32
1527462516,31,31
1527466348,30,30
1527468318,31,31
1527470182,32,32
1527474023,33,33
1527475991,30,30
1527477883,29,29
1527479848,28,28
1527483746,27,27
1527487419,26,26
1527498973,24,24
1527500898,26,26
1527504734,24,24
1527506656,23,23
1527510493,22,22
1527516265,23,23
1527518174,24,24
1527523890,22,22
1527525853,21,21
1527527795,22,22
1527529693,23,23
1527531618,24,24
1527533536,23,23
1527535454,23,23
1527537391,23,23
1527539293,22,22
1527541298,23,23
1527543150,25,25
1527545096,24,24
1527546992,25,25
1527548985,23,23
1527550815,24,24
1527552790,25,25
1527554657,23,23
1527556602,22,22
1527560459,22,22
1527562401,24,24
1527564312,25,25
1527568137,26,26
1527570092,29,29
1527571993,30,30
1527589231,31,31
1527596905,33,33
1527600741,34,34
1527602706,36,36
1527606539,38,38
1527608428,32,32
1527613150,31,31
1527615139,30,30
1527617060,29,29
1527618974,28,28
1527622813,27,27
1527624737,26,26
1527628573,24,24
1527630508,23,23
1527632428,21,21
1527634333,22,22
1527636254,22,22
1527638191,21,21
1527640091,22,22
1527645956,21,21
1527647790,20,20
1527649696,18,18
1527653539,17,17
1527657372,14,14
1527659291,14,14
1527668891,15,15
1527676581,14,14
1527682574,12,12
1527686414,11,11
1527688331,8,8
1527692189,6,6
1527700026,7,7
1527715455,8,8
1527721313,8,8
1527723173,8,8
1527726982,7,7
1527734681,8,8
1527738504,10,10
1527746192,10,10
1527753881,9,9
1527755791,8,8
1527786537,7,7
1527796136,8,8
1527798018,9,9
1527801875,8,8
1527803796,9,9
1527807873,8,8
1527809821,7,7
1527813630,8,8
1527817498,10,10
1527821329,10,10
1527823226,9,9
1527825168,8,8
1527827074,9,9
1527832903,8,8
1527834774,9,9
1527846312,11,11
1527852043,12,12
1527859704,13,13
1527861700,14,14
1527878912,18,18
1527880813,17,17
1527890543,16,16
1527895214,18,18
1527897160,19,19
1527899057,18,18
1527901299,21,21
1527903150,22,22
1527905068,24,24
1527906980,26,26
1527908924,25,25
1527916439,24,24
1527918678,24,24
1527921135,24,24
1527923319,24,24
1527923319,24,24
1527926026,24,24
1527926026,24,24
1527928516,24,24
1527928516,24,24
1527930859,24,24
1527930859,24,24
1527933074,22,22
1527933074,22,22
1527935216,22,22
1527935216,22,22
1527937872,22,22
1527937872,22,22
1527940233,21,21
1527940233,21,21
1527942644,21,21
1527942644,21,21
1527944968,21,21
1527944968,21,21
1527947209,19,19
1527949066,19,19
1527951392,19,19
1527951392,19,19
1527953719,20,20
1527953719,20,20
1527956407,20,20
1527956407,20,20
1527958696,20,20
1527958696,20,20
1527961196,21,21
1527961196,21,21
1527963559,21,21
1527965966,17,17
1527965966,17,17
1527968420,17,17
1527968420,17,17
1527970740,17,17
1527970740,17,17
1527972881,16,16
1527974857,16,16
1527974857,16,16
1527977287,16,16
1527977287,16,16
1527984238,13,13
1527984238,13,13
1527986641,13,13
1527986641,13,13
1527991401,8,8
1527991401,8,8
1527993822,6,6
1527993822,6,6
1527996222,6,6
1527996222,6,6
1527998613,6,6
1528001078,6,6
1528003379,6,6
1528005407,7,7
1528007360,6,6
1528011139,7,7
1528014991,8,8
1528032258,9,9
1528036101,8,8
1528039943,7,7
1528047700,6,6
1528063007,7,7
1528074535,6,6
1528078389,5,5
1528091770,5,5
1528097577,4,4
1528101442,4,4
1528103295,5,5
1528105262,6,6
1528112919,8,8
1528118674,7,7
1528126338,8,8
1528134045,9,9
1528137867,10,10
1528143631,11,11
1528153311,12,12
1528170536,13,13
1528176279,14,14
1528188018,13,13
1528197625,12,12
1528199543,13,13
1528201454,14,14
1528211074,15,15
1528221159,9,9
1528223058,8,8
1528226890,9,9
1528234815,10,10
1528236746,9,9
1528238656,8,8
1528246335,9,9
1528252092,11,11
1528261693,12,12
1528263617,13,13
1528273465,14,14
1528275389,15,15
1528279294,17,17
1528281155,18,18
1528284996,19,19
1528286920,20,20
1528290757,16,16
1528294579,17,17
1528298427,17,17
1528306273,19,19
1528308291,20,20
1528311709,20,20
1528313586,19,19
1528320496,20,20
1528324419,19,19
1528326780,19,19
1528331811,19,19
1528335436,19,19
1528337309,18,18
1528339234,17,17
1528348817,16,16
1528350763,16,16
1528352972,18,18
1528354902,19,19
1528358668,22,22
1528360574,20,20
1528362499,23,23
1528364422,21,21
1528366337,22,22
