DateTime,AddedIPs,RemovedIPs
1527965967,14,5
1527968421,8,1
1527970740,14,1
1527977288,19,3
1527984238,38,4
1527986642,6,1
1527991402,6,2
1527993823,15,4
1527996222,5,0
1528001079,10,2
1528005407,8,8
1528007361,4,3
1528009326,3,5
1528011140,6,4
1528013060,6,3
1528014992,2,8
1528016899,4,5
1528018842,3,5
1528020743,6,4
1528022656,3,9
1528024484,7,6
1528026491,5,7
1528028307,5,9
1528030342,6,13
1528032259,9,6
1528034178,9,6
1528036102,1,6
1528038100,4,6
1528039943,1,6
1528041871,6,4
1528043772,4,0
1528045699,5,3
1528047701,3,3
1528049544,2,8
1528051502,3,5
1528053393,2,3
1528055334,1,9
1528057220,4,11
1528059187,3,4
1528061063,2,5
1528063008,2,6
1528064915,2,16
1528066907,1,10
1528068748,1,6
1528070688,0,7
1528072571,0,3
1528074536,0,4
1528076418,2,4
1528078389,0,3
1528080257,0,13
1528082233,0,4
1528084109,0,2
1528086050,1,3
1528087942,0,8
1528089897,1,1
1528091771,4,5
1528093724,3,4
1528095702,6,4
1528097578,4,6
1528099463,7,5
1528101442,7,2
1528103296,4,4
1528105263,8,4
1528107148,3,5
1528109091,3,3
1528110980,8,7
1528112919,8,5
1528114832,7,4
1528116783,4,6
1528118675,10,9
1528120541,11,8
1528122502,8,2
1528124499,0,4
1528126338,7,1
1528128329,6,6
1528130186,4,5
1528132133,4,5
1528134045,4,4
1528135951,5,2
1528137867,6,2
1528139804,5,3
1528141709,16,1
1528143631,3,4
1528145564,2,2
1528147476,5,3
1528149385,8,2
1528151326,12,3
1528153311,10,2
1528155143,14,1
1528157064,2,0
1528158997,6,0
1528160906,3,0
1528162818,6,2
1528164748,4,0
1528166669,8,0
1528168584,9,0
1528170536,4,0
1528172431,5,1
1528174344,5,0
1528176280,1,1
1528178181,3,4
1528180404,4,5
1528182268,4,4
1528184179,2,4
1528186103,6,8
1528188018,5,6
1528189941,1,4
1528191866,6,8
1528193778,3,4
1528195696,3,3
1528197626,8,7
1528199543,7,10
1528201455,5,5
1528203380,13,5
1528205303,3,11
1528207301,9,9
1528209146,3,8
1528211075,3,1
1528213496,8,6
1528215400,4,6
1528217309,4,4
1528219215,4,4
1528221160,0,7
1528223059,5,4
1528225000,1,3
1528226891,3,12
1528229011,0,10
1528230973,3,3
1528232908,2,4
1528234816,4,8
1528236747,2,11
1528238657,1,8
1528240574,2,11
1528242500,2,11
1528244424,1,6
1528246335,5,2
1528248268,1,4
1528250183,2,4
1528252092,0,9
1528254107,3,6
1528256031,3,7
1528257864,5,6
1528259788,1,7
1528261694,2,0
1528263618,4,4
1528265561,3,1
1528267772,5,7
1528269622,9,2
1528271559,4,1
1528273466,11,7
1528275390,2,3
1528277306,11,4
1528279295,9,4
1528281155,14,3
1528283076,11,5
1528284996,5,11
1528286921,8,5
1528288822,3,10
1528290758,10,6
1528292681,5,5
1528294580,4,8
1528296503,4,2
1528298428,2,6
1528300338,4,8
1528302275,3,1
1528304178,9,5
1528306274,6,3
1528308292,6,2
1528311710,15,4
1528313587,3,3
1528320497,48,7
1528324420,10,4
1528326781,5,3
1528331813,16,6
1528335437,17,4
1528337310,7,1
1528339235,5,0
1528341174,1,4
1528343180,4,3
1528345003,0,4
1528346905,11,3
1528348818,4,3
1528350763,8,2
1528352972,0,4
1528354902,5,5
1528356746,5,10
1528358669,3,5
1528360575,3,8
1528362500,1,4
1528364423,1,11
1528366338,3,13
1528368260,12,15
1528370182,6,6
1528372095,12,3
1528374028,6,8
1528375962,5,6
1528377854,5,8
1528379776,4,4
1528381636,4,3
1528383696,5,4
1528385559,5,6
1528387465,0,1
1528389386,4,9
1528391318,1,3
1528393224,3,7
1528395155,4,7
1528397071,0,9
1528398979,1,5
1528400919,3,10
1528402822,1,13
1528404740,0,20
1528406681,1,7
1528408582,4,1
1528411110,1,9
1528413136,0,6
1528415082,2,2
1528416992,1,10
1528418896,1,8
1528420828,1,10
1528422756,1,5
1528424665,2,8
1528427531,5,4
1528429463,5,4
1528431375,6,0
1528433290,3,5
1528435207,7,4
1528437142,3,7
1528439193,10,1
1528441258,9,5
1528443142,4,3
1528445051,4,3
1528447000,10,2
1528448918,10,1
1528451068,13,1
1528452980,5,3
1528454902,3,11
1528456808,2,6
1528458737,1,13
1528460663,2,4
1528462570,1,5
1528464499,3,4
1528466501,5,7
1528469274,14,5
1528471212,5,5
1528473151,11,1
1528475053,6,4
1528476971,9,0
1528478889,5,1
1528480901,15,5
1528482743,11,1
1528484657,7,1
1528486877,17,3
1528488748,14,0
1528490660,11,0
1528492598,4,1
1528494503,4,0
1528496437,7,3
1528498504,3,1
1528500511,6,1
1528502530,6,4
1528504361,3,1
1528506270,5,0
1528508191,10,1
1528510193,7,1
1528512021,4,2
1528513944,9,4
1528515890,3,5
1528517788,2,7
1528519705,4,3
1528521639,4,9
1528523544,4,3
1528525474,2,10
1528527399,9,7
1528529299,4,8
1528531295,4,4
1528533168,8,10
1528535071,11,11
1528537006,5,12
1528538907,8,6
1528540828,5,4
1528542759,8,1
1528544687,3,2
1528546598,4,2
1528548509,5,1
1528550424,1,3
1528552379,5,5
1528554280,3,4
1528556197,6,14
1528558101,7,5
1528560102,3,11
1528561962,3,5
1528563877,1,8
1528565802,0,11
1528567708,3,11
1528569617,2,8
1528571538,3,10
1528573458,3,18
1528575376,2,12
1528577307,1,13
1528579217,1,2
1528581155,6,4
1528583078,0,9
1528586024,3,3
1528587876,3,8
1528589813,0,3
1528591707,0,4
1528593656,0,10
1528595561,0,5
1528597494,1,9
1528599392,0,4
1528601321,2,7
1528603305,1,3
1528605184,3,2
1528607075,2,6
1528609038,11,4
1528610934,4,4
1528612879,6,5
1528614761,2,8
1528616695,6,3
1528618580,3,9
1528620530,5,6
1528622456,6,8
1528624363,13,7
1528626267,15,3
1528628212,10,11
1528630097,6,3
1528632104,6,2
1528633954,3,8
1528635887,9,2
1528637785,7,1
1528639991,4,5
1528641869,9,7
1528643890,8,5
1528645720,8,4
1528647644,3,2
1528649558,10,4
1528651480,12,0
1528653392,7,3
1528655346,6,2
1528657302,7,3
1528659169,4,1
1528661070,13,4
1528663126,12,1
1528666377,10,3
1528668669,8,4
1528670574,7,0
1528672481,9,3
1528674409,8,3
1528676336,8,0
1528678229,6,0
1528680166,9,0
1528682082,8,0
1528683998,1,1
1528685880,3,0
1528687841,5,2
1528689693,7,1
1528691643,6,3
1528693459,6,2
1528695283,3,9
1528697325,4,6
1528699215,5,6
1528701140,1,2
1528703072,3,5
1528704972,3,3
1528707159,9,6
1528709060,5,7
1528710971,8,14
1528712909,6,15
1528714890,6,8
1528716744,13,7
1528718680,11,7
1528720574,1,1
1528722520,4,9
1528724412,1,8
1528726344,3,4
1528728264,3,8
1528730189,1,7
1528732201,5,8
1528734464,4,6
1528736587,3,11
1528738610,4,11
1528740611,5,4
1528742703,2,7
1528744594,3,6
1528746425,1,6
1528748413,1,12
1528750330,0,13
1528752259,3,6
1528754186,2,4
1528756097,0,9
1528758111,0,8
1528760050,3,9
1528761869,0,7
1528763772,0,2
1528765708,1,11
1528767621,2,9
1528769536,0,3
1528771466,1,3
1528773368,0,3
1528775292,1,9
1528777229,0,2
1528779137,4,10
1528781056,4,3
1528782988,1,2
1528784898,6,6
1528786904,3,1
1528788752,6,2
1528790658,3,4
1528792572,6,5
1528794516,7,9
1528796416,4,3
1528798339,13,9
1528800273,11,6
1528802173,15,9
1528804099,4,12
1528806056,9,7
1528807933,5,3
1528809853,5,2
1528811787,1,2
1528813696,6,4
1528815714,4,2
1528817560,5,3
1528819891,8,5
1528821871,8,2
1528823775,6,4
1528825707,5,6
1528827625,10,4
1528829531,2,3
1528831455,6,2
1528833386,10,4
1528835290,11,1
1528837107,7,2
1528838909,10,1
1528840945,5,1
1528842968,7,0
1528844895,17,1
1528846829,5,2
1528848731,6,0
1528850664,9,1
1528852568,4,0
1528854489,10,2
1528856423,4,0
1528858345,5,1
1528860251,6,0
1528862183,9,1
1528864090,6,0
1528866104,2,6
1528867952,4,3
1528869868,2,1
1528871774,4,5
1528873722,3,6
1528875618,8,3
1528877539,10,6
1528879469,4,4
1528881383,3,6
1528883295,5,10
1528885230,1,9
1528887142,5,10
1528889055,14,14
1528890988,1,5
1528892897,2,9
1528894900,6,5
1528896755,4,5
1528898663,7,1
1528900573,3,7
1528902503,4,3
1528904418,4,6
1528906352,4,7
1528908262,5,7
1528910180,1,6
1528912111,3,5
1528914012,0,8
1528915954,1,3
1528918910,2,12
1528920749,11,10
1528922658,1,7
1528924589,1,8
1528926496,1,10
1528928433,0,7
1528931669,1,18
1528933471,0,6
1528935394,1,5
1528937427,1,11
1528939231,0,5
1528941140,1,9
1528943058,0,4
1528946182,1,10
1528948088,0,3
1528950008,0,10
1528951943,0,4
1528953851,0,4
1528955768,0,2
1528957706,2,2
1528959748,0,4
1528961771,0,7
1528963699,0,11
1528965631,1,5
1528967531,0,2
1528969467,0,4
1528971372,0,1
