DateTime,Entries,UniqueIPs
1527986642,244,244
1527986642,244,244
1527991402,248,248
1527991402,248,248
1527993823,259,259
1527993823,259,259
1527996222,264,264
1527996222,264,264
1528001079,272,272
1528001079,272,272
1528005407,272,272
1528007361,273,273
1528009326,271,271
1528011140,273,273
1528013060,276,276
1528014992,270,270
1528016899,269,269
1528018842,267,267
1528020743,269,269
1528022656,263,263
1528024484,264,264
1528026491,262,262
1528028307,258,258
1528030342,251,251
1528032259,254,254
1528034178,257,257
1528036102,252,252
1528038100,250,250
1528039943,245,245
1528041871,247,247
1528043772,251,251
1528045699,253,253
1528047701,253,253
1528049544,247,247
1528051502,245,245
1528053393,244,244
1528055334,236,236
1528057220,229,229
1528059187,228,228
1528061063,225,225
1528063008,221,221
1528064915,207,207
1528066907,198,198
1528068748,193,193
1528070688,186,186
1528072571,183,183
1528074536,179,179
1528076418,177,177
1528078389,174,174
1528080257,161,161
1528082233,157,157
1528084109,155,155
1528086050,153,153
1528087942,145,145
1528089897,145,145
1528091771,144,144
1528093724,143,143
1528095702,145,145
1528097578,143,143
1528099463,145,145
1528101442,150,150
1528103296,150,150
1528105263,154,154
1528107148,152,152
1528109091,152,152
1528110980,153,153
1528112919,156,156
1528114832,159,159
1528116783,157,157
1528118675,158,158
1528120541,161,161
1528122502,167,167
1528124499,163,163
1528126338,169,169
1528128329,169,169
1528130186,168,168
1528132133,167,167
1528134045,167,167
1528135951,170,170
1528137867,174,174
1528139804,176,176
1528141709,191,191
1528143631,190,190
1528145564,190,190
1528147476,192,192
1528149385,198,198
1528151326,207,207
1528153311,215,215
1528155143,228,228
1528157064,230,230
1528158997,236,236
1528160906,239,239
1528162818,243,243
1528164748,247,247
1528166669,255,255
1528168584,264,264
1528170536,268,268
1528172431,272,272
1528174344,277,277
1528176280,277,277
1528178181,276,276
1528180404,275,275
1528182268,275,275
1528184179,273,273
1528186103,271,271
1528188018,270,270
1528189941,267,267
1528191866,265,265
1528193778,264,264
1528195696,264,264
1528197626,265,265
1528199543,262,262
1528201455,262,262
1528203380,270,270
1528205303,262,262
1528207301,262,262
1528209146,257,257
1528211075,259,259
1528213496,261,261
1528215400,259,259
1528217309,259,259
1528219215,259,259
1528221160,252,252
1528223059,253,253
1528225000,251,251
1528226891,242,242
1528229011,232,232
1528230973,232,232
1528232908,230,230
1528234816,226,226
1528236747,217,217
1528238657,210,210
1528240574,201,201
1528242500,192,192
1528244424,187,187
1528246335,190,190
1528248268,187,187
1528250183,185,185
1528252092,176,176
1528254107,173,173
1528256031,169,169
1528257864,168,168
1528259788,162,162
1528261694,164,164
1528263618,164,164
1528265561,166,166
1528267772,164,164
1528269622,171,171
1528271559,174,174
1528273466,178,178
1528275390,177,177
1528277306,184,184
1528279295,189,189
1528281155,200,200
1528283076,206,206
1528284996,200,200
1528286921,203,203
1528288822,196,196
1528290758,200,200
1528292681,200,200
1528294580,196,196
1528296503,198,198
1528298428,194,194
1528300338,190,190
1528302275,192,192
1528304178,196,196
1528306274,199,199
1528308292,203,203
1528311710,214,214
1528313587,214,214
1528320497,255,255
1528324420,261,261
1528326781,263,263
1528331813,273,273
1528335437,286,286
1528337310,292,292
1528339235,297,297
1528341174,294,294
1528343180,295,295
1528345003,291,291
1528346905,299,299
1528348818,300,300
1528350763,306,306
1528352972,302,302
1528354902,302,302
1528356746,297,297
1528358669,295,295
1528360575,290,290
1528362500,287,287
1528364423,277,277
1528366338,267,267
1528368260,264,264
1528370182,264,264
1528372095,273,273
1528374028,271,271
1528375962,270,270
1528377854,267,267
1528379776,267,267
1528381636,268,268
1528383696,269,269
1528385559,268,268
1528387465,267,267
1528389386,262,262
1528391318,260,260
1528393224,256,256
1528395155,253,253
1528397071,244,244
1528398979,240,240
1528400919,233,233
1528402822,221,221
1528404740,201,201
1528406681,195,195
1528408582,198,198
1528411110,190,190
1528413136,184,184
1528415082,184,184
1528416992,175,175
1528418896,168,168
1528420828,159,159
1528422756,155,155
1528424665,149,149
1528427531,150,150
1528429463,151,151
1528431375,157,157
1528433290,155,155
1528435207,158,158
1528437142,154,154
1528439193,163,163
1528441258,167,167
1528443142,168,168
1528445051,169,169
1528447000,177,177
1528448918,186,186
1528451068,198,198
1528452980,200,200
1528454902,192,192
1528456808,188,188
1528458737,176,176
1528460663,174,174
1528462570,170,170
1528464499,169,169
1528466501,167,167
1528469274,176,176
1528471212,176,176
1528473151,186,186
1528475053,188,188
1528476971,197,197
1528478889,201,201
1528480901,211,211
1528482743,221,221
1528484657,227,227
1528486877,241,241
1528488748,255,255
1528490660,266,266
1528492598,269,269
1528494503,273,273
1528496437,277,277
1528498504,279,279
1528500511,284,284
1528502530,286,286
1528504361,288,288
1528506270,293,293
1528508191,302,302
1528510193,308,308
1528512021,310,310
1528513944,315,315
1528515890,313,313
1528517788,308,308
1528519705,309,309
1528521639,304,304
1528523544,305,305
1528525474,297,297
1528527399,299,299
1528529299,295,295
1528531295,295,295
1528533168,293,293
1528535071,293,293
1528537006,286,286
1528538907,288,288
1528540828,289,289
1528542759,296,296
1528544687,297,297
1528546598,299,299
1528548509,303,303
1528550424,301,301
1528552379,301,301
1528554280,300,300
1528556197,292,292
1528558101,294,294
1528560102,286,286
1528561962,284,284
1528563877,277,277
1528565802,266,266
1528567708,258,258
1528569617,252,252
1528571538,245,245
1528573458,230,230
1528575376,220,220
1528577307,208,208
1528579217,207,207
1528581155,209,209
1528583078,200,200
1528586024,200,200
1528587876,195,195
1528589813,192,192
1528591707,188,188
1528593656,178,178
1528595561,173,173
1528597494,165,165
1528599392,161,161
1528601321,156,156
1528603305,154,154
1528605184,155,155
1528607075,151,151
1528609038,158,158
1528610934,158,158
1528612879,159,159
1528614761,153,153
1528616695,156,156
1528618580,150,150
1528620530,149,149
1528622456,147,147
1528624363,153,153
1528626267,165,165
1528628212,164,164
1528630097,167,167
1528632104,171,171
1528633954,166,166
1528635887,173,173
1528637785,179,179
1528639991,178,178
1528641869,180,180
1528643890,183,183
1528645720,187,187
1528647644,188,188
1528649558,194,194
1528651480,206,206
1528653392,210,210
1528655346,214,214
1528657302,218,218
1528659169,221,221
1528661070,230,230
1528663126,241,241
1528666377,248,248
1528668669,252,252
1528670574,259,259
1528672481,265,265
1528674409,270,270
1528676336,278,278
1528678229,284,284
1528680166,293,293
1528682082,301,301
1528683998,301,301
1528685880,304,304
1528687841,307,307
1528689693,313,313
1528691643,316,316
1528693459,320,320
1528695283,314,314
1528697325,312,312
1528699215,311,311
1528701140,310,310
1528703072,308,308
1528704972,308,308
1528707159,311,311
1528709060,309,309
1528710971,303,303
1528712909,294,294
1528714890,292,292
1528716744,298,298
1528718680,302,302
1528720574,302,302
1528722520,297,297
1528724412,290,290
1528726344,289,289
1528728264,284,284
1528730189,278,278
1528732201,275,275
1528734464,273,273
1528736587,265,265
1528738610,258,258
1528740611,259,259
1528742703,254,254
1528744594,251,251
1528746425,246,246
1528748413,235,235
1528750330,222,222
1528752259,219,219
1528754186,217,217
1528756097,208,208
1528758111,200,200
1528760050,194,194
1528761869,187,187
1528763772,185,185
1528765708,175,175
1528767621,168,168
1528769536,165,165
1528771466,163,163
1528773368,160,160
1528775292,152,152
1528777229,150,150
1528779137,144,144
1528781056,145,145
1528782988,144,144
1528784898,144,144
1528786904,146,146
1528788752,150,150
1528790658,149,149
1528792572,150,150
1528794516,148,148
1528796416,149,149
1528798339,153,153
1528800273,158,158
1528802173,164,164
1528804099,156,156
1528806056,158,158
1528807933,160,160
1528809853,163,163
1528811787,162,162
1528813696,164,164
1528815714,166,166
1528817560,168,168
1528819891,171,171
1528821871,177,177
1528823775,179,179
1528825707,178,178
1528827625,184,184
1528829531,183,183
1528831455,187,187
1528833386,193,193
1528835290,203,203
1528837107,208,208
1528838909,217,217
1528840945,221,221
1528842968,228,228
1528844895,244,244
1528846829,247,247
1528848731,253,253
1528850664,261,261
1528852568,265,265
1528854489,273,273
1528856423,277,277
1528858345,281,281
1528860251,287,287
1528862183,295,295
1528864090,301,301
1528866104,297,297
1528867952,298,298
1528869868,299,299
1528871774,298,298
1528873722,295,295
1528875618,300,300
1528877539,304,304
1528879469,304,304
1528881383,301,301
1528883295,296,296
1528885230,288,288
1528887142,283,283
1528889055,283,283
1528890988,279,279
1528892897,272,272
1528894900,273,273
1528896755,272,272
1528898663,278,278
1528900573,274,274
1528902503,275,275
1528904418,273,273
1528906352,270,270
1528908262,268,268
1528910180,263,263
1528912111,261,261
1528914012,253,253
1528915954,251,251
1528918910,241,241
1528920749,242,242
1528922658,236,236
1528924589,229,229
1528926496,220,220
1528928433,213,213
1528931669,196,196
1528933471,190,190
1528935394,186,186
1528937427,176,176
1528939231,171,171
1528941140,163,163
1528943058,159,159
1528946182,150,150
1528948088,147,147
1528950008,137,137
1528951943,133,133
1528953851,129,129
1528955768,127,127
1528957706,127,127
1528959748,123,123
1528961771,116,116
1528963699,105,105
1528965631,101,101
1528967531,99,99
1528969467,95,95
1528971372,94,94
