DateTime,Entries,UniqueIPs
1527811713,171,171
1527813630,164,164
1527815561,165,165
1527817499,170,170
1527819392,171,171
1527821329,172,172
1527823227,175,175
1527825169,180,180
1527827074,182,182
1527829015,184,184
1527830911,184,184
1527832903,183,183
1527834774,181,181
1527836672,180,180
1527838605,180,180
1527840525,181,181
1527842454,178,178
1527844365,178,178
1527846312,181,181
1527848192,181,181
1527850114,184,184
1527852043,183,183
1527853952,181,181
1527855871,170,170
1527857837,178,178
1527859705,181,181
1527861701,178,178
1527863568,179,179
1527865471,180,180
1527867407,177,177
1527869347,180,180
1527871231,180,180
1527873086,181,181
1527875064,185,185
1527876975,190,190
1527878912,190,190
1527880814,190,190
1527882735,190,190
1527884675,191,191
1527886577,191,191
1527888494,188,188
1527890543,189,189
1527895214,184,184
1527897160,188,188
1527899057,187,187
1527901299,185,185
1527903151,181,181
1527905068,180,180
1527906981,176,176
1527908924,172,172
1527910825,173,173
1527916439,172,172
1527918678,173,173
1527923319,166,166
1527928517,170,170
1527928517,170,170
1527930860,172,172
1527933074,169,169
1527933074,169,169
1527935216,170,170
1527935216,170,170
1527937872,170,170
1527937872,170,170
1527940234,173,173
1527942644,176,176
1527942644,176,176
1527944969,187,187
1527944969,187,187
1527947209,187,187
1527949067,184,184
1527951392,185,185
1527951392,185,185
1527953719,192,192
1527953719,192,192
1527956407,192,192
1527956407,192,192
1527961196,187,187
1527961196,187,187
1527965966,181,181
1527965966,181,181
1527968421,183,183
1527968421,183,183
1527970740,182,182
1527970740,182,182
1527972881,183,183
1527974857,181,181
1527977288,180,180
1527984238,176,176
1527984238,176,176
1527986642,177,177
1527986642,177,177
1527991401,174,174
1527991401,174,174
1527993822,174,174
1527993822,174,174
1527996222,178,178
1527996222,178,178
1528005407,172,172
1528007360,171,171
1528009325,172,172
1528011140,171,171
1528013060,166,166
1528014992,162,162
1528016898,159,159
1528018841,161,161
1528020743,158,158
1528022656,157,157
1528024483,152,152
1528026490,148,148
1528028307,145,145
1528030342,132,132
1528032259,130,130
1528034178,132,132
1528036101,133,133
1528038099,130,130
1528039943,122,122
1528041871,118,118
1528043771,113,113
1528045699,110,110
1528047701,108,108
1528049544,106,106
1528051501,104,104
1528053393,101,101
1528055334,100,100
1528057220,97,97
1528059186,92,92
1528061063,92,92
1528063008,90,90
1528064915,90,90
1528066906,86,86
1528068748,85,85
1528070688,82,82
1528072571,80,80
1528074535,79,79
1528076418,80,80
1528078389,82,82
1528080257,81,81
1528082233,77,77
1528084109,76,76
1528086049,75,75
1528089897,72,72
1528091770,71,71
1528093723,70,70
1528095701,70,70
1528097577,69,69
1528099463,71,71
1528101442,72,72
1528103296,71,71
1528105262,70,70
1528107148,69,69
1528109091,71,71
1528110980,70,70
1528112919,70,70
1528114832,70,70
1528116782,72,72
1528118674,71,71
1528120540,66,66
1528122502,63,63
1528124499,64,64
1528126338,66,66
1528128329,69,69
1528130186,72,72
1528132133,74,74
1528135951,74,74
1528137867,74,74
1528139804,74,74
1528141708,72,72
1528143631,72,72
1528147476,71,71
1528149385,72,72
1528151326,70,70
1528153311,72,72
1528155143,75,75
1528157063,75,75
1528158997,76,76
1528160906,78,78
1528162818,79,79
1528164748,78,78
1528166668,79,79
1528168584,80,80
1528174344,81,81
1528176279,84,84
1528178181,83,83
1528180404,82,82
1528182267,83,83
1528184178,82,82
1528186103,80,80
1528188018,80,80
1528189941,80,80
1528191866,78,78
1528193778,80,80
1528195696,79,79
1528197626,80,80
1528199543,81,81
1528201455,81,81
1528203379,81,81
1528205302,83,83
1528207301,86,86
1528209146,85,85
1528211074,89,89
1528213496,86,86
1528215400,85,85
1528217309,85,85
1528219214,85,85
1528221159,84,84
1528223059,83,83
1528225000,81,81
1528226891,80,80
1528229011,78,78
1528232908,77,77
1528234815,76,76
1528240574,72,72
1528242499,69,69
1528246335,67,67
1528248268,70,70
1528250183,69,69
1528252092,67,67
1528254107,67,67
1528256031,71,71
1528257864,72,72
1528259787,75,75
1528261693,75,75
1528263617,74,74
1528265560,77,77
1528267772,77,77
1528269621,77,77
1528271558,80,80
1528273466,81,81
1528275389,82,82
1528277306,81,81
1528279294,80,80
1528283076,78,78
1528284996,77,77
1528286920,77,77
1528288822,77,77
1528290758,74,74
1528292681,71,71
1528294580,70,70
1528296502,71,71
1528298427,67,67
1528302274,62,62
1528304177,64,64
1528306274,63,63
1528308292,64,64
1528311709,67,67
1528313587,69,69
1528320496,69,69
1528324419,70,70
1528326780,69,69
1528331812,70,70
1528335436,66,66
1528337310,64,64
1528339234,63,63
1528341173,56,56
1528343179,53,53
1528345003,61,61
1528346905,57,57
1528348818,58,58
1528350763,59,59
1528352972,57,57
1528354902,56,56
1528356745,55,55
1528358668,52,52
1528360574,51,51
1528362500,50,50
1528366337,49,49
1528368259,48,48
1528372094,47,47
1528374027,46,46
1528375961,45,45
1528379776,45,45
1528381636,46,46
1528383695,45,45
1528389386,46,46
1528391318,44,44
1528393223,45,45
1528395155,48,48
1528397071,46,46
1528398978,46,46
1528402822,47,47
1528404740,48,48
1528406681,53,53
1528408582,55,55
1528411110,57,57
1528413136,58,58
1528415082,57,57
1528416991,58,58
1528418895,59,59
1528422756,57,57
1528426908,58,58
1528434511,56,56
1528438368,54,54
1528442284,52,52
1528446024,51,51
1528447934,52,52
1528449869,54,54
1528455690,55,55
1528461399,56,56
1528463310,55,55
1528465157,55,55
1528467058,55,55
1528469274,54,54
1528475052,55,55
1528476970,53,53
1528478889,53,53
1528480900,53,53
1528482742,51,51
1528484657,49,49
1528486877,48,48
1528488748,47,47
1528490659,46,46
1528492598,44,44
1528494503,42,42
1528496436,42,42
1528498503,39,39
1528504360,37,37
1528508190,39,39
1528512020,38,38
1528517787,39,39
1528519704,40,40
1528529298,41,41
1528531295,42,42
1528533167,41,41
1528537006,40,40
1528538907,42,42
1528542759,41,41
1528544686,42,42
1528546597,43,43
1528548508,42,42
1528550424,44,44
1528552378,45,45
1528554280,44,44
1528556197,45,45
1528558101,46,46
1528560102,45,45
1528561961,46,46
1528563877,45,45
1528565802,45,45
1528567707,43,43
1528573457,44,44
1528575376,45,45
1528577307,47,47
1528579217,46,46
1528581155,48,48
1528583077,46,46
1528587875,47,47
1528591707,46,46
1528593655,45,45
1528595561,44,44
1528601320,45,45
1528605181,44,44
1528607074,44,44
1528610934,45,45
1528616695,43,43
1528622455,44,44
1528624363,43,43
1528626266,43,43
1528628211,44,44
1528630096,45,45
1528632104,44,44
1528633954,44,44
1528635886,43,43
1528637785,43,43
1528639990,42,42
1528643889,42,42
1528645720,44,44
1528647644,48,48
1528649558,48,48
1528651480,49,49
1528653392,50,50
1528655346,51,51
1528657302,53,53
1528659169,53,53
1528661069,53,53
1528663125,51,51
1528666376,52,52
1528668668,50,50
1528674409,50,50
1528680166,52,52
1528682081,53,53
1528685879,57,57
1528687840,56,56
1528693459,59,59
1528695283,60,60
1528697325,59,59
1528709060,58,58
1528710970,57,57
1528712908,56,56
1528714889,56,56
1528716743,57,57
1528718680,58,58
1528720573,59,59
1528722519,58,58
1528724412,60,60
1528726344,61,61
1528730188,59,59
1528732201,56,56
1528734463,52,52
1528738609,50,50
1528740611,50,50
1528742702,48,48
1528744593,47,47
1528746425,46,46
1528748413,45,45
1528750330,48,48
1528752258,51,51
1528754186,55,55
1528756096,56,56
1528758110,59,59
1528760050,62,62
1528761868,64,64
1528763771,65,65
1528765707,67,67
1528767621,66,66
1528769536,68,68
1528771466,67,67
1528773368,71,71
1528775291,72,72
1528777228,82,82
1528779136,81,81
1528781055,80,80
1528782988,83,83
1528784898,88,88
1528786903,91,91
1528788751,96,96
1528790658,102,102
1528792572,103,103
1528794515,104,104
1528798339,100,100
1528800273,101,101
1528802173,98,98
1528804098,95,95
1528806055,94,94
1528807933,115,115
1528809853,113,113
1528811787,112,112
1528825707,113,113
1528827625,113,113
1528831455,114,114
1528833386,113,113
1528835289,114,114
1528837107,111,111
1528838909,108,108
1528840945,108,108
1528842968,112,112
1528844895,109,109
1528846828,134,134
1528848731,135,135
1528850664,138,138
1528852567,140,140
1528854489,143,143
1528856422,143,143
1528858345,144,144
1528860251,142,142
1528862182,138,138
1528864090,131,131
1528866104,129,129
1528867952,131,131
1528869867,129,129
1528873721,129,129
1528875618,134,134
1528877539,135,135
1528881383,135,135
1528885229,136,136
1528887142,138,138
1528889055,139,139
1528890988,140,140
1528892897,141,141
1528894899,120,120
1528896755,119,119
1528898663,122,122
1528900573,124,124
1528902503,128,128
1528904418,133,133
1528906352,135,135
1528912110,138,138
1528914012,137,137
1528915954,143,143
1528918910,147,147
1528920749,165,165
1528922657,165,165
1528924588,164,164
1528928432,160,160
1528931669,88,88
1528937426,85,85
1528939230,81,81
1528941140,81,81
1528943058,80,80
1528946182,78,78
1528948087,77,77
1528953851,77,77
1528955767,76,76
1528957706,80,80
1528959748,81,81
1528961771,72,72
1528963698,68,68
1528965630,68,68
1528967531,67,67
1528969466,68,68
1528971372,67,67
