DateTime,AddedIPs,RemovedIPs
1520114676,1,0
1520122614,1,0
1520139929,0,1
1520170875,0,1
1520194353,0,1
1520200359,0,1
1520202284,1,0
1520210474,0,1
1520218151,1,0
1520241451,1,0
1520243325,2,0
1520282467,1,0
1520288721,0,1
1520304324,0,1
1520306211,1,0
1520327807,0,1
1520329712,0,2
1520354930,1,0
1520370156,0,1
1520377779,1,0
1520391154,0,1
1520394985,1,0
1520398894,1,0
1520400807,1,0
1520441776,0,1
1520457858,1,0
1520461954,1,0
1520463865,0,1
1520479747,1,0
1520481782,0,1
1520485579,0,2
1520499467,1,0
1520511882,1,0
1520528187,1,0
1520543538,0,1
1520547403,1,1
1520565647,1,1
1520579139,1,0
1520587071,0,1
1520598596,0,1
1520606681,1,0
1520608583,2,0
1520614347,0,1
1520623955,1,0
1520633675,0,1
1520645144,1,0
1520651307,0,1
1520661158,1,0
1520664994,0,1
1520680367,1,0
1520693804,0,2
1520695709,0,1
1520709389,0,1
1520718889,1,0
1520730994,0,1
1520746587,0,1
1520758358,1,0
1520768193,1,1
1520805674,0,1
1520825087,1,0
1520844523,0,1
1520854101,0,1
1520878743,1,0
1520889876,1,0
1520902103,1,0
1520911939,0,1
1520944830,1,0
1520966034,0,1
1520976275,0,1
1520980097,1,0
1520987781,0,1
1521003157,1,0
1521030266,0,1
1521056986,1,0
1521066740,1,1
1521072985,1,0
1521090242,0,1
1521103480,1,0
1521116514,1,0
1521120964,1,0
1521127232,1,0
1521129176,1,0
1521142823,0,1
1521152433,0,1
1521158558,0,1
1521176531,2,0
1521189874,0,1
1521203324,0,1
1521205280,1,1
1521212899,0,1
1521215073,0,1
1521216991,1,0
1521224677,1,0
1521228512,1,0
1521234282,1,0
1521255373,1,0
1521263294,0,2
1521291991,0,1
1521303521,0,1
1521311190,0,1
1521315041,0,1
1521318888,1,0
1521320924,0,1
1521342273,0,1
1521348288,1,0
1521390993,1,0
1521402743,1,0
1521404661,0,1
1521427482,1,0
1521433482,0,1
1521477885,0,1
1521485786,1,0
1521487750,0,1
1521506416,1,0
1521514492,0,1
1521530147,1,0
1521570990,1,1
1521573280,1,0
1521591511,0,1
1521616599,0,1
1521628342,1,0
1521632174,1,0
1521643465,1,0
1521657039,1,1
1521658989,0,1
1521682431,1,0
1521701569,1,0
1521715966,0,1
1521719792,0,1
1521729405,0,1
1521744978,0,1
1521758925,1,0
1521768515,0,1
1521787712,0,1
1521845711,1,1
1521877480,1,0
1521890906,1,0
1521933398,0,1
1521937229,2,0
1521956915,1,0
1521971554,0,1
1521976351,1,1
