DateTime,AddedIPs,RemovedIPs
1527974860,1,1
1527977290,2,2
1527984240,121,9
1527986644,0,111
1527991403,129,4
1527993824,4,5
1527996224,3,5
1527998615,0,121
1528001081,6,6
1528003382,125,1
1528005409,7,5
1528007362,5,4
1528009327,1,4
1528011141,7,0
1528013061,1,3
1528014993,7,5
1528016900,5,5
1528018842,6,6
1528020744,4,5
1528022657,7,2
1528024484,3,4
1528026491,6,2
1528028307,3,4
1528030343,6,3
1528032260,4,7
1528034179,2,4
1528036102,2,4
1528038100,2,2
1528039944,4,244
1528041872,3,4
1528043772,4,1
1528045700,3,3
1528047702,3,1
1528049545,6,2
1528051503,3,0
1528053394,4,5
1528055335,0,4
1528057222,5,0
1528059188,2,2
1528061064,1,0
1528063009,2,1
1528064917,2,3
1528066908,0,5
1528068749,3,0
1528070689,4,2
1528072572,6,4
1528074536,7,11
1528076419,1,5
1528078390,4,2
1528080258,7,5
1528082234,5,3
1528084110,3,5
1528086051,4,4
1528087943,3,1
1528089898,5,2
1528091772,3,8
1528093724,6,5
1528095703,1,1
1528097579,7,7
1528099464,5,1
1528101443,7,4
1528103298,4,6
1528105264,6,6
1528107149,2,4
1528109092,8,7
1528110981,5,5
1528112920,4,5
1528114833,2,5
1528116783,1,3
1528118676,2,4
1528120542,0,2
1528122503,1,3
1528124500,27,5
1528126340,2,3
1528128330,5,3
1528130187,11,2
1528132134,0,2
1528134046,5,3
1528135953,2,6
1528137868,5,5
1528139805,2,3
1528141710,2,0
1528143632,2,5
1528145565,1,3
1528147477,2,2
1528149386,5,3
1528151328,1,2
1528153313,2,0
1528155145,4,3
1528157065,1,2
1528158998,1,9
1528160907,3,5
1528162820,3,2
1528164749,8,3
1528166670,8,6
1528168585,6,4
1528170537,6,4
1528172432,3,2
1528174345,2,3
1528176281,3,4
1528178182,5,4
1528180405,7,6
1528182268,3,1
1528184179,9,8
1528186103,7,6
1528188019,36,7
1528189942,4,3
1528191867,9,7
1528193779,5,4
1528195697,6,7
1528197627,9,5
1528199544,2,3
1528201456,3,2
1528203381,4,0
1528205304,6,1
1528207302,1,0
1528209147,5,1
1528211076,3,14
1528213498,1,6
1528215402,2,2
1528217311,2,11
1528219216,1,2
1528221161,3,2
1528223060,2,6
1528225002,3,3
1528226892,3,2
1528229013,5,1
1528230974,2,3
1528232909,1,1
1528234817,2,4
1528236747,3,3
1528238658,2,0
1528240575,3,3
1528242500,1,2
1528244425,3,2
1528246336,6,0
1528248269,2,4
1528250184,7,3
1528252093,7,7
1528254108,6,6
1528256032,4,4
1528257865,5,5
1528259789,3,2
1528261694,5,5
1528263618,3,3
1528265562,5,5
1528267774,1,7
1528269623,3,6
1528271560,4,16
1528273467,8,25
1528275391,7,4
1528277307,7,5
1528279296,3,10
1528281156,6,6
1528283078,3,6
1528284998,3,7
1528286922,4,3
1528288824,2,2
1528290760,0,6
1528292683,1,5
1528294581,5,6
1528296504,3,4
1528298429,2,3
1528300339,0,1
1528302276,5,2
1528304178,1,1
1528306275,2,2
1528308293,3,2
1528311712,6,24
1528313589,2,4
1528320499,55,10
1528324422,4,5
1528326783,6,3
1528331817,6,7
1528335439,10,8
1528337313,4,5
1528339237,1,10
1528341175,10,5
1528343183,6,4
1528345005,11,3
1528346906,5,3
1528348819,4,3
1528350764,1,4
1528352973,2,4
1528354903,5,2
1528356746,5,5
1528358670,3,10
1528360576,5,5
1528362501,3,5
1528364424,4,4
1528366339,5,3
1528368260,7,4
1528370183,2,4
1528372096,4,3
1528374028,4,2
1528375962,5,3
1528377855,2,0
1528379777,4,3
1528381637,1,5
1528383696,8,1
1528385559,19,1
1528387466,0,5
1528389387,3,2
1528391320,1,2
1528393225,3,3
1528395156,5,3
1528397073,3,2
1528398980,5,0
1528400921,3,2
1528402823,7,1
1528404741,3,22
1528406682,1,3
1528408583,5,5
1528411111,5,1
1528413137,2,5
1528415083,4,4
1528416993,6,1
1528418897,0,4
1528420829,2,6
1528422757,3,4
1528424666,4,4
1528426632,4,7
1528428505,3,7
1528430463,3,10
1528432342,3,9
1528434259,0,4
1528436071,1,3
1528438095,3,2
1528440020,5,1
1528441957,8,4
1528443857,4,6
1528445773,4,5
1528447707,6,2
1528449617,4,2
1528451452,4,4
1528453460,3,6
1528455367,3,6
1528457296,15,3
1528460187,6,7
1528462101,1,4
1528464019,6,5
1528465935,2,3
1528467855,2,1
1528470091,3,11
1528471936,0,45
1528473885,3,0
1528475773,23,3
1528477721,22,1
1528479898,11,6
1528481767,3,4
1528483702,2,4
1528485613,3,7
1528487687,1,5
1528489727,3,5
1528491798,1,3
1528493770,3,2
1528495708,0,2
1528497523,1,5
1528499562,4,2
1528501488,2,5
1528503377,2,5
1528505299,3,0
1528507232,3,1
1528509155,4,3
1528511064,7,4
1528512992,2,4
1528514905,6,1
1528516911,4,3
1528518757,2,5
1528520676,3,0
1528522581,3,1
1528524523,6,3
1528526418,4,5
1528528346,4,8
1528530291,3,3
1528532181,3,4
1528534099,3,7
1528536024,9,4
1528537967,1,3
1528539920,4,2
1528541798,2,4
1528543746,11,11
1528545707,6,4
1528547589,2,2
1528549489,2,4
1528551407,5,7
1528553305,0,4
1528555252,3,1
1528557149,2,1
1528559126,4,1
1528560981,4,2
1528562935,10,18
1528564830,3,27
1528566688,2,4
1528568664,251,0
1528570581,3,3
1528572500,1,1
1528574475,4,3
1528576344,1,2
1528578258,2,1
1528580188,2,3
1528582092,3,0
1528584095,1,0
1528586025,18,4
1528587877,11,4
1528589814,6,2
1528591709,1,3
1528593657,2,2
1528595562,2,3
1528597495,3,7
1528599393,0,2
1528601322,5,5
1528603306,6,3
1528605186,3,2
1528607076,1,1
1528609039,10,4
1528610936,4,5
1528612880,3,3
1528614762,3,4
1528616697,2,5
1528618582,4,3
1528620531,5,3
1528622457,3,9
1528624364,5,1
1528626268,3,4
1528628213,2,4
1528630098,1,2
1528632106,6,1
1528633955,4,2
1528635888,1,2
1528637787,2,7
1528639992,3,0
1528641871,1,4
1528643891,3,3
1528645721,5,5
1528647645,1,6
1528649559,2,14
1528651481,16,6
1528653393,18,2
1528655347,7,246
1528657303,2,2
1528659171,1,1
1528661071,6,5
1528663127,4,3
1528666378,2,5
1528668671,5,4
1528670576,0,1
1528672483,2,9
1528674411,2,6
1528676338,0,6
1528678231,4,0
1528680168,5,2
1528682083,2,2
1528684000,3,4
1528685882,4,1
1528687843,0,3
1528689695,3,6
1528691645,102,5
1528693461,2,1
1528695285,0,8
1528697329,4,5
1528699217,1,4
1528701142,2,3
1528703074,3,2
1528704973,4,4
1528707160,2,7
1528709061,1,1
1528710972,1,5
1528712910,6,3
1528714891,2,3
1528716745,4,3
1528718682,1,5
1528720575,22,3
1528722521,2,4
1528724413,2,1
1528726345,0,2
1528728265,2,1
1528730190,3,3
1528732203,0,6
1528734465,3,1
1528736588,4,2
1528738611,2,9
1528740612,2,16
1528742705,1,2
1528744595,4,1
1528746426,3,3
1528748415,0,2
1528750332,3,0
1528752261,1,1
1528754188,2,3
1528756098,0,3
1528760052,1,5
1528761870,1,0
1528763774,1,1
1528765709,2,5
1528767623,2,4
1528769538,5,1
1528771468,2,4
1528773370,6,3
1528775293,3,1
1528777231,3,5
1528779138,2,3
1528781057,3,1
1528782990,2,3
1528784899,5,2
1528786904,3,3
1528788752,3,2
1528790659,3,2
1528792573,2,4
1528794517,5,3
1528796417,4,2
1528798340,2,4
1528800274,3,2
1528802174,3,1
1528804099,3,3
1528806057,6,12
1528807934,73,37
1528809855,1,1
1528811788,1,1
1528813697,2,4
1528815715,3,3
1528817561,3,2
1528819892,1,2
1528821872,27,2
1528823776,140,3
1528825708,2,4
1528827629,2,1
1528829533,0,7
1528831456,3,3
1528833387,0,3
1528835291,4,1
1528837108,5,4
1528838911,1,1
1528840946,2,3
1528842969,3,3
1528844896,3,1
1528846830,3,3
1528848732,3,1
1528850665,0,1
1528852568,6,1
1528854490,2,6
1528856423,2,1
1528858346,1,3
1528860252,2,3
1528862183,3,5
1528864091,1,3
1528866105,3,0
1528867953,3,3
1528869869,2,5
1528871775,5,5
1528873723,12,2
1528875619,3,3
1528877540,3,4
1528879470,1,2
1528881384,4,4
1528883296,6,6
1528885231,20,0
1528887143,7,3
1528889056,2,3
1528890990,2,3
1528892899,1,7
1528894902,0,73
1528896757,1,0
1528898665,1,0
1528900575,1,2
1528902505,2,3
1528904420,3,3
1528906354,1,1
1528908263,0,19
1528910181,0,227
1528912112,1,2
1528914014,1,2
1528915956,5,0
1528918912,1,4
1528920750,1,0
1528922659,0,5
1528924590,2,3
1528926497,2,1
1528928435,0,4
1528931671,6,3
1528933473,7,2
1528935396,3,1
1528937428,5,5
1528939232,2,3
1528941142,2,2
1528943060,2,3
1528946183,3,3
1528948088,5,2
1528950008,2,2
1528951944,0,1
1528953852,4,4
1528955768,4,2
1528957707,3,2
1528959749,0,13
1528961772,8,3
1528963700,2,4
1528965632,6,3
1528967532,3,3
1528969468,10,8
1528971373,8,40
