DateTime,AddedIPs,RemovedIPs
1527984240,552,15
1527986645,7,13
1527988974,0,248
1527991404,284,37
1527993825,19,23
1527996225,22,33
1527998616,0,235
1528001082,17,17
1528003382,221,30
1528005409,5,21
1528007363,10,22
1528009328,10,22
1528011142,5,16
1528013062,16,20
1528014993,4,14
1528016900,15,36
1528018843,13,18
1528020744,2,18
1528022657,17,17
1528024484,28,41
1528026491,13,16
1528028308,22,26
1528030343,9,47
1528032260,14,20
1528034179,7,14
1528036103,22,25
1528038100,20,15
1528039944,17,13
1528041872,13,15
1528043773,11,10
1528045701,18,25
1528047702,8,8
1528049545,39,85
1528051503,11,8
1528053395,20,24
1528055336,16,17
1528057222,9,20
1528059189,10,14
1528061065,14,28
1528063009,7,6
1528064917,39,28
1528066908,35,15
1528068749,18,25
1528070690,24,25
1528072573,25,11
1528074537,26,23
1528076419,17,14
1528078391,20,32
1528080258,4,15
1528082234,18,21
1528084110,16,4
1528086051,22,12
1528087944,1,3
1528089898,14,11
1528091772,3,5
1528093725,14,11
1528095703,17,7
1528097580,9,18
1528099464,12,15
1528101443,7,5
1528103298,17,10
1528105265,13,8
1528107149,22,7
1528109092,9,16
1528110982,17,33
1528112920,9,13
1528114833,13,25
1528116784,14,9
1528118676,20,14
1528120542,8,6
1528122503,24,23
1528124500,19,17
1528126340,18,19
1528128331,16,17
1528130187,21,13
1528132135,23,18
1528134047,8,8
1528135953,12,36
1528137869,3,14
1528139805,19,20
1528141710,5,18
1528143633,13,12
1528145566,2,10
1528147477,23,16
1528149386,4,6
1528151328,19,44
1528153313,10,31
1528155145,3,23
1528157065,15,26
1528158998,8,26
1528160907,17,33
1528162820,6,20
1528164750,15,21
1528166670,9,3
1528168586,21,20
1528170538,4,17
1528172432,7,20
1528174345,3,4
1528176281,15,20
1528178183,10,2
1528180405,20,13
1528182268,12,17
1528184180,11,12
1528186104,26,14
1528188019,14,8
1528189942,17,19
1528191867,3,13
1528193780,25,29
1528195697,10,7
1528197627,17,18
1528199544,7,7
1528201457,23,13
1528203381,4,14
1528205304,11,16
1528207303,13,22
1528209148,6,14
1528211076,18,30
1528213498,10,9
1528215402,29,23
1528217311,19,10
1528219216,38,26
1528221161,15,5
1528223061,27,11
1528225002,14,3
1528226893,22,18
1528229013,30,12
1528230975,124,1
1528232909,19,24
1528234817,5,3
1528236748,20,17
1528238658,13,4
1528240575,11,11
1528242501,12,3
1528244425,10,14
1528246336,5,7
1528248269,22,18
1528250184,14,7
1528252094,24,18
1528254108,18,18
1528256032,18,11
1528257865,42,8
1528259789,13,6
1528261695,27,14
1528263619,16,4
1528265562,32,16
1528267774,25,9
1528269623,22,13
1528271560,15,13
1528273468,26,24
1528275391,15,13
1528277308,23,13
1528279296,15,5
1528281157,18,25
1528283078,19,20
1528284998,20,5
1528286923,22,23
1528288824,17,6
1528290760,40,11
1528292683,24,4
1528294581,36,12
1528296504,11,5
1528298429,33,17
1528300340,21,9
1528302276,35,29
1528304179,13,12
1528306275,26,31
1528308293,19,27
1528311713,47,33
1528313590,2,9
1528320500,70,179
1528324423,24,31
1528326783,41,11
1528331818,27,29
1528335440,17,22
1528337313,18,27
1528339238,7,16
1528341176,15,19
1528343184,9,17
1528345006,19,42
1528346907,9,17
1528348819,19,23
1528350764,8,14
1528352973,31,33
1528354903,18,32
1528356747,14,8
1528358670,33,31
1528360576,17,11
1528362501,25,24
1528364424,13,17
1528366339,21,18
1528368261,4,15
1528370183,27,25
1528372096,6,21
1528374029,17,24
1528375963,5,22
1528377855,16,36
1528379777,8,23
1528381637,28,30
1528383697,9,23
1528385560,21,22
1528387466,20,50
1528389387,3,10
1528391320,27,27
1528393226,9,14
1528395157,21,19
1528397073,7,9
1528398980,26,31
1528400921,6,10
1528402823,27,35
1528404741,19,8
1528406682,32,24
1528408584,16,5
1528411111,27,16
1528413137,27,35
1528415083,33,7
1528416993,50,19
1528418897,6,5
1528420829,41,10
1528422758,17,7
1528424666,32,10
1528426633,23,3
1528428505,19,16
1528430494,10,9
1528432343,16,21
1528434259,16,18
1528436071,13,9
1528438095,33,36
1528440021,28,10
1528441957,23,20
1528443857,17,14
1528445773,31,28
1528447708,15,17
1528449617,30,19
1528451453,9,9
1528453460,27,26
1528455368,7,6
1528457296,32,27
1528460188,81,20
1528462101,11,3
1528464019,27,19
1528465935,13,7
1528467855,24,26
1528470092,11,5
1528471936,30,25
1528473885,61,23
1528475773,21,3
1528477721,36,27
1528479899,14,10
1528481767,52,23
1528483702,7,6
1528485613,22,22
1528487687,16,8
1528489727,30,29
1528491798,13,30
1528493770,16,22
1528495708,26,22
1528497523,10,10
1528499562,29,25
1528501488,12,23
1528503377,30,42
1528505299,18,7
1528507232,32,41
1528509155,15,13
1528511064,40,24
1528512992,20,14
1528514905,31,21
1528516912,16,13
1528518757,26,9
1528520676,30,16
1528522581,11,11
1528524524,35,28
1528526418,28,25
1528528346,49,19
1528530291,12,12
1528532181,16,25
1528534099,20,20
1528536025,35,35
1528537967,8,13
1528539921,21,27
1528541798,8,9
1528543747,24,25
1528545707,29,49
1528547590,18,29
1528549490,28,25
1528551407,8,15
1528553305,29,19
1528555253,9,9
1528557149,16,25
1528559126,10,15
1528560981,21,63
1528562935,27,19
1528564830,31,25
1528566688,25,19
1528568665,30,42
1528570582,20,12
1528572501,20,24
1528574487,7,10
1528576345,19,36
1528578259,30,15
1528580188,9,15
1528582093,16,23
1528584096,7,12
1528586025,18,26
1528587878,13,10
1528589815,24,31
1528591709,5,19
1528593658,19,32
1528595563,7,11
1528597496,30,47
1528599394,4,19
1528601323,21,34
1528603307,21,12
1528605187,8,24
1528607077,23,35
1528609040,10,14
1528610936,27,35
1528612880,11,31
1528614763,19,59
1528616697,10,9
1528618582,17,23
1528620531,8,28
1528622457,30,32
1528624364,14,13
1528626269,29,18
1528628214,20,9
1528630098,24,34
1528632106,31,29
1528633956,9,23
1528635889,21,31
1528637787,6,17
1528639992,18,24
1528641871,12,8
1528643891,38,20
1528645722,14,11
1528647645,23,26
1528649560,10,26
1528651481,28,39
1528653394,14,33
1528655347,31,28
1528657303,37,20
1528659171,18,23
1528661072,30,18
1528663128,8,13
1528666379,33,32
1528668671,49,21
1528670576,33,5
1528672483,56,18
1528674411,44,13
1528676338,28,22
1528678231,16,8
1528680169,27,18
1528682084,19,4
1528684000,36,26
1528685882,23,5
1528687843,24,19
1528689696,12,15
1528691646,9,17
1528693461,21,24
1528695285,3,4
1528697329,31,25
1528699217,10,12
1528701142,23,19
1528703075,5,10
1528704973,29,14
1528707160,15,12
1528709062,22,30
1528710972,11,13
1528712910,28,34
1528714891,8,17
1528716745,30,26
1528718682,24,33
1528720575,12,16
1528722521,28,16
1528724414,6,10
1528726346,20,18
1528728265,4,14
1528730190,34,35
1528732203,9,17
1528734465,17,28
1528736589,33,21
1528738611,14,19
1528740613,48,27
1528742705,11,28
1528744595,32,27
1528746427,29,23
1528748415,17,26
1528750332,13,8
1528752261,30,26
1528754188,10,18
1528756099,23,49
1528758113,20,35
1528760052,8,78
1528761871,24,40
1528763774,15,19
1528765710,32,22
1528767623,26,20
1528769538,29,39
1528771468,5,26
1528773370,23,25
1528775294,17,8
1528777231,30,15
1528779139,8,8
1528781057,34,18
1528782990,9,15
1528784900,26,26
1528786905,24,21
1528788753,15,6
1528790659,28,24
1528792574,11,13
1528794518,27,27
1528796417,9,8
1528798341,25,27
1528800275,11,5
1528802174,22,32
1528804100,8,8
1528806057,34,27
1528807935,10,14
1528809855,17,23
1528811789,21,8
1528813697,28,22
1528815716,22,26
1528817561,17,11
1528819892,23,20
1528821872,10,7
1528823776,31,37
1528825709,102,25
1528827629,20,28
1528829533,18,13
1528831457,18,32
1528833388,13,26
1528835291,25,26
1528837109,12,12
1528838911,15,23
1528840947,10,26
1528842970,19,11
1528844897,28,23
1528846830,15,5
1528848733,20,23
1528850666,10,19
1528852569,18,37
1528854490,13,22
1528856424,28,25
1528858346,14,6
1528860252,22,26
1528862183,8,15
1528864091,24,28
1528866106,17,6
1528867953,33,31
1528869869,23,33
1528871776,11,12
1528873723,28,31
1528875619,12,8
1528877540,39,25
1528879471,10,11
1528881384,26,27
1528883296,14,12
1528885231,40,22
1528887143,16,11
1528889057,32,19
1528890990,9,8
1528892899,25,36
1528894902,21,24
1528896757,24,8
1528898665,29,36
1528900575,11,9
1528902505,23,24
1528904420,17,8
1528906354,31,22
1528908264,13,9
1528910181,42,32
1528912113,7,10
1528914014,33,23
1528915956,15,16
1528918912,44,25
1528920751,32,24
1528922659,12,11
1528924590,35,23
1528926498,5,4
1528928435,29,25
1528931671,26,31
1528933473,15,13
1528935396,21,17
1528937428,13,9
1528939233,19,18
1528941142,7,14
1528943060,25,20
1528946183,101,32
1528948089,15,7
1528950009,21,20
1528951944,12,6
1528953852,26,38
1528955769,10,13
1528957707,41,26
1528959749,30,23
1528961772,18,11
1528963700,26,33
1528965632,14,8
1528967533,35,31
1528969468,13,12
1528971373,27,36
