DateTime,AddedIPs,RemovedIPs
1520828931,0,1
1520844525,0,1
1520848376,1,0
1520876653,0,1
1520887863,0,1
1520900196,0,1
1520904020,1,0
1520910100,0,1
1520935297,0,1
1520939080,1,0
1520948691,1,0
1520954426,1,0
1520991621,0,1
1521024528,0,1
1521036184,0,1
1521039986,0,1
1521047490,1,0
1521051273,1,0
1521086365,1,0
1521092178,1,0
1521099860,1,0
1521135158,0,1
1521138993,0,1
1521142825,1,0
1521146675,1,0
1521170663,1,0
1521172642,1,0
1521174501,0,1
1521178358,0,1
1521186023,0,1
1521232362,0,2
1521257362,0,1
1521322717,1,1
1521334575,1,0
1521366043,2,0
1521369873,1,0
1521404662,1,0
1521410490,0,1
1521421443,0,1
1521452923,0,2
1521456755,0,1
1521464499,1,0
1521475965,1,0
1521490714,0,1
1521494676,1,0
1521537857,1,0
1521549645,2,0
1521551569,0,1
1521553476,1,0
1521561176,0,1
1521573281,1,0
1521581566,0,1
1521624284,0,1
1521636016,0,2
1521639780,0,1
1521645497,1,0
1521660931,0,1
1521675583,1,0
1521731335,0,1
1521741161,1,0
1521762761,0,1
1521824930,0,1
1521852024,1,0
1521856104,1,0
1521863778,1,0
1521865700,1,0
1521867872,1,0
1521877481,2,0
1521937230,1,0
1521939139,0,1
1521941076,0,1
1521951155,0,1
1521956916,0,2
1521962911,0,2
1521984809,1,0
1522005726,1,0
1522022687,0,1
1522068935,0,1
1522088427,0,1
1522162592,1,0
1522185404,1,0
1522241094,0,1
1522243437,1,0
1522276487,0,1
1522321180,0,1
1523331144,1,0
1523382037,1,0
1523419483,0,1
1523469899,0,1
1525037815,1,0
1525124181,0,1
1525288294,1,0
1525376922,0,1
1525506563,1,0
1525592675,0,1
1526322775,6,0
1526328512,0,2
1526333074,1,1
1526334906,1,0
1526336897,2,1
1526338782,2,0
1526340767,1,0
1526342568,1,0
1526344601,2,1
1526346669,1,1
1526348929,2,0
1526350845,2,0
1526352841,2,0
1526360543,2,0
1526362618,2,0
1526364770,1,0
1526374903,1,0
1526382638,1,0
1526388991,3,0
1526393273,2,0
1526397409,1,0
1526399296,1,0
1526411358,1,0
1526417819,0,1
1526421742,0,1
1526423813,0,3
1526425730,0,2
1526429570,0,2
1526431490,0,1
1526433408,0,1
1526435328,0,2
1526437249,0,2
1526439190,0,2
1526446907,0,2
1526448771,0,2
1526450695,0,1
1526460288,0,1
1526466047,1,0
1526467949,0,1
1526473848,0,1
1526475705,0,2
1526479474,0,2
1526483312,0,1
1526485222,0,1
1526493151,1,0
1526497006,0,1
1526506611,1,0
1526513806,1,0
1526540688,1,0
1526552208,0,1
1526562091,1,0
1526564207,1,0
1526566102,1,0
1526569944,2,0
1526571859,1,0
