DateTime,AddedIPs,RemovedIPs
1527984241,400,24
1527986646,28,22
1527988975,0,99
1527991405,110,18
1527993826,0,27
1527996225,72,42
1527998617,22,45
1528001083,0,121
1528003383,1,285
1528005410,414,59
1528007364,42,22
1528009328,34,26
1528011142,28,27
1528013062,19,52
1528014994,15,35
1528016901,35,32
1528018843,49,60
1528020745,25,27
1528022658,19,36
1528024485,24,32
1528026492,132,40
1528028308,54,31
1528030344,46,77
1528032260,69,149
1528034180,43,25
1528036103,22,41
1528038101,52,28
1528039945,50,1410
1528041872,23,24
1528043773,28,37
1528045701,29,45
1528047703,33,39
1528049546,16,45
1528051504,20,26
1528053395,13,38
1528055336,15,24
1528057223,123,49
1528059189,141,50
1528061065,181,24
1528063010,283,16
1528064917,67,35
1528066909,72,23
1528068750,20,23
1528070690,14,21
1528072573,25,21
1528074537,21,13
1528076420,14,16
1528078391,9,20
1528080259,12,35
1528082235,28,65
1528084111,30,18
1528086052,25,22
1528087944,23,33
1528089899,90,19
1528091772,261,26
1528093725,22,43
1528095703,36,36
1528097581,234,28
1528099465,104,19
1528101444,30,17
1528103299,26,29
1528105265,26,50
1528107150,20,29
1528109093,26,22
1528110982,45,27
1528112921,27,87
1528114834,26,55
1528116784,50,52
1528118677,29,68
1528120543,32,40
1528122504,41,26
1528124501,18,56
1528126340,26,52
1528128331,19,25
1528130188,23,27
1528132135,21,25
1528134047,23,27
1528135954,25,24
1528137869,23,15
1528139806,23,12
1528141711,25,17
1528143634,13,114
1528145566,7,137
1528147478,66,122
1528149387,193,240
1528151329,71,119
1528153314,20,150
1528155146,29,18
1528157066,13,14
1528158999,17,29
1528160908,16,25
1528162820,18,9
1528164750,10,8
1528166671,18,12
1528168586,21,18
1528170538,12,32
1528172432,24,20
1528174346,31,22
1528176281,24,31
1528178183,31,38
1528180406,32,36
1528182269,26,28
1528184180,36,38
1528186104,34,36
1528188020,104,28
1528189942,186,29
1528191868,169,28
1528193780,226,31
1528195698,200,19
1528197628,146,20
1528199545,42,26
1528201457,41,22
1528203382,34,51
1528205305,26,29
1528207303,41,38
1528209148,17,37
1528211077,19,18
1528213498,44,26
1528215403,37,20
1528217311,23,19
1528219217,26,22
1528221162,48,21
1528223061,63,26
1528225002,49,14
1528226893,26,31
1528229014,24,17
1528230975,24,16
1528232910,15,29
1528234818,15,82
1528236748,25,709
1528238658,14,17
1528240576,13,23
1528242501,13,26
1528244426,12,15
1528246337,21,14
1528248270,18,14
1528250185,9,13
1528252094,11,18
1528254108,15,15
1528256033,20,23
1528257866,16,16
1528259789,22,21
1528261695,26,22
1528263619,23,34
1528265563,24,31
1528267774,30,34
1528269624,41,30
1528271561,21,38
1528273468,30,36
1528275392,27,172
1528277308,27,136
1528279297,26,191
1528281157,35,66
1528283078,29,140
1528284998,15,51
1528286923,30,43
1528288825,20,33
1528290760,41,59
1528292684,36,31
1528294582,38,27
1528296504,21,20
1528298429,21,24
1528300340,21,38
1528302277,26,26
1528304179,76,22
1528306276,28,32
1528308293,46,128
1528311714,68,310
1528313590,20,94
1528320501,229,70
1528324424,75,50
1528326784,25,19
1528331820,92,37
1528335441,100,24
1528337314,64,11
1528339238,35,11
1528341177,25,21
1528343185,34,20
1528345006,36,20
1528346907,23,21
1528348820,40,27
1528350765,17,20
1528352974,38,29
1528354904,27,31
1528356747,30,42
1528358671,34,22
1528360577,48,25
1528362502,21,28
1528364424,38,37
1528366340,33,36
1528368261,24,33
1528370184,34,25
1528372096,32,19
1528374029,43,29
1528375963,50,35
1528377855,24,34
1528379778,21,35
1528381638,21,33
1528383697,42,23
1528385560,30,21
1528387467,30,18
1528389388,28,36
1528391321,18,60
1528393226,18,31
1528395157,26,40
1528397074,24,37
1528398981,28,34
1528400922,25,55
1528402824,22,72
1528404742,193,53
1528406683,144,31
1528408585,185,12
1528411112,312,69
1528413138,261,25
1528415084,238,19
1528416993,221,46
1528418897,227,42
1528420830,238,54
1528422758,259,45
1528424667,28,51
1528426634,14,33
1528428506,24,29
1528430510,22,25
1528432343,24,25
1528434259,29,35
1528436072,26,26
1528438096,29,28
1528440021,31,21
1528441958,30,26
1528443858,27,26
1528445773,53,54
1528447708,29,23
1528449618,24,29
1528451453,25,31
1528453460,52,37
1528455368,23,24
1528457297,28,34
1528459288,38,35
1528461140,28,56
1528463061,35,31
1528465159,44,26
1528467060,47,21
1528469275,54,55
1528471213,64,32
1528473152,26,27
1528475054,58,32
1528476972,47,27
1528478890,30,17
1528480902,36,24
1528482744,24,25
1528484658,30,26
1528486878,42,31
1528488749,26,25
1528490660,19,150
1528492599,18,159
1528494504,17,156
1528496439,20,244
1528498506,17,286
1528500513,26,231
1528502531,37,235
1528504362,40,214
1528506271,26,220
1528508192,29,254
1528510195,21,137
1528512022,12,20
1528513945,26,12
1528515891,25,29
1528517789,22,25
1528519706,35,24
1528521640,37,35
1528523545,23,33
1528525476,35,32
1528527400,26,32
1528529300,23,31
1528531296,29,45
1528533171,29,40
1528535072,27,22
1528537008,20,34
1528538909,23,40
1528540830,25,26
1528542761,37,21
1528544689,25,37
1528546599,20,35
1528548510,19,29
