DateTime,Entries,UniqueIPs
1527991406,1772,1772
1527993827,1779,1779
1527993827,1779,1779
1527996227,1790,1790
1527996227,1790,1790
1527998619,1703,1703
1527998619,1703,1703
1528001085,1703,1703
1528001085,1703,1703
1528003385,1419,1419
1528003385,1419,1419
1528005411,1776,1776
1528007366,1796,1796
1528009329,1801,1801
1528011143,1801,1801
1528013063,1804,1804
1528014995,1803,1803
1528016902,1804,1804
1528018845,1784,1784
1528020746,1780,1780
1528022659,1778,1778
1528024486,1775,1775
1528026493,1778,1778
1528028309,1782,1782
1528030345,1782,1782
1528032262,1785,1785
1528034181,1789,1789
1528036105,1783,1783
1528038102,1782,1782
1528039946,383,383
1528041874,384,384
1528043774,382,382
1528045702,377,377
1528047704,364,364
1528049547,348,348
1528051505,345,345
1528053396,325,325
1528055337,323,323
1528057224,314,314
1528059190,289,289
1528061066,290,290
1528063011,284,284
1528064918,274,274
1528066910,273,273
1528068751,273,273
1528070692,276,276
1528072574,272,272
1528074538,279,279
1528076421,274,274
1528078392,273,273
1528080260,275,275
1528082236,254,254
1528084112,255,255
1528086053,247,247
1528087945,243,243
1528089900,243,243
1528091774,243,243
1528093727,217,217
1528095705,214,214
1528097584,215,215
1528099466,213,213
1528101446,214,214
1528103300,216,216
1528105267,217,217
1528107151,218,218
1528109094,220,220
1528110983,241,241
1528112922,240,240
1528114835,237,237
1528116786,258,258
1528118678,254,254
1528120544,252,252
1528122505,248,248
1528124502,247,247
1528126342,248,248
1528128333,248,248
1528130189,248,248
1528132137,245,245
1528134049,252,252
1528135955,253,253
1528137871,255,255
1528139807,256,256
1528141712,257,257
1528143635,256,256
1528145568,253,253
1528147479,254,254
1528149388,258,258
1528151331,260,260
1528153315,258,258
1528155147,260,260
1528157067,263,263
1528159000,262,262
1528160909,257,257
1528162822,258,258
1528164751,260,260
1528166672,252,252
1528168587,251,251
1528170540,250,250
1528172434,253,253
1528174347,259,259
1528176283,257,257
1528178185,261,261
1528180407,261,261
1528182270,262,262
1528184182,260,260
1528186105,261,261
1528188021,261,261
1528189944,254,254
1528191869,250,250
1528193781,250,250
1528195699,251,251
1528197629,254,254
1528199546,253,253
1528201459,256,256
1528203383,232,232
1528205306,233,233
1528207304,228,228
1528209149,228,228
1528211078,229,229
1528213500,229,229
1528215404,232,232
1528217312,234,234
1528219218,233,233
1528221163,229,229
1528223063,228,228
1528225004,232,232
1528226895,234,234
1528229015,243,243
1528230977,249,249
1528232911,253,253
1528234819,254,254
1528236750,251,251
1528238660,248,248
1528242502,249,249
1528244427,247,247
1528246338,250,250
1528248271,250,250
1528250186,248,248
1528252095,246,246
1528256034,247,247
1528257867,251,251
1528259791,247,247
1528261697,250,250
1528263620,250,250
1528265564,245,245
1528267776,246,246
1528269625,245,245
1528271562,239,239
1528273469,242,242
1528275393,242,242
1528277309,245,245
1528279298,244,244
1528281159,246,246
1528283080,246,246
1528285000,243,243
1528286925,244,244
1528288826,248,248
1528290762,218,218
1528292685,225,225
1528294583,235,235
1528296506,240,240
1528298431,243,243
1528300342,245,245
1528302278,244,244
1528304180,253,253
1528306277,254,254
1528308295,255,255
1528311716,255,255
1528313592,256,256
1528320504,248,248
1528324425,252,252
1528326786,254,254
1528331826,263,263
1528335442,274,274
1528337315,287,287
1528339240,293,293
1528341178,291,291
1528343187,288,288
1528345008,294,294
1528346908,297,297
1528348821,302,302
1528350766,302,302
1528352975,303,303
1528354905,302,302
1528356749,310,310
1528358672,310,310
1528360578,314,314
1528362503,311,311
1528364426,319,319
1528366341,319,319
1528368263,319,319
1528370185,318,318
1528372098,322,322
1528374030,323,323
1528375964,325,325
1528377856,324,324
1528379779,319,319
1528381639,310,310
1528383698,311,311
1528385561,315,315
1528387468,321,321
1528389389,318,318
1528391322,314,314
1528393227,313,313
1528395159,314,314
1528397075,315,315
1528398982,320,320
