DateTime,AddedIPs,RemovedIPs
1527972886,8,12
1527974862,0,101
1527984243,119,32
1527986647,5,8
1527991406,8,10
1527993827,0,9
1527996227,8,9
1527998618,0,81
1528001085,16,15
1528005411,94,13
1528007365,4,5
1528009329,11,14
1528011143,6,9
1528013063,3,7
1528014995,3,9
1528016902,16,11
1528018844,12,20
1528020745,9,8
1528022659,11,11
1528024486,8,11
1528026493,17,11
1528028309,6,8
1528030345,8,11
1528032261,7,5
1528034181,10,6
1528036104,6,11
1528038102,9,9
1528039945,3,4
1528041873,6,17
1528043774,7,8
1528045702,12,5
1528047704,11,4
1528049547,5,4
1528051505,12,2
1528053396,4,4
1528055337,4,4
1528057224,11,5
1528059190,5,4
1528061066,6,2
1528063011,6,4
1528064918,3,4
1528066909,5,2
1528068751,8,10
1528070691,10,6
1528072574,8,4
1528074538,9,4
1528076421,6,6
1528078392,2,2
1528080260,4,3
1528082236,11,6
1528084111,12,8
1528086053,14,5
1528087945,14,9
1528089900,76,1
1528091774,252,7
1528093726,7,3
1528095704,7,12
1528097583,217,6
1528099466,86,3
1528101445,8,5
1528103300,9,11
1528105266,8,11
1528107150,9,7
1528109094,17,12
1528110983,8,11
1528112922,8,14
1528114835,11,9
1528116785,12,11
1528118678,10,12
1528120544,12,6
1528122505,22,8
1528124502,4,11
1528126342,11,4
1528128333,5,5
1528130189,9,6
1528132136,9,10
1528134049,5,12
1528135955,9,4
1528137870,6,6
1528139807,4,1
1528141712,8,3
1528143635,3,7
1528145567,3,2
1528147479,5,2
1528149388,8,6
1528151330,25,5
1528153315,5,5
1528155147,6,7
1528157067,1,10
1528159000,3,7
1528160909,5,10
1528162821,4,4
1528164751,1,2
1528166672,3,4
1528168587,3,10
1528170539,6,11
1528172433,7,10
1528174346,11,10
1528176283,9,17
1528178184,11,14
1528180407,17,11
1528182270,7,6
1528184181,9,21
1528186105,16,16
1528188021,24,8
1528189943,22,9
1528191869,16,7
1528193781,9,16
1528195699,17,10
1528197629,17,7
1528199546,16,7
1528201458,16,9
1528203383,12,11
1528205306,13,10
1528207304,18,17
1528209149,8,14
1528211078,5,10
1528213499,20,9
1528215404,22,7
1528217312,12,7
1528219218,14,9
