DateTime,AddedIPs,RemovedIPs
1527880818,1,0
1527882739,1,1
1527884679,0,1
1527886581,1,1
1527890548,2,0
1527894174,2,2
1527896169,1,1
1527898401,3,2
1527900307,1,0
1527902245,1,1
1527904147,1,2
1527906079,3,1
1527907993,1,1
1527909924,3,1
1527911824,1,1
1527916445,4,5
1527918685,3,0
1527921141,0,1
1527923330,3,3
1527926032,1,0
1527928523,2,0
1527930867,0,3
1527933080,63,0
1527935222,2,1
1527937878,1,2
1527940239,0,2
1527942650,2,4
1527944974,1,1
1527947216,4,2
1527951398,3,1
1527953727,221,2
1527956413,25,1
1527958702,0,24
1527961202,24,0
1527965972,1,1
1527968426,5,1
1527970746,0,0
1527972887,0,27
1527974864,0,0
1527984243,33,6
1527986648,4,4
1527988977,0,27
1527991407,30,1
1527993828,3,2
1527996228,311,0
1527998619,1,28
1528005411,35,7
1528007366,2,0
1528009330,0,2
1528011144,4,0
1528013064,2,1
1528014995,3,2
1528016902,2,2
1528018845,1,2
1528020746,0,1
1528022659,3,0
1528024487,2,1
1528026493,5,0
1528028310,1,2
1528030345,1,0
1528032262,1,4
1528034181,2,1
1528036105,0,3
1528038102,1,1
1528039946,1,242
1528041874,1,4
1528043775,2,0
1528045702,2,0
1528047704,0,1
1528049547,0,1
1528051507,2,0
1528053397,1,5
1528055338,0,1
1528057225,1,0
1528059190,0,1
1528063011,1,1
1528064919,2,2
1528066910,1,2
1528068751,1,0
1528070692,3,1
1528072575,4,2
1528074539,2,3
1528076422,1,3
1528078393,2,1
1528080260,4,4
1528082237,2,1
1528084112,3,1
1528086053,4,3
1528087946,2,1
1528089901,4,1
1528091774,3,4
1528093727,3,2
1528097585,3,4
1528099466,3,1
1528101446,2,3
1528103301,3,2
1528105267,2,1
1528107151,1,0
1528109094,3,3
1528110984,1,2
1528112922,0,4
1528114835,0,3
1528116786,2,2
1528118678,1,1
1528120544,0,1
1528122506,0,2
1528124503,2,3
1528126342,1,1
1528128333,2,1
1528132137,0,2
1528134049,1,0
1528137871,2,3
1528139808,1,0
1528141712,1,0
1528143635,2,1
1528145568,1,0
1528147480,1,0
1528149388,2,1
1528151331,0,2
1528153315,1,0
1528155147,4,1
1528157067,0,2
1528159001,1,6
1528160909,1,2
1528162822,1,3
1528164752,2,1
1528166672,2,3
1528168588,1,1
1528170540,4,4
1528172434,1,3
1528174347,0,2
1528176283,0,3
1528178185,0,3
1528180407,1,3
1528182271,1,0
1528184182,2,4
1528186106,5,4
1528188021,3,2
1528189944,1,3
1528191869,2,2
1528193782,3,2
1528195699,3,3
1528197630,6,1
1528199547,2,0
1528201459,1,0
1528203383,3,0
1528205306,1,1
1528207305,1,0
1528209150,2,1
1528211079,1,1
1528213500,1,3
1528215404,0,1
1528217313,2,0
1528219218,1,0
1528221163,2,0
1528223063,0,3
1528226895,3,1
1528229015,1,1
1528230977,2,3
1528234819,1,0
1528236750,1,2
1528240577,0,3
1528242503,1,1
1528246338,4,0
1528248271,0,1
1528250186,2,1
1528252096,5,2
1528254110,4,1
1528256034,0,3
1528257867,3,3
1528259791,2,0
1528261697,3,0
1528263621,3,0
1528265564,5,1
1528267776,1,1
1528269625,2,2
1528271562,1,2
1528273470,1,4
1528275393,1,1
1528277310,1,1
1528279298,1,2
1528281159,2,3
1528283080,2,3
1528285000,0,5
1528286925,0,2
1528288826,0,3
1528290762,0,1
1528292685,0,1
1528294583,3,2
1528296506,0,4
1528298431,0,2
1528304181,1,1
1528306277,0,3
1528308295,1,0
1528311717,2,0
1528313592,1,3
1528320505,1,4
1528324426,3,2
1528326786,2,0
1528331827,3,4
1528335443,6,1
1528337316,1,3
1528339241,0,6
1528341179,6,2
1528343188,4,2
1528345008,7,3
1528346909,1,2
1528348821,2,4
1528350766,0,2
1528352975,1,4
1528354905,2,2
1528356749,0,3
1528358672,2,1
1528360578,3,1
1528362503,1,1
1528364426,1,1
1528366341,3,0
1528368263,3,2
1528370185,2,2
1528372098,2,1
1528374030,2,0
1528375964,2,0
1528377857,1,0
1528379779,2,2
1528381639,1,1
1528383699,1,0
1528385562,1,0
1528387468,0,1
1528389389,1,0
1528391322,1,1
1528393228,2,1
1528397075,1,1
1528398982,0,1
1528400923,1,1
1528402825,1,0
1528404743,0,1
1528408587,1,3
1528413139,1,1
1528415085,2,1
1528418899,0,2
1528420831,1,2
1528422760,1,4
1528424668,2,0
1528426635,2,4
1528428507,1,3
1528430513,1,7
1528432345,4,5
1528434261,0,1
1528436073,0,1
1528438097,1,1
1528440023,2,2
1528441959,5,0
1528443859,1,1
1528445775,0,3
1528447710,2,1
1528449619,2,1
1528451454,1,1
1528453462,1,3
1528455369,1,2
1528457298,3,2
1528459301,2,4
1528461141,2,0
1528463062,1,2
1528465160,2,3
1528467061,0,2
1528469277,1,0
1528471215,0,1
1528475055,1,1
1528476973,2,1
1528478891,2,0
1528480903,7,2
1528484660,2,1
1528486879,0,2
1528488751,1,0
1528492601,1,1
1528494506,1,0
1528496441,0,1
1528498507,0,1
1528500514,3,3
1528502533,0,1
1528504364,2,0
1528506273,2,0
1528508194,1,1
1528510196,6,2
1528512024,0,1
1528513946,3,2
1528517790,0,3
1528519707,1,2
1528521642,2,0
1528523546,3,1
1528527401,1,4
1528529301,2,2
1528531298,3,1
1528533175,0,3
1528535074,5,2
1528537011,3,0
1528538911,1,2
1528540832,1,1
1528542763,3,3
1528544691,13,3
1528546601,0,2
1528550427,3,3
1528552382,3,0
1528554283,1,1
1528556200,0,1
1528558105,1,0
1528560106,1,0
