DateTime,AddedIPs,RemovedIPs
1526800594,0,2
1526802547,1,0
1526806362,0,1
1526831576,1,2
1526843095,0,1
1526844986,0,1
1526848847,2,0
1526857498,1,1
1526863465,1,0
1526865392,0,1
1526871139,0,1
1526884843,1,0
1526886796,1,0
1526888687,0,1
1526898312,1,0
1526900232,1,0
1526902115,1,0
1526904111,1,0
1526917720,0,1
1526921809,1,0
1526929511,1,0
1526934702,0,2
1526943214,0,1
1526945106,1,0
1526950923,0,1
1526965488,1,0
1526969578,0,1
1526971489,1,0
1526973405,0,1
1526985176,0,1
1526987079,0,1
1526989000,0,1
1526990921,0,1
1527008190,0,1
1527016147,0,1
1527019991,1,0
1527021908,1,0
1527031981,0,1
1527051425,1,1
1527059107,0,1
1527098503,1,0
1527102280,1,0
1527106116,0,1
1527108030,0,1
1527109971,2,0
1527133972,1,0
1527137819,0,1
1527145981,1,0
1527161744,1,0
1527186054,0,1
1527187938,0,1
1527192105,1,0
1527197809,0,2
1527199722,1,0
1527219645,0,1
1527233104,0,1
1527236959,1,0
1527248656,0,1
1527266910,2,0
1527268936,1,0
1527278664,0,1
1527286597,0,1
1527291359,0,0
1527293557,0,0
1527295608,0,0
1527298165,0,0
1527300914,0,0
1527303228,0,0
1527305667,0,0
1527308455,0,0
1527311249,0,0
1527314169,0,0
1527316679,0,0
1527318591,0,0
1527320962,0,0
1527322905,1,1
1527325321,0,0
1527336898,0,0
1527339166,0,0
1527341656,0,0
1527343549,1,0
1527346515,0,0
1527350723,0,0
1527352744,0,1
1527355511,0,2
1527358188,0,0
1527361558,0,0
1527369510,0,0
1527375545,0,0
1527378887,0,0
1527381330,0,0
1527383948,0,0
1527386922,0,0
1527389592,0,0
1527391939,1,0
1527393930,0,0
1527396094,0,0
1527398017,0,0
1527400191,0,0
1527407799,0,1
1527415473,1,0
1527430826,0,1
1527436603,1,0
1527438507,1,0
1527446226,3,0
1527448131,1,0
1527460597,1,0
1527475996,1,0
1527477888,1,1
1527489378,2,0
1527500903,0,1
1527522023,0,1
1527523894,0,1
1527527801,3,0
1527533541,0,4
1527541304,1,0
1527543159,1,0
1527545102,0,1
1527562406,0,1
1527564318,0,1
1527568142,1,0
1527575811,0,2
1527577735,1,0
1527598854,1,0
1527604579,1,0
1527610408,1,0
1527615144,0,3
1527624741,1,0
1527626680,1,0
1527628577,0,1
1527630512,0,1
1527636258,1,0
1527640095,1,0
1527645960,2,0
1527653543,1,0
1527655478,1,1
1527657376,1,0
1527663136,1,1
1527666972,1,0
1527668895,1,0
1527670897,1,0
1527674686,1,0
1527676586,1,0
1527680591,1,0
1527686419,1,1
1527690262,1,1
1527694099,1,0
1527696107,0,1
1527698218,1,0
1527707777,1,0
1527711619,0,1
1527713536,1,1
1527721318,0,1
1527723179,1,0
1527725070,1,0
1527726988,0,1
1527732752,0,2
1527740429,0,1
1527742362,0,1
1527744273,0,1
1527750100,0,1
1527751958,0,1
1527755797,0,1
1527757714,0,1
1527761564,0,1
1527763501,0,1
1527765391,0,1
1527771170,1,0
1527773068,0,1
1527776904,0,1
1527778911,1,1
1527784632,0,1
1527794184,0,1
1527799961,1,1
1527809826,0,1
1527811717,0,1
1527821334,1,0
1527823231,1,0
1527836677,1,0
1527857842,0,1
1527865475,0,1
1527869352,1,0
1527873093,1,0
1527875069,1,0
1527876979,1,0
1527886581,0,1
1527894177,1,0
1527900308,1,0
1527904148,1,0
1527907994,0,2
1527911825,2,0
1527916446,4,0
1527918686,1,0
1527921142,0,0
1527923332,1,1
1527926033,15,0
1527928525,0,0
1527930868,0,0
1527933080,0,0
1527935222,2,0
1527937879,0,0
1527940240,0,0
1527942651,0,0
1527944975,0,0
1527947217,0,0
1527949075,0,0
1527951399,0,0
1527953728,0,0
1527956414,0,1
1527961203,0,2
1527965972,0,1
1527968427,1,0
1527970747,2,0
1527972888,0,0
1527974865,0,0
1527977294,1,0
1527984244,0,1
1527986649,0,1
1527991408,1,1
1527993829,0,0
1527996229,0,0
1528005412,1,7
1528009330,1,0
1528011144,0,1
1528016903,1,0
1528020747,0,2
1528043775,3,0
1528053397,1,0
1528055338,0,1
1528057225,1,2
1528061067,1,0
1528064919,0,1
1528072575,1,0
1528074539,0,1
1528087946,0,1
1528095705,0,1
1528101447,1,0
1528103301,0,1
1528107152,1,0
1528114836,1,0
1528130190,0,3
1528132137,1,0
1528139808,0,1
1528143636,0,1
1528147480,0,1
1528157068,1,0
1528159001,0,1
1528160910,1,0
1528170541,1,0
1528172435,1,0
1528182271,1,0
1528184183,3,0
1528186106,1,0
1528188022,4,1
1528189944,1,0
1528191870,2,0
1528193782,3,1
1528195700,1,0
1528197630,4,0
1528199547,3,0
1528201459,3,1
1528203384,2,0
1528207305,2,0
1528211079,1,0
1528219219,0,1
1528225004,1,0
1528236750,1,0
1528242503,0,1
1528246339,0,1
1528257868,0,2
1528267776,0,1
1528269626,1,1
1528271563,0,3
1528273470,0,1
1528275394,1,3
1528277310,1,1
1528279299,0,3
1528281160,0,2
1528283081,0,1
1528285001,0,5
1528286925,0,3
1528288827,0,4
1528292686,1,1
1528294584,3,1
1528298431,0,1
1528302279,1,0
1528304181,2,0
1528306278,1,0
1528308295,3,0
1528311718,13,1
1528313593,4,0
1528320506,17,0
1528324427,2,1
1528326787,3,0
1528331828,5,0
1528335443,15,0
1528337316,2,0
1528339241,4,0
1528341180,5,0
1528343189,2,0
1528345009,3,0
1528346909,2,0
1528348822,1,0
1528352976,3,0
1528354906,3,0
1528356749,1,1
1528358673,1,0
1528360579,1,0
1528362504,0,1
1528364426,3,1
1528366342,1,0
1528375965,2,0
1528379780,0,4
1528383699,1,0
1528387469,1,0
1528389390,0,2
1528391322,0,2
1528393228,0,1
1528395159,1,2
1528397076,0,10
1528398983,0,5
1528400924,0,5
1528402826,0,7
1528404744,0,4
1528406685,1,3
1528408588,0,1
1528411114,0,1
1528413140,0,3
1528416995,0,4
1528418899,0,3
1528420832,0,11
