DateTime,AddedIPs,RemovedIPs
1527977295,0,278
1527984245,290,20
1527986649,2,3
1527988978,0,268
1527991408,276,3
1527993829,6,3
1527996230,19,3
1527998621,2,3
1528001088,2,11
1528003386,0,281
1528005412,294,28
1528007368,5,0
1528009330,4,3
1528011145,5,4
1528013065,3,11
1528014996,6,12
1528016903,8,1
1528018846,7,5
1528020747,2,3
1528022660,2,3
1528024487,4,3
1528026494,8,7
1528028310,32,1
1528030346,30,43
1528032263,44,155
1528034182,16,4
1528036106,7,10
1528038103,34,5
1528039947,37,7
1528041875,6,0
1528043776,4,21
1528045703,5,22
1528047705,0,25
1528049548,4,29
1528051508,1,8
1528053398,4,1
1528055339,4,1
1528057226,5,3
1528059191,3,4
1528061068,3,2
1528063012,26,2
1528064920,12,5
1528066911,21,2
1528068752,9,4
1528070693,1,0
1528072576,15,1
1528074540,3,2
1528076423,4,3
1528078394,1,8
1528080261,1,2
1528082238,0,19
1528084113,3,3
1528086054,1,2
1528087947,1,6
1528089902,3,6
1528091775,2,3
1528093728,4,5
1528095706,7,7
1528097587,2,4
1528099467,1,3
1528101447,5,5
1528103301,8,9
1528105268,5,1
1528107152,2,14
1528109095,2,2
1528110985,1,3
1528112923,1,8
1528114836,1,32
1528116787,5,31
1528118679,4,39
1528120545,3,18
1528122507,6,7
1528124504,4,35
1528126343,5,38
1528128334,2,8
1528130191,1,4
1528132138,0,6
1528134050,2,1
1528135956,1,6
1528137872,1,2
1528139809,8,2
1528141713,2,6
1528143636,4,2
1528145569,0,4
1528147481,2,3
1528149389,2,28
1528151332,3,12
1528153316,1,22
1528155148,2,9
1528157068,3,1
1528159002,5,19
1528160910,3,4
1528162823,3,0
1528164752,0,1
1528166673,2,1
1528168588,3,0
1528170541,2,4
1528172436,2,1
1528174348,6,1
1528176284,5,2
1528178186,8,5
1528180408,2,5
1528182272,0,8
1528184183,2,3
1528186107,4,0
1528188022,1,3
1528189945,3,8
1528191870,0,6
1528193783,2,4
1528195700,1,2
1528197631,2,2
1528199548,5,1
1528201460,6,2
1528203384,4,3
1528205307,2,3
1528207306,0,2
1528209151,2,6
1528211079,0,3
1528213501,3,7
1528215405,2,2
1528217314,5,2
1528219220,4,2
1528221164,1,0
1528223064,3,2
1528225005,1,2
1528226896,6,5
1528229016,2,5
1528230978,9,3
1528232912,3,0
1528234820,2,2
1528236751,1,3
1528238661,2,4
1528240578,1,4
1528242504,6,2
1528244428,3,2
1528246339,1,3
1528248272,4,1
1528250187,1,5
1528252097,4,0
1528254111,2,3
1528256035,1,4
1528257868,3,3
1528259792,1,3
1528261698,3,3
1528263622,0,3
1528265565,2,5
1528267777,2,2
1528269626,2,1
1528271563,2,3
1528273471,2,3
1528275394,3,4
1528277311,4,1
1528279299,3,2
1528281160,1,1
1528283081,4,2
1528285001,1,4
1528286926,3,4
1528288827,2,4
1528290763,8,3
1528292686,5,2
1528294584,1,1
1528296507,0,1
1528298432,2,1
1528300343,5,1
1528302279,5,2
1528304181,4,0
1528306278,4,2
1528308296,1,3
1528311719,6,3
1528313593,5,3
1528320507,16,16
1528324427,1,4
1528326788,2,0
1528331831,5,8
1528335444,3,3
1528337317,4,2
1528339242,4,1
1528341180,2,2
1528343189,3,3
1528345010,2,2
1528346909,0,2
1528348823,6,3
1528350767,0,3
1528352976,4,3
1528354906,3,2
1528356750,13,5
1528358673,9,1
1528360579,6,2
1528362504,4,2
1528364427,9,2
1528366342,4,1
1528368264,2,2
1528370186,2,4
1528372099,3,2
1528374031,1,2
1528375965,1,3
1528377858,5,7
1528379780,1,6
1528381640,2,0
1528383700,2,1
1528385563,4,1
1528387469,6,3
1528389390,3,6
1528391323,4,2
1528393229,2,4
1528395160,4,0
1528397076,3,2
1528398983,4,4
1528400925,4,6
1528402826,5,2
1528404744,4,2
1528406685,2,2
1528408588,5,0
1528411114,2,1
1528413140,2,3
1528415086,7,6
1528416996,1,5
1528418900,5,3
1528420832,3,2
1528422760,2,2
1528424669,1,4
1528426636,3,2
1528428508,3,1
1528430514,2,3
1528432346,8,1
1528434262,9,4
1528436074,3,3
1528438098,2,3
1528440023,4,0
1528441960,2,7
1528443860,9,11
1528445776,8,9
1528447710,4,5
1528449620,1,7
1528451455,4,7
1528453463,4,3
1528455371,4,0
1528457299,10,6
1528459302,14,3
1528461142,5,0
1528463063,10,3
1528465161,3,2
1528467062,5,2
1528469277,2,2
1528471216,5,1
1528473155,5,4
1528475056,5,6
1528476974,4,3
1528478892,5,3
1528480904,5,2
1528482746,2,1
1528484661,5,3
1528486880,13,12
1528488752,4,5
1528490663,0,6
1528492602,4,3
1528494507,4,2
1528496443,4,2
1528498508,1,3
1528500515,2,6
1528502534,5,4
1528504364,5,0
1528506274,11,3
1528508194,2,1
1528510197,5,6
1528512025,1,3
1528513947,4,4
1528515893,9,1
1528517791,1,7
1528519708,3,6
1528521643,5,8
1528523547,4,5
1528525478,12,4
1528527402,4,2
1528529302,2,6
1528531298,3,6
1528533176,3,8
1528535075,0,2
1528537012,3,5
1528538912,4,3
1528540833,2,2
1528542764,3,8
1528544692,5,5
1528546603,3,8
1528548513,1,6
1528550428,2,4
1528552383,4,4
1528554284,3,3
1528556202,3,6
1528558106,0,7
1528560107,2,4
1528561967,3,4
1528563882,3,4
1528565807,2,3
1528567713,2,5
1528569622,3,6
1528571542,8,3
1528573462,2,12
1528575381,3,4
1528577311,8,2
1528579222,3,1
1528581159,3,3
1528583082,1,3
1528586029,22,3
1528587881,4,4
1528589818,3,5
1528591712,1,12
1528593661,0,2
1528595566,2,5
1528597499,4,2
1528599397,0,1
1528601326,2,10
1528603311,4,2
1528605190,1,3
1528607081,5,4
1528609044,2,8
1528610940,13,3
1528612884,3,12
1528614766,3,0
1528616702,3,3
1528618586,1,1
1528620535,4,1
1528622461,2,3
1528624368,3,4
1528626273,6,2
1528628219,1,2
