DateTime,Entries,UniqueIPs
1527986649,556,556
1527988978,288,288
1527991408,561,561
1527991408,561,561
1527993829,564,564
1527993829,564,564
1527996230,580,580
1527998621,579,579
1528001088,570,570
1528003386,289,289
1528005412,555,555
1528007368,560,560
1528009330,561,561
1528011145,562,562
1528013065,554,554
1528014996,548,548
1528016903,555,555
1528018846,557,557
1528020747,556,556
1528022660,555,555
1528024487,556,556
1528026494,557,557
1528028310,588,588
1528030346,575,575
1528032263,464,464
1528034182,476,476
1528036106,473,473
1528038103,502,502
1528039947,532,532
1528041875,538,538
1528043776,521,521
1528045703,504,504
1528047705,479,479
1528049548,454,454
1528051508,447,447
1528053398,450,450
1528055339,453,453
1528057226,455,455
1528059191,454,454
1528061068,455,455
1528063012,479,479
1528064920,486,486
1528066911,505,505
1528068752,510,510
1528070693,511,511
1528072576,525,525
1528074540,526,526
1528076423,527,527
1528078394,520,520
1528080261,519,519
1528082238,500,500
1528084113,500,500
1528086054,499,499
1528087947,494,494
1528089902,491,491
1528091775,490,490
1528093728,489,489
1528095706,489,489
1528097587,487,487
1528099467,485,485
1528101447,485,485
1528103301,484,484
1528105268,488,488
1528107152,476,476
1528109095,476,476
1528110985,474,474
1528112923,467,467
1528114836,436,436
1528116787,410,410
1528118679,375,375
1528120545,360,360
1528122507,359,359
1528124504,328,328
1528126343,295,295
1528128334,289,289
1528130191,286,286
1528132138,280,280
1528134050,281,281
1528135956,276,276
1528137872,275,275
1528139809,281,281
1528141713,277,277
1528143636,279,279
1528145569,275,275
1528147481,274,274
1528149389,248,248
1528151332,239,239
1528153316,218,218
1528155148,211,211
1528157068,213,213
1528159002,199,199
1528160910,198,198
1528162823,201,201
1528164752,200,200
1528166673,201,201
1528168588,204,204
1528170541,202,202
1528172436,203,203
1528174348,208,208
1528176284,211,211
1528178186,214,214
1528180408,211,211
1528182272,203,203
1528184183,202,202
1528186107,206,206
1528188022,204,204
1528189945,199,199
1528191870,193,193
1528193783,191,191
1528195700,190,190
1528197631,190,190
1528199548,194,194
1528201460,198,198
1528203384,199,199
1528205307,198,198
1528207306,196,196
1528209151,192,192
1528211079,189,189
1528213501,185,185
1528215405,185,185
1528217314,188,188
1528219220,190,190
1528221164,191,191
1528223064,192,192
1528225005,191,191
1528226896,192,192
1528229016,189,189
1528230978,195,195
1528232912,198,198
1528234820,198,198
1528236751,196,196
1528238661,194,194
1528240578,191,191
1528242504,195,195
1528244428,196,196
1528246339,194,194
1528248272,197,197
1528250187,193,193
1528252097,197,197
1528254111,196,196
1528256035,193,193
1528257868,193,193
1528259792,191,191
1528261698,191,191
1528263622,188,188
1528265565,185,185
1528267777,185,185
1528269626,186,186
1528271563,185,185
1528273471,184,184
1528275394,183,183
1528277311,186,186
1528279299,187,187
1528281160,187,187
1528283081,189,189
1528285001,186,186
1528286926,185,185
1528288827,183,183
1528290763,188,188
1528292686,191,191
1528294584,191,191
1528296507,190,190
1528298432,191,191
1528300343,195,195
1528302279,198,198
1528304181,202,202
1528306278,204,204
1528308296,202,202
1528311719,205,205
1528313593,207,207
1528320507,207,207
1528324427,204,204
1528326788,206,206
1528331831,203,203
1528335444,203,203
1528337317,205,205
1528339242,208,208
1528341180,208,208
1528343189,208,208
1528345010,208,208
1528346909,206,206
1528348823,209,209
1528350767,206,206
1528352976,207,207
1528354906,208,208
1528356750,216,216
1528358673,224,224
1528360579,228,228
1528362504,230,230
1528364427,237,237
1528366342,240,240
1528368264,240,240
1528370186,238,238
1528372099,239,239
1528374031,238,238
1528375965,236,236
1528377858,234,234
1528379780,229,229
1528381640,231,231
1528383700,232,232
1528385563,235,235
1528387469,238,238
1528389390,235,235
1528391323,237,237
1528393229,235,235
1528395160,239,239
1528397076,240,240
1528398983,240,240
1528400925,238,238
1528402826,241,241
1528404744,243,243
1528406685,243,243
1528408588,248,248
1528411114,249,249
1528413140,248,248
1528415086,249,249
1528416996,245,245
1528418900,247,247
1528420832,248,248
1528422760,248,248
1528424669,245,245
1528426636,246,246
1528428508,248,248
1528430514,247,247
1528432346,254,254
1528434262,259,259
1528436074,259,259
1528438098,258,258
1528440023,262,262
1528441960,257,257
1528443860,255,255
1528445776,254,254
1528447710,253,253
1528449620,247,247
1528451455,244,244
1528453463,245,245
1528455371,249,249
1528457299,253,253
1528459302,264,264
1528461142,269,269
1528463063,276,276
1528465161,277,277
1528467062,280,280
1528469277,280,280
1528471216,284,284
1528473155,285,285
1528475056,284,284
1528476974,285,285
1528478892,287,287
1528480904,290,290
1528482746,291,291
1528484661,293,293
1528486880,294,294
1528488752,293,293
1528490663,287,287
1528492602,288,288
1528494507,290,290
1528496443,292,292
1528498508,290,290
1528500515,286,286
1528502534,287,287
1528504364,292,292
1528506274,300,300
1528508194,301,301
1528510197,300,300
1528512025,298,298
1528513947,298,298
1528515893,306,306
1528517791,300,300
1528519708,297,297
1528521643,294,294
1528523547,293,293
1528525478,301,301
1528527402,303,303
1528529302,299,299
1528531298,296,296
1528533176,291,291
1528535075,289,289
1528537012,287,287
1528538912,288,288
1528540833,288,288
1528542764,283,283
1528544692,283,283
1528546603,278,278
1528548513,273,273
1528550428,271,271
1528552383,271,271
1528554284,271,271
1528556202,268,268
1528558106,261,261
1528560107,259,259
1528561967,258,258
1528563882,257,257
1528565807,256,256
1528567713,253,253
1528569622,250,250
1528571542,255,255
1528573462,245,245
1528575381,244,244
1528577311,250,250
1528579222,252,252
1528581159,252,252
1528583082,250,250
1528586029,269,269
1528587881,269,269
1528589818,267,267
1528591712,256,256
1528593661,254,254
1528595566,251,251
1528597499,253,253
1528599397,252,252
1528601326,244,244
1528603311,246,246
1528605190,244,244
1528607081,245,245
1528609044,239,239
1528610940,249,249
1528612884,240,240
1528614766,243,243
1528616702,243,243
1528618586,243,243
1528620535,246,246
1528622461,245,245
1528624368,244,244
1528626273,248,248
1528628219,247,247
1528630102,240,240
1528632110,240,240
1528633960,240,240
1528635892,238,238
1528637791,244,244
1528639996,246,246
1528641875,245,245
1528643895,245,245
1528645726,257,257
1528647649,260,260
1528649563,257,257
1528651485,255,255
1528653398,256,256
1528655361,258,258
1528657307,254,254
1528659174,251,251
1528661075,259,259
1528663131,272,272
1528666383,275,275
1528668675,275,275
1528670580,274,274
1528672489,261,261
1528674415,264,264
1528676342,262,262
1528678234,262,262
1528680172,263,263
1528682087,263,263
1528684004,261,261
1528685935,263,263
1528687847,265,265
1528689699,262,262
1528691649,266,266
1528693465,264,264
1528695289,269,269
1528697333,256,256
1528699221,256,256
1528701145,254,254
1528703078,253,253
1528704977,254,254
1528707164,254,254
1528709066,254,254
