DateTime,AddedIPs,RemovedIPs
1525237989,1,1
1525260599,1,0
1525282584,1,0
1525286432,0,2
1525290269,0,1
1525298209,1,0
1525304469,0,1
1525318373,0,1
1525322234,2,1
1525345499,0,1
1525353434,1,0
1525357260,2,0
1525359094,1,0
1525370930,1,1
1525381012,0,1
1525407391,0,2
1525430680,1,0
1525442700,0,2
1525447008,0,1
1525456860,0,1
1525460937,1,0
1525465031,0,1
1525475441,2,0
1525504847,1,0
1525513254,0,1
1525515168,2,0
1525562075,2,2
1525572057,1,0
1525590533,0,1
1525594600,0,1
1525602294,0,2
1525632960,2,0
1525634940,2,0
1525650292,0,1
1525654133,0,1
1525657997,0,1
1525694452,1,0
1525716307,0,1
1525720139,0,1
1525723984,0,1
1525745564,1,0
1525757087,1,0
1525784513,0,2
1525802210,1,0
1525838952,1,0
1525842777,0,1
1525854290,1,0
1525887894,0,1
1525907571,1,0
1525909490,1,0
1525917406,1,0
1525929416,0,1
1525943570,0,1
1525977330,0,1
1525987238,1,0
1525991080,0,1
1525996134,0,1
1526002375,0,1
1526031865,0,0
1526322781,4,8
1526324692,4,0
1526326625,1,0
1526395238,1,0
1526399300,0,1
1526401191,0,1
1526411368,1,0
1526413242,1,0
1526419700,1,0
1526425734,1,0
1526427655,0,1
1526448776,1,0
1526450699,1,0
1526454554,1,0
1526458354,1,0
1526479479,1,0
1526489314,1,0
1526497010,0,1
1526500909,0,1
1526506616,0,1
1526508543,1,1
1526513811,0,1
1526519573,1,0
1526540693,0,2
1526544538,0,2
1526566106,0,1
1526571863,1,0
1526575957,0,1
1526581715,1,0
1526595170,0,1
1526601926,1,0
1526605785,1,1
1526650365,1,0
1526662345,1,0
1526668373,0,1
1526683967,1,0
1526689972,1,0
1526691874,0,1
1526713320,1,0
1526717089,1,0
1526736530,0,1
1526748028,1,0
1526759776,0,1
1526763884,1,0
1526767710,0,1
1526771578,1,0
1526773466,1,1
1526777325,0,1
1526779219,0,1
1526783083,1,0
1526798674,0,1
1526802548,0,1
1526827707,1,0
1526835407,0,1
1526837330,1,0
1526850779,1,1
1526852693,1,0
1526859392,0,2
1526867299,1,0
1526869167,0,1
1526873029,1,0
1526874978,2,0
1526898313,1,0
1526911873,1,0
1526923715,0,1
1526929512,1,0
1526936708,1,0
1526938836,0,2
1526943216,1,0
1526945108,1,0
1526957331,0,1
1526959482,0,2
1526961427,0,2
1526977499,1,0
1526983305,0,1
1526998608,0,1
1527010136,1,0
1527016148,1,0
1527024200,0,1
1527028128,1,1
1527031982,0,1
1527051426,1,0
1527062947,1,1
1527070624,1,0
1527078774,1,0
1527096511,0,1
1527098504,1,0
1527108031,1,0
1527111915,0,1
1527113800,2,1
1527123737,1,0
1527135969,1,0
1527137820,0,1
1527143681,1,0
1527150055,0,1
1527157731,0,1
1527161745,1,0
1527165888,0,1
1527186055,0,1
1527193956,0,1
1527195886,1,0
1527197809,2,0
1527199723,0,1
1527201944,1,1
1527210110,0,1
1527221587,0,1
1527229257,0,1
1527238897,1,0
1527246742,0,1
1527274904,1,0
1527276742,1,0
1527280533,1,0
1527282500,0,1
1527284687,0,1
1527289008,1,1
1527291360,0,0
