DateTime,Entries,UniqueIPs
1527378889,31,31
1527381332,32,32
1527381332,32,32
1527383950,32,32
1527383950,32,32
1527386925,30,30
1527389632,30,30
1527389632,30,30
1527391942,30,30
1527391942,30,30
1527396096,30,30
1527396096,30,30
1527398019,29,29
1527398019,29,29
1527400193,29,29
1527405868,27,27
1527407800,24,24
1527409702,23,23
1527411701,20,20
1527413571,19,19
1527415473,20,20
1527417402,19,19
1527419335,18,18
1527423168,17,17
1527427001,18,18
1527428911,16,16
1527432774,16,16
1527436604,16,16
1527438508,16,16
1527440498,15,15
1527444287,14,14
1527448133,15,15
1527450031,15,15
1527464458,16,16
1527466354,15,15
1527474029,16,16
1527475997,15,15
1527483752,15,15
1527485574,16,16
1527495141,15,15
1527497084,13,13
1527498980,11,11
1527500904,11,11
1527506662,12,12
1527512492,11,11
1527518179,10,10
1527522024,11,11
1527523895,10,10
1527525859,9,9
1527531635,10,10
1527535461,11,11
1527537398,10,10
1527548992,11,11
1527552797,12,12
1527554664,11,11
1527556608,13,13
1527560470,12,12
1527566201,13,13
1527570097,12,12
1527571999,12,12
1527573915,14,14
1527577736,15,15
1527581544,16,16
1527587334,15,15
1527591175,14,14
1527593064,13,13
1527604580,14,14
1527608434,13,13
1527615145,14,14
1527617065,13,13
1527622818,13,13
1527632433,14,14
1527634338,13,13
1527638196,14,14
1527640096,13,13
1527642104,12,12
1527643935,12,12
1527651615,11,11
1527653544,12,12
1527659296,13,13
1527661220,12,12
1527670898,13,13
1527672754,14,14
1527676587,15,15
1527678497,16,16
1527684494,17,17
1527688336,18,18
1527690263,17,17
1527694100,18,18
1527700031,17,17
1527709725,16,16
1527719297,15,15
1527725072,14,14
1527728915,13,13
1527732754,14,14
1527734688,15,15
1527738511,16,16
1527740430,17,17
1527742364,18,18
1527744275,18,18
1527746199,13,13
1527748145,14,14
1527755798,15,15
1527757716,16,16
1527759631,16,16
1527761566,16,16
1527763503,17,17
1527769254,18,18
1527771171,19,19
1527774992,18,18
1527776905,19,19
1527782672,18,18
1527813636,19,19
1527815566,20,20
1527817506,21,21
1527819397,20,20
1527821335,19,19
1527827080,18,18
1527829020,17,17
1527830916,15,15
1527836678,12,12
1527838610,13,13
1527842460,12,12
1527844371,11,11
1527846318,10,10
1527848197,10,10
1527850119,10,10
1527853957,11,11
1527855876,9,9
1527857843,8,8
1527863574,7,7
1527865476,8,8
1527867413,9,9
1527869354,11,11
1527876981,12,12
1527878918,13,13
1527882741,14,14
1527896171,15,15
1527900310,14,14
1527902247,15,15
1527904150,14,14
1527909925,15,15
1527914423,15,15
1527916447,16,16
1527918688,16,16
1527921144,16,16
1527923334,17,17
1527923334,17,17
1527926036,17,17
1527928527,19,19
1527930871,19,19
1527930871,19,19
1527933082,20,20
1527933082,20,20
1527935224,19,19
1527937880,19,19
1527940242,19,19
1527940242,19,19
1527942653,20,20
1527942653,20,20
1527944977,20,20
1527944977,20,20
1527947219,20,20
1527951401,20,20
1527951401,20,20
1527953730,19,19
1527953730,19,19
1527956417,17,17
1527956417,17,17
1527958705,17,17
1527961205,18,18
1527961205,18,18
1527965975,20,20
1527965975,20,20
1527968429,20,20
1527968429,20,20
1527984246,25,25
1527984246,25,25
1527991410,24,24
1527991410,24,24
1527993831,25,25
1527993831,25,25
1527996231,25,25
1527996231,25,25
1527998622,25,25
1528005413,25,25
1528009332,26,26
