DateTime,AddedIPs,RemovedIPs
1527977298,159,159
1527982004,195,194
1527984247,260,52
1527986652,39,34
1527991410,84,87
1527993832,43,75
1527996232,32,47
1527998623,52,68
1528003388,53,202
1528005414,111,35
1528007369,26,90
1528009332,40,38
1528011147,44,26
1528013066,32,39
1528014998,53,20
1528016905,29,22
1528018847,42,18
1528020748,41,49
1528022661,37,27
1528024489,33,52
1528026496,40,39
1528028312,30,26
1528030348,39,37
1528032265,36,39
1528034184,20,37
1528036107,30,809
1528038105,38,812
1528039949,24,61
1528041876,30,36
1528043777,39,48
1528045705,44,30
1528047707,33,47
1528049550,34,37
1528051509,34,43
1528053399,42,39
1528055341,40,40
1528057227,27,35
1528059193,40,39
1528061069,49,32
1528063014,17,27
1528064922,22,30
1528066913,30,31
1528068754,28,51
1528070695,658,39
1528072578,2052,46
1528074541,1974,45
1528076425,395,36
1528078395,26,29
1528080263,25,53
1528082239,42,25
1528084115,25,42
1528086056,38,31
1528087948,37,34
1528089904,23,46
1528091777,20,41
1528093730,32,31
1528095708,28,52
1528097589,44,59
1528099469,4051,43
1528101449,1558,75
1528103303,37,40
1528105270,38,68
1528107153,20,71
1528109097,33,61
1528110987,24,59
1528112925,30,43
1528114838,54,35
1528116789,31,25
1528118682,33,38
1528120548,45,25
1528122510,79,27
1528124506,61,45
1528126346,110,29
1528128337,73,39
1528130193,68,38
1528132141,90,44
1528134053,35,26
1528135959,69,28
1528137874,78,36
1528139811,294,45
1528141716,122,35
1528143639,252,28
1528145571,47,34
1528147483,216,43
1528149392,109,23
1528151336,141,20
1528153319,68,24
1528155151,187,26
1528157071,150,573
1528159004,71,1883
1528160913,29,1621
1528162825,38,386
1528164755,54,24
1528166675,59,31
1528168590,35,37
1528170543,40,27
1528172438,21,37
1528174350,35,34
1528176286,33,26
1528178188,25,26
1528180410,31,42
1528182274,37,28
1528184185,54,37
1528186108,83,5361
1528188024,76,847
1528189946,39,35
1528191872,27,32
1528193784,68,24
1528195702,28,32
1528197632,32,28
1528199549,72,27
1528201462,44,61
1528203386,50,28
1528205309,34,37
1528207307,35,42
1528209153,48,52
1528211082,39,55
1528213503,66,80
1528215407,76,73
1528217316,740,45
1528219221,585,59
1528221165,477,45
1528223065,46,33
1528225006,51,32
1528226897,41,132
1528229017,68,290
1528230979,221,47
1528232913,139,168
1528234822,140,110
1528236752,134,165
1528238662,70,51
1528240579,33,235
1528242505,44,55
1528244429,70,429
1528246341,60,37
1528248273,59,39
1528250189,41,51
1528252098,30,58
1528254112,80,31
1528256037,43,40
1528257870,36,33
1528259793,44,36
1528261700,34,25
1528263624,32,28
1528265567,49,35
1528267779,39,33
1528269628,22,52
1528271565,39,47
1528273472,47,105
1528275397,108,36
1528277312,38,32
1528279301,25,69
1528281161,65,29
1528283082,25,32
1528285002,23,48
1528286927,39,79
1528288829,52,36
1528290764,46,36
1528292688,55,34
1528294585,37,32
1528296508,32,46
1528298433,63,34
1528300344,36,50
1528302280,60,229
1528304183,45,746
1528306280,130,616
1528308298,131,238
1528311723,112,67
1528313596,56,32
1528320510,270,509
1528324430,108,244
1528326791,137,57
1528331839,112,148
1528335447,84,91
1528337320,40,43
1528339244,37,64
1528341183,45,66
1528343193,41,59
1528345012,37,43
1528346912,39,30
1528348825,37,51
1528350770,39,50
1528352979,60,36
1528354908,42,38
1528356752,48,32
1528358676,52,44
1528360581,35,96
1528362507,53,96
1528364429,42,38
1528366345,32,37
1528368266,31,73
1528370188,32,26
1528372101,39,40
1528374033,30,67
1528375967,40,45
1528377860,62,61
1528379782,48,53
1528381642,28,49
1528383702,50,50
1528385565,43,49
1528387471,51,65
1528389392,50,58
1528391325,66,48
1528393231,41,61
1528395162,44,52
1528397078,33,29
1528398985,57,40
1528400927,45,62
1528402828,70,111
1528404746,44,57
