DateTime,AddedIPs,RemovedIPs
1527974871,31,31
1527977299,0,287
1527984248,563,54
1527991412,77,46
1527993833,27,17
1527996233,10,19
1527998624,28,16
1528001092,18,21
1528003389,1,265
1528005415,285,17
1528007370,17,14
1528009333,16,11
1528011148,15,7
1528013067,7,5
1528014999,12,8
1528016906,15,19
1528018848,9,19
1528020749,14,17
1528022662,20,10
1528024490,16,21
1528026496,20,15
1528028313,8,13
1528030348,11,11
1528032266,15,12
1528034185,13,8
1528036108,9,26
1528038105,13,8
1528039950,13,48
1528041877,8,23
1528043778,12,22
1528045706,7,19
1528047707,15,17
1528049551,6,14
1528051510,15,17
1528053400,9,16
1528055343,23,13
1528057228,11,19
1528059194,13,11
1528061070,11,15
1528063014,6,7
1528064923,11,20
1528066914,13,13
1528068755,9,21
1528070696,19,16
1528072579,11,21
1528074542,7,23
1528076425,6,13
1528078396,9,16
1528080264,7,17
1528082240,20,9
1528084116,7,17
1528086057,12,23
1528087949,14,13
1528089905,10,25
1528091778,9,13
1528093731,12,17
1528095709,8,25
1528097591,16,21
1528099470,4587,15
1528101450,1786,12
1528103305,9,11
1528105271,9,13
1528107154,9,15
1528109098,5,20
1528110988,15,15
1528112926,6,11
1528114839,17,12
1528116790,7,8
1528118683,14,11
1528120549,20,14
1528122511,49,13
1528124507,7,20
1528126347,57,15
1528128338,50,10
1528130194,4,8
1528132142,40,12
1528134054,4,9
1528135960,17,10
1528137875,20,16
1528139812,270,12
1528141717,19,16
1528143640,135,10
1528145572,17,7
1528147484,193,9
1528149393,22,10
1528151337,128,10
1528153320,7,8
1528155152,158,8
1528157072,131,16
1528159005,29,12
1528160914,16,13
1528162826,9,9
1528164756,17,15
1528166676,6,8
1528168591,13,15
1528170544,13,9
1528172439,10,9
1528174351,13,13
1528176288,15,9
1528178189,7,9
1528180411,15,7
1528182275,5,10
1528184186,20,15
1528186109,19,5474
1528188025,12,843
1528189947,14,8
1528191873,15,8
1528193785,8,10
1528195703,15,6
1528197633,16,21
1528199550,12,8
1528201462,11,21
1528203387,10,9
1528205310,13,13
1528207308,16,15
1528209154,9,23
1528211082,9,23
1528213504,17,12
1528215408,15,27
1528217316,4,13
1528219222,11,13
1528221166,11,20
1528223066,14,11
1528225007,11,17
1528226898,13,107
1528229018,20,108
1528230980,9,11
1528232914,16,152
1528234823,6,11
1528236753,9,150
1528238663,26,7
1528240580,13,214
1528242506,20,9
1528244430,23,401
1528246342,23,14
1528248274,16,14
1528250189,9,16
1528252099,14,11
1528254113,12,10
1528256037,7,20
1528257870,16,18
1528259794,13,16
1528261700,10,19
1528263625,8,10
1528265568,12,10
1528267780,12,17
1528269629,9,18
1528271566,15,19
1528273473,13,21
1528275398,15,17
1528277313,12,16
1528279301,11,16
1528281162,6,20
1528283083,11,19
1528285003,4,22
1528286928,15,20
1528288829,10,20
1528290765,17,19
1528292688,16,11
1528294586,12,18
1528296509,20,9
1528298434,20,12
1528300345,4,18
1528302281,14,12
1528304183,11,10
1528306280,24,14
1528308298,58,10
1528311725,61,24
1528313596,33,14
1528320512,172,77
1528324431,82,41
1528326792,65,28
1528331842,52,65
1528335448,49,36
1528337321,19,9
1528339245,9,21
1528341184,16,17
1528343195,17,11
1528345013,17,21
1528346912,21,9
1528348825,15,10
1528350770,21,13
1528352980,28,8
1528354909,12,8
1528356753,10,11
1528358676,19,18
1528360582,18,22
1528362507,12,14
1528364430,11,12
1528366345,11,13
1528368267,13,10
1528370189,12,8
1528372102,12,9
1528374034,9,20
1528375968,17,16
1528377861,17,19
1528379783,17,13
1528381643,10,14
1528383702,17,13
1528385565,18,10
1528387472,10,12
1528389393,12,9
1528391326,17,10
1528393231,11,8
1528395163,15,21
1528397079,13,18
1528398986,18,11
1528400927,16,25
1528402829,16,69
1528404747,20,18
1528406688,24,24
1528408592,10,11
1528411117,13,50
1528413143,14,57
1528415089,16,13
1528416999,12,14
1528418903,13,14
1528420835,5,24
1528422763,15,14
1528424672,15,14
1528426639,11,18
1528428511,8,13
1528430517,4,14
1528432349,10,21
1528434264,13,21
1528436077,11,11
1528438101,9,15
1528440026,11,23
1528441963,11,11
1528443863,12,12
1528445778,19,13
1528447713,11,19
1528449623,8,14
1528451458,9,15
1528453465,9,16
1528455373,23,14
1528457301,13,14
1528459303,6,16
1528461144,13,15
1528463065,13,18
1528465163,8,27
1528467064,11,13
1528469280,8,25
1528471218,11,18
1528473157,10,16
1528475058,27,19
1528476976,17,18
1528478894,33,24
1528480906,9,16
1528482748,11,28
1528484663,9,19
1528486882,7,28
1528488754,10,22
1528490665,19,23
1528492604,6,26
1528494509,23,36
1528496446,17,25
1528498511,27,21
1528500518,28,21
1528502537,15,21
1528504367,7,16
1528506276,14,20
1528508197,12,7
1528510200,17,28
1528512027,12,11
1528513949,12,17
1528515895,7,11
1528517793,11,7
1528519710,10,18
1528521645,17,14
1528523549,8,12
