DateTime,Entries,UniqueIPs
1527991412,1114,1114
1527993833,1124,1124
1527993833,1124,1124
1527996233,1115,1115
1527996233,1115,1115
1527998624,1127,1127
1527998624,1127,1127
1528001092,1124,1124
1528003389,860,860
1528005415,1128,1128
1528007370,1131,1131
1528009333,1136,1136
1528011148,1144,1144
1528013067,1146,1146
1528014999,1150,1150
1528016906,1146,1146
1528018848,1136,1136
1528020749,1133,1133
1528022662,1143,1143
1528024490,1138,1138
1528026496,1143,1143
1528028313,1138,1138
1528030348,1138,1138
1528032266,1141,1141
1528034185,1146,1146
1528036108,1129,1129
1528038105,1134,1134
1528039950,1099,1099
1528041877,1084,1084
1528043778,1074,1074
1528045706,1062,1062
1528047707,1060,1060
1528049551,1052,1052
1528051510,1050,1050
1528053400,1043,1043
1528055343,1053,1053
1528057228,1045,1045
1528059194,1047,1047
1528061070,1043,1043
1528063014,1042,1042
1528064923,1033,1033
1528066914,1033,1033
1528068755,1021,1021
1528070696,1024,1024
1528072579,1014,1014
1528074542,998,998
1528076425,991,991
1528078396,984,984
1528080264,974,974
1528082240,985,985
1528084116,975,975
1528086057,964,964
1528087949,965,965
1528089905,950,950
1528091778,946,946
1528093731,941,941
1528095709,924,924
1528097591,919,919
1528099470,5491,5491
1528101450,7265,7265
1528103305,7263,7263
1528105271,7259,7259
1528107154,7253,7253
1528109098,7238,7238
1528110988,7238,7238
1528112926,7233,7233
1528114839,7238,7238
1528116790,7237,7237
1528118683,7240,7240
1528120549,7246,7246
1528122511,7282,7282
1528124507,7269,7269
1528126347,7311,7311
1528128338,7351,7351
1528130194,7347,7347
1528132142,7375,7375
1528134054,7370,7370
1528135960,7377,7377
1528137875,7381,7381
1528139812,7639,7639
1528141717,7642,7642
1528143640,7767,7767
1528145572,7777,7777
1528147484,7961,7961
1528149393,7973,7973
1528151337,8091,8091
1528153320,8090,8090
1528155152,8240,8240
1528157072,8355,8355
1528159005,8372,8372
1528160914,8375,8375
1528162826,8375,8375
1528164756,8377,8377
1528166676,8375,8375
1528168591,8373,8373
1528170544,8377,8377
1528172439,8378,8378
1528174351,8378,8378
1528176288,8384,8384
1528178189,8382,8382
1528180411,8390,8390
1528182275,8385,8385
1528184186,8390,8390
1528186109,2935,2935
1528188025,2104,2104
1528189947,2110,2110
1528191873,2117,2117
1528193785,2115,2115
1528195703,2124,2124
1528197633,2119,2119
1528199550,2123,2123
1528201462,2113,2113
1528203387,2114,2114
1528205310,2114,2114
1528207308,2115,2115
1528209154,2101,2101
1528211082,2087,2087
1528213504,2092,2092
1528215408,2080,2080
1528217316,2071,2071
1528219222,2069,2069
1528221166,2060,2060
1528223066,2063,2063
1528225007,2057,2057
1528226898,1963,1963
1528229018,1875,1875
1528230980,1873,1873
1528232914,1737,1737
1528234823,1732,1732
1528236753,1591,1591
1528238663,1610,1610
1528240580,1409,1409
1528242506,1420,1420
1528244430,1042,1042
1528246342,1051,1051
1528248274,1053,1053
1528250189,1046,1046
1528252099,1049,1049
1528254113,1051,1051
