DateTime,AddedIPs,RemovedIPs
1527965980,25,8
1527968433,7,6
1527984250,89,40
1527986654,10,3
1527991413,32,13
1527993834,8,2
1527996235,8,8
1527998626,9,4
1528003390,1,58
1528005416,82,2
1528007372,7,2
1528009334,9,7
1528011150,10,4
1528013069,9,8
1528015000,9,5
1528016907,7,6
1528018850,8,5
1528020750,7,1
1528022663,10,0
1528024491,4,2
1528026498,3,3
1528028315,2,2
1528030350,1,7
1528032267,3,5
1528034186,7,2
1528036110,6,7
1528038107,2,12
1528039951,5,8
1528041877,5,7
1528043778,6,2
1528045706,5,11
1528047708,4,10
1528049551,3,6
1528051511,6,7
1528053401,2,9
1528055344,6,2
1528057229,3,12
1528059194,2,7
1528061071,3,7
1528063015,4,15
1528064923,8,11
1528066915,10,6
1528068756,10,14
1528070697,6,10
1528072580,7,6
1528074543,9,14
1528076426,6,14
1528078397,8,8
1528080264,5,8
1528082241,1,8
1528084116,5,5
1528086058,6,6
1528087950,5,5
1528089907,2,11
1528091779,4,12
1528093733,3,8
1528095710,2,10
1528097593,0,10
1528099471,7,8
1528101451,2,12
1528103306,5,8
1528105272,1,5
1528107156,2,7
1528109099,5,11
1528110989,3,5
1528112928,3,5
1528114841,4,7
1528116791,2,3
1528118684,1,5
1528120550,2,8
1528122513,5,6
1528124509,2,4
1528126348,3,7
1528128339,1,8
1528130195,3,8
1528132143,2,5
1528134055,2,6
1528135961,36,4
1528137877,21,5
1528139813,7,3
1528141718,8,6
1528143642,11,5
1528145574,10,5
1528147486,11,3
1528149394,2,3
1528151339,6,9
1528153321,11,9
1528155153,7,8
1528157073,3,6
1528159006,5,10
1528160915,14,10
1528162828,9,7
1528164757,4,7
1528166678,11,4
1528168592,7,2
1528170546,11,5
1528172440,8,5
1528174352,13,4
1528176289,8,3
1528178190,8,5
1528180412,6,4
1528182276,8,2
1528184187,9,0
1528186110,3,7
1528188026,10,4
1528189948,9,4
1528191874,10,3
1528193786,7,2
1528195704,9,5
1528197634,5,3
1528199551,4,4
1528201463,3,3
1528203387,5,2
1528205310,5,1
1528207309,5,2
1528209155,5,6
1528211083,8,3
1528213505,5,3
1528215409,3,1
1528217317,4,4
1528219223,4,2
1528221167,16,33
1528223067,2,12
1528225007,5,13
1528226898,8,7
1528229019,5,11
1528230980,7,3
1528232915,7,7
1528234823,6,2
1528236754,3,1
1528238664,9,7
1528240580,6,8
1528242506,11,6
1528244431,3,6
1528246343,4,9
1528248275,2,9
1528250190,1,4
1528252100,1,7
1528254114,3,9
1528256039,8,7
1528257872,4,8
1528259795,3,13
1528261702,1,7
1528263626,3,6
1528265569,5,9
1528267781,4,3
1528269630,0,8
1528271567,2,6
1528273474,5,8
1528275400,11,7
1528277314,3,9
1528279303,2,9
1528281163,6,7
1528283084,2,6
1528285004,2,8
1528286929,5,6
1528288831,3,5
1528290766,1,7
1528292689,4,6
1528294587,2,5
