DateTime,AddedIPs,RemovedIPs
1527634340,5,1
1527636262,9,2
1527638198,3,0
1527640098,6,1
1527642107,1,3
1527643939,1,2
1527645966,5,1
1527647798,5,4
1527649704,3,0
1527651617,3,0
1527653547,0,1
1527655482,0,1
1527657380,4,0
1527661225,0,3
1527663141,3,0
1527665083,1,1
1527668899,1,2
1527670901,1,0
1527672757,1,1
1527674690,1,0
1527676590,0,1
1527678500,0,1
1527680594,1,0
1527682582,1,2
1527684497,3,1
1527686423,3,0
1527688339,2,10
1527690266,0,6
1527692197,1,7
1527694103,2,3
1527696111,3,4
1527698222,5,2
1527700034,0,1
1527702019,0,5
1527703946,1,2
1527705866,0,2
1527707783,1,2
1527709729,1,4
1527711625,1,2
1527713541,4,7
1527715466,4,1
1527717384,0,1
1527719302,2,4
1527721324,3,6
1527723185,2,7
1527725076,1,2
1527726994,1,6
1527728919,2,2
1527730834,5,2
1527732758,0,4
1527734692,2,4
1527736591,2,3
1527738515,1,3
1527742368,3,1
1527744279,2,3
1527748150,1,1
1527750106,1,2
1527751964,1,1
1527753891,1,0
1527755803,0,1
1527757721,1,1
1527759636,2,1
1527761570,1,1
1527763508,3,0
1527767317,3,1
1527769260,0,1
1527771175,0,3
1527773073,2,4
1527774996,0,1
1527778916,1,2
1527780798,2,1
1527782676,0,3
1527784637,2,5
1527788473,2,0
1527790509,0,1
1527794189,1,1
1527796147,1,1
1527798029,1,1
1527799966,1,4
1527801884,0,4
1527803804,3,0
1527806015,1,2
1527807882,0,3
1527809831,1,2
1527811722,0,1
1527813639,0,1
1527815569,1,3
1527817509,0,4
1527819400,1,0
1527821338,0,2
1527823235,1,2
1527825177,2,1
1527827083,0,1
1527829024,0,2
1527830919,0,2
1527832912,1,0
1527834783,0,2
1527838614,0,2
1527842464,1,0
1527844375,1,1
1527846322,0,2
1527848199,3,1
1527850121,2,3
1527852051,1,2
1527853960,3,1
1527855879,1,0
1527857845,1,0
1527859713,0,2
1527861710,1,0
1527863577,3,0
1527865479,6,2
1527867416,3,1
1527869357,2,1
1527871240,3,1
1527875074,1,2
1527876985,1,0
1527880823,1,1
1527882745,2,1
1527884684,0,1
1527886587,0,1
1527890553,0,3
1527894183,2,1
1527896176,0,1
1527902251,1,1
1527904153,1,1
1527907999,1,0
1527909929,0,1
