DateTime,Entries,UniqueIPs
1527836682,67,67
1527840534,67,67
1527842464,65,65
1527844375,65,65
1527846322,69,69
1527848200,68,68
1527850122,67,67
1527853960,68,68
1527857845,70,70
1527861710,70,70
1527865480,72,72
1527871240,72,72
1527873098,73,73
1527875074,74,74
1527876985,73,73
1527878922,75,75
1527880824,76,76
1527884684,76,76
1527886587,75,75
1527888503,74,74
1527890554,79,79
1527894183,77,77
1527896176,75,75
1527898407,76,76
1527900314,77,77
1527902251,81,81
1527904154,80,80
1527906084,78,78
1527907999,76,76
1527914428,81,81
1527916452,84,84
1527918693,84,84
1527921151,85,85
1527923342,85,85
1527923342,85,85
1527926041,87,87
1527928532,90,90
1527933087,89,89
1527933087,89,89
1527935229,89,89
1527935229,89,89
1527937885,90,90
1527937885,90,90
1527940247,90,90
1527940247,90,90
1527942658,90,90
1527942658,90,90
1527944982,87,87
1527944982,87,87
1527949083,89,89
1527949083,89,89
1527951406,87,87
1527951406,87,87
1527953736,90,90
1527953736,90,90
1527956422,91,91
1527956422,91,91
1527961210,94,94
1527961210,94,94
1527963578,96,96
1527963578,96,96
1527965981,94,94
1527965981,94,94
1527968434,94,94
1527968434,94,94
1527984251,91,91
1527984251,91,91
1527986655,89,89
1527991414,90,90
1527991414,90,90
1527993835,92,92
1527993835,92,92
1527996236,93,93
1527996236,93,93
1527998627,92,92
1528005417,88,88
1528007372,87,87
1528011151,88,88
1528013069,87,87
1528016908,87,87
1528024492,88,88
1528026498,88,88
1528028316,89,89
1528030350,88,88
1528032268,91,91
1528034187,95,95
1528036111,99,99
1528038107,97,97
1528039952,98,98
1528041878,97,97
1528043779,95,95
1528045707,93,93
1528047708,92,92
1528053402,93,93
1528055345,90,90
1528057229,91,91
1528061071,92,92
1528063016,95,95
1528064924,94,94
1528066915,92,92
1528068757,92,92
1528070697,92,92
1528072580,93,93
1528074544,94,94
1528076427,90,90
1528078398,91,91
1528080265,91,91
1528082241,90,90
1528084117,94,94
1528086059,93,93
1528087951,94,94
1528091779,95,95
1528097595,98,98
1528099472,97,97
1528101452,99,99
1528103307,102,102
1528105273,103,103
1528107156,103,103
1528109100,103,103
1528110989,106,106
1528112928,104,104
1528114841,104,104
1528116792,103,103
1528118685,100,100
1528120551,98,98
1528122514,93,93
1528124509,95,95
1528126349,95,95
1528132144,96,96
1528134056,95,95
1528135962,100,100
1528137877,101,101
1528139814,101,101
1528141719,103,103
1528143643,108,108
1528145574,109,109
1528147486,107,107
1528149395,105,105
1528151340,101,101
1528153322,101,101
1528155154,101,101
1528157074,100,100
1528159007,99,99
1528160915,103,103
1528162828,105,105
1528164758,107,107
1528166678,107,107
1528168593,108,108
1528170546,106,106
1528172441,106,106
1528174352,105,105
1528178191,104,104
1528180413,107,107
1528182276,107,107
1528184188,108,108
1528188027,109,109
1528189949,107,107
1528191875,106,106
1528195704,107,107
1528201464,108,108
1528203388,108,108
1528205311,109,109
1528207309,108,108
1528209156,107,107
1528211083,106,106
1528213506,107,107
1528215409,106,106
1528219223,105,105
1528221168,101,101
1528223067,100,100
1528226899,100,100
1528229019,96,96
1528230981,95,95
1528232915,95,95
1528234824,94,94
1528236754,96,96
1528238664,96,96
1528240581,97,97
1528242507,96,96
1528244432,97,97
1528246343,95,95
1528248276,96,96
1528250191,96,96
1528252101,98,98
1528254115,98,98
1528257872,99,99
1528259795,103,103
1528261702,103,103
1528265569,104,104
1528267781,105,105
1528269631,106,106
1528271567,106,106
1528273475,105,105
1528275401,104,104
1528277314,105,105
1528279303,105,105
1528281164,104,104
1528283085,102,102
1528285005,102,102
1528286930,101,101
1528288831,100,100
1528290766,96,96
1528292690,96,96
1528294588,96,96
1528296510,95,95
1528298436,93,93
1528302283,92,92
1528304185,95,95
1528306282,95,95
1528308092,94,94
1528311727,94,94
1528320516,91,91
1528324434,85,85
1528326795,85,85
1528331846,86,86
1528335451,87,87
1528337324,84,84
1528339248,85,85
1528341186,85,85
1528343197,89,89
1528345016,88,88
1528346914,88,88
1528348827,89,89
1528350772,88,88
1528352982,89,89
1528354911,89,89
1528356754,89,89
1528358678,89,89
1528362509,87,87
1528364431,86,86
1528366347,85,85
1528370190,84,84
1528372103,84,84
1528374036,85,85
1528375970,87,87
1528377862,87,87
1528379784,86,86
1528383704,87,87
1528385567,88,88
1528391328,85,85
1528393233,83,83
1528395164,80,80
1528397080,77,77
1528398988,75,75
1528402831,79,79
1528404748,82,82
1528406690,84,84
1528408594,87,87
1528411119,91,91
1528413145,88,88
1528415091,88,88
1528417000,86,86
1528418904,89,89
1528420837,89,89
1528422765,91,91
1528426640,92,92
1528428513,89,89
1528430520,89,89
1528432350,84,84
1528434266,85,85
1528436079,84,84
1528438102,83,83
1528440028,82,82
1528441965,78,78
1528443865,77,77
1528447715,77,77
1528451460,79,79
1528455375,78,78
