DateTime,AddedIPs,RemovedIPs
1522120114,0,1
1522131866,0,1
1522139564,0,1
1522145332,1,0
1522149878,0,1
1522154161,0,1
1522166222,1,0
1522173898,0,1
1522177734,1,0
1522183490,0,1
1522185418,1,0
1522187338,0,1
1522204423,0,1
1522220283,1,0
1522241109,0,2
1522243445,1,0
1522253635,0,1
1522276496,0,1
1522278342,0,1
1522305911,0,1
1524461975,1,0
1524548452,0,1
1524616373,1,0
1524620199,1,0
1524697754,1,0
1524701571,1,0
1524703489,1,1
1524707330,0,1
1524711161,3,0
1524718868,1,0
1524726795,2,0
1524734467,2,0
1524736374,1,0
1524740254,5,0
1524744063,3,0
1524751998,2,0
1524782693,0,1
1524786532,0,1
1524790368,0,1
1524798060,0,3
1524805730,0,1
1524813655,0,2
1524817487,0,1
1524821320,0,2
1524825166,0,1
1524828102,0,5
1524832036,0,2
1524836489,0,1
1524838629,0,1
1525230778,1,0
1525316464,0,1
1525377805,1,0
1525463108,0,1
1525557077,1,0
1525613232,1,0
1525648390,0,1
1525698299,0,1
1525865955,1,0
1525878066,1,0
1525953600,0,1
1525963725,0,1
1526349895,1,0
1526395243,1,0
1526401197,1,0
1526409411,1,0
1526437260,0,1
1526481402,0,1
1526487194,0,1
1526493163,1,0
1526495092,0,1
1526506624,1,0
1526521476,1,0
1526560117,1,0
1526579799,0,1
1526583717,1,0
1526593249,0,1
1526597956,1,0
1526607650,0,1
1526613443,1,0
1526646370,0,1
1526650370,1,0
1526668378,1,0
1526670279,0,1
1526672222,1,0
1526683971,0,1
1526699821,0,1
1526701733,1,0
1526724762,1,0
1526736536,0,1
1526740378,154,0
1526742297,854,0
1526744196,2169,0
1526746171,1,0
1526755942,1,0
1526757881,0,1
1526781146,1,0
1526787162,0,1
1526820041,1,0
1526827713,0,260
1526829656,0,1988
1526831581,0,931
1526833495,0,1
1526839310,1,0
1526843100,0,1
1526863470,1,0
1526867303,0,1
1526905979,0,1
1526909969,702,0
1526911880,2445,0
1526913873,24,0
1526925714,0,1
1526936716,1,0
1526994300,52,0
1526996739,0,1084
1526998614,0,2070
1527002447,1,0
1527028135,0,1
1527045648,1,0
1527062954,1,0
1527076958,1,0
1527080696,1,0
1527088595,0,1
1527092444,1,0
1527108038,0,70
1527131093,0,1
1527148612,0,1
1527163981,0,1
1527165894,1,0
1527167795,0,1
1527175984,1,0
1527177980,0,1
1527179828,1,0
1527187945,1,0
1527215876,1,0
1527217747,1,0
1527231160,1,0
1527234992,1,0
1527246748,1,0
1527250584,2,0
1527253176,0,1
1527262855,1,1
1527266916,0,1
1527274909,0,1
1527291366,0,0
1527295615,0,0
1527298173,0,0
1527300923,0,1
1527303235,0,0
1527311256,1,1
1527314176,0,0
1527316687,0,1
1527318599,0,0
1527320971,1,0
1527322914,0,1
1527325328,1,0
1527336905,0,3
1527339172,0,0
1527341665,0,0
1527343555,0,0
1527346522,0,0
1527350730,0,1
1527352751,0,0
1527355517,0,0
1527358195,1,0
1527361565,0,0
1527366775,0,0
1527369517,0,0
1527372664,0,0
1527375551,0,0
1527378893,0,0
1527381337,0,0
1527383955,0,0
1527386931,1,0
1527389641,0,0
1527391960,0,0
1527393937,0,0
1527396101,0,0
1527398024,0,1
