DateTime,AddedIPs,RemovedIPs
1527979853,0,284
1527984252,319,17
1527986656,4,11
1527991415,23,30
1527993836,15,16
1527996237,10,22
1527998628,0,277
1528001096,16,16
1528003392,15,14
1528005417,235,17
1528007373,1,13
1528009335,3,9
1528011152,0,15
1528013070,3,7
1528015001,2,12
1528016908,3,20
1528018851,10,13
1528020751,0,12
1528022664,14,15
1528024492,12,25
1528026499,7,14
1528028316,12,10
1528030351,6,42
1528032268,2,4
1528034187,1,11
1528036111,5,11
1528038108,5,8
1528039952,1,1
1528041878,4,1
1528043779,5,7
1528045707,1,5
1528047709,5,1
1528049552,9,4
1528051512,7,6
1528053402,1,2
1528055346,1,7
1528057230,0,3
1528059195,5,10
1528061072,2,10
1528063016,6,7
1528064924,26,10
1528066916,21,9
1528068757,12,6
1528070698,14,7
1528072581,20,3
1528074544,13,9
1528076427,12,9
1528078398,2,21
1528080266,3,12
1528082242,4,10
1528084117,7,2
1528086059,10,0
1528087951,1,1
1528089908,3,4
1528091780,2,3
1528093734,2,2
1528095711,7,2
1528097597,7,4
1528099472,4,4
1528101453,2,2
1528103307,2,1
1528105274,10,5
1528107157,4,6
1528109100,2,12
1528110990,0,18
1528112929,4,7
1528114842,2,15
1528116792,3,5
1528118685,3,1
1528120552,2,1
1528122514,7,4
1528124510,10,6
1528126349,2,1
1528128340,2,6
1528130196,14,7
1528132144,3,0
1528134056,2,6
1528135962,2,9
1528137878,0,9
1528139815,3,0
1528141719,2,2
1528143643,1,1
1528145575,2,6
1528147487,2,3
1528149395,0,4
1528151341,3,30
1528153323,2,17
1528155154,0,17
1528157074,2,16
1528159008,1,22
1528160916,9,19
1528162829,4,13
1528164758,7,4
1528166679,2,3
1528168594,6,4
1528170547,1,8
1528172441,2,9
1528174353,2,3
1528176290,3,8
1528178191,9,1
1528180413,5,3
1528182277,2,9
1528184188,6,7
1528186111,10,4
1528188027,10,4
1528189949,3,5
1528191875,1,10
1528193787,3,6
1528195705,3,2
1528197635,0,1
1528199552,2,4
1528201464,3,1
1528203388,1,2
1528205311,2,1
1528207310,1,2
1528209157,2,11
1528211084,2,8
1528213506,5,3
1528215410,13,5
1528217318,11,8
1528219224,26,3
1528221168,12,2
1528223068,6,1
1528225008,12,2
1528226900,9,1
1528229020,6,0
1528230981,5,1
1528232916,5,4
1528234824,4,1
1528236755,8,2
1528238665,9,2
1528240581,3,0
1528242508,11,1
1528244432,5,2
1528246344,2,3
1528248277,7,8
1528250192,11,5
1528252102,10,6
1528254115,8,4
1528256040,12,6
1528257873,11,1
1528259796,10,4
1528261703,14,3
1528263627,15,4
1528265570,14,5
1528267782,23,3
1528269631,14,2
1528271568,14,9
1528273476,10,5
1528275401,11,10
1528277315,11,1
1528279304,11,1
1528281164,10,4
1528283085,8,1
1528285005,15,2
1528286930,8,4
1528288832,11,1
1528290767,17,1
1528292690,18,3
1528294588,18,2
1528296511,10,6
1528298436,13,0
1528300347,14,4
1528302284,8,13
1528304186,9,10
1528306283,8,16
1528308093,3,9
1528311729,13,15
1528313599,1,6
1528320517,23,18
1528324435,11,14
1528326795,5,4
1528331848,8,15
1528335452,8,8
1528337324,6,10
1528339249,5,16
1528341187,6,6
1528343199,6,13
1528345017,5,9
1528346915,8,13
1528348828,7,12
1528350773,5,12
1528352982,14,16
1528354911,8,23
1528356755,12,9
1528358679,12,16
1528360584,11,8
1528362510,4,12
1528364432,11,14
1528366348,2,9
1528368269,3,10
1528370191,5,16
1528372104,4,15
1528374036,6,8
1528375970,4,13
1528377863,5,13
1528379785,6,21
1528381645,10,14
1528383705,1,15
1528385567,7,13
1528387474,4,13
1528389395,2,8
1528391328,5,10
1528393233,5,8
1528395165,4,4
1528397081,5,5
1528398988,5,6
1528400930,4,2
1528402831,7,9
1528404749,14,8
1528406690,16,3
1528408595,16,2
1528411119,12,4
1528413145,4,5
1528415091,27,5
1528417001,33,2
1528418905,5,2
1528420837,12,1
1528422765,14,5
1528424674,13,2
1528426641,18,1
1528428513,11,3
1528430521,7,5
1528432351,8,9
1528434267,9,7
1528436079,9,5
1528438103,11,17
1528440028,20,7
1528441965,12,9
1528443865,16,12
1528445781,16,9
1528447715,14,13
1528449625,11,1
1528451460,7,6
1528453467,18,5
1528455375,3,4
1528457304,18,7
1528459306,33,2
1528461146,12,4
1528463067,2,6
1528465165,14,2
1528467066,7,11
1528469282,6,3
1528471220,10,3
1528473159,20,6
1528475061,28,3
1528476978,19,3
1528478897,10,8
1528480909,18,2
1528482751,19,8
1528484665,8,3
1528486885,7,3
1528488756,9,7
1528490667,3,11
1528492606,4,14
1528494511,5,14
1528496450,3,9
1528498513,6,8
1528500520,8,7
1528502539,13,29
1528504369,13,11
1528506279,13,7
1528508200,22,11
1528510202,17,13
1528512030,16,8
1528513951,13,14
1528515898,16,4
1528517795,8,8
1528519712,14,3
1528521647,11,3
1528523551,13,10
1528525483,22,13
1528527406,20,13
1528529306,24,12
1528531303,1,6
1528533186,13,14
1528535080,15,21
1528537018,8,14
1528538929,9,9
1528540840,9,10
1528542770,7,4
1528544699,13,25
1528546610,11,14
1528548518,9,6
1528550434,7,9
1528552388,4,6
1528554290,4,5
1528556207,4,2
1528558111,4,11
1528560112,8,23
1528561972,16,18
1528563888,15,14
1528565813,20,14
1528567719,14,23
1528569629,16,6
1528571547,11,11
1528573466,7,10
1528575385,4,8
1528577316,9,6
1528579227,7,6
1528581164,2,2
1528583087,3,4
1528586035,6,9
1528587886,9,7
1528589823,5,19
1528591718,4,16
1528593666,9,14
1528595572,4,8
1528597507,5,25
1528599402,2,17
1528601332,5,19
1528603316,5,7
1528605196,5,9
1528607086,2,19
1528609050,6,12
1528610946,13,14
1528612890,10,24
1528614773,5,37
1528616708,4,7
1528618591,4,12
1528620541,4,23
1528622467,11,12
1528624374,11,11
1528626279,10,9
1528628226,18,8
1528630108,19,16
1528632116,14,19
1528633966,6,11
1528635898,10,12
1528637797,3,13
1528640003,5,3
1528641881,8,3
1528643901,13,4
1528645732,2,6
1528647654,9,12
1528649569,4,22
1528651492,10,22
1528653404,9,28
1528655366,9,13
1528657312,16,19
1528659180,7,9
1528661080,11,2
1528663136,4,10
1528666388,10,11
1528668681,26,6
1528670586,28,2
1528672494,42,5
1528674420,41,9
1528676348,10,4
1528678244,13,7
1528680177,16,7
1528682092,16,2
1528684010,17,6
1528685940,18,3
1528687851,11,5
1528689705,2,8
1528691654,3,4
1528693470,7,3
1528695294,1,3
1528697341,5,13
1528699227,2,10
1528701151,6,5
1528703084,3,4
1528704982,5,2
1528707169,11,6
1528709071,3,9
1528710980,4,10
1528712919,3,12
1528714900,5,15
1528716755,6,21
1528718692,5,13
1528720585,5,13
1528722530,6,5
1528724422,2,6
1528726354,3,2
1528728273,3,10
1528730198,8,12
1528732211,6,5
1528734473,1,9
1528736597,5,6
1528738619,10,11
1528740621,5,11
1528742712,4,14
1528744603,5,10
1528746435,7,9
1528748424,4,8
1528750340,7,5
1528752270,9,5
1528754196,3,15
1528756107,4,27
1528758121,10,30
1528760062,2,66
1528761881,3,22
1528763782,6,16
1528765718,9,9
1528767631,9,15
1528769546,5,22
1528771476,1,18
1528773377,7,13
1528775301,12,4
1528777239,9,2
1528779146,3,5
1528781065,3,7
1528782998,4,4
1528784908,8,4
1528786912,7,5
1528788760,3,2
1528790667,7,4
1528792581,2,8
1528794534,5,8
1528796425,3,3
1528798348,7,2
1528800282,6,4
1528802182,4,3
1528804107,4,6
1528806065,8,6
1528807942,5,9
1528809862,1,1
1528811797,6,4
1528813705,3,4
1528815723,7,4
1528817568,5,7
1528819900,3,8
1528821880,2,2
1528823784,5,8
1528825718,93,6
1528827638,0,5
1528829540,2,6
1528831464,2,6
1528833395,5,5
1528835298,1,10
1528837115,3,10
1528838918,3,3
1528840953,0,6
1528842977,1,4
1528844903,1,8
1528846836,3,1
1528848739,2,4
1528850673,0,10
1528852575,3,9
1528854497,4,9
1528856431,2,4
1528858353,3,3
1528860259,3,7
1528862191,2,13
1528864098,4,5
1528866113,0,1
1528867960,3,9
1528869876,1,9
1528871783,1,8
1528873730,3,7
1528875627,4,3
1528877548,4,7
1528879479,3,2
1528881392,1,5
1528883304,4,6
1528885240,6,8
1528887151,5,6
1528889064,5,3
1528890998,1,4
1528892908,1,8
1528894910,1,6
1528896765,3,2
1528898673,2,5
1528900583,1,3
1528902512,1,4
1528904429,1,4
1528906362,3,3
1528908272,3,1
1528910189,4,5
1528912121,0,3
1528914022,0,1
1528915964,5,1
1528918920,4,6
1528920758,1,2
1528922666,1,1
1528924598,5,1
1528926505,1,0
1528928443,2,2
1528931679,2,2
1528933480,2,1
1528935405,3,2
1528937435,1,0
1528939240,2,4
1528941149,2,4
1528943067,3,0
1528946191,6,7
1528948095,1,2
1528950017,2,2
1528951951,2,0
1528953859,1,1
1528955775,0,1
1528957714,7,1
1528959756,2,3
1528961780,4,0
1528963708,6,2
1528965640,7,2
1528967540,6,1
1528969477,5,2
