DateTime,Entries,UniqueIPs
1527993836,571,571
1527996237,559,559
1527996237,559,559
1527998628,282,282
1527998628,282,282
1528001096,282,282
1528001096,282,282
1528003392,283,283
1528003392,283,283
1528005417,501,501
1528007373,489,489
1528009335,483,483
1528011152,468,468
1528013070,464,464
1528015001,454,454
1528016908,437,437
1528018851,434,434
1528020751,422,422
1528022664,421,421
1528024492,408,408
1528026499,401,401
1528028316,403,403
1528030351,367,367
1528032268,365,365
1528034187,355,355
1528036111,349,349
1528038108,346,346
1528039952,346,346
1528041878,349,349
1528043779,347,347
1528045707,343,343
1528047709,347,347
1528049552,352,352
1528051512,353,353
1528053402,352,352
1528055346,346,346
1528057230,343,343
1528059195,338,338
1528061072,330,330
1528063016,329,329
1528064924,345,345
1528066916,357,357
1528068757,363,363
1528070698,370,370
1528072581,387,387
1528074544,391,391
1528076427,394,394
1528078398,375,375
1528080266,366,366
1528082242,360,360
1528084117,365,365
1528086059,375,375
1528087951,375,375
1528089908,374,374
1528091780,373,373
1528093734,373,373
1528095711,378,378
1528097597,381,381
1528099472,381,381
1528101453,381,381
1528103307,382,382
1528105274,387,387
1528107157,385,385
1528109100,375,375
1528110990,357,357
1528112929,354,354
1528114842,341,341
1528116792,339,339
1528118685,341,341
1528120552,342,342
1528122514,345,345
1528124510,349,349
1528126349,350,350
1528128340,346,346
1528130196,353,353
1528132144,356,356
1528134056,352,352
1528135962,345,345
1528137878,336,336
1528139815,339,339
1528141719,339,339
1528143643,339,339
1528145575,335,335
1528147487,334,334
1528149395,330,330
1528151341,303,303
1528153323,288,288
1528155154,271,271
1528157074,257,257
1528159008,236,236
1528160916,226,226
1528162829,217,217
1528164758,220,220
1528166679,219,219
1528168594,221,221
1528170547,214,214
1528172441,207,207
1528174353,206,206
1528176290,201,201
1528178191,209,209
1528180413,211,211
1528182277,204,204
1528184188,203,203
1528186111,209,209
1528188027,215,215
1528189949,213,213
1528191875,204,204
1528193787,201,201
1528195705,202,202
1528197635,201,201
1528199552,199,199
1528201464,201,201
1528203388,200,200
1528205311,201,201
1528207310,200,200
1528209157,191,191
1528211084,185,185
1528213506,187,187
1528215410,195,195
1528217318,198,198
1528219224,221,221
1528221168,231,231
1528223068,236,236
1528225008,246,246
1528226900,254,254
1528229020,260,260
1528230981,264,264
1528232916,265,265
1528234824,268,268
1528236755,274,274
1528238665,281,281
1528240581,284,284
1528242508,294,294
1528244432,297,297
1528246344,296,296
1528248277,295,295
1528250192,301,301
1528252102,305,305
1528254115,309,309
1528256040,315,315
1528257873,325,325
1528259796,331,331
1528261703,342,342
1528263627,353,353
1528265570,362,362
1528267782,382,382
1528269631,394,394
1528271568,399,399
1528273476,404,404
1528275401,405,405
1528277315,415,415
1528279304,425,425
1528281164,431,431
1528283085,438,438
1528285005,451,451
1528286930,455,455
1528288832,465,465
1528290767,481,481
1528292690,496,496
1528294588,512,512
1528296511,516,516
1528298436,529,529
1528300347,539,539
1528302284,534,534
1528304186,533,533
1528306283,525,525
1528308093,519,519
1528311729,517,517
1528313599,512,512
1528320517,517,517
1528324435,514,514
1528326795,515,515
1528331848,508,508
1528335452,508,508
1528337324,504,504
1528339249,493,493
1528341187,493,493
1528343199,486,486
1528345017,482,482
1528346915,477,477
1528348828,472,472
1528350773,465,465
1528352982,463,463
1528354911,448,448
1528356755,451,451
1528358679,447,447
1528360584,450,450
1528362510,442,442
1528364432,439,439
1528366348,432,432
1528368269,425,425
1528370191,414,414
1528372104,403,403
1528374036,401,401
1528375970,392,392
1528377863,384,384
1528379785,369,369
1528381645,365,365
1528383705,351,351
1528385567,345,345
1528387474,336,336
1528389395,330,330
1528391328,325,325
1528393233,322,322
1528395165,322,322
1528397081,322,322
1528398988,321,321
1528400930,323,323
1528402831,321,321
1528404749,327,327
1528406690,340,340
1528408595,354,354
1528411119,362,362
1528413145,361,361
1528415091,383,383
1528417001,414,414
1528418905,417,417
1528420837,428,428
