DateTime,Entries,UniqueIPs
1528597226,8995,9178
1528597948,8993,9176
1528598659,8991,9174
1528599379,8993,9176
1528600353,8998,9181
1528601060,9000,9183
1528601807,8999,9182
1528602494,9000,9183
1528603223,9004,9187
1528604183,9000,9183
1528604892,9000,9183
1528605617,9000,9183
1528606332,8999,9182
1528607060,9000,9183
1528608015,8998,9181
1528608994,8992,9175
1528609958,8996,9179
1528610919,9000,9183
1528611617,9002,9185
1528612344,9005,9188
1528613054,9006,9189
1528613773,9009,9192
1528614744,9011,9194
1528615451,9011,9194
1528616172,9014,9197
1528616891,9015,9198
1528617614,9014,9197
1528618334,9009,9192
1528619060,9014,9197
1528619768,9011,9194
1528620492,9008,9191
1528621222,8998,9181
1528621935,9003,9186
1528622650,9004,9187
1528623372,9003,9186
1528624088,9005,9187
1528624834,9000,9182
1528625533,9006,9188
1528626253,9008,9190
1528626969,9001,9183
1528627690,9014,9196
1528628421,9011,9193
1528629160,9012,9194
1528629860,9008,9190
1528630584,9011,9193
1528631299,9012,9194
1528632037,9006,9188
1528632734,9001,9183
1528633453,9005,9187
1528634168,9006,9188
1528634900,9010,9192
1528635612,9006,9188
1528636594,9004,9186
1528637288,9014,9196
1528638013,9008,9190
1528638975,9001,9183
1528639947,9009,9191
1528640659,9006,9188
1528641381,9012,9195
1528642101,9027,9210
1528642831,9026,9209
1528643541,9020,9203
1528644285,9015,9198
1528644980,9020,9203
1528645706,9014,9197
1528646432,9016,9199
1528647146,9010,9193
1528647859,9013,9194
1528648586,9013,9196
1528649544,9020,9203
1528650516,9020,9203
1528651219,9024,9207
1528651949,9023,9206
1528652659,9025,9208
1528653379,9031,9214
1528654349,9026,9209
1528655060,9024,9207
1528655785,9017,9200
1528656498,9020,9203
1528657226,9022,9205
1528657941,9021,9204
1528658662,9011,9194
1528659378,9014,9197
1528660107,9017,9200
1528660826,9023,9206
1528661554,9018,9201
1528662260,9017,9200
1528662981,9020,9203
1528663953,9025,9208
1528664915,9028,9211
1528666863,9021,9204
1528667540,9025,9208
1528668521,9026,9209
1528669464,9029,9212
1528670428,9028,9211
1528671388,9026,9209
1528672098,9029,9212
1528672826,9034,9217
1528673545,9036,9219
1528674264,9035,9218
1528674977,9039,9222
1528675703,9041,9224
1528676416,9036,9219
1528677159,9029,9211
1528677849,9042,9224
1528678580,9036,9218
1528679295,9043,9225
1528680020,9042,9224
1528680978,9042,9224
1528681687,9041,9223
1528682436,9044,9226
1528683134,9040,9222
1528683853,9041,9223
1528684815,9044,9226
1528685530,9039,9221
1528686279,9035,9217
1528686980,9042,9224
1528687701,9038,9220
1528688418,9041,9223
1528689142,9037,9219
1528689862,9037,9219
1528690586,9041,9223
1528691634,9046,9228
1528692258,9045,9227
1528692980,9047,9229
1528693697,9045,9227
1528694426,9049,9231
1528695143,9054,9236
1528695865,9051,9233
1528696581,9052,9234
1528697313,9055,9237
1528698015,9054,9236
1528698747,9057,9235
1528699461,9054,9232
1528700179,9056,9234
1528700898,9061,9239
1528701652,9060,9238
1528702345,9060,9238
1528703064,9059,9237
1528704030,9056,9234
1528704745,9056,9234
1528705468,9060,9239
1528706181,9061,9240
1528707150,9066,9245
1528707865,9068,9247
1528708582,9071,9250
1528709301,9074,9253
1528710022,9068,9247
1528710738,9067,9246
1528711472,9062,9241
1528712200,9069,9248
1528712898,9069,9248
1528713624,9072,9251
1528714343,9070,9249
1528715066,9065,9244
1528715779,9069,9248
1528716499,9065,9244
1528717224,9073,9252
1528717938,9070,9249
1528718670,9069,9248
1528719631,9076,9255
1528720349,9079,9258
1528721060,9073,9252
1528721778,9079,9258
1528722510,9075,9254
1528723220,9075,9254
1528723945,9075,9254
1528724667,9080,9259
1528725404,9081,9260
1528726092,9090,9269
1528726810,9097,9276
1528727535,9093,9272
1528728256,9096,9275
1528728966,9093,9272
1528729692,9090,9269
1528730412,9093,9272
1528731058,9094,9273
1528731783,9098,9277
1528732744,9101,9280
1528734444,9111,9295
1528735197,9108,9292
1528736083,9110,9294
1528737047,9112,9296
1528737868,9119,9303
1528738586,9117,9301
1528739202,9115,9299
1528740029,9120,9304
1528740983,9132,9316
1528741685,9130,9314
1528742379,9134,9318
1528743148,9141,9325
1528743871,9141,9321
1528744579,9144,9324
1528745294,9147,9327
1528746019,9149,9329
1528746760,9142,9322
1528747467,9147,9327
1528748180,9149,9329
1528749031,9152,9332
1528749867,9144,9324
1528750574,9137,9317
1528751300,9152,9332
1528751929,9143,9323
1528752741,9153,9333
1528753458,9153,9333
1528754174,9154,9334
1528754903,9160,9340
1528755618,9154,9334
1528756348,9154,9334
1528757113,9145,9325
1528757771,9152,9332
1528758494,9153,9333
1528759206,9151,9331
1528760042,9139,9319
