DateTime,AddedIPs,RemovedIPs
1528597226,5,0
1528597948,3,10
1528598659,5,6
1528599379,4,0
1528600353,6,11
1528601060,2,10
1528601807,4,3
1528602494,7,8
1528603223,8,0
1528604183,6,13
1528604892,3,10
1528605617,2,4
1528606332,2,0
1528607060,5,3
1528608015,2,9
1528608994,1,5
1528609958,5,5
1528610919,8,6
1528611617,3,5
1528612344,1,2
1528613054,6,3
1528613773,3,3
1528614744,7,4
1528615451,3,5
1528616172,5,5
1528616891,5,0
1528617614,3,5
1528618334,2,7
1528619060,3,7
1528619768,1,0
1528620492,3,15
1528621222,1,8
1528621935,1,0
1528622650,2,6
1528623372,4,3
1528624088,1,3
1528624834,2,7
1528625533,3,2
1528626253,7,6
1528626969,2,0
1528627690,6,2
1528628421,0,4
1528629160,4,9
1528629860,3,0
1528630584,2,7
1528631299,2,6
1528632037,1,9
1528632734,2,0
1528633453,2,1
1528634168,3,3
1528634900,3,3
1528635612,3,0
1528636594,4,9
1528637288,6,11
1528638013,1,6
1528638975,3,3
1528639947,6,7
1528640659,1,11
1528641381,7,0
1528642101,12,3
1528642831,2,9
1528643541,2,0
1528644285,0,4
1528644980,3,8
1528645706,1,7
1528646432,6,0
1528647146,0,4
1528647859,3,9
1528648586,3,3
1528649544,7,8
1528650516,3,5
1528651219,3,0
1528651949,3,3
1528652659,4,10
1528653379,6,9
1528654349,2,1
1528655060,2,0
1528655785,5,7
1528656498,2,7
1528657226,4,3
1528657941,2,0
1528658662,2,7
1528659378,7,8
1528660107,5,5
1528660826,5,0
1528661554,1,3
1528662260,2,5
1528662981,6,9
1528663953,5,4
1528664915,5,5
1528666863,5,12
1528667540,3,0
1528668521,4,7
1528669464,5,0
1528670428,1,15
1528671388,6,0
1528672098,1,7
1528672826,2,4
1528673545,6,4
1528674264,6,0
1528674977,8,5
1528675703,2,4
1528676416,2,17
1528677159,4,6
1528677849,8,0
1528678580,5,4
1528679295,9,7
1528680020,4,4
1528680978,11,15
1528681687,6,11
1528682436,14,10
1528683134,6,0
1528683853,6,7
1528684815,7,10
1528685530,3,3
1528686279,3,6
1528686980,7,0
1528687701,2,7
1528688418,4,3
1528689142,7,2
1528689862,4,0
1528690586,5,11
1528691634,4,3
1528692258,3,2
1528692980,5,5
1528693697,1,0
1528694426,3,3
1528695143,4,1
1528695865,2,3
1528696581,3,0
1528697313,3,7
1528698015,7,4
1528698747,6,1
1528699461,5,4
1528700179,4,0
1528700898,2,5
1528701652,2,3
1528702345,1,0
1528703064,2,2
1528704030,4,5
1528704745,1,7
1528705468,3,10
1528706181,5,0
1528707150,7,5
1528707865,1,0
