DateTime,AddedIPs,RemovedIPs
1528597226,32,34
1528597948,20,51
1528598659,47,29
1528599379,28,32
1528600353,32,55
1528601060,36,46
1528601807,49,49
1528602494,56,30
1528603223,36,56
1528604183,53,42
1528604892,37,27
1528605617,27,40
1528606332,48,31
1528607060,22,90
1528608015,88,39
1528608994,39,38
1528609958,46,56
1528610919,69,41
1528611617,52,53
1528612344,36,61
1528613054,71,33
1528613773,38,48
1528614744,52,31
1528615451,30,33
1528616172,33,57
1528616891,58,34
1528617614,32,34
1528618334,26,37
1528619060,42,33
1528619768,27,40
1528620492,44,31
1528621222,30,40
1528621935,43,47
1528622650,51,44
1528623372,48,47
1528624088,49,53
1528624834,48,48
1528625533,49,36
1528626253,30,43
1528626969,53,76
1528627690,69,23
1528628421,37,31
1528629160,29,49
1528629860,38,45
1528630584,40,37
1528631299,32,38
1528632037,34,39
1528632734,33,35
1528633453,36,35
1528634168,35,48
1528634900,53,35
1528635612,33,38
1528636594,38,73
1528637288,90,28
1528638013,37,48
1528638975,50,36
1528639947,51,41
1528640659,29,77
1528641381,69,89
1528642101,94,61
1528642831,56,60
1528643541,40,66
1528644285,56,47
1528644980,58,42
1528645706,47,55
1528646432,71,58
1528647146,50,34
1528647859,32,39
1528648586,36,51
1528649544,63,46
1528650516,54,48
1528651219,40,31
1528651949,25,31
1528652659,35,42
1528653379,52,28
1528654349,39,62
1528655060,56,30
1528655785,33,50
1528656498,49,51
1528657226,49,30
1528657941,35,47
1528658662,37,41
1528659378,43,36
1528660107,34,42
1528660826,50,58
1528661554,40,35
1528662260,36,38
1528662981,42,35
1528663953,43,48
1528664915,39,44
1528666863,63,51
1528667540,26,31
1528668521,27,36
1528669464,37,48
1528670428,35,30
1528671388,34,63
1528672098,47,28
1528672826,27,31
1528673545,35,38
1528674264,43,43
1528674977,37,29
1528675703,33,35
1528676416,22,30
1528677159,37,29
1528677849,36,24
1528678580,25,42
1528679295,49,38
1528680020,40,36
1528680978,42,49
1528681687,24,45
1528682436,67,44
1528683134,32,38
1528683853,29,51
1528684815,47,68
1528685530,44,37
1528686279,41,30
1528686980,34,47
1528687701,49,63
1528688418,61,47
1528689142,52,43
1528689862,38,42
1528690586,35,38
1528691634,44,50
1528692258,49,44
1528692980,53,36
1528693697,40,42
1528694426,35,28
1528695143,24,72
1528695865,59,32
1528696581,48,49
1528697313,47,51
1528698015,44,30
1528698747,33,49
1528699461,46,48
1528700179,52,39
1528700898,40,41
1528701652,37,44
1528702345,48,57
1528703064,55,54
1528704030,58,51
1528704745,52,36
1528705468,36,24
1528706181,33,44
1528707150,55,47
1528707865,39,38
1528708582,38,37
1528709301,56,27
1528710022,23,41
1528710738,44,41
1528711472,25,36
1528712200,56,51
1528712898,46,40
1528713624,29,41
1528714343,39,39
1528715066,29,29
1528715779,43,36
1528716499,38,36
1528717224,44,48
1528717938,49,39
1528718670,31,51
1528719631,64,53
1528720349,51,43
1528721060,37,44
1528721778,58,42
1528722510,45,43
1528723220,49,25
1528723945,32,43
1528724667,41,38
1528725404,28,56
1528726092,46,25
1528726810,40,30
1528727535,29,44
1528728256,35,41
1528728966,43,36
1528729692,46,25
1528730412,21,33
1528731058,29,46
1528731783,45,42
1528732744,44,35
1528734444,66,62
1528735197,40,50
1528736083,62,49
1528737047,45,35
1528737868,44,45
1528738586,29,42
1528739202,25,36
1528740029,63,51
1528740983,61,39
1528741685,29,45
1528742379,47,34
1528743148,47,39
1528743871,37,46
1528744579,33,52
1528745294,50,23
1528746019,34,39
1528746760,40,39
1528747467,38,33
1528748180,25,37
1528749031,41,25
1528749867,18,54
1528750574,39,49
1528751300,59,37
1528751929,36,38
1528752741,40,34
1528753458,35,40
1528754174,33,36
1528754903,32,33
1528755618,24,32
1528756348,34,48
1528757113,43,43
1528757771,45,45
