DateTime,Entries,UniqueIPs
1528597226,8231,8231
1528597948,8200,8200
1528598659,8218,8218
1528599379,8214,8214
1528600353,8191,8191
1528601060,8181,8181
1528601807,8181,8181
1528602494,8207,8207
1528603223,8187,8187
1528604183,8198,8198
1528604892,8208,8208
1528605617,8195,8195
1528606332,8212,8212
1528607060,8144,8144
1528608015,8193,8193
1528608994,8194,8194
1528609958,8184,8184
1528610919,8212,8212
1528611617,8211,8211
1528612344,8186,8186
1528613054,8224,8224
1528613773,8214,8214
1528614744,8235,8235
1528615451,8232,8232
1528616172,8208,8208
1528616891,8232,8232
1528617614,8230,8230
1528618334,8219,8219
1528619060,8228,8228
1528619768,8215,8215
1528620492,8228,8228
1528621222,8218,8218
1528621935,8214,8214
1528622650,8221,8221
1528623372,8222,8222
1528624088,8218,8218
1528624834,8218,8218
1528625533,8231,8231
1528626253,8218,8218
1528626969,8195,8195
1528627690,8241,8241
1528628421,8247,8247
1528629160,8227,8227
1528629860,8220,8220
1528630584,8223,8223
1528631299,8217,8217
1528632037,8212,8212
1528632734,8210,8210
1528633453,8211,8211
1528634168,8198,8198
1528634900,8216,8216
1528635612,8211,8211
1528636594,8176,8176
1528637288,8238,8238
1528638013,8227,8227
1528638975,8241,8241
1528639947,8251,8251
1528640659,8203,8203
1528641381,8183,8183
1528642101,8216,8216
1528642831,8212,8212
1528643541,8186,8186
1528644285,8195,8195
1528644980,8211,8211
1528645706,8203,8203
1528646432,8216,8216
1528647146,8232,8232
1528647859,8225,8225
1528648586,8210,8210
1528649544,8227,8227
1528650516,8233,8233
1528651219,8242,8242
1528651949,8236,8236
1528652659,8229,8229
1528653379,8253,8253
1528654349,8230,8230
1528655060,8256,8256
1528655785,8239,8239
1528656498,8237,8237
1528657226,8256,8256
1528657941,8244,8244
1528658662,8240,8240
1528659378,8247,8247
1528660107,8239,8239
1528660826,8231,8231
1528661554,8236,8236
1528662260,8234,8234
1528662981,8241,8241
1528663953,8236,8236
1528664915,8231,8231
1528666863,8243,8243
1528667540,8238,8238
1528668521,8229,8229
1528669464,8218,8218
1528670428,8223,8223
1528671388,8194,8194
