DateTime,AddedIPs,RemovedIPs
1528264593,3,0
1528265663,2,1
1528266797,3,1
1528267355,2,1
1528269262,5,2
1528270873,1,2
1528272633,15,0
1528274435,8,6
1528275934,11,4
1528277304,5,0
1528278155,8,4
1528280077,6,2
1528282379,14,6
1528283735,18,0
1528284924,7,1
1528286246,13,1
1528287277,9,0
1528289001,13,1
1528290861,13,4
1528292543,11,2
1528294463,3,3
1528295315,2,0
1528296628,3,2
1528298074,1,1
1528299454,1,3
1528301662,5,9
1528302514,2,0
1528303652,1,11
1528305033,2,2
1528306954,2,0
1528308517,2,4
1528313313,12,2
1528318598,22,8
1528325001,16,15
1528329028,5,3
1528332983,3,4
1528334105,1,0
1528335646,0,1
1528337439,3,2
1528338684,2,2
1528339830,2,0
1528341265,1,1
1528342672,4,2
1528344870,3,6
1528346450,2,7
1528348471,2,1
1528349324,1,0
1528350482,1,7
1528352067,5,7
1528352913,1,0
1528354223,1,7
1528355662,4,9
1528357356,2,7
1528358756,3,6
1528360108,1,0
1528361784,2,9
1528363236,0,6
1528364553,0,6
1528366467,3,1
1528367302,3,0
1528368988,2,3
1528370135,2,2
1528371332,1,9
1528372730,2,2
1528374037,2,1
1528375231,1,3
1528377335,3,3
1528378114,2,0
1528378948,1,1
1528379785,2,0
1528381712,7,4
1528383065,6,6
1528384461,3,2
1528385731,6,4
1528386983,1,0
1528388068,0,8
1528389749,3,4
1528391662,1,1
1528392865,1,6
1528394093,1,0
1528395208,0,5
1528396948,2,3
1528397795,2,0
1528398957,1,0
1528400737,4,12
1528401384,2,0
1528402475,7,0
1528403312,1,0
1528405530,4,7
1528406702,12,2
1528407936,17,0
1528409440,5,1
1528410626,1,4
1528413032,7,5
1528414237,2,2
1528415434,2,2
1528416864,2,1
1528418542,2,2
1528419390,5,0
1528420533,4,6
1528421301,4,0
1528422993,10,3
1528424147,1,2
1528425698,4,2
1528427681,9,0
1528428504,3,1
1528429363,4,8
1528430197,8,0
1528431335,2,12
1528432103,2,0
1528433784,2,18
1528434882,4,4
1528436440,5,2
1528438235,6,4
1528439310,3,0
1528440144,0,4
1528442062,1,8
1528443746,3,8
1528445672,4,9
1528447240,5,7
1528448746,2,8
1528449876,2,0
1528450976,1,24
1528452865,4,12
1528454543,11,16
1528455383,7,0
1528456464,18,10
1528457310,5,0
1528458176,6,17
1528459692,6,6
1528460908,3,0
1528463141,12,23
1528464638,13,3
1528466131,13,1
1528467270,4,3
1528468955,5,1
1528470119,4,3
1528471708,3,0
1528473323,5,6
1528474561,5,1
1528476174,11,3
1528477556,11,0
1528478914,4,1
1528480537,3,2
1528481705,3,3
1528483002,4,6
1528484182,6,1
1528486115,10,5
1528487427,0,11
1528489016,1,5
1528489713,1,0
1528490545,5,8
1528491390,7,1
1528492477,6,4
1528494151,10,3
1528495851,8,2
1528496902,8,0
1528498594,7,4
1528499732,9,0
1528501254,7,2
1528503038,6,2
1528504120,1,0
1528505729,6,2
1528506872,2,2
1528507712,1,0
1528509373,3,7
1528511214,2,0
1528512373,1,3
1528513538,1,4
