DateTime,AddedIPs,RemovedIPs
1528324983,503,421
1528329011,310,243
1528332965,283,124
1528334074,123,62
1528335623,151,156
1528337408,138,70
1528338657,91,88
1528339807,69,0
1528341246,106,90
1528342648,117,128
1528344845,197,142
1528346420,127,152
1528347380,65,0
1528348445,58,64
1528349308,34,0
1528350464,73,135
1528352047,156,84
1528352886,63,0
1528354206,119,188
1528355646,134,100
1528357333,110,98
1528358736,191,151
1528360086,510,0
1528361767,207,149
1528363211,93,96
1528363693,36,0
1528364526,67,110
1528366447,222,69
1528367286,90,0
1528368966,185,93
1528370107,55,87
1528371310,64,93
1528372680,67,22
1528374012,86,47
1528375206,116,92
1528377306,165,89
1528378086,55,1
1528378926,43,107
1528379766,63,0
1528381686,110,71
1528383025,75,118
1528384446,117,77
1528385706,125,88
1528386966,74,0
1528388046,44,92
1528389734,199,150
1528391646,113,68
1528392839,52,150
1528394077,80,0
1528395184,73,204
1528396927,92,141
1528397766,36,0
1528398907,68,74
1528400712,145,83
1528401366,47,0
1528402446,99,111
1528403286,58,0
1528405510,114,214
1528406687,76,0
1528407908,92,96
1528409406,359,78
1528410599,68,124
1528413007,146,121
1528414209,83,106
1528415406,92,27
1528415766,26,0
1528416846,41,71
1528417686,39,0
1528418526,53,140
1528419367,44,0
1528420513,65,129
1528421285,64,0
1528422967,120,127
1528424114,66,81
1528425632,86,108
1528427647,135,77
1528428486,73,1
1528429335,72,123
1528430168,47,0
1528431307,93,142
1528432086,44,0
1528433766,108,180
1528434852,89,110
1528436411,120,117
1528438206,129,134
1528439286,74,0
1528440126,88,175
1528442045,120,98
1528443727,95,179
1528445646,173,92
1528447206,137,121
1528448717,111,146
1528449854,68,1
1528450944,86,175
1528452845,154,81
1528454527,128,146
1528455365,51,3
1528456446,66,102
1528457287,48,0
1528458143,42,124
1528459670,138,92
1528460886,89,0
1528463109,134,236
1528464607,83,159
1528466106,97,0
1528467237,88,154
1528468934,142,132
1528470099,104,63
1528471686,120,0
1528473301,110,169
1528474514,76,97
1528476136,130,146
1528477533,97,93
1528478891,70,1
1528480512,128,100
1528481686,66,135
1528482985,58,108
1528484165,85,58
1528486092,112,124
1528487406,111,204
1528488505,74,92
1528490527,118,151
1528491366,89,0
1528492446,63,174
1528494127,133,146
1528495833,77,97
1528496886,40,3
1528498567,78,256
1528499706,114,81
1528501220,141,187
1528503013,102,72
1528503246,13,0
1528504087,65,0
1528505703,84,215
1528506846,107,133
1528507686,52,0
1528509342,126,175
1528511181,120,66
1528512344,73,218
1528513512,67,134
1528515179,93,158
1528516573,110,0
1528517709,59,126
1528519327,98,134
1528520630,58,101
1528522087,73,0
1528522927,52,224
1528524846,141,134
1528526338,176,141
1528528511,133,183
1528530134,108,434
1528530965,53,0
1528532111,51,184
1528532885,76,0
1528534174,132,116
1528535406,97,223
1528535646,18,0
1528536486,66,0
1528537334,44,259
1528539251,92,109
1528540181,48,106
1528541765,82,43
1528542846,53,62
1528544422,91,211
1528545365,45,0
1528546447,53,107
1528548127,92,95
1528548972,50,0
1528550111,75,124
1528551727,104,156
1528553408,91,50
1528554608,79,134
1528556444,99,142
1528557606,42,0
1528558811,91,150
1528560612,130,215
1528561811,66,91
1528563365,59,26
1528564478,35,106
1528565710,72,109
1528567295,88,99
1528568046,59,0
1528569630,154,132
1528571112,167,99
1528573327,140,175
1528575246,102,133
1528576087,43,0
1528577211,82,164
1528578311,149,453
1528579809,106,251
1528581012,75,48
1528582209,71,79
1528584164,116,132
1528586046,111,135
1528587152,40,82
1528588287,58,39
1528589646,69,69
1528590492,34,0
1528591326,40,188
1528593246,166,84
1528594085,48,0
1528596847,144,259
1528598105,78,139
1528599308,159,58
1528600448,57,87
1528602035,97,146
1528603811,102,71
1528605015,88,129
1528606206,66,53
1528606566,18,0
1528607712,53,92
1528608907,55,130
1528609334,31,67
1528611011,88,69
1528612927,156,108
1528614306,108,141
1528615695,70,0
1528616819,67,240
1528618206,74,72
1528619286,43,0
1528620129,37,130
1528620965,59,0
1528622105,88,136
1528622887,51,0
1528623728,49,204
1528625123,110,82
1528626486,97,0
1528627807,62,146
1528629006,64,73
1528630927,109,218
1528632854,114,75
1528634528,90,130
1528636446,72,92
1528638126,104,207
1528639806,86,84
1528640886,76,0
1528642470,94,173
1528643645,87,87
1528645331,132,184
1528646166,38,0
1528647306,67,127
1528648086,56,0
1528648927,58,123
1528649766,41,0
1528650846,34,103
1528652526,115,109
1528654210,123,82
1528656129,194,89
1528658045,178,131
1528659728,88,151
1528660569,71,0
1528661646,53,131
1528663326,96,104
1528666086,162,137
1528666929,53,88
1528667766,41,0
1528668907,37,60
1528670527,62,164
1528671366,34,0
1528672510,41,153
1528673286,33,0
1528674126,51,126
1528674966,78,0
1528676105,78,73
1528677269,80,162
1528678661,104,33
1528679646,56,107
1528681333,214,110
1528683308,208,107
1528684218,62,98
1528685766,99,30
1528686846,72,83
1528687969,55,101
1528689373,100,0
1528690446,48,88
1528692127,121,95
1528694046,163,119
1528695730,147,252
1528696577,42,0
1528697707,76,77
1528698486,43,0
1528700691,156,247
1528702912,160,97
1528703767,46,1
1528704847,116,153
1528706107,101,145
1528707210,107,33
1528708453,128,60
1528710129,200,145
1528711713,160,60
1528713311,122,73
1528713733,34,0
1528714569,64,1
1528715646,88,84
1528716486,76,1
1528718167,112,118
1528719305,112,94
1528720810,90,97
1528722846,146,138
1528723686,50,0
1528724531,54,156
1528725366,53,0
1528726507,78,73
1528727288,34,0
1528728966,82,129
1528730106,71,85
1528731307,73,106
1528731728,31,15
1528733645,101,54
1528734906,88,74
1528735326,32,40
1528736166,69,1
1528737311,105,78
1528738926,183,147
1528739779,117,0
1528740845,84,211
1528742423,163,156
1528744446,223,100
1528745285,87,1
1528746134,109,140
1528747814,156,111
1528749727,224,243
1528751111,158,102
1528752486,171,0
1528753337,89,133
1528755246,198,85
1528756093,58,0
1528756927,61,119
1528758307,115,74
1528759471,129,0
1528761373,194,98
1528762507,93,142
1528763292,52,0
1528764905,124,155
1528766112,103,79
1528767307,92,98
1528768453,83,0
1528769647,114,169
1528770892,100,111
1528772720,182,92
1528773246,23,0
1528774552,122,122
1528775708,104,37
1528776912,148,69
1528777687,69,0
1528778527,68,89
1528780446,155,90
1528781286,61,0
1528782127,71,168
1528782966,78,0
1528784046,77,117
1528784886,58,0
1528785726,95,91
1528786566,86,0
1528787646,91,121
1528788929,99,90
1528790111,119,34
1528791307,98,77
1528792086,53,1
1528793364,126,150
1528794614,82,99
1528795686,79,0
1528797007,92,140
1528797366,20,0
1528798447,73,74
1528799287,49,0
1528800126,63,127
1528800966,75,0
1528802114,64,76
1528803611,91,101
1528805074,106,101
1528806486,81,0
1528807330,66,122
1528809246,117,61
1528810086,54,0
1528811690,83,114
1528812907,123,123
1528813686,55,0
1528815001,104,184
1528815369,21,0
1528816445,83,66
1528817286,54,0
1528818971,116,173
1528820107,104,80
1528821727,175,96
1528823106,101,120
1528824618,91,116
1528825327,44,55
1528827245,118,144
1528828811,121,102
1528830846,96,134
1528832134,71,107
1528833313,68,43
1528834507,92,51
1528836132,104,127
1528837306,57,108
1528838047,80,0
1528839732,144,78
1528840572,53,0
1528841647,53,61
1528843327,105,119
1528844706,88,91
1528845877,70,0
1528846928,60,149
1528847773,102,0
1528848905,108,83
1528850527,95,179
1528851373,37,0
1528852507,68,216
1528853286,70,0
1528854127,63,134
1528854972,82,0
1528856047,50,124
1528857730,110,143
1528858566,53,0
1528859647,64,55
1528860487,41,0
1528863247,206,238
1528864086,56,0
1528865410,72,183
1528866611,55,80
1528867687,54,0
1528869306,118,101
1528870445,80,124
1528871286,49,0
1528872935,129,127
1528874106,93,97
1528875338,123,161
1528876506,116,53
1528877646,109,124
1528879327,137,244
1528880711,91,115
1528882086,104,0
1528883766,112,210
1528884910,67,85
1528886326,87,166
1528887367,61,0
1528888447,60,140
1528890127,116,119
1528890973,50,0
1528892046,89,107
1528893243,143,114
1528894506,82,42
1528895647,62,88
1528897104,115,105
1528898167,96,36
1528899246,85,69
1528900928,132,145
1528902306,128,67
1528903686,115,1
1528905965,210,215
1528908126,241,227
1528909245,87,149
1528910886,200,1
1528912207,186,147
1528913405,149,190
1528914485,204,0
1528916166,240,253
1528917245,119,123
1528918086,112,0
1528919406,125,184
1528920846,152,86
1528922240,123,131
1528923907,126,170
1528925287,135,1
1528926127,120,94
1528928046,129,126
1528928886,69,0
1528929733,86,201
1528931113,148,136
1528932305,76,0
1528934169,138,148
1528935306,98,97
1528936086,52,0
1528936927,63,169
1528938853,190,87
1528940413,153,168
1528942207,197,137
1528943458,74,133
1528944913,121,72
1528946107,148,106
1528946895,73,0
1528947727,60,191
1528949646,172,89
1528951074,104,131
1528953246,163,132
1528954506,84,114
1528955779,143,106
1528956846,121,153
1528958106,141,145
1528959912,163,172
1528960446,51,0
1528961719,109,148
1528962913,224,45
1528964045,114,121
1528965163,82,122
1528965727,38,48
1528967646,158,72
1528969211,189,116
1528970851,276,148
