DateTime,AddedIPs,RemovedIPs
1528296638,9,13
1528299459,4,4
1528301666,1,3
1528302518,6,0
1528303656,3,1
1528305037,5,4
1528306959,12,6
1528308522,4,7
1528313318,8,8
1528318602,12,5
1528325005,13,9
1528329032,15,12
1528332988,23,15
1528334111,4,15
1528335652,5,18
1528337445,16,3
1528338694,11,9
1528339835,6,0
1528341270,12,9
1528342678,7,12
1528344874,20,12
1528346455,13,10
1528347419,6,0
1528348476,3,9
1528349328,5,0
1528350495,7,17
1528352072,13,8
1528352918,3,0
1528354228,10,20
1528355667,10,4
1528357361,9,11
1528358760,10,13
1528360113,17,0
1528361789,9,21
1528363240,9,6
1528363718,3,0
1528364558,5,11
1528366471,7,8
1528367307,13,0
1528368994,7,10
1528370140,8,8
1528371337,1,7
1528372739,5,4
1528374042,6,1
1528375236,4,8
1528377339,6,6
1528378120,1,0
1528378980,3,5
1528379790,3,0
1528381717,8,4
1528383070,3,5
1528384467,3,8
1528385735,1,8
1528388072,1,4
1528389754,3,6
1528391667,1,2
1528392874,0,7
1528394098,7,0
1528395212,0,9
1528396953,5,6
1528398962,2,5
1528400742,5,3
1528402480,4,4
1528403317,3,0
1528405534,9,9
1528406710,2,1
1528407941,2,4
1528409445,6,4
1528410631,1,4
1528413038,1,5
1528414248,4,9
1528415439,5,2
1528416869,3,6
1528417706,6,0
1528418547,2,12
1528419397,4,1
1528420538,8,17
1528421307,2,0
1528423002,12,16
1528424152,10,7
1528425708,14,12
1528427686,13,12
1528428509,3,0
1528429369,7,8
1528430203,7,0
1528431340,12,13
1528432108,5,0
1528433791,11,10
1528434887,8,6
1528436446,4,9
1528438239,16,13
1528439315,9,0
1528440149,7,16
1528442067,13,12
1528443751,17,12
1528445677,16,12
1528447244,11,2
1528448751,9,8
1528449881,9,0
1528450981,10,18
1528452870,13,5
1528454547,12,9
1528455388,2,0
1528456470,8,6
1528457315,5,0
1528458181,4,2
1528459704,8,4
1528460914,3,0
1528463150,5,11
1528464645,4,2
1528466136,7,0
1528467280,3,9
1528468959,3,2
1528470124,4,2
1528471713,10,0
1528473353,1,10
1528474567,2,1
1528476205,1,14
1528477587,2,4
1528478981,3,5
1528480542,8,0
1528481721,4,2
1528483007,3,4
1528484186,4,2
1528486120,3,3
1528487437,2,4
1528489032,4,5
1528489718,1,0
1528490550,0,4
1528491395,2,0
1528492482,1,3
1528494156,4,5
1528495856,4,2
1528496908,7,0
1528498601,10,13
1528499741,4,2
1528501263,6,14
1528503071,12,11
1528503277,4,0
1528504125,9,0
1528505734,5,6
1528506877,9,13
1528507717,4,0
1528509379,13,23
1528511260,18,5
1528512379,6,13
1528513547,9,4
1528515231,7,17
1528516614,6,0
1528517743,7,10
1528519357,7,13
1528520677,5,7
1528522118,7,0
1528522963,3,16
1528524881,13,10
1528526386,7,12
1528528543,11,11
1528530158,16,28
1528531000,11,0
1528532139,3,6
1528532917,5,0
1528534196,5,14
1528535435,5,10
1528535678,1,0
1528536515,5,0
1528537355,1,25
1528539282,1,6
1528540213,4,8
1528541792,5,1
1528542866,7,5
1528544449,6,6
1528545387,4,0
1528546474,4,5
1528548153,7,3
1528549006,2,0
1528550141,3,11
1528551756,13,10
1528553435,5,1
1528554647,10,4
1528556081,8,0
1528557217,8,3
1528558322,3,1
1528559714,4,0
1528560907,6,2
1528562073,4,1
1528563388,4,0
1528564500,4,8
1528565744,4,7
1528567325,4,2
1528569660,1,10
1528571139,5,3
1528573347,4,15
1528575268,2,9
1528576121,1,0
1528577257,1,3
1528578637,0,3
1528579846,2,2
1528581054,1,1
1528582245,8,3
1528583316,5,0
1528584202,2,9
1528586070,1,7
1528587191,2,3
1528588309,11,0
1528589669,5,5
1528590527,2,0
1528591347,3,14
1528593277,5,5
1528594118,6,0
1528596896,12,30
1528598150,9,7
1528599348,7,2
1528600496,10,12
1528602095,8,15
1528603846,9,6
1528605056,7,12
1528606243,5,2
1528606590,3,0
1528607745,3,12
1528609357,4,21
1528611049,9,11
1528612963,10,13
1528614338,9,18
1528615731,5,0
1528616875,0,19
1528618239,3,4
1528619319,8,0
1528620157,3,11
1528621000,1,0
1528622149,1,11
1528622922,1,0
1528623759,4,12
1528625151,9,6
1528626527,5,0
1528627835,6,13
1528629035,3,8
1528630955,6,8
1528632883,5,2
1528634565,1,4
1528636478,7,2
1528638159,4,5
1528639837,4,3
1528640915,1,0
1528642512,4,11
1528643675,0,3
1528645358,4,6
1528646193,3,0
1528647342,3,4
1528648120,1,0
1528648956,0,2
1528649791,2,0
1528650878,1,5
1528652557,2,3
1528654241,7,3
1528656159,3,0
1528658086,6,4
1528659753,1,4
1528661679,2,1
1528663381,4,4
1528666112,3,4
1528666964,1,11
1528667804,1,0
1528668942,2,4
1528670080,0,7
1528670563,1,0
1528672542,1,12
1528674162,2,15
1528674999,3,0
1528676141,7,2
1528677290,8,13
1528678716,7,9
1528679668,5,2
1528681395,8,14
1528684269,20,21
1528685807,14,2
1528686870,11,2
1528688021,14,11
1528689403,19,0
1528690473,6,8
1528692164,14,8
1528694067,14,12
1528695769,28,10
1528696604,6,0
1528697742,11,7
1528698514,7,0
1528700762,14,20
1528702943,10,13
1528703795,3,0
1528704881,6,5
1528706139,8,5
1528707943,7,5
1528708479,5,0
1528710166,11,8
1528711739,12,6
1528713334,9,1
1528713769,8,0
1528714592,5,0
1528715674,7,5
1528716510,5,0
1528718190,7,8
1528719343,25,3
1528720831,5,10
1528722866,9,9
1528723724,3,0
1528724570,5,12
1528725398,2,0
1528726542,2,8
1528727320,3,0
1528728989,3,9
1528730145,4,3
1528731336,3,8
1528731772,1,2
1528733685,9,9
1528735361,4,9
1528736188,3,0
1528737343,1,7
1528738954,6,2
1528739810,1,0
1528740879,0,9
1528742456,4,4
1528744476,5,3
1528745306,3,0
1528746160,3,5
1528747842,2,1
1528749748,6,3
1528751142,2,2
1528752509,0,1
1528753360,2,9
1528755272,3,0
1528756121,3,0
1528756953,1,5
1528758335,5,10
1528759494,11,0
1528761396,7,4
1528762538,9,8
1528763324,1,0
1528764941,12,8
1528766146,8,6
1528767328,7,8
1528768479,11,0
1528769691,18,9
1528770944,10,5
1528772772,18,7
1528773275,4,0
1528774582,9,9
1528775762,9,1
1528776946,8,5
1528777710,13,0
1528778557,4,3
1528780469,17,5
1528781316,6,1
1528782150,4,12
1528782997,10,0
1528784076,5,10
1528784917,7,0
1528785754,9,8
1528786593,6,0
1528787687,6,3
1528788952,18,5
1528790139,12,2
1528792107,12,3
1528793387,11,6
1528794640,9,8
1528795721,8,0
1528797036,6,13
1528798481,8,5
1528799310,6,0
1528800157,4,6
1528800995,1,0
1528802155,4,6
1528803645,5,5
1528805100,5,2
1528806522,2,0
1528807350,4,7
1528809283,7,2
1528810118,4,0
1528811732,6,5
1528812941,3,1
1528813718,2,1
1528815043,8,4
1528815394,1,0
1528816468,5,3
1528817309,5,0
1528818999,4,5
1528820137,15,4
1528821762,1,2
1528823133,1,2
1528824655,3,3
1528827273,5,2
1528828840,1,2
1528830866,2,4
1528832173,19,6
