DateTime,AddedIPs,RemovedIPs
1528318601,196,102
1528325004,251,185
1528329031,132,123
1528332986,126,45
1528334114,75,25
1528335649,112,75
1528337444,61,42
1528338691,32,33
1528339834,15,5
1528341269,57,26
1528342676,72,55
1528344873,97,60
1528346454,24,72
1528347417,33,3
1528348475,17,29
1528349327,11,4
1528350492,39,32
1528352071,62,19
1528352917,43,0
1528354226,52,65
1528355666,67,36
1528357360,35,34
1528358758,79,44
1528360112,36,36
1528361787,56,35
1528363239,36,15
1528363716,14,0
1528364557,36,32
1528366470,112,31
1528367306,55,1
1528368993,125,21
1528370138,24,30
1528371336,30,28
1528372737,27,15
1528374041,14,7
1528375234,49,19
1528377339,82,29
1528378119,25,2
1528378978,22,39
1528379789,36,2
1528381715,59,33
1528383068,34,29
1528384465,76,27
1528385734,98,21
1528386987,48,2
1528388071,26,29
1528389752,118,36
1528391665,49,29
1528392873,19,74
1528394097,42,5
1528395211,38,117
1528396952,32,63
1528397799,15,1
1528398961,18,21
1528400740,53,26
1528401388,21,1
1528402479,45,41
1528403316,32,4
1528405533,65,65
1528406705,32,0
1528407940,46,37
1528409444,37,28
1528410630,22,16
1528413037,75,34
1528414243,19,28
1528415438,56,11
1528415789,25,2
1528416868,15,23
1528417705,13,1
1528418546,25,69
1528419396,20,4
1528420537,22,20
1528421305,47,2
1528423000,50,39
1528424151,33,19
1528425706,38,45
1528427685,68,23
1528428507,56,0
1528429368,46,45
1528430201,29,2
1528431338,58,40
1528432106,27,2
1528433787,50,63
1528434886,40,63
1528436445,51,55
1528438238,55,51
1528439314,31,3
1528440148,30,49
1528442066,56,31
1528443750,32,38
1528445676,85,25
1528447243,70,30
1528448749,40,41
1528449880,35,2
1528450980,48,37
1528452869,82,38
1528454546,74,49
1528455387,21,2
1528456468,25,36
1528457314,28,0
1528458180,21,35
1528459703,93,39
1528460913,39,4
1528463148,82,92
1528464643,26,80
1528466134,28,1
1528467278,47,75
1528468958,68,55
1528470123,72,21
1528471711,71,4
1528473352,60,45
1528474565,24,34
1528476178,67,37
1528477586,36,38
1528478945,46,1
1528480541,61,25
1528481711,25,57
1528483006,33,36
1528484185,26,31
1528486119,63,46
1528487431,69,81
1528489024,65,43
1528489716,15,4
1528490549,19,78
1528491394,40,2
1528492481,28,89
1528494155,83,53
1528495855,40,25
1528496906,11,2
1528498598,31,136
1528499739,75,26
1528501260,96,89
1528503069,38,25
1528503275,4,1
1528504123,19,6
1528505733,23,143
1528506875,40,72
1528507716,25,1
1528509378,90,67
1528511225,52,19
1528512377,36,109
1528513545,45,70
1528515228,53,30
1528516612,54,4
1528517742,24,44
1528519356,55,35
1528520672,33,37
1528522116,34,3
1528522962,34,101
1528524880,44,71
1528526379,113,50
1528528542,57,76
1528530157,50,68
1528530998,23,2
1528532138,26,50
1528532915,24,3
1528534194,74,36
1528535434,46,100
1528535677,16,5
1528536514,33,3
1528537354,24,141
1528539281,43,57
1528540211,28,42
1528541791,29,15
1528542865,26,23
1528544448,39,57
1528545386,19,1
1528546472,26,47
1528548152,42,40
1528549005,18,4
1528550140,36,54
1528551753,59,71
1528553434,39,29
1528554645,27,61
1528556080,29,34
1528557215,21,37
1528558321,28,75
1528559709,48,3
1528560902,32,120
1528562069,23,36
1528563387,23,5
1528564499,17,56
1528565743,29,43
1528567324,59,37
1528568072,31,6
1528569655,78,50
1528571138,113,41
1528573346,71,99
1528575267,30,85
1528576119,14,2
1528577248,31,62
1528578635,103,48
1528579844,34,26
1528581052,27,22
1528582244,18,33
1528586069,95,106
1528587190,25,27
1528588307,21,20
1528589668,38,28
1528590526,25,1
1528591346,18,74
1528593276,56,39
1528594116,13,1
1528596895,74,94
1528598149,39,94
1528599346,80,28
1528600494,27,41
1528602085,60,84
1528603845,37,42
1528605055,46,57
1528606241,18,19
1528606589,6,2
1528607744,24,32
1528609356,32,76
1528611044,24,30
1528612961,50,50
1528614337,45,65
1528615730,29,4
1528616873,17,104
1528618238,35,31
1528619318,16,4
1528620156,17,58
1528620999,27,3
1528622147,40,80
1528622921,27,2
1528623757,21,98
1528625150,74,31
1528626525,47,1
1528627834,26,55
1528629034,46,44
1528630953,67,137
1528632881,54,43
1528634561,61,43
1528636477,26,41
1528638158,33,93
1528639836,48,52
1528640914,39,3
1528642509,55,84
1528643674,56,42
1528645357,101,84
1528646192,29,2
1528647341,29,43
1528648119,41,1
1528648955,29,65
1528649790,23,1
