DateTime,Entries,UniqueIPs
1528318601,4105,4105
1528325004,4171,4171
1528329031,4180,4180
1528332986,4261,4261
1528334114,4311,4311
1528335649,4348,4348
1528337444,4367,4367
1528338691,4366,4366
1528339834,4376,4376
1528341269,4407,4407
1528342676,4424,4424
1528344873,4461,4461
1528346454,4413,4413
1528347417,4443,4443
1528348475,4431,4431
1528349327,4438,4438
1528350492,4445,4445
1528352071,4488,4488
1528352917,4531,4531
1528354226,4518,4518
1528355666,4549,4549
1528357360,4550,4550
1528358758,4585,4585
1528360112,4585,4585
1528361787,4606,4606
1528363239,4627,4627
1528363716,4641,4641
1528364557,4645,4645
1528366470,4726,4726
1528367306,4780,4780
1528368993,4884,4884
1528370138,4878,4878
1528371336,4880,4880
1528372737,4892,4892
1528374041,4899,4899
1528375234,4929,4929
1528377339,4982,4982
1528378119,5005,5005
1528378978,4988,4988
1528379789,5022,5022
1528381715,5048,5048
1528383068,5053,5053
1528384465,5102,5102
1528385734,5179,5179
1528386987,5225,5225
1528388071,5222,5222
1528389752,5304,5304
1528391665,5324,5324
1528392873,5269,5269
1528394097,5306,5306
1528395211,5227,5227
1528396952,5196,5196
1528397799,5210,5210
1528398961,5207,5207
1528400740,5234,5234
1528401388,5254,5254
1528402479,5258,5258
1528403316,5286,5286
1528405533,5286,5286
1528406705,5318,5318
1528407940,5327,5327
1528409444,5336,5336
1528410630,5342,5342
1528413037,5383,5383
1528414243,5374,5374
1528415438,5419,5419
1528415789,5442,5442
1528416868,5434,5434
1528417705,5446,5446
1528418546,5402,5402
1528419396,5418,5418
1528420537,5420,5420
1528421305,5465,5465
1528423000,5476,5476
1528424151,5490,5490
1528425706,5483,5483
1528427685,5528,5528
1528428507,5584,5584
1528429368,5585,5585
1528430201,5612,5612
1528431338,5630,5630
1528432106,5655,5655
1528433787,5642,5642
1528434886,5619,5619
1528436445,5615,5615
1528438238,5619,5619
1528439314,5647,5647
1528440148,5628,5628
1528442066,5653,5653
1528443750,5647,5647
1528445676,5707,5707
1528447243,5747,5747
1528448749,5746,5746
1528449880,5779,5779
1528450980,5790,5790
1528452869,5834,5834
1528454546,5859,5859
1528455387,5878,5878
1528456468,5867,5867
1528457314,5895,5895
1528458180,5881,5881
1528459703,5935,5935
1528460913,5970,5970
1528463148,5960,5960
1528464643,5906,5906
1528466134,5933,5933
1528467278,5905,5905
