DateTime,AddedIPs,RemovedIPs
1528313311,203,95
1528318596,306,166
1528324998,338,275
1528329026,199,169
1528332981,173,70
1528334101,99,34
1528335644,133,107
1528337432,99,59
1528338681,58,47
1528339827,50,1
1528341262,73,46
1528342669,90,90
1528344868,123,95
1528346447,40,105
1528347412,46,0
1528348469,36,42
1528349321,14,1
1528350479,43,67
1528352065,108,29
1528352911,46,0
1528354221,92,113
1528355660,82,64
1528357353,59,64
1528358753,98,82
1528360106,55,0
1528361782,63,82
1528363230,68,46
1528363711,25,0
1528364547,53,71
1528366465,162,48
1528367300,64,0
1528368986,145,47
1528370129,32,48
1528371329,44,53
1528372725,45,27
1528374035,60,4
1528375229,91,51
1528377333,107,55
1528378109,43,1
1528378941,28,64
1528379783,48,0
1528381710,72,55
1528383063,47,54
1528384459,78,33
1528385729,101,35
1528386980,61,0
1528388066,34,41
1528389747,151,46
1528391660,71,42
1528392858,33,90
1528394091,53,0
1528395203,53,134
1528396946,46,104
1528397793,24,0
1528398955,34,38
1528400734,72,38
1528401382,29,1
1528402469,70,63
1528403310,36,1
1528405528,84,108
1528406700,44,0
1528407928,55,39
1528409437,47,39
1528410623,28,41
1528413029,97,52
1528414231,35,54
1528415428,61,13
1528415784,24,0
1528416861,21,39
1528417700,16,0
1528418540,29,89
1528419385,26,0
1528420531,26,34
1528421299,52,0
1528422988,67,62
1528424144,36,28
1528425656,51,58
1528427675,85,32
1528428502,61,0
1528429360,50,68
1528430195,31,0
1528431329,65,57
1528432100,33,0
1528433782,66,94
1528434876,58,80
1528436434,62,81
1528438232,86,84
1528439307,46,0
1528440142,40,109
1528442060,77,54
1528443744,47,128
1528445670,114,52
1528447234,93,65
1528448744,58,89
1528449874,45,1
1528450970,67,79
1528452863,96,52
1528454541,85,76
1528455381,23,4
1528456462,31,48
1528457308,35,0
1528458170,29,63
1528459684,107,55
1528460906,47,2
1528463136,96,137
1528464631,43,112
1528466129,45,1
1528467261,63,108
1528468953,89,83
1528470116,85,31
1528471706,82,0
1528473319,68,79
1528474534,52,65
1528476172,106,75
1528477553,52,55
1528478911,48,1
1528480534,66,58
1528481700,45,96
1528483000,41,60
1528484180,35,42
1528486114,69,80
1528487424,84,131
1528489007,73,57
1528489710,18,1
1528490541,23,106
1528491388,43,1
1528492475,39,118
1528494149,94,92
1528495848,51,38
1528496900,15,3
1528498589,36,176
1528499730,78,54
1528501242,108,115
1528503036,53,38
1528503268,7,0
1528504113,24,6
1528505727,29,176
1528506870,45,90
1528507710,33,0
1528509368,95,118
1528511207,70,48
1528512370,49,157
1528513536,45,88
1528515201,61,61
1528516597,75,1
1528517732,35,69
1528519350,72,61
1528520653,44,56
1528522111,44,0
1528522953,41,145
1528524870,74,90
1528526369,154,73
1528528533,80,84
1528530151,66,126
1528530990,30,0
1528532131,36,66
1528532910,30,0
1528534189,94,80
1528535429,62,156
1528535668,18,0
1528536507,50,0
1528537349,29,190
1528539275,65,68
1528540204,39,71
1528541785,46,28
1528542859,38,37
1528544442,52,151
1528545380,28,0
1528546467,37,62
1528548146,53,61
1528548995,26,1
1528550131,42,69
1528551743,64,94
1528553428,60,33
1528554633,34,78
1528557630,86,101
1528558834,51,103
1528560642,84,150
1528561835,34,52
1528563381,45,12
1528564492,24,73
1528565737,44,59
1528567313,65,47
1528568066,41,0
1528569650,90,76
1528571132,124,62
1528573340,80,122
1528575262,52,102
1528576113,16,0
1528577232,42,94
1528578629,117,56
1528579832,46,43
1528581041,50,31
1528582238,32,44
1528584191,47,59
1528586062,78,82
1528587179,32,40
1528588301,31,22
1528589661,48,35
1528590516,27,0
1528591340,24,96
1528593269,75,48
1528594111,17,0
1528596882,89,121
1528598142,47,108
1528599339,99,33
1528600482,35,49
1528602073,72,97
1528603837,63,49
1528605041,53,79
1528606229,40,25
1528606583,8,0
1528607738,36,46
1528609349,54,112
1528611037,46,37
1528612955,99,65
1528614330,65,83
1528615722,48,0
1528616852,35,165
1528618229,58,42
1528619312,26,1
1528620150,28,71
1528620991,41,0
1528622135,57,102
1528622911,40,1
1528623751,28,118
1528625143,90,37
1528626516,65,1
1528627827,38,71
1528629028,52,48
1528630947,85,153
1528632876,87,47
1528634555,77,71
1528636471,43,56
1528638146,51,121
1528639830,61,62
1528640907,49,1
1528642498,73,114
1528643669,61,46
1528645352,113,125
1528646186,30,0
1528647333,41,56
1528648110,44,0
1528648948,33,75
1528649784,24,0
1528650872,16,44
1528652550,91,82
1528654234,87,39
1528656147,164,57
1528658074,119,100
1528659746,67,92
1528660593,47,1
1528661669,41,64
1528663371,57,59
1528666106,109,98
1528666954,43,31
1528667797,18,0
1528668931,20,33
1528670072,32,116
1528670554,9,0
1528671380,19,0
1528672532,28,101
1528673301,22,0
1528674152,36,58
1528674988,48,0
1528676130,36,40
1528677282,51,78
1528678675,81,21
1528679660,33,82
1528681355,151,65
1528684254,175,129
1528685792,54,22
1528686862,33,57
1528687999,21,66
1528689391,55,1
1528690465,32,66
1528692147,63,61
1528694061,99,80
1528695753,90,185
1528696597,27,0
1528697732,48,58
1528698507,30,0
1528700744,116,160
1528702929,94,56
1528703787,33,1
1528704870,82,122
1528706132,82,103
1528707927,133,62
1528708473,28,0
1528710148,126,91
1528711731,134,35
1528713327,89,53
1528713753,23,0
1528714584,46,1
1528715667,69,55
1528716501,53,0
1528718182,85,65
1528719331,75,45
1528720824,63,63
1528722860,96,78
1528723712,39,0
1528724557,31,78
1528725387,37,0
1528726531,46,46
1528727311,27,0
1528728981,49,76
1528730132,55,61
1528731328,39,49
1528731755,24,13
1528733677,74,34
1528735347,71,73
1528736181,33,0
1528737334,25,49
1528738947,53,81
1528739802,72,0
1528740867,33,158
1528742444,76,84
1528744467,110,54
1528745299,40,0
1528746153,52,63
1528747835,75,58
1528749741,101,105
1528751132,38,59
1528752501,75,0
1528753352,41,59
1528755263,70,68
1528756114,25,0
1528756943,22,59
1528758327,65,42
1528759487,84,0
1528761390,110,67
1528762529,46,87
1528763316,35,0
1528764933,76,48
1528766138,59,56
1528767320,51,59
1528768471,57,0
1528769682,69,83
1528770931,56,77
1528772751,140,50
1528773266,10,0
1528774572,87,75
1528775747,59,22
1528776933,117,32
1528777702,47,0
1528778549,50,67
1528780461,103,51
1528781309,39,1
1528782143,48,101
1528782985,51,1
1528784070,62,68
1528784910,48,0
1528785746,78,63
1528786582,58,0
1528787674,69,65
1528788944,57,65
1528790132,65,26
1528792100,105,50
1528793379,83,101
1528794634,61,71
1528795713,52,0
1528797028,72,91
1528797386,14,0
1528798472,47,50
1528799302,35,0
1528800150,37,103
1528800983,48,0
1528802145,48,53
1528803634,70,80
1528805094,80,84
1528806511,63,1
1528807344,47,62
1528809272,77,47
1528810111,37,0
1528811712,57,72
1528812926,105,88
1528813710,32,0
1528815034,63,142
1528815386,14,0
1528816460,61,49
1528817301,40,0
1528818992,83,100
1528820127,50,48
1528821754,128,73
1528823127,78,82
1528824640,64,88
1528825343,34,42
1528827266,57,103
1528828833,68,78
1528830860,66,88
1528832164,42,75
1528833330,44,26
1528834538,46,32
1528835651,60,82
1528836147,23,0
1528837320,46,74
1528838063,48,1
1528839751,99,41
1528840589,31,0
1528841671,25,31
1528843349,70,74
1528844727,59,48
1528845892,51,0
1528846949,44,87
1528847789,93,0
1528848932,52,56
1528850545,73,136
1528851393,17,0
1528852535,50,146
1528853299,52,0
1528854151,47,75
1528854991,36,0
1528856072,36,63
1528857749,76,71
1528858593,29,0
1528859669,43,27
1528860511,27,0
1528863274,164,129
1528864103,36,0
1528865426,51,107
1528866631,36,55
1528867702,40,0
1528869321,83,73
1528870467,61,87
1528871310,38,0
1528872951,105,77
1528874135,78,65
1528875353,99,99
1528876521,96,43
1528877660,85,92
1528879342,79,127
1528880734,64,93
1528882111,65,0
1528883783,84,164
1528884931,47,62
1528886342,52,118
1528887385,37,0
1528888469,46,100
1528890147,86,87
1528890990,38,0
1528892060,76,72
1528893263,126,74
1528894527,68,28
1528895670,50,57
1528897119,95,70
1528898191,79,23
1528899273,74,47
1528900949,114,92
1528902327,99,45
1528903708,77,1
1528905989,147,143
1528908141,196,64
1528909511,102,82
1528910901,135,1
1528912222,128,68
1528913429,101,100
1528914501,127,0
1528916195,150,113
1528918100,169,72
1528919425,79,116
1528920861,132,48
1528922267,77,89
1528923926,100,86
1528925301,107,1
1528926150,80,53
1528928074,85,66
1528928906,52,1
1528929749,64,127
1528931135,104,103
1528932324,58,0
1528934184,89,93
1528935333,85,52
1528936110,41,0
1528936948,42,99
1528938874,132,60
1528940438,121,94
1528942231,150,97
1528943484,45,89
1528944934,87,56
1528946133,72,59
1528946920,36,0
1528947752,46,133
1528949669,134,63
1528951095,77,88
1528952721,84,78
1528953266,39,0
1528954526,71,80
1528955808,123,95
1528956868,89,114
1528958125,110,105
1528959932,117,100
1528960462,43,0
1528961734,81,114
1528962931,178,39
1528964061,90,79
1528965185,61,85
1528965748,34,32
1528967666,83,48
1528969233,67,69
1528970866,73,92
