DateTime,AddedIPs,RemovedIPs
1528329021,87,55
1528332976,85,35
1528334093,17,14
1528335635,16,34
1528337421,19,5
1528338674,20,30
1528339822,11,0
1528341257,21,31
1528342660,15,25
1528344857,55,32
1528346436,73,31
1528347404,15,1
1528348461,17,14
1528349317,16,0
1528350474,23,46
1528352057,30,41
1528352903,15,2
1528354217,16,48
1528355655,39,24
1528357345,39,15
1528358748,80,50
1528360098,437,0
1528361777,134,38
1528363220,21,41
1528363706,8,1
1528364538,10,23
1528366457,51,14
1528367295,10,0
1528368977,31,36
1528370117,15,29
1528371321,17,25
1528372690,15,9
1528374027,20,21
1528375221,15,30
1528377321,47,25
1528378097,9,0
1528378937,11,36
1528379775,10,0
1528381702,26,7
1528383058,18,54
1528384455,19,34
1528385717,19,31
1528386976,7,1
1528388057,11,36
1528389743,42,99
1528391655,41,24
1528392848,21,51
1528394086,19,1
1528395193,20,56
1528396938,42,32
1528397782,12,4
1528398922,30,31
1528400723,66,30
1528401377,18,1
1528402459,18,41
1528403297,16,0
1528405521,20,90
1528406696,22,1
1528407919,21,53
1528409428,302,30
1528410610,39,76
1528413017,40,57
1528414221,41,39
1528415417,23,9
1528415779,2,0
1528416856,13,22
1528417695,17,0
1528418535,22,36
1528419378,8,0
1528420526,28,43
1528421294,6,0
1528422979,28,45
1528424129,19,44
1528425644,17,35
1528427663,28,33
1528428497,5,0
1528429350,11,58
1528430186,6,0
1528431317,16,58
1528432096,4,2
1528433777,28,59
1528434865,19,22
1528436423,52,25
1528438223,28,38
1528439298,19,2
1528440137,42,48
1528442055,31,28
1528443736,31,32
1528445659,42,23
1528447223,33,49
1528448735,20,44
1528449866,14,4
1528450960,13,56
1528452858,24,19
1528454536,24,52
1528455375,21,2
1528456457,14,40
1528457299,8,4
1528458160,4,44
1528459679,26,35
1528460898,39,2
1528463120,27,74
1528464619,30,48
1528466120,38,3
1528467251,19,37
1528468947,49,50
1528470112,13,29
1528471698,30,4
1528473311,39,74
1528474526,13,30
1528476146,14,49
1528477543,32,34
1528478903,16,0
1528480523,49,35
1528481695,15,33
1528482995,12,36
1528484176,37,13
1528486105,32,35
1528487420,19,55
1528488997,29,24
1528489701,12,0
1528490537,29,31
1528491379,39,0
1528492462,16,49
1528494140,30,51
1528495843,19,57
1528496896,10,0
1528498577,24,59
1528499719,22,23
1528501231,21,53
1528503032,31,22
1528503256,2,0
1528504102,38,0
1528505718,46,35
1528506862,56,31
1528507698,14,0
1528509358,21,30
1528511197,27,13
1528512365,16,44
1528513524,11,37
1528515193,26,77
1528516586,24,0
1528517722,16,45
1528519338,14,56
1528520647,8,31
1528522099,20,0
1528522943,10,58
1528524858,54,33
1528526359,17,56
1528528524,37,86
1528530147,23,279
1528530982,12,1
1528532121,14,109
1528532900,40,0
1528534184,28,18
1528535416,26,54
1528535657,0,2
1528536499,12,0
1528537344,14,39
1528539264,20,37
1528540196,11,26
1528541775,22,14
1528542855,7,16
1528544434,26,48
1528545375,9,0
1528546458,13,37
1528548138,28,25
1528548984,22,1
1528550123,29,46
1528551738,22,41
1528553418,20,9
1528554624,30,41
1528556459,32,28
1528557622,9,4
1528558822,36,42
1528560629,38,59
1528561823,22,33
1528563376,10,14
1528564488,6,22
1528565723,23,42
1528567304,12,49
1528568058,15,1
1528569641,61,51
1528571124,37,39
1528573336,56,47
1528575257,46,21
1528576100,21,0
1528577227,36,49
1528578616,48,389
1528579823,32,208
1528581032,23,14
1528582228,26,27
1528584180,53,58
1528586057,32,43
1528587164,7,35
1528588297,17,18
1528589656,16,24
1528590504,7,0
1528591336,8,66
1528593259,80,27
1528594102,16,0
1528596869,29,98
1528598128,14,22
1528599328,50,15
1528600469,9,21
1528602059,12,31
1528603829,24,13
1528605032,26,32
1528606217,15,27
1528606578,5,0
1528607725,8,26
1528608918,8,28
1528609345,13,33
1528611033,21,21
1528612943,42,33
1528614321,30,37
1528615714,15,3
1528616841,34,52
1528618216,15,22
1528619303,13,4
1528620141,8,25
1528620982,19,2
1528622124,27,23
1528622902,10,0
1528623742,21,34
1528625138,11,33
1528626503,25,2
1528627819,18,41
1528629019,8,20
1528630937,18,53
1528632868,20,18
1528634542,10,39
1528636463,21,27
1528638140,44,73
1528639818,22,17
1528640899,26,0
1528642489,20,42
1528643661,21,34
1528645344,17,37
1528646176,5,0
1528647323,21,61
1528648101,9,0
1528648939,21,38
1528649779,17,0
1528650861,15,49
1528652542,24,23
1528654222,25,35
1528656141,27,30
1528658062,50,26
1528659739,18,54
1528660585,24,0
1528661658,11,54
1528663343,27,25
1528666097,45,30
1528666944,7,30
1528667783,20,0
1528668921,13,19
1528670068,11,26
1528670543,7,0
1528671376,13,0
1528672522,10,30
1528673296,9,0
1528674141,9,51
1528674977,16,1
1528676120,22,33
1528677277,16,75
1528678671,8,12
1528679655,8,15
1528681351,27,28
1528684240,51,54
1528685778,16,5
1528686857,25,21
1528687995,13,20
1528689386,20,1
1528690456,7,14
1528692136,34,26
1528694056,36,28
1528695745,21,56
