DateTime,Entries,UniqueIPs
1528329021,5640,5640
1528332976,5690,5690
1528334093,5693,5693
1528335635,5675,5675
1528337421,5689,5689
1528338674,5679,5679
1528339822,5690,5690
1528341257,5680,5680
1528342660,5670,5670
1528344857,5693,5693
1528346436,5735,5735
1528347404,5749,5749
1528348461,5752,5752
1528349317,5768,5768
1528350474,5745,5745
1528352057,5734,5734
1528352903,5747,5747
1528354217,5715,5715
1528355655,5730,5730
1528357345,5754,5754
1528358748,5784,5784
1528360098,6221,6221
1528361777,6317,6317
1528363220,6297,6297
1528363706,6304,6304
1528364538,6291,6291
1528366457,6328,6328
1528367295,6338,6338
1528368977,6333,6333
1528370117,6319,6319
1528371321,6311,6311
1528372690,6317,6317
1528374027,6316,6316
1528375221,6301,6301
1528377321,6323,6323
1528378097,6332,6332
1528378937,6307,6307
1528379775,6317,6317
1528381702,6336,6336
1528383058,6300,6300
1528384455,6285,6285
1528385717,6273,6273
1528386976,6279,6279
1528388057,6254,6254
1528389743,6197,6197
1528391655,6214,6214
1528392848,6184,6184
1528394086,6202,6202
1528395193,6166,6166
1528396938,6176,6176
1528397782,6184,6184
1528398922,6183,6183
1528400723,6219,6219
1528401377,6236,6236
1528402459,6213,6213
1528403297,6229,6229
1528405521,6159,6159
1528406696,6180,6180
1528407919,6148,6148
1528409428,6420,6420
1528410610,6383,6383
1528413017,6366,6366
1528414221,6368,6368
1528415417,6382,6382
1528415779,6384,6384
1528416856,6375,6375
1528417695,6392,6392
1528418535,6378,6378
1528419378,6386,6386
1528420526,6371,6371
1528421294,6377,6377
1528422979,6360,6360
1528424129,6335,6335
1528425644,6317,6317
1528427663,6312,6312
1528428497,6317,6317
1528429350,6270,6270
1528430186,6276,6276
1528431317,6234,6234
1528432096,6236,6236
1528433777,6205,6205
1528434865,6202,6202
1528436423,6229,6229
1528438223,6219,6219
1528439298,6236,6236
1528440137,6230,6230
1528442055,6233,6233
1528443736,6232,6232
1528445659,6251,6251
1528447223,6235,6235
1528448735,6211,6211
1528449866,6221,6221
1528450960,6178,6178
1528452858,6183,6183
1528454536,6155,6155
1528455375,6174,6174
1528456457,6148,6148
1528457299,6152,6152
1528458160,6112,6112
1528459679,6103,6103
1528460898,6140,6140
1528463120,6093,6093
1528464619,6075,6075
1528466120,6110,6110
1528467251,6092,6092
1528468947,6091,6091
1528470112,6075,6075
