DateTime,AddedIPs,RemovedIPs
1528593813,27,19
1528594532,2,3
1528595492,3,11
1528596452,4,4
1528597171,4,7
1528597893,2,7
1528598613,4,7
1528599333,2,6
1528600293,7,5
1528601013,5,4
1528602214,5,11
1528602935,3,15
1528603653,4,8
1528604378,2,6
1528605092,5,5
1528606052,8,8
1528606773,4,3
1528607492,7,2
1528608212,2,7
1528608934,3,9
1528609892,5,6
1528610851,6,8
1528611572,3,3
1528612171,3,5
1528612772,3,3
1528613492,2,2
1528614212,3,9
1528614932,5,5
1528615652,2,4
1528616612,9,6
1528617332,7,4
1528618030,7,3
1528618773,4,7
1528619491,7,5
1528620212,7,5
1528620932,4,5
1528621651,3,6
1528622371,2,4
1528623092,6,10
1528623812,2,5
1528624532,8,9
1528625253,8,3
1528625972,5,3
1528626692,4,4
1528627412,7,5
1528628133,4,3
1528629092,3,14
1528629811,4,5
1528630532,7,6
1528631252,4,5
1528632451,8,8
1528633172,7,4
1528633891,5,3
1528634613,3,24
1528635332,5,6
1528636052,7,9
1528637012,5,9
1528637732,5,5
1528638452,7,8
1528639172,7,7
1528639892,3,7
1528640612,4,7
1528641332,5,3
1528642051,5,3
1528642771,0,6
1528643492,6,3
1528644212,7,9
1528644933,6,13
1528645652,2,11
1528646372,5,5
1528647091,4,8
1528647812,4,3
1528648532,6,7
1528649493,5,10
1528650452,3,14
1528651172,8,4
1528651892,5,25
1528652612,3,5
1528653333,7,5
1528654291,9,7
1528655012,3,5
1528655733,6,9
1528656453,6,8
1528657172,3,7
1528657891,3,3
1528658612,5,2
1528659332,6,8
1528660051,3,5
1528660772,5,5
1528661492,6,6
1528662212,2,9
1528662932,1,8
1528663892,10,24
1528664852,4,15
1528666772,15,15
1528667491,7,11
1528668452,5,9
1528669412,5,11
1528670372,8,10
1528671333,6,4
1528672052,8,3
1528672773,3,19
1528673492,5,1
1528674212,0,2
1528674932,4,12
1528675651,5,5
1528677572,8,13
1528678291,3,5
1528678950,3,4
1528679733,2,48
1528680452,6,7
1528681172,6,1
1528681891,5,4
1528682852,5,9
1528683572,5,9
1528684292,3,10
1528685012,5,4
1528686212,6,11
1528686932,6,6
1528687628,0,7
1528688373,3,3
1528689091,4,8
1528689813,7,6
1528690531,2,5
1528691492,4,6
1528692212,5,8
1528692932,3,4
1528693653,1,8
1528694372,4,5
1528695092,2,3
1528695811,1,7
1528696532,2,8
1528697252,6,12
1528697971,5,5
1528698691,3,3
1528699412,3,13
1528700131,4,3
1528700852,1,6
1528701571,7,7
1528702292,5,3
1528703012,8,5
1528703972,6,10
1528704692,6,5
1528705412,4,5
1528706133,1,11
1528707091,3,6
1528707812,2,1
1528708531,1,4
1528709253,0,7
1528709971,1,2
1528710693,1,6
1528711412,4,7
1528712132,1,5
1528712851,4,8
1528713572,7,4
1528714292,5,4
1528715012,4,5
1528715731,2,2
1528716451,3,4
1528717172,1,7
1528717892,3,6
1528718611,3,10
1528719573,4,11
1528720293,4,4
1528721012,2,3
1528721732,5,5
1528722453,1,7
1528723171,4,6
1528723892,2,6
1528724613,1,7
1528725811,3,8
1528726532,3,6
1528727251,2,8
1528727972,2,4
1528728691,5,5
1528729412,2,3
1528730133,0,6
1528731032,3,5
1528731752,3,3
1528732711,4,3
1528734391,8,11
1528735171,4,19
1528736011,1,3
1528736971,1,4
1528737811,1,15
1528738532,0,3
1528739131,3,2
1528739973,3,8
1528740572,2,8
1528741172,4,0
1528742312,6,7
1528743092,4,5
1528743812,4,2
1528744531,2,5
1528745252,1,3
1528745972,5,4
1528746692,1,7
1528747412,4,1
1528748133,1,6
1528748972,4,5
1528749812,0,4
1528750531,3,4
1528751252,4,3
1528751912,0,2
1528752693,3,7
1528753412,3,7
1528754132,2,6
1528754853,4,5
1528755572,2,3
1528756291,4,6
1528757492,3,3
1528758212,4,6
1528758932,5,6
1528759652,4,6
1528760372,1,1
1528761092,3,2
1528761812,1,4
1528762531,0,3
1528763251,2,2
1528763972,1,3
1528764692,5,5
1528765412,4,10
1528766131,1,1
1528766852,2,5
1528767572,4,3
1528768292,1,6
1528769252,5,6
1528769971,2,5
1528770691,0,1
1528771412,3,5
1528772133,6,3
1528772853,2,5
1528773572,1,3
1528774291,1,1
1528775012,0,3
1528775731,5,7
1528776452,1,4
1528777171,0,1
1528777891,2,2
1528778611,2,3
1528779331,1,5
