DateTime,AddedIPs,RemovedIPs
1523560026,5,9
1523571150,7,13
1523581849,1,4
1523592839,1,8
1523603807,3,3
1523614970,4,8
1523625901,3,9
1523637320,1,10
1523648341,3,9
1523659631,4,4
1523671497,2,4
1523681795,3,6
1523692790,0,8
1523703452,4,10
1523714628,6,6
1523725503,3,4
1523736321,4,6
1523747496,3,8
1523758745,4,4
1523769596,4,7
1523781064,1,3
1523791965,4,6
1523802868,6,4
1523813951,3,8
1523824981,5,5
1523836339,3,6
1523847596,3,4
1523858567,8,6
1523869528,4,2
1523880451,3,5
1523891468,5,6
1523902362,5,6
1523913633,9,8
1523924646,9,5
1523935062,5,6
1523946007,5,4
1523957001,5,4
1523967897,2,3
1523978837,9,0
1523989433,6,5
1524000316,6,6
1524010872,6,8
1524021796,7,3
1524032631,4,7
1524043383,9,6
1524054376,5,2
1524065258,3,7
1524076237,5,9
1524087265,7,2
1524098137,6,5
1524108324,3,8
1524119249,5,5
1524130204,1,6
1524140934,3,6
1524151888,2,6
1524163012,1,11
1524173850,5,9
1524184421,5,4
1524195085,5,7
1524206407,4,6
1524217325,5,5
1524227542,4,6
1524238280,3,4
1524249343,4,4
1524260288,6,7
1524271395,2,6
1524282452,3,6
1524293378,4,5
1524303817,10,4
1524314432,3,4
1524325202,7,7
1524335988,7,5
1524347030,6,7
1524358125,2,4
1524369133,3,4
1524380400,2,5
1524391415,4,4
1524402389,5,4
1524413231,3,10
1524424439,7,9
1524434919,2,10
1524445767,2,5
1524456549,0,1
1524467605,2,6
1524478096,4,6
1524488440,3,6
1524499282,3,4
1524510489,2,4
1524521658,1,10
1524532750,5,6
1524543793,4,9
1524554506,6,5
1524565256,7,3
1524576212,3,4
1524586933,9,8
1524597378,7,10
1524608353,2,8
1524619681,3,7
1524630610,9,5
1524641466,5,4
1524652311,5,6
1524663400,5,2
1524674640,1,9
1524685444,6,5
1524695682,2,10
1524706805,2,6
1524717495,5,9
1524728425,0,7
1524739408,2,4
1524750024,4,7
1524760704,6,7
1524771284,4,4
1524782595,4,9
1524793540,3,9
1524804115,3,7
1524814656,1,8
1524825184,2,12
1524835850,2,5
1524847165,10,8
1524857760,1,8
1524868645,4,11
1524879700,8,12
1524890823,1,11
1524901719,3,2
1524912745,7,5
1524923486,10,7
1524934654,6,9
1524945835,7,10
1524956564,5,9
1524967802,5,5
1524978826,4,10
1524989744,6,6
1525000788,4,3
1525012041,9,7
1525023024,5,7
1525033947,1,7
1525044950,2,6
1525055307,1,3
1525066170,5,7
1525077010,1,5
1525087895,9,6
1525099247,3,9
1525109948,1,6
1525121041,6,6
1525131737,2,8
1525142612,2,7
1525153062,7,9
1525164144,5,9
1525173819,3,6
1525184752,2,4
1525195824,3,10
1525206824,5,10
1525217736,3,13
1525228641,3,11
1525239535,4,10
1525250171,7,10
1525260466,3,14
1525271701,2,12
1525282463,9,8
1525293310,5,7
1525303273,1,2
1525313709,7,8
1525324434,2,5
1525334329,3,3
1525344901,4,9
1525355499,3,4
1525366579,0,5
1525377527,5,7
1525389209,5,6
1525400116,1,3
1525410816,5,11
1525421129,3,6
1525431989,2,3
1525442962,2,6
1525453749,3,9
1525464924,5,6
1525476192,3,6
1525487332,1,7
1525498350,0,5
1525509166,2,7
1525520026,1,5
1525530955,2,8
1525541915,6,3
1525552833,0,5
1525563983,5,3
1525574821,4,2
1525586014,2,1
1525597099,5,1
1525607943,4,5
1525618659,4,4
1525629520,3,1
1525640630,4,3
1525651240,2,3
1525662147,0,3
1525673058,5,8
1525682643,2,0
1525693541,2,3
1525704247,3,3
1525715278,2,7
1525726262,4,7
1525737414,5,6
1525747748,2,1
1525758635,2,1
1525769824,1,4
1525780470,3,5
1525791554,2,3
1525801720,0,5
1525812228,3,5
1525823346,2,2
1525834355,2,5
1525845325,4,4
1525856367,1,4
1525866948,3,3
1525877127,0,2
1525887922,1,0
1525897673,4,3
1525908350,2,4
1525918962,2,1
1525929338,4,1
1525939217,0,4
1525949880,1,4
1525960890,3,2
1525972082,1,1
1525983237,2,12
1525994302,1,7
1526005388,1,1
1526016459,2,3
1526027540,3,2
1526038563,0,7
1526049483,3,5
1526060312,2,8
1526071293,6,7
1526082236,1,6
1526093430,3,4
1526104248,1,3
1526115458,2,3
1526126258,2,3
1526137107,2,5
1526147313,7,4
1526157838,2,4
1526168737,2,2
1526179648,4,5
1526190555,2,3
1526201142,1,4
1526212086,3,3
1526222958,2,0
1526233929,3,3
1526244875,4,4
1526254755,4,7
1526265832,0,2
1526276692,4,4
1526287633,1,3
1526298395,3,6
1526308616,1,2
1526319519,4,3
1526331242,3,4
1526341914,3,3
1526352937,2,4
1526363409,3,4
1526373995,0,2
1526385264,2,6
1526396260,4,1
1526406156,3,4
1526417378,6,6
1526427995,3,3
1526439090,5,3
1526450100,3,5
1526460276,4,4
1526471062,4,2
1526482332,1,10
1526492927,7,2
1526504083,3,5
1526514822,7,4
1526525588,2,4
1526536535,1,4
1526546449,1,4
1526557397,4,3
1526568587,3,3
1526579361,1,2
1526590287,1,3
1526601336,4,9
1526612329,3,4
1526622892,3,1
1526633136,1,2
1526644048,2,0
1526653897,2,2
1526664758,1,2
1526674925,1,2
1526685348,2,3
1526696251,3,4
1526707106,0,6
1526717824,5,1
1526729003,7,3
1526740294,5,5
1526750799,3,2
1526761517,4,5
1526772146,3,5
1526783218,2,3
1526794325,2,2
1526805122,4,2
1526815135,1,5
1526826221,3,3
1526836155,1,6
1526846844,2,5
1526857945,4,1
1526867464,4,1
1526878503,3,3
1526887684,2,10
1526898636,7,1
1526909468,3,4
1526919794,3,5
1526928949,3,3
1526939582,3,2
1526950799,2,3
1526961466,2,5
1526972314,4,4
1526983340,4,3
1526993405,3,6
1527003672,2,3
1527014589,1,6
1527025967,3,1
1527047333,2,4
1527056888,2,2
1527068170,2,1
1527079167,2,5
1527090066,3,6
1527100615,4,3
1527111309,4,3
1527122100,6,8
1527133190,0,1
1527143824,4,3
1527154562,1,7
1527165427,1,3
1527175764,2,5
1527186692,3,5
1527197456,8,0
1527208088,2,1
1527217167,3,5
1527227892,1,6
1527238449,0,2
1527248592,2,6
1527259106,1,3
1527269752,6,5
1527280609,4,1
1527291886,3,0
1527302448,4,2
1527313416,2,0
1527324154,5,2
1527335051,8,6
1527346856,8,8
1527358349,2,7
1527369979,8,6
1527381342,0,6
1527392182,0,0
1527402805,5,4
1527412481,5,5
1527423636,2,6
1527434353,1,6
1527445460,2,7
1527456449,4,3
1527467427,6,5
1527477247,3,4
1527487914,4,2
1527498904,2,2
1527510026,2,5
1527520654,7,7
1527531310,4,3
1527542308,8,7
1527552887,2,4
1527563140,3,3
1527574075,3,0
1527585038,2,3
1527595904,9,6
1527606854,2,5
1527617779,5,1
1527628630,5,2
1527639259,3,1
1527650350,2,2
1527657361,2,2
1527668399,2,0
1527679077,5,6
1527690015,4,3
1527700604,0,2
1527711180,3,3
1527722019,3,3
1527732984,2,1
1527743925,3,4
1527754710,1,5
1527764501,0,3
1527775379,3,1
1527785030,2,3
1527795833,1,1
1527806833,5,3
1527817696,3,5
1527828147,1,3
1527837730,2,3
1527848587,4,5
1527859531,5,1
1527870110,5,10
1527881022,2,4
1527891959,5,2
1527902529,2,5
1527914775,3,3
1527926476,3,3
1527937655,5,4
1527949012,5,3
1527960485,0,0
1527971588,3,4
1527983434,0,5
1527992925,4,2
1528003949,1,4
1528014866,3,1
1528025269,2,2
1528035855,3,3
1528047972,8,4
1528058964,6,7
1528069857,3,3
1528078580,3,1
1528089487,0,1
1528100518,2,2
1528111327,2,3
1528122092,3,1
1528132772,0,3
1528143688,6,3
1528154352,2,5
1528165282,2,5
1528176181,0,4
1528184668,0,1
1528195683,2,4
1528206730,2,1
1528217409,2,4
1528228544,2,4
1528238771,6,2
1528249011,3,3
1528259783,3,1
1528270610,2,3
1528281367,3,1
1528292345,2,5
1528303161,6,1
1528318726,5,5
1528329235,3,4
1528340109,2,2
1528350971,2,0
1528361938,3,3
1528372984,3,1
1528383824,3,5
1528394689,2,1
1528403952,6,3
1528413551,2,0
1528424543,6,1
1528435581,1,2
1528446647,2,4
1528457684,1,3
1528469364,4,2
1528480308,6,1
1528491071,2,1
1528501192,2,2
1528512076,7,4
1528522887,3,1
1528533158,1,0
1528543879,2,1
1528554727,2,3
1528565577,4,2
1528576472,3,4
1528587326,2,1
1528598254,3,3
1528609433,2,3
1528620395,1,2
1528630970,3,3
1528640597,0,1
1528651228,1,5
1528662056,3,5
1528672731,4,2
1528683814,0,3
1528705810,0,4
1528716212,3,1
1528724212,1,6
1528735108,3,2
1528746359,4,8
1528756823,2,1
1528767100,1,6
1528777032,4,4
1528787606,0,1
1528797460,2,1
1528807915,3,3
1528818503,2,2
1528829146,5,6
1528839947,1,5
1528850321,1,4
1528861440,5,0
1528871334,4,1
1528881856,0,1
1528892419,1,2
1528903358,4,2
1528914294,2,4
1528925476,3,3
1528936417,2,1
1528946938,1,2
1528957868,2,2
1528968816,9,1
