DateTime,Entries,UniqueIPs
1528481069,15711,15711
1528482022,15724,15724
1528482991,15690,15690
1528483964,15720,15720
1528484910,15673,15673
1528485856,15753,15753
1528486869,15639,15639
1528487866,15605,15605
1528488982,15604,15604
1528489929,15597,15597
1528490887,15574,15574
1528492115,15530,15530
1528493062,15501,15501
1528494017,15496,15496
1528494986,15470,15470
1528495940,15416,15416
1528497504,15388,15388
1528498495,15315,15315
1528499555,15199,15199
1528500502,15281,15281
1528501482,15184,15184
1528502425,15213,15213
1528503370,15253,15253
1528504351,15118,15118
1528505293,15108,15108
1528506262,15235,15235
1528507227,15110,15110
1528508183,15067,15067
1528509150,15153,15153
1528510114,15106,15106
1528511058,15185,15185
1528512013,15206,15206
1528512986,15167,15167
1528513937,15141,15141
1528514900,15132,15132
1528515883,15122,15122
1528516820,15090,15090
1528517779,15051,15051
1528518750,15006,15006
1528519697,14991,14991
1528520670,14958,14958
1528521631,14942,14942
1528522574,14918,14918
1528523533,14896,14896
1528524517,14831,14831
1528525466,14804,14804
1528526413,14807,14807
1528527390,14791,14791
1528528339,14795,14795
1528529291,14770,14770
1528530286,14720,14720
1528531236,14710,14710
1528532174,14652,14652
1528533156,14681,14681
1528534093,14776,14776
1528535062,14637,14637
1528536014,14600,14600
1528536995,14606,14606
1528537958,14720,14720
1528538897,14748,14748
1528539872,14759,14759
1528540816,14760,14760
1528541788,14730,14730
1528542747,14766,14766
1528543700,14749,14749
1528544675,14700,14700
1528545643,14687,14687
1528546587,14684,14684
1528547559,14665,14665
1528548499,14643,14643
1528549480,14586,14586
1528550414,14582,14582
1528551379,14529,14529
1528552369,14540,14540
1528553297,14514,14514
1528554271,14487,14487
1528555217,14558,14558
1528556188,14561,14561
1528557141,14562,14562
1528558093,14554,14554
1528559086,14515,14515
1528560034,14529,14529
1528560972,14543,14543
1528561953,14529,14529
1528562895,14544,14544
1528563866,14518,14518
1528564821,14479,14479
1528565793,14485,14485
1528566994,14482,14482
1528567946,14495,14495
1528568894,14505,14505
1528569878,14472,14472
1528570820,14439,14439
1528571790,14479,14479
1528572733,14452,14452
1528573702,14469,14469
1528574658,14478,14478
1528575618,14450,14450
1528576581,14424,14424
1528577550,14409,14409
1528578502,14478,14478
1528579487,14383,14383
1528580415,14468,14468
1528581370,14445,14445
1528582358,14381,14381
1528583299,14434,14434
1528584392,14425,14425
1528586454,14361,14361
1528587381,14339,14339
1528588340,14301,14301
1528589316,14296,14296
1528590288,14339,14339
1528591212,14381,14381
1528592188,14390,14390
1528593172,14379,14379
1528594105,14416,14416
1528595077,14457,14457
1528596024,14502,14502
1528596974,14476,14476
1528597956,14481,14481
1528598900,14460,14460
1528599862,14428,14428
1528600811,14434,14434
1528601821,14436,14436
1528602747,14430,14430
1528603708,14448,14448
1528604655,14480,14480
1528605648,14435,14435
1528606572,14426,14426
1528607554,14403,14403
1528608501,14393,14393
1528609471,14454,14454
1528610422,14431,14431
1528611381,14439,14439
1528612355,14426,14426
1528613300,14396,14396
1528614271,14405,14405
1528615214,14370,14370
1528616187,14346,14346
1528617138,14344,14344
1528618106,14325,14325
1528619068,14335,14335
1528620014,14291,14291
1528620987,14291,14291
1528621950,14283,14283
1528622901,14290,14290
1528623875,14272,14272
1528624842,14244,14244
1528625777,14221,14221
1528626748,14186,14186
1528627699,14197,14197
1528628663,14184,14184
1528629614,14161,14161
1528630598,14149,14149
1528631532,14165,14165
1528632510,14158,14158
1528633465,14169,14169
1528634416,14151,14151
1528635380,14188,14188
1528636604,14203,14203
1528637536,14225,14225
1528638537,14222,14222
1528639466,14223,14223
1528640420,14253,14253
1528641393,14251,14251
1528642346,14276,14276
1528643294,14244,14244
1528644300,14244,14244
1528645215,14246,14246
1528646175,14267,14267
1528647155,14276,14276
1528648093,14296,14296
1528649075,14269,14269
1528650032,14265,14265
1528650973,14277,14277
1528651959,14277,14277
1528652898,14275,14275
1528653884,14304,14304
1528654816,14319,14319
1528655799,14287,14287
1528656733,14299,14299
1528657700,14302,14302
1528658680,14315,14315
1528659632,14331,14331
1528660573,14339,14339
1528661574,14294,14294
1528662500,14293,14293
1528663472,14296,14296
1528664421,14309,14309
1528666876,14142,14142
1528668014,14136,14136
