DateTime,AddedIPs,RemovedIPs
1528481069,26,34
1528482022,21,20
1528482991,30,27
1528483964,38,19
1528484910,32,27
1528485856,31,31
1528486869,36,26
1528487866,22,37
1528488982,37,28
1528489929,24,36
1528490887,20,34
1528492115,39,28
1528493062,22,36
1528494017,32,37
1528494986,21,32
1528495940,70,786
1528497504,39,26
1528498495,31,24
1528499555,38,54
1528500502,27,17
1528501482,40,38
1528502425,33,27
1528503370,40,37
1528504351,51,39
1528505293,38,32
1528506262,52,35
1528507227,32,18
1528508183,28,35
1528509150,36,29
1528510114,42,29
1528511058,19,1
1528512013,38,21
1528512986,24,50
1528513937,42,3
1528514900,17,14
1528515883,32,37
1528516820,13,19
1528517779,20,25
1528518750,22,25
1528519697,30,21
1528520670,27,20
1528521631,32,14
1528522574,27,25
1528523533,17,28
1528524517,32,36
1528525466,24,9
1528526413,25,28
1528527390,36,18
1528528339,32,28
1528529291,32,18
1528530286,23,28
1528531236,23,26
1528532174,16,14
1528533156,20,23
1528534093,23,11
1528535062,32,17
1528536014,42,14
1528536995,62,19
1528537958,33,19
1528538897,45,22
1528539872,39,18
1528540816,52,11
1528541788,38,18
1528542747,41,3
1528543700,34,46
1528544675,34,27
1528545643,20,1
1528546587,25,22
1528547559,20,17
1528548499,18,10
1528549480,14,15
1528550414,17,8
1528551379,17,14
1528552369,22,22
1528553297,20,26
1528554271,32,15
1528555217,29,24
1528556188,23,27
1528557141,30,20
1528558093,13,12
1528559086,29,21
1528560034,24,19
1528560972,12,28
1528561953,24,11
1528562895,17,23
1528563866,21,13
1528564821,27,17
1528565793,25,0
1528566994,24,43
1528567946,22,4
1528568894,19,12
1528569878,26,10
1528570820,25,29
1528571790,34,68
1528572733,33,70
1528573702,29,56
1528574658,29,46
1528575618,23,46
1528576581,33,77
1528577550,21,91
1528578502,30,69
1528579487,28,86
1528580415,31,74
1528581370,85,818
1528582358,31,217
1528583299,30,257
1528584392,30,109
1528586454,56,117
1528587381,44,151
1528588340,41,98
1528589316,48,119
1528590288,77,79
1528591212,66,132
1528592188,54,193
1528593172,52,207
1528594105,67,281
1528595077,55,177
1528596024,79,134
1528596974,63,132
1528597956,41,117
1528598900,23,2
1528599862,56,272
1528600811,47,227
1528601821,74,309
1528602747,22,0
1528603708,72,227
1528604655,32,2
1528605648,35,168
1528606572,34,121
1528607554,45,118
1528608501,28,106
1528609471,34,86
1528610422,43,81
1528611381,36,125
1528612355,50,108
1528613300,36,55
1528614271,40,70
1528615214,38,60
1528616187,13,67
1528617138,41,80
1528618106,53,80
1528619068,39,45
1528620014,37,62
1528620987,49,112
1528621950,37,56
1528622901,37,57
1528623875,29,25
1528624842,57,79
1528625777,33,33
1528626748,44,39
1528627699,31,102
1528628663,29,99
1528629614,20,51
1528630598,31,88
1528631532,28,54
1528632510,46,71
1528633465,28,72
1528634416,18,55
1528635380,49,77
1528636604,28,26
1528637536,42,68
1528638537,33,60
1528639466,40,89
1528640420,39,74
1528641393,35,73
1528642346,36,55
1528643294,40,49
1528644300,36,96
1528645215,27,44
1528646175,49,127
1528647155,39,115
1528648093,58,189
1528649075,28,79
1528650032,48,208
1528650973,39,115
1528651959,74,201
1528652898,43,100
1528653884,42,116
1528654816,48,111
1528655799,28,108
1528656733,34,57
1528657700,42,58
1528658680,35,61
