DateTime,AddedIPs,RemovedIPs
1528481069,478,475
1528482022,437,433
1528482991,479,480
1528483964,441,444
1528484910,480,476
1528485856,475,477
1528486869,471,473
1528487866,473,470
1528488982,470,481
1528489929,479,470
1528490887,466,463
1528492115,479,483
1528493062,474,471
1528494017,475,474
1528494986,476,472
1528495940,469,474
1528497504,490,491
1528498495,480,481
1528499555,399,392
1528500502,471,480
1528501482,491,484
1528502425,480,484
1528503370,487,489
1528504351,496,494
1528505293,482,482
1528506262,454,455
1528507227,478,483
1528508183,402,408
1528509150,476,469
1528510114,500,493
1528511058,482,484
1528512013,485,486
1528512986,480,479
1528513937,493,494
1528514900,466,470
1528515883,469,473
1528516820,466,463
1528517779,384,382
1528518750,465,469
1528519697,481,479
1528520670,467,472
1528521631,487,477
1528522574,463,475
1528523533,453,445
1528524517,471,482
1528525466,410,408
1528526413,474,460
1528527390,487,490
1528528339,481,481
1528529291,454,453
1528530286,472,473
1528531236,438,435
1528532174,473,474
1528533156,474,477
1528534093,469,468
1528535062,468,473
1528536014,377,381
1528536995,500,492
1528537958,456,453
1528538897,485,488
1528539872,470,474
1528540816,491,490
1528541788,410,411
1528542747,467,461
1528543700,465,462
1528544675,464,477
1528545643,447,430
1528546587,447,458
1528547559,428,434
1528548499,457,452
1528549480,373,373
1528550414,450,444
1528551379,459,461
1528552369,433,439
1528553297,477,465
1528554271,451,454
1528555217,450,445
1528556188,487,488
1528557141,458,468
1528558093,432,426
1528559086,446,445
1528560034,441,443
1528560972,390,387
1528561953,447,447
1528562895,446,448
1528563866,455,451
1528564821,454,455
1528565793,432,427
1528566994,392,392
1528567946,461,466
1528568894,459,458
1528569878,494,489
1528570820,437,441
1528571790,450,451
1528572733,469,472
1528573702,420,418
1528574658,469,471
1528575618,466,466
1528576581,426,426
1528577550,431,435
1528578502,382,370
1528579487,418,426
1528580415,444,441
1528581370,441,451
1528582358,456,442
1528583299,430,434
1528584392,429,433
1528586454,461,461
1528587381,435,439
1528588340,385,388
1528589316,400,392
1528590288,483,494
1528591212,505,490
1528592188,439,457
1528593172,440,439
1528594105,457,451
1528595077,465,465
1528596024,505,505
1528596974,467,490
1528597956,431,414
1528598900,396,413
1528599862,410,394
1528600811,375,377
1528601821,429,426
1528602747,426,432
1528603708,478,466
1528604655,447,456
1528605648,437,433
1528606572,448,454
1528607554,444,451
1528608501,427,415
1528609471,459,459
1528610422,479,479
1528611381,442,445
1528612355,457,456
1528613300,436,445
1528614271,462,441
1528615214,481,489
1528616187,437,440
1528617138,447,456
1528618106,486,467
1528619068,457,468
1528620014,464,451
1528620987,425,437
1528621950,425,422
1528622901,421,427
1528623875,447,444
1528624842,452,449
1528625777,439,443
1528626748,424,416
1528627699,438,440
1528628663,407,408
1528629614,432,427
1528630598,449,449
1528631532,450,456
1528632510,473,464
1528633465,458,462
1528634416,387,383
1528635380,462,470
1528636604,451,454
1528637536,442,434
1528638537,458,459
1528639466,471,468
1528640420,434,434
1528641393,437,435
1528642346,390,395
1528643294,415,411
1528644300,440,441
1528645215,395,391
1528646175,449,452
1528647155,458,459
1528648093,455,458
1528649075,421,412
1528650032,417,418
1528650973,448,449
1528651959,443,450
1528652898,413,408
1528653884,452,452
1528654816,475,473
1528655799,414,408
1528656733,414,429
1528657700,414,402
1528658680,481,483
1528659632,482,475
1528660573,465,479
1528661574,446,449
1528662500,422,414
1528663472,428,428
1528664421,461,462
1528666876,471,462
1528668014,460,472
1528668989,401,400
1528669943,410,407
1528670911,401,398
1528671859,444,443
1528672835,424,430
1528673774,402,394
1528674743,380,390
1528675711,398,389
1528676666,461,477
1528677625,470,453
1528678588,394,402
1528679535,390,395
1528680511,450,446
1528681464,473,471
1528682451,419,418
1528683373,401,400
1528684363,426,432
1528685303,444,442
1528686288,459,468
1528687230,425,426
1528688189,452,449
1528689150,453,450
1528690103,460,459
1528691061,449,455
1528692026,409,403
1528692987,374,378
1528693942,389,395
1528694893,451,449
1528695885,479,471
1528696830,451,456
1528697779,411,411
1528698757,440,433
1528699697,416,434
1528700656,408,398
1528701662,405,415
1528702572,442,438
1528703570,476,476
1528704494,509,496
1528705481,480,497
1528706665,444,458
1528707628,468,442
1528708590,437,443
1528709538,459,456
1528710499,464,463
1528711480,405,401
1528712415,360,371
1528713373,366,358
1528714357,422,419
1528715295,423,411
1528716257,393,402
1528717237,417,409
1528718177,474,478
1528719155,475,479
1528720096,425,424
1528721074,455,461
1528722018,448,443
1528722971,438,445
1528723954,418,410
1528724890,422,419
1528725877,431,429
1528726817,408,411
1528727770,406,404
1528728749,375,373
1528729704,411,409
1528731067,418,420
1528732197,404,411
1528734458,437,431
1528735606,397,394
1528736581,426,424
1528737529,403,413
1528738603,390,377
1528739553,452,461
1528740603,465,460
1528741692,445,446
1528742696,425,439
1528743630,454,442
1528744588,429,428
1528745561,421,430
1528746777,445,446
1528747689,399,387
1528749039,422,423
1528750087,407,414
1528751058,358,350
1528752253,375,384
1528753212,405,396
1528754181,425,431
1528755133,390,388
1528756091,399,404
1528757121,398,395
1528758271,431,428
1528759213,366,368
1528760168,411,403
1528761137,404,415
1528762096,393,384
1528763051,385,390
1528764017,400,396
1528764972,462,470
1528765932,468,464
1528766897,446,455
1528767870,472,469
1528768832,420,410
1528769773,383,385
1528770751,391,401
1528771692,412,404
1528772656,394,386
1528773627,377,385
1528774570,376,381
1528775542,423,433
1528776511,451,432
1528777454,446,463
1528778411,461,442
1528779382,405,409
1528780331,406,410
1528781287,440,447
1528782279,471,469
1528783223,431,424
1528784178,439,437
1528785152,460,467
1528786091,457,459
1528787055,393,388
1528788029,378,382
1528788969,465,461
1528789942,483,477
1528790912,423,421
1528791856,438,452
1528792811,463,450
1528793786,427,432
1528794735,419,417
1528795689,369,374
1528796669,375,373
1528797619,397,398
1528798582,387,391
1528799560,400,397
1528800495,395,394
1528801456,408,411
1528802425,421,414
1528803370,424,426
1528804341,406,405
1528805311,409,407
1528806253,416,420
1528807212,420,420
1528808186,448,460
1528809137,433,418
1528810090,395,409
1528811067,433,424
1528812019,424,430
1528812969,432,436
1528813954,391,386
1528815409,394,386
1528816330,373,379
1528817300,438,434
1528818276,434,430
1528819232,390,389
1528820190,385,389
1528821158,401,407
1528822093,418,409
1528823066,416,417
1528824028,388,395
1528824975,398,397
1528825953,465,459
1528826920,493,491
1528827858,450,460
1528828816,448,436
1528829790,425,434
1528830747,423,424
1528831694,409,403
1528832686,419,419
1528833630,428,432
1528834579,410,409
1528835552,439,442
1528836518,422,426
1528837477,404,401
1528838421,380,382
1528839374,400,392
1528840352,415,414
1528841295,402,406
1528842261,387,389
1528843234,410,407
1528844174,428,439
1528845134,436,443
1528846113,380,374
1528847063,433,433
1528848032,425,421
1528849036,394,414
1528849958,413,400
1528850895,380,388
1528851863,429,417
1528852831,434,437
1528853779,438,430
1528854731,428,431
1528855719,446,449
1528856657,412,409
1528857616,424,428
1528858585,389,393
1528859544,417,418
1528860495,444,440
1528861483,454,443
1528862429,417,432
1528863407,391,393
1528864355,381,372
1528865550,392,402
1528866510,415,408
1528867462,396,397
1528868411,415,405
1528869399,431,440
1528870335,441,443
1528871299,452,442
1528872272,471,481
1528873231,441,450
1528874174,445,432
1528875155,456,452
1528876094,450,449
1528877057,394,390
1528878022,407,405
1528878973,405,410
1528879930,376,385
1528880915,465,469
1528881857,455,442
1528882822,465,457
1528883784,481,491
1528884743,473,473
1528885689,429,429
1528886678,434,430
1528887624,436,441
1528888585,414,412
1528889552,395,398
1528890495,403,394
1528891454,383,389
1528892440,400,401
1528893371,390,386
1528894335,447,452
1528895314,486,477
1528896261,426,424
1528897212,411,417
1528898188,387,391
1528899138,376,383
1528900095,383,385
1528901067,402,384
1528902043,414,410
1528902972,377,386
1528903943,456,452
1528904908,448,452
1528905859,403,411
1528906811,363,363
1528907791,375,360
1528908740,396,398
1528909700,394,392
1528910674,437,442
1528911623,425,426
1528912570,401,393
1528913552,413,413
1528914492,447,445
1528915475,435,443
1528916413,397,399
1528917375,401,398
1528919334,473,470
1528920253,430,429
1528921236,386,394
1528922187,425,413
1528923147,384,397
1528924091,374,366
1528925062,446,444
1528926014,440,441
1528926995,387,394
1528927932,389,388
1528928897,460,463
1528929880,479,484
1528932059,447,442
1528932970,429,426
1528933939,465,477
1528934911,474,463
1528935864,425,432
1528936811,457,455
