DateTime,AddedIPs,RemovedIPs
1528481065,18,20
1528482021,13,10
1528482982,14,18
1528483959,22,20
1528484909,22,25
1528485854,11,15
1528486868,23,11
1528487865,12,11
1528488981,17,23
1528489927,16,15
1528490886,7,28
1528492114,27,47
1528493053,15,0
1528494016,20,40
1528494985,8,30
1528495938,8,0
1528497502,28,21
1528498488,15,25
1528499554,28,34
1528500492,13,0
1528501463,22,18
1528502423,21,60
1528503369,28,0
1528504349,35,72
1528505291,26,14
1528506257,37,0
1528507225,20,58
1528508174,22,27
1528509132,18,0
1528510113,28,48
1528511051,11,0
1528512012,20,24
1528512984,12,16
1528513935,34,21
1528514889,12,17
1528515868,21,32
1528516819,6,25
1528517773,17,29
1528518749,12,13
1528519695,18,4
1528520659,14,13
1528521629,26,17
1528522572,16,19
1528523532,7,19
1528524509,22,16
1528525457,15,14
1528526411,12,11
1528527389,28,33
1528528338,19,18
1528529289,20,5
1528530274,11,12
1528531230,6,33
1528532172,4,20
1528533154,11,15
1528534091,14,0
1528535061,16,40
1528536012,29,13
1528536993,36,13
1528537941,18,0
1528538895,36,12
1528539870,22,19
1528540814,41,20
1528541786,26,12
1528542745,23,12
1528543698,17,2
1528544664,25,14
1528545641,9,11
1528546585,9,12
1528547557,14,8
1528548497,8,9
1528549478,12,15
1528550413,9,13
1528551378,9,23
1528552352,14,11
1528553295,10,9
1528554261,14,26
1528555216,18,0
1528556187,14,11
1528557139,21,23
1528558092,5,20
1528559076,14,16
1528560027,16,11
1528560971,9,12
1528561952,15,13
1528562893,9,14
1528563864,14,12
1528564820,14,19
1528565791,20,6
1528566992,15,18
1528567945,11,13
1528568893,6,14
1528569867,17,22
1528570819,10,22
1528571778,17,11
1528572732,22,23
1528573701,11,12
1528574656,16,17
1528575616,13,16
1528576580,16,7
1528577538,7,27
1528578495,13,0
1528579474,9,35
1528580413,12,0
1528581368,11,8
1528582357,11,36
1528583290,6,0
1528584391,15,15
1528586452,41,41
1528587379,21,22
1528588339,24,21
1528589314,35,28
1528590277,54,35
1528591210,47,26
1528592181,32,37
1528593171,38,20
1528594095,25,22
1528595060,17,18
1528596022,52,28
1528596973,46,11
1528597954,19,20
1528598898,14,12
1528599860,20,34
1528600809,21,12
1528601819,36,21
1528602746,9,6
1528603706,40,17
1528604653,19,12
1528605628,15,18
1528606570,15,14
1528607552,21,26
1528608492,7,16
1528609461,21,7
1528610419,29,22
1528611380,12,15
1528612353,28,12
1528613298,18,28
1528614269,19,19
1528615213,28,20
1528616185,8,11
1528617137,21,6
1528618105,30,4
1528619067,17,11
1528620012,22,14
1528620986,33,16
1528621948,23,29
1528622895,17,36
1528623864,12,18
1528624841,30,36
1528625775,15,22
1528626746,28,41
1528627697,11,26
1528628662,17,23
1528629613,13,17
1528630596,19,25
1528631530,12,9
1528632508,30,9
1528633460,11,14
1528634415,12,8
1528635379,20,12
1528636603,18,9
1528637534,23,9
1528638533,9,14
1528639464,15,10
1528640418,17,14
1528641392,20,18
1528642336,14,14
1528643293,24,21
1528644294,10,5
1528645213,12,14
1528646173,10,16
1528647153,15,9
1528648092,25,15
1528649069,11,9
1528650030,21,14
1528650971,5,14
1528651957,36,20
1528652897,17,15
1528653883,16,11
1528654815,20,6
1528655797,16,17
1528656731,17,10
1528657698,18,17
1528658672,17,22
1528659630,18,11
1528660571,14,16
1528661562,14,13
1528662493,19,16
1528663461,8,7
1528664416,37,13
1528666874,37,32
1528668012,20,11
1528668987,17,6
1528669941,26,15
1528670900,13,41
1528671857,25,0
1528672833,16,0
1528673772,16,21
1528674741,9,59
1528675709,20,0
1528676658,20,54
1528677623,13,79
1528678587,26,38
1528679534,14,0
1528680510,20,42
1528681457,17,0
1528682449,24,98
1528683371,11,0
1528684354,24,19
1528685295,31,14
1528686286,36,41
1528687228,24,36
1528688187,29,0
1528689149,15,49
1528690102,32,0
1528691060,45,34
1528692025,17,0
1528692986,7,36
1528693941,21,0
1528694891,20,7
1528695872,19,50
1528696822,33,12
1528697778,24,0
1528698755,26,46
1528699695,14,0
1528700655,21,19
1528701660,22,36
1528702571,9,0
1528703562,6,51
1528704492,39,0
1528705475,54,39
1528706660,42,33
1528707627,34,23
1528708588,6,17
1528709537,21,12
1528710497,26,30
1528711479,24,15
1528712411,17,28
1528713372,29,11
1528714356,11,17
1528715293,19,13
1528716255,13,19
1528717235,22,12
1528718169,14,30
1528719153,25,11
1528720094,12,12
1528721067,24,20
1528722016,19,18
1528722970,23,0
1528723952,19,32
1528724889,15,0
1528725867,27,32
1528726816,15,0
1528727769,24,20
1528728738,11,38
1528729698,34,10
1528731066,26,12
1528732188,21,10
1528734451,43,40
1528735604,12,32
1528736570,22,5
1528737527,14,36
1528738592,24,17
1528739544,14,16
1528740602,23,20
1528741691,22,16
1528742687,9,17
1528743629,38,18
1528744587,24,17
1528745554,17,18
1528746767,13,14
1528747688,22,14
1528749037,25,27
1528750085,13,37
1528751057,12,37
1528752252,19,0
1528753211,10,0
1528754180,21,20
1528755132,10,17
1528756086,27,26
1528757119,9,13
1528758261,33,41
1528759212,14,0
1528760166,23,16
1528761136,9,9
1528762095,20,20
1528763050,10,20
1528764015,11,13
1528764971,24,26
1528765930,15,14
1528766896,12,20
1528767859,31,41
1528768815,27,0
1528769772,22,35
1528770749,33,0
1528771691,29,31
1528772655,24,36
1528773626,16,24
1528774569,26,29
1528775532,17,15
1528776510,17,77
1528777449,20,0
1528778409,13,17
1528779381,31,7
1528780329,14,21
1528781285,8,20
1528782272,35,19
1528783222,14,33
1528784168,10,24
1528785151,28,26
1528786089,20,14
1528787054,25,21
1528788028,10,22
1528788968,11,9
1528789930,15,6
1528790911,24,93
1528791851,10,0
1528792810,18,42
1528793785,16,34
1528794733,10,6
1528795688,24,21
1528796668,14,26
1528797617,22,24
1528798581,8,17
1528799559,18,29
1528800494,7,11
1528801455,23,19
1528802424,12,13
1528803369,22,22
1528804332,16,14
1528805310,29,25
1528806252,12,12
1528807210,18,24
1528808184,14,19
1528809135,7,23
1528810089,4,19
1528811066,28,15
1528812017,25,27
1528812968,21,15
1528813953,23,24
1528815405,26,45
1528816329,22,26
1528817298,11,0
1528818266,13,21
1528819231,21,43
1528820189,15,0
1528821156,27,12
1528822091,13,22
1528823065,22,14
1528824026,16,24
1528824973,27,0
1528825946,14,37
1528826919,36,0
1528827852,20,22
1528828815,13,9
1528829789,27,38
1528830746,19,24
1528831687,18,17
1528832676,10,13
1528833629,27,22
1528834578,25,25
1528835551,22,13
1528836515,12,12
1528837475,24,19
1528838420,13,0
1528839373,11,10
1528840351,9,21
1528841294,27,10
1528842260,24,27
1528843232,32,9
1528844173,10,33
1528845132,27,14
1528846112,19,23
1528847058,41,9
1528848030,36,20
1528849029,35,10
1528849957,42,11
1528850894,29,24
1528851862,43,15
1528852830,41,12
1528853777,34,31
1528854730,33,27
1528855717,44,22
1528856650,19,33
1528857615,30,29
1528858583,19,24
1528859543,47,16
1528860491,15,26
1528861474,15,17
1528862427,31,17
1528863406,26,20
1528864354,19,13
1528865544,14,31
1528866509,23,14
1528867460,9,8
1528868410,21,35
1528869398,10,14
1528870333,24,10
1528871298,10,28
1528872267,36,20
1528873230,45,25
1528874173,12,10
1528875154,14,11
1528876093,18,15
1528877056,24,24
