DateTime,AddedIPs,RemovedIPs
1528481065,18,18
1528482021,13,13
1528482982,14,14
1528483959,22,22
1528484909,22,22
1528485854,11,11
1528486868,23,23
1528487865,12,12
1528488981,17,17
1528489927,16,16
1528490886,7,7
1528492114,27,27
1528493053,15,15
1528494016,20,20
1528494985,8,8
1528495938,8,8
1528497502,28,28
1528498488,15,15
1528499554,28,28
1528500492,13,13
1528501463,22,22
1528502423,21,21
1528503369,28,28
1528504349,35,35
1528505291,26,26
1528506257,37,37
1528507225,20,20
1528508174,22,22
1528509132,18,18
1528510113,28,28
1528511051,11,11
1528512012,20,20
1528512984,12,12
1528513935,34,34
1528514889,12,12
1528515868,21,21
1528516819,6,6
1528517773,17,17
1528518749,12,12
1528519695,18,18
1528520659,14,14
1528521629,26,26
1528522572,16,16
1528523532,7,7
1528524509,22,22
1528525457,15,15
1528526411,12,12
1528527389,28,28
1528528338,19,19
1528529289,20,20
1528530274,11,11
1528531230,6,6
1528532172,4,4
1528533154,11,11
1528534091,14,14
1528535061,16,16
1528536012,29,29
1528536993,36,36
1528537941,18,18
1528538895,36,36
1528539870,22,22
1528540814,41,41
1528541786,26,26
1528542745,23,23
1528543698,17,17
1528544664,25,25
1528545641,9,9
1528546585,9,9
1528547557,14,14
1528548497,8,8
1528549478,12,12
1528550413,9,9
1528551378,9,9
1528552352,14,14
1528553295,10,10
1528554261,14,14
1528555216,18,18
1528556187,14,14
1528557139,21,21
1528558092,5,5
1528559076,14,14
1528560027,16,16
1528560971,9,9
1528561952,15,15
1528562893,9,9
1528563864,14,14
1528564820,14,14
1528565791,20,20
1528566992,15,15
1528567945,11,11
1528568893,6,6
1528569867,17,17
1528570819,10,10
1528571778,17,17
1528572732,22,22
1528573701,11,11
1528574656,16,16
1528575616,13,13
1528576580,16,16
1528577538,7,7
1528578495,13,13
1528579474,9,9
1528580413,12,12
1528581368,11,11
1528582357,11,11
1528583290,6,6
1528584391,15,15
1528586452,41,41
1528587379,21,21
1528588339,24,24
1528589314,35,35
1528590277,54,54
1528591210,47,47
1528592181,32,32
1528593171,38,38
1528594095,25,25
1528595060,17,17
1528596022,52,52
1528596973,46,46
1528597954,19,19
1528598898,14,14
1528599860,20,20
1528600809,21,21
1528601819,36,36
1528602746,9,9
1528603706,40,40
1528604653,19,19
1528605628,15,15
1528606570,15,15
1528607552,21,21
1528608492,7,7
1528609461,21,21
1528610419,29,29
1528611380,12,12
1528612353,28,28
1528613298,18,18
1528614269,19,19
1528615213,28,28
1528616185,8,8
1528617137,21,21
1528618105,30,30
1528619067,17,17
1528620012,22,22
1528620986,33,33
1528621948,23,23
1528622895,17,17
1528623864,12,12
1528624841,30,30
1528625775,15,15
1528626746,28,28
1528627697,11,11
1528628662,17,17
1528629613,13,13
1528630596,19,19
1528631530,12,12
1528632508,30,30
1528633460,11,11
1528634415,12,12
1528635379,20,20
1528636603,18,18
1528637534,23,23
1528638533,9,9
1528639464,15,15
1528640418,17,17
1528641392,20,20
1528642336,14,14
1528643293,24,24
1528644294,10,10
1528645213,12,12
1528646173,10,10
1528647153,15,15
1528648092,25,25
1528649069,11,11
1528650030,21,21
1528650971,5,5
1528651957,36,36
1528652897,17,17
1528653883,16,16
1528654815,20,20
1528655797,16,16
1528656731,17,17
1528657698,18,18
1528658672,17,17
1528659630,18,18
1528660571,14,14
1528661562,14,14
1528662493,19,19
1528663461,8,8
1528664416,37,37
1528666874,37,37
1528668012,20,20
1528668987,17,17
1528669941,26,26
1528670900,13,13
1528671857,25,25
1528672833,16,16
1528673772,16,16
1528674741,9,9
1528675709,20,20
1528676658,20,20
