DateTime,AddedIPs,RemovedIPs
1528481069,24,49
1528482022,35,0
1528482991,42,56
1528483964,38,96
1528484910,29,44
1528485856,48,0
1528486869,34,111
1528487866,36,54
1528488982,37,55
1528489929,41,53
1528490887,29,50
1528492115,41,48
1528493062,29,46
1528494017,39,33
1528494986,35,45
1528495940,40,39
1528497504,36,50
1528498495,40,44
1528499555,28,56
1528500502,43,0
1528501482,42,53
1528502425,48,59
1528503370,40,55
1528504351,43,49
1528505293,53,60
1528506262,50,64
1528507227,46,61
1528508183,30,56
1528509150,45,64
1528510114,60,34
1528511058,39,62
1528512013,45,41
1528512986,41,28
1528513937,35,54
1528514900,29,49
1528515883,41,45
1528516820,28,44
1528517779,27,53
1528518750,36,0
1528519697,47,0
1528520670,43,63
1528521631,26,0
1528522574,34,59
1528523533,44,0
1528524517,37,60
1528525466,41,0
1528526413,39,0
1528527390,26,48
1528528339,40,0
1528529291,38,53
1528530286,48,0
1528531236,50,55
1528532174,27,58
1528533156,59,61
1528534093,45,57
1528535062,41,0
1528536014,42,54
1528536995,54,47
1528537958,50,71
1528538897,44,61
1528539872,45,58
1528540816,38,45
1528541788,35,0
1528542747,51,59
1528543700,36,62
1528544675,39,48
1528545643,38,0
1528546587,44,56
1528547559,46,71
1528548499,37,52
1528549480,23,51
1528550414,31,77
1528551379,34,0
1528552369,35,61
1528553297,27,62
1528554271,38,60
1528555217,23,0
1528556188,28,75
1528557141,40,68
1528558093,26,71
1528559086,26,0
1528560034,30,71
1528560972,17,70
1528561953,35,63
1528562895,40,0
1528563866,21,52
1528564821,31,64
1528565793,26,52
1528566994,31,72
1528567946,35,54
1528568894,48,0
1528569878,29,53
1528570820,36,77
1528571790,40,57
1528572733,23,55
1528573702,37,0
1528574658,42,57
1528575618,17,42
1528576581,18,47
1528577550,29,70
1528578502,29,62
1528579487,36,60
1528580415,41,46
1528581370,35,0
1528582358,49,51
1528583299,20,55
1528584392,32,62
1528586454,23,149
1528587381,28,47
1528588340,39,0
1528589316,24,71
1528590288,57,72
1528591212,29,81
1528592188,46,59
1528593172,32,0
1528594105,55,46
1528595077,55,64
1528596024,52,67
1528596974,44,55
1528597956,41,0
1528598900,48,83
1528599862,53,66
1528600811,36,62
1528601821,26,66
1528602747,29,0
1528603708,36,72
1528604655,59,19
1528605648,41,28
1528606572,65,18
1528607554,54,0
1528608501,43,24
1528609471,75,14
1528610422,28,22
1528611381,62,16
1528612355,46,11
1528613300,46,0
1528614271,53,31
1528615214,35,22
1528616187,41,18
1528617138,65,16
1528618106,48,22
1528619068,55,16
1528620014,36,12
1528620987,40,28
1528621950,29,0
1528622901,51,38
1528623875,45,17
1528624842,53,17
1528625777,47,0
1528626748,30,25
1528627699,34,12
1528628663,28,0
1528629614,30,10
1528630598,29,19
1528631532,43,0
1528632510,38,25
1528633465,38,18
1528634416,28,0
1528635380,58,22
1528636604,33,14
1528637536,43,15
1528638537,48,13
1528639466,37,17
1528640420,45,11
1528641393,25,13
1528642346,42,18
1528643294,33,15
1528644300,39,16
1528645215,21,19
1528646175,52,13
1528647155,40,11
1528648093,41,19
1528649075,24,14
1528650032,31,12
1528650973,29,16
1528651959,43,0
1528652898,23,0
1528653884,54,19
1528654816,31,16
1528655799,26,9
1528656733,39,14
1528657700,46,22
1528658680,40,14
1528659632,31,14
1528660573,43,8
1528661574,36,12
1528662500,26,23
1528663472,28,19
1528664421,39,15
1528666876,21,52
1528668014,27,12
1528668989,31,12
1528669943,28,14
1528670911,29,0
1528671859,24,12
1528672835,26,15
1528673774,23,16
1528674743,27,10
1528675711,15,12
1528676666,57,16
1528677625,18,13
1528678588,25,11
1528679535,44,25
1528680511,37,14
1528681464,21,10
1528682451,35,13
1528683373,26,12
1528684363,43,11
1528685303,33,14
1528686288,54,22
1528687230,39,17
1528688189,36,20
1528689150,32,18
1528690103,22,17
1528691061,36,22
1528692026,28,15
1528692987,23,16
1528693942,41,6
1528694893,55,16
1528695885,39,17
1528696830,29,14
1528697779,40,14
1528698757,32,29
1528699697,35,0
1528700656,40,0
1528701662,54,0
1528702572,48,0
1528703570,50,0
1528704494,76,0
1528705481,57,0
1528706665,52,0
1528707628,36,0
1528708590,24,23
1528709538,58,42
1528710499,37,56
1528711480,36,48
1528712415,34,93
1528713373,34,82
1528714357,34,52
1528715295,19,60
1528716257,29,49
1528717237,23,43
1528718177,44,40
1528719155,39,35
1528720096,35,37
1528721074,42,49
1528722018,40,32
1528722971,41,39
1528723954,27,39
1528724890,35,29
1528725877,20,34
1528726817,31,29
1528727770,25,43
1528728749,25,44
1528729704,12,38
1528731067,36,37
1528732197,32,51
1528734458,35,103
1528735606,25,30
1528736581,33,47
1528737529,37,22
1528738603,18,42
1528739553,35,37
1528740603,21,55
1528741692,26,38
1528742696,53,71
1528743630,46,41
1528744588,25,0
1528745561,39,81
1528746777,39,32
1528747689,21,33
1528749039,32,59
1528750087,26,35
1528751058,22,56
1528752253,38,34
1528753212,40,47
1528754181,30,78
1528755133,35,0
1528756091,33,29
1528757121,52,27
1528758271,41,63
1528759213,39,43
1528760168,20,0
1528761137,34,72
1528762096,21,39
1528763051,37,0
1528764017,26,42
1528764972,41,40
1528765932,42,47
1528766897,55,34
1528767870,49,89
1528768832,30,0
1528769773,34,96
1528770751,32,48
1528771692,33,0
1528772656,30,84
1528773627,23,0
1528774570,43,46
1528775542,38,29
1528776511,26,53
1528777454,57,35
1528778411,22,34
1528779382,47,36
1528780331,35,42
1528781287,59,44
1528782279,50,42
1528783223,41,37
1528784178,33,41
1528785152,44,41
1528786091,41,35
1528787055,40,42
1528788029,30,58
1528788969,62,61
1528789942,38,53
1528790912,27,52
1528791856,53,51
1528792811,28,68
1528793786,38,33
1528794735,20,52
1528795689,35,51
1528796669,28,56
1528797619,33,52
1528798582,29,44
1528799560,32,34
1528800495,43,26
1528801456,40,47
1528802425,30,37
1528803370,31,63
1528804341,25,36
1528805311,30,63
1528806253,35,53
1528807212,31,32
1528808186,51,43
1528809137,23,41
1528810090,44,41
1528811067,29,23
1528812019,34,45
1528812969,40,54
1528813954,43,57
1528815409,24,83
1528816330,29,0
1528817300,46,40
1528818276,38,55
1528819232,22,40
1528820190,44,41
1528821158,30,43
1528822093,33,43
1528823066,30,45
1528824028,44,44
1528824975,23,50
1528825953,46,22
1528826920,16,47
1528827858,48,39
1528828816,25,52
1528829790,14,28
1528830747,41,41
1528831694,25,41
1528832686,39,42
1528833630,37,30
1528834579,60,47
1528835552,43,62
1528836518,34,45
1528837477,24,42
1528838421,28,50
1528839374,34,44
1528840352,30,0
1528841295,20,30
1528842261,28,44
1528843234,43,77
1528844174,58,0
1528845134,37,27
1528846113,44,36
1528847063,32,40
1528848032,31,41
1528849036,58,61
1528849958,40,54
1528850895,34,54
1528851863,55,60
1528852831,45,41
1528853779,38,40
1528854731,57,45
1528855719,28,48
1528856657,62,59
1528857616,52,66
1528858585,55,65
1528859544,50,52
1528860495,55,54
1528861483,31,41
1528862429,46,56
1528863407,35,45
1528864355,39,64
1528865550,41,49
1528866510,31,53
1528867462,44,63
1528868411,25,30
1528869399,47,52
1528870335,44,33
1528871299,39,58
1528872272,45,46
1528873231,56,41
1528874174,45,61
1528875155,50,59
1528876094,28,72
1528877057,24,65
1528878022,39,67
1528878973,47,79
1528879930,34,77
1528880915,56,85
1528881857,55,57
1528882822,36,70
1528883784,44,65
1528884743,32,72
1528885689,53,50
1528886678,36,63
1528887624,42,50
1528888585,35,49
1528889552,37,57
1528890495,41,28
1528891454,29,57
1528892440,43,33
1528893371,33,46
1528894335,59,66
1528895314,28,54
1528896261,34,53
1528897212,22,70
1528898188,41,48
1528899138,49,58
1528900095,34,54
1528901067,20,62
1528902043,23,29
1528902972,24,41
1528903943,47,34
1528904908,33,49
1528905859,28,60
1528906811,27,68
1528907791,13,57
1528908740,18,67
1528909700,21,73
1528910674,40,56
1528911623,29,41
1528912570,27,47
1528913552,26,51
1528914492,48,0
1528915475,35,54
1528916413,43,0
1528917375,26,0
1528919334,31,64
1528920253,38,0
1528921236,34,0
1528922187,20,0
1528923147,30,0
1528924091,22,54
1528925062,36,0
1528926014,20,0
1528926995,32,0
1528927932,38,47
1528928897,61,0
1528929880,36,0
1528932059,22,55
1528932970,34,0
1528933939,60,0
1528934911,27,0
1528935864,66,39
1528936811,33,0
1528937788,57,0
1528938740,53,70
1528939701,44,0
1528940675,64,63
1528941650,41,57
1528942570,39,65
1528943557,60,42
1528944492,30,61
1528945480,62,57
1528946410,32,51
1528947379,39,53
1528948351,36,45
1528949302,34,51
1528950255,55,44
1528951274,28,70
1528952418,26,51
1528953382,48,41
1528954331,43,57
1528955291,53,0
1528956270,31,58
1528957209,30,62
1528958170,63,49
1528959148,41,62
1528960097,41,68
1528961056,46,67
1528962025,81,87
1528962969,73,67
1528963934,40,71
1528964911,59,47
1528965858,40,77
1528966821,52,70
1528967772,35,39
1528968748,32,45
1528969696,38,37
1528970667,38,71
1528971610,36,65
