DateTime,Entries,UniqueIPs
1528481069,39750,42755
1528482022,39782,42790
1528482991,39767,42776
1528483964,39712,42718
1528484910,39698,42703
1528485856,39742,42751
1528486869,39673,42674
1528487866,39664,42656
1528488982,39656,42638
1528489929,39647,42626
1528490887,39631,42605
1528492115,39629,42598
1528493062,39613,42581
1528494017,39619,42587
1528494986,39611,42577
1528495940,39605,42578
1528497504,39591,42564
1528498495,39585,42560
1528499555,39562,42532
1528500502,39597,42575
1528501482,39590,42564
1528502425,39590,42553
1528503370,39572,42538
1528504351,39575,42532
1528505293,39569,42525
1528506262,39557,42511
1528507227,39542,42496
1528508183,39523,42470
1528509150,39507,42451
1528510114,39531,42477
1528511058,39513,42454
1528512013,39514,42458
1528512986,39532,42471
1528513937,39510,42452
1528514900,39499,42432
1528515883,39494,42428
1528516820,39485,42412
1528517779,39461,42386
1528518750,39492,42422
1528519697,39535,42469
1528520670,39518,42449
1528521631,39543,42475
1528522574,39526,42450
1528523533,39566,42494
1528524517,39551,42471
1528525466,39590,42512
1528526413,39623,42551
1528527390,39605,42529
1528528339,39638,42569
1528529291,39621,42554
1528530286,39660,42602
1528531236,39663,42597
1528532174,39633,42566
1528533156,39632,42564
1528534093,39625,42552
1528535062,39659,42593
1528536014,39652,42581
1528536995,39661,42588
1528537958,39646,42567
1528538897,39634,42550
1528539872,39620,42537
1528540816,39613,42530
1528541788,39648,42565
1528542747,39646,42557
1528543700,39625,42531
1528544675,39617,42522
1528545643,39651,42560
1528546587,39639,42548
1528547559,39618,42523
1528548499,39609,42508
1528549480,39580,42480
1528550414,39537,42434
1528551379,39568,42468
1528552369,39546,42442
1528553297,39514,42407
1528554271,39500,42385
1528555217,39521,42408
1528556188,39479,42361
1528557141,39457,42333
1528558093,39417,42288
1528559086,39439,42314
1528560034,39413,42273
1528560972,39366,42220
1528561953,39339,42192
1528562895,39378,42232
1528563866,39352,42201
1528564821,39314,42168
1528565793,39285,42142
1528566994,39247,42101
1528567946,39232,42082
1528568894,39274,42130
1528569878,39254,42106
1528570820,39215,42065
1528571790,39197,42048
1528572733,39175,42016
1528573702,39207,42053
1528574658,39188,42038
1528575618,39165,42013
1528576581,39138,41984
1528577550,39106,41943
1528578502,39070,41910
1528579487,39045,41886
1528580415,39042,41881
1528581370,39074,41916
1528582358,39069,41914
1528583299,39043,41879
1528584392,39013,41849
1528586454,38897,41723
1528587381,38879,41704
1528588340,38914,41743
1528589316,38872,41696
1528590288,38854,41681
1528591212,38805,41629
1528592188,38797,41616
1528593172,38829,41648
1528594105,38838,41657
1528595077,38829,41648
1528596024,38820,41633
1528596974,38818,41622
1528597956,38857,41663
1528598900,38829,41628
1528599862,38822,41615
1528600811,38801,41589
1528601821,38766,41549
1528602747,38795,41578
1528603708,38754,41542
1528604655,38779,41582
1528605648,38782,41595
1528606572,38822,41642
1528607554,38871,41696
1528608501,38891,41715
1528609471,38943,41776
1528610422,38945,41782
1528611381,38980,41828
1528612355,39008,41863
1528613300,39044,41909
1528614271,39061,41931
1528615214,39071,41944
1528616187,39088,41967
1528617138,39132,42016
1528618106,39150,42042
1528619068,39183,42081
1528620014,39202,42105
1528620987,39212,42117
1528621950,39240,42146
1528622901,39256,42159
1528623875,39283,42187
1528624842,39315,42223
1528625777,39358,42270
1528626748,39363,42275
1528627699,39381,42297
1528628663,39407,42325
1528629614,39428,42345
1528630598,39439,42355
1528631532,39477,42398
1528632510,39487,42411
1528633465,39505,42431
1528634416,39532,42459
1528635380,39566,42495
1528636604,39585,42514
1528637536,39612,42542
1528638537,39646,42577
1528639466,39664,42597
1528640420,39690,42631
1528641393,39698,42643
1528642346,39718,42667
1528643294,39734,42685
1528644300,39755,42708
1528645215,39758,42710
1528646175,39795,42749
1528647155,39821,42778
1528648093,39844,42800
1528649075,39854,42810
1528650032,39873,42829
1528650973,39886,42842
1528651959,39925,42885
1528652898,39947,42908
1528653884,39976,42943
1528654816,39989,42958
1528655799,40003,42975
1528656733,40027,43000
1528657700,40049,43024
1528658680,40071,43050
1528659632,40086,43067
1528660573,40117,43102
1528661574,40141,43126
1528662500,40145,43129
1528663472,40155,43138
1528664421,40174,43162
1528666876,40154,43131
1528668014,40171,43146
1528668989,40192,43165
1528669943,40211,43179
1528670911,40239,43208
1528671859,40250,43220
1528672835,40259,43231
1528673774,40266,43238
1528674743,40283,43255
1528675711,40287,43258
1528676666,40328,43299
1528677625,40331,43304
1528678588,40345,43318
1528679535,40367,43337
1528680511,40390,43360
1528681464,40402,43371
1528682451,40423,43393
1528683373,40438,43407
1528684363,40472,43439
1528685303,40496,43458
1528686288,40531,43490
1528687230,40552,43512
1528688189,40572,43528
1528689150,40586,43542
1528690103,40591,43547
1528691061,40607,43561
1528692026,40623,43574
1528692987,40633,43581
1528693942,40668,43616
1528694893,40707,43655
1528695885,40732,43677
1528696830,40745,43692
1528697779,40769,43718
1528698757,40774,43721
1528699697,40808,43756
1528700656,40844,43796
1528701662,40895,43850
1528702572,40939,43898
1528703570,40981,43948
1528704494,41049,44024
1528705481,41101,44081
1528706665,41150,44133
1528707628,41183,44169
1528708590,41186,44170
1528709538,41210,44186
1528710499,41190,44167
1528711480,41177,44155
1528712415,41119,44096
1528713373,41075,44048
1528714357,41060,44030
1528715295,41021,43989
1528716257,41008,43969
1528717237,40992,43949
1528718177,41003,43953
1528719155,41008,43957
1528720096,41010,43955
1528721074,41007,43948
1528722018,41012,43956
1528722971,41015,43958
1528723954,40997,43946
1528724890,40999,43952
1528725877,40989,43938
1528726817,40998,43940
1528727770,40985,43922
1528728749,40966,43903
1528729704,40942,43877
1528731067,40937,43876
1528732197,40920,43857
1528734458,40857,43789
1528735606,40854,43784
1528736581,40839,43770
1528737529,40847,43785
1528738603,40825,43761
1528739553,40821,43759
1528740603,40786,43725
1528741692,40774,43713
1528742696,40760,43695
1528743630,40762,43700
1528744588,40785,43725
1528745561,40746,43683
1528746777,40755,43690
1528747689,40744,43678
1528749039,40709,43651
1528750087,40704,43642
1528751058,40679,43608
1528752253,40688,43612
1528753212,40684,43605
1528754181,40642,43557
1528755133,40674,43592
1528756091,40674,43596
1528757121,40698,43621
1528758271,40679,43599
1528759213,40674,43595
1528760168,40693,43615
1528761137,40661,43577
1528762096,40644,43559
1528763051,40679,43596
1528764017,40661,43580
1528764972,40660,43581
1528765932,40653,43576
1528766897,40681,43597
1528767870,40650,43557
1528768832,40676,43587
1528769773,40619,43525
1528770751,40606,43509
1528771692,40636,43542
1528772656,40582,43488
1528773627,40603,43511
1528774570,40600,43508
1528775542,40614,43517
1528776511,40585,43490
1528777454,40604,43512
1528778411,40592,43500
1528779382,40600,43511
1528780331,40598,43504
1528781287,40611,43519
1528782279,40616,43527
1528783223,40619,43531
1528784178,40611,43523
1528785152,40613,43526
1528786091,40619,43532
1528787055,40615,43530
1528788029,40600,43502
1528788969,40605,43503
1528789942,40583,43488
1528790912,40566,43463
1528791856,40565,43465
1528792811,40525,43425
1528793786,40521,43430
1528794735,40491,43398
1528795689,40478,43382
1528796669,40447,43354
1528797619,40427,43335
1528798582,40413,43320
1528799560,40409,43318
1528800495,40424,43335
1528801456,40415,43328
1528802425,40407,43321
1528803370,40376,43289
1528804341,40369,43278
1528805311,40335,43245
1528806253,40318,43227
1528807212,40316,43226
1528808186,40322,43234
1528809137,40304,43216
1528810090,40309,43219
1528811067,40316,43225
1528812019,40305,43214
1528812969,40292,43200
1528813954,40284,43186
1528815409,40234,43127
1528816330,40258,43156
1528817300,40258,43162
1528818276,40243,43145
1528819232,40223,43127
1528820190,40221,43130
1528821158,40210,43117
1528822093,40202,43107
1528823066,40194,43092
1528824028,40194,43092
1528824975,40169,43065
1528825953,40191,43089
1528826920,40161,43058
1528827858,40173,43067
1528828816,40144,43040
1528829790,40137,43026
1528830747,40139,43026
1528831694,40124,43010
1528832686,40116,43007
1528833630,40125,43014
1528834579,40139,43027
1528835552,40115,43008
1528836518,40104,42997
1528837477,40085,42979
1528838421,40069,42957
1528839374,40057,42947
1528840352,40084,42977
1528841295,40076,42967
1528842261,40062,42951
1528843234,40029,42917
1528844174,40081,42975
1528845134,40096,42985
1528846113,40106,42993
1528847063,40101,42985
1528848032,40093,42975
1528849036,40092,42972
1528849958,40079,42958
1528850895,40061,42938
1528851863,40064,42933
1528852831,40062,42937
1528853779,40059,42935
1528854731,40070,42947
1528855719,40055,42927
1528856657,40057,42930
1528857616,40041,42916
1528858585,40029,42906
1528859544,40026,42904
1528860495,40026,42905
1528861483,40011,42895
1528862429,40006,42885
1528863407,39996,42875
1528864355,39973,42850
1528865550,39970,42842
1528866510,39946,42820
1528867462,39934,42801
