DateTime,AddedIPs,RemovedIPs
1528481069,473,473
1528482022,435,435
1528482991,477,477
1528483964,434,434
1528484910,468,468
1528485856,477,477
1528486869,466,466
1528487866,473,473
1528488982,475,475
1528489929,475,475
1528490887,470,470
1528492115,467,467
1528493062,471,471
1528494017,465,465
1528494986,475,475
1528495940,474,474
1528497504,477,477
1528498495,479,479
1528499555,378,378
1528500502,476,476
1528501482,479,479
1528502425,474,474
1528503370,475,475
1528504351,477,477
1528505293,472,472
1528506262,430,430
1528507227,479,479
1528508183,399,399
1528509150,478,478
1528510114,484,484
1528511058,484,484
1528512013,478,478
1528512986,481,481
1528513937,478,478
1528514900,472,472
1528515883,469,469
1528516820,480,480
1528517779,381,381
1528518750,473,473
1528519697,482,482
1528520670,475,475
1528521631,475,475
1528522574,471,471
1528523533,464,464
1528524517,477,477
1528525466,417,417
1528526413,474,474
1528527390,476,476
1528528339,479,479
1528529291,448,448
1528530286,477,477
1528531236,444,444
1528532174,483,483
1528533156,479,479
1528534093,469,469
1528535062,470,470
1528536014,368,368
1528536995,479,479
1528537958,453,453
1528538897,466,466
1528539872,468,468
1528540816,472,472
1528541788,406,406
1528542747,458,458
1528543700,459,459
1528544675,463,463
1528545643,443,443
1528546587,457,457
1528547559,438,438
1528548499,469,469
1528549480,379,379
1528550414,453,453
1528551379,465,465
1528552369,438,438
1528553297,476,476
1528554271,451,451
1528555217,440,440
1528556188,483,483
1528557141,457,457
1528558093,441,441
1528559086,443,443
1528560034,438,438
1528560972,388,388
1528561953,441,441
1528562895,449,449
1528563866,449,449
1528564821,449,449
1528565793,418,418
1528566994,382,382
1528567946,460,460
1528568894,460,460
1528569878,482,482
1528570820,435,435
1528571790,444,444
1528572733,460,460
1528573702,417,417
1528574658,464,464
1528575618,463,463
1528576581,419,419
1528577550,437,437
1528578502,373,373
1528579487,420,420
1528580415,441,441
1528581370,449,449
1528582358,452,452
1528583299,431,431
1528584392,427,427
1528586454,432,432
1528587381,430,430
1528588340,377,377
1528589316,376,376
1528590288,452,452
1528591212,466,466
1528592188,431,431
1528593172,423,423
1528594105,446,446
1528595077,471,471
1528596024,476,476
1528596974,463,463
1528597956,431,431
1528598900,420,420
1528599862,415,415
1528600811,380,380
1528601821,414,414
1528602747,444,444
1528603708,457,457
1528604655,457,457
1528605648,443,443
1528606572,459,459
1528607554,455,455
1528608501,434,434
1528609471,464,464
1528610422,475,475
1528611381,455,455
1528612355,452,452
1528613300,452,452
1528614271,455,455
1528615214,476,476
1528616187,450,450
1528617138,460,460
1528618106,471,471
1528619068,465,465
1528620014,454,454
1528620987,418,418
1528621950,425,425
1528622901,430,430
1528623875,460,460
1528624842,443,443
1528625777,449,449
1528626748,412,412
1528627699,446,446
1528628663,409,409
1528629614,433,433
1528630598,444,444
1528631532,460,460
1528632510,457,457
1528633465,462,462
1528634416,388,388
1528635380,462,462
1528636604,456,456
1528637536,436,436
1528638537,468,468
1528639466,467,467
1528640420,430,430
1528641393,427,427
1528642346,394,394
1528643294,404,404
1528644300,444,444
1528645215,390,390
1528646175,453,453
1528647155,459,459
1528648093,445,445
1528649075,418,418
1528650032,405,405
1528650973,454,454
1528651959,424,424
1528652898,408,408
1528653884,448,448
1528654816,466,466
1528655799,401,401
1528656733,416,416
1528657700,402,402
1528658680,473,473
1528659632,468,468
1528660573,468,468
1528661574,453,453
1528662500,415,415
1528663472,431,431
1528664421,436,436
1528666876,439,439
1528668014,454,454
1528668989,398,398
1528669943,393,393
1528670911,393,393
1528671859,428,428
1528672835,422,422
1528673774,390,390
1528674743,385,385
1528675711,381,381
1528676666,464,464
1528677625,463,463
1528678588,381,381
1528679535,393,393
1528680511,445,445
1528681464,466,466
1528682451,405,405
1528683373,400,400
1528684363,422,422
1528685303,426,426
1528686288,447,447
1528687230,422,422
1528688189,442,442
1528689150,458,458
1528690103,445,445
1528691061,431,431
1528692026,408,408
1528692987,385,385
1528693942,391,391
1528694893,458,458
1528695885,478,478
1528696830,438,438
1528697779,407,407
1528698757,435,435
1528699697,432,432
1528700656,407,407
1528701662,413,413
1528702572,463,463
1528703570,500,500
1528704494,488,488
1528705481,472,472
1528706665,446,446
1528707628,448,448
1528708590,455,455
1528709538,460,460
1528710499,464,464
1528711480,398,398
1528712415,374,374
1528713373,355,355
1528714357,426,426
1528715295,410,410
1528716257,394,394
1528717237,404,404
1528718177,473,473
1528719155,467,467
1528720096,430,430
1528721074,451,451
1528722018,447,447
1528722971,441,441
1528723954,413,413
1528724890,420,420
1528725877,415,415
1528726817,405,405
1528727770,392,392
1528728749,372,372
1528729704,384,384
1528731067,400,400
1528732197,400,400
1528734458,404,404
1528735606,393,393
1528736581,408,408
1528737529,403,403
1528738603,370,370
1528739553,448,448
1528740603,449,449
1528741692,431,431
1528742696,436,436
1528743630,431,431
1528744588,413,413
1528745561,419,419
1528746777,450,450
1528747689,385,385
1528749039,403,403
1528750087,408,408
1528751058,350,350
1528752253,370,370
1528753212,401,401
1528754181,417,417
1528755133,390,390
1528756091,388,388
1528757121,400,400
1528758271,409,409
1528759213,362,362
1528760168,391,391
1528761137,410,410
1528762096,378,378
1528763051,386,386
1528764017,396,396
1528764972,453,453
1528765932,463,463
1528766897,452,452
1528767870,458,458
1528768832,400,400
1528769773,369,369
1528770751,376,376
1528771692,392,392
1528772656,372,372
1528773627,373,373
1528774570,365,365
1528775542,429,429
1528776511,441,441
1528777454,449,449
1528778411,452,452
1528779382,384,384
1528780331,406,406
1528781287,452,452
1528782279,452,452
1528783223,427,427
1528784178,436,436
1528785152,450,450
1528786091,455,455
1528787055,380,380
1528788029,384,384
1528788969,465,465
1528789942,474,474
1528790912,404,404
1528791856,449,449
1528792811,451,451
1528793786,422,422
1528794735,417,417
1528795689,360,360
1528796669,374,374
1528797619,388,388
1528798582,396,396
1528799560,394,394
1528800495,399,399
1528801456,399,399
1528802425,417,417
1528803370,412,412
1528804341,397,397
1528805311,390,390
1528806253,413,413
1528807212,410,410
1528808186,456,456
1528809137,431,431
1528810090,411,411
1528811067,423,423
1528812019,418,418
1528812969,431,431
1528813954,385,385
1528815409,378,378
1528816330,369,369
1528817300,439,439
1528818276,429,429
1528819232,379,379
1528820190,382,382
1528821158,391,391
1528822093,413,413
1528823066,403,403
1528824028,390,390
1528824975,385,385
1528825953,460,460
1528826920,465,465
1528827858,446,446
1528828816,439,439
1528829790,411,411
1528830747,418,418
1528831694,397,397
1528832686,419,419
1528833630,418,418
1528834579,404,404
1528835552,433,433
1528836518,428,428
1528837477,391,391
1528838421,378,378
1528839374,396,396
1528840352,414,414
1528841295,388,388
1528842261,376,376
1528843234,391,391
1528844174,440,440
1528845134,435,435
1528846113,384,384
1528847063,412,412
1528848032,409,409
1528849036,396,396
1528849958,393,393
1528850895,381,381
1528851863,407,407
1528852831,420,420
1528853779,421,421
1528854731,419,419
1528855719,424,424
1528856657,415,415
1528857616,418,418
1528858585,399,399
1528859544,397,397
1528860495,453,453
1528861483,454,454
1528862429,419,419
1528863407,395,395
1528864355,378,378
1528865550,409,409
1528866510,419,419
1528867462,410,410
1528868411,406,406
1528869399,446,446
1528870335,441,441
1528871299,460,460
1528872272,462,462
1528873231,435,435
1528874174,456,456
1528875155,461,461
1528876094,452,452
1528877057,383,383
1528878022,407,407
1528878973,406,406
1528879930,381,381
1528880915,470,470
1528881857,459,459
1528882822,457,457
1528883784,474,474
1528884743,476,476
1528885689,432,432
1528886678,433,433
1528887624,437,437
1528888585,414,414
1528889552,400,400
1528890495,404,404
1528891454,389,389
1528892440,405,405
1528893371,382,382
1528894335,456,456
1528895314,467,467
1528896261,418,418
1528897212,410,410
1528898188,388,388
1528899138,374,374
1528900095,383,383
1528901067,400,400
1528902043,402,402
1528902972,387,387
1528903943,446,446
1528904908,457,457
1528905859,404,404
1528906811,368,368
1528907791,361,361
1528908740,395,395
1528909700,387,387
1528910674,438,438
1528911623,429,429
1528912570,389,389
1528913552,410,410
1528914492,438,438
1528915475,430,430
1528916413,394,394
1528917375,390,390
1528919334,418,418
1528920253,417,417
1528921236,389,389
1528922187,408,408
1528923147,382,382
1528924091,361,361
1528925062,430,430
1528926014,427,427
1528926995,371,371
1528927932,388,388
1528928897,467,467
1528929880,473,473
1528932059,410,410
1528932970,398,398
1528933939,449,449
1528934911,447,447
1528935864,424,424
1528936811,431,431
1528937788,438,438
1528938740,462,462
1528939701,458,458
1528940675,462,462
1528941650,454,454
1528942570,375,375
1528943557,475,475
1528944492,474,474
1528945480,471,471
1528946410,477,477
1528947379,382,382
1528948351,387,387
1528949302,402,402
1528950255,452,452
1528951274,436,436
1528952418,404,404
1528953382,410,410
1528954331,430,430
1528955291,436,436
1528956270,406,406
1528957209,388,388
1528958170,451,451
1528959148,465,465
1528960097,408,408
1528961056,391,391
1528962025,480,480
1528962969,473,473
1528963934,478,478
1528964911,460,460
1528965858,465,465
1528966821,433,433
1528967772,429,429
1528968748,412,412
1528969696,399,399
1528970667,394,394
1528971610,396,396
