DateTime,AddedIPs,RemovedIPs
1526486418,1,1
1526493617,1,1
1526497217,1,8
1526515217,1,0
1526518821,1,0
1526536816,0,2
1526544016,1,3
1526547616,1,4
1526551216,4,4
1526554816,0,1
1526558416,1,1
1526562017,3,0
1526565622,2,0
1526569216,0,1
1526572817,1,1
1526580016,3,1
1526583617,0,2
1526587217,1,0
1526590819,0,1
1526594416,2,3
1526598016,0,2
1526601616,1,3
1526605216,3,2
1526608816,0,1
1526612417,2,2
1526616016,1,2
1526619617,1,0
1526623217,0,1
1526626816,2,2
1526630420,1,0
1526634017,1,0
1526637617,0,1
1526641217,1,1
1526644822,2,2
1526659218,0,1
1526662817,1,0
1526677217,2,0
1526684417,1,1
1526695216,0,1
1526698817,1,0
1526716817,0,1
1526727617,0,1
1526731216,1,0
1526734818,0,1
1526742016,1,0
1526745618,1,0
1526749219,0,1
1526760016,1,1
1526763616,0,1
1526778016,1,0
1526781616,1,0
1526792417,1,0
1526796021,6,0
1526799618,17,1
1526803218,7,0
1526806818,1,0
1526810418,1,0
1526814022,12,1
1526817619,2,0
1526821220,1,2
1526824819,2,2
1526828423,3,0
1526832022,1,0
1526835618,0,1
1526839219,1,0
1526842819,1,0
1526846421,1,1
1526853619,1,3
1526857219,1,1
1526860819,0,1
1526864418,2,4
1526868019,1,2
1526889618,0,1
1526896818,1,0
1526900419,0,2
1526911218,1,1
1526922018,1,0
1526925619,1,0
1526932819,0,1
1526940018,1,0
1526943619,1,1
1526950818,1,0
1526954419,0,1
1526958019,1,0
1526965219,0,3
1526968819,1,0
1526972422,0,2
1526986818,1,0
1526990418,1,1
1527001219,1,1
1527004819,0,1
1527008418,2,3
1527012019,1,2
1527015617,0,2
1527019218,1,7
1527022817,0,3
1527026417,1,5
1527030024,0,2
1527033618,1,0
1527040818,0,2
1527044425,1,0
1527048018,0,3
1527051618,1,21
1527055216,0,12
1527058816,0,3
1527062424,1,2
1527066024,0,1
1527069616,0,1
1527076815,2,1
1527087615,0,2
1527098416,0,1
1527102015,0,3
1527109216,0,1
1527112815,0,3
1527116416,0,3
1527120015,3,1
1527123616,6,2
1527127215,1,0
1527134415,2,1
1527138016,3,0
1527141615,3,1
1527145217,2,0
1527148816,5,0
1527152417,3,0
1527156017,2,1
1527159621,12,0
1527163216,0,1
1527166816,0,1
1527170417,0,1
1527174019,0,1
1527177623,0,1
1527184817,2,0
1527188416,1,0
1527192016,0,1
1527195617,2,1
1527199217,0,4
1527202818,1,2
1527206431,0,1
1527210018,0,2
1527217217,1,1
1527220817,0,2
1527231616,0,3
1527235217,0,2
1527238817,1,1
1527242420,2,2
1527246016,1,0
1527249616,0,1
1527253216,1,0
1527260416,0,1
1527267616,1,0
1527274821,1,0
1527285616,1,0
1527289215,0,0
1527292816,1,1
1527296416,1,1
1527300017,0,0
1527303616,1,0
1527307216,0,0
1527310816,1,0
1527314418,1,0
1527318016,0,0
1527321616,0,0
1527325216,0,0
1527328816,220,0
1527332416,0,0
1527336016,0,0
1527339623,0,0
1527343216,0,0
1527346816,0,0
1527350416,0,0
1527354016,0,0
1527357617,0,2
1527361221,1,1
1527364816,0,1
1527368418,0,1
1527372016,0,0
1527375616,0,0
1527379216,0,0
1527382816,0,0
1527386417,0,0
1527390017,1,1
1527393617,1,0
1527397216,1,0
1527400819,2,5
1527404416,1,11
1527408016,1,12
1527411615,5,0
1527415216,4,2
1527418815,1,9
1527422415,2,1
1527426020,2,1
1527429615,1,1
1527433215,1,2
1527436814,0,2
1527440415,1,1
1527444015,2,0
1527451215,0,1
1527454816,1,1
1527458416,1,3
1527462015,0,1
1527472815,1,2
1527476416,0,1
1527483615,0,1
1527505215,7,0
1527508815,0,1
1527519615,1,0
1527523215,2,1
1527526818,2,1
1527530415,0,1
1527534015,1,1
1527537615,0,2
1527548415,1,0
1527552015,0,1
1527555615,1,0
1527559214,1,0
1527562815,1,1
1527566416,2,0
1527570015,2,1
1527573615,1,0
1527584416,0,2
1527588015,1,2
1527591615,1,2
1527595215,0,1
1527598815,1,0
1527606015,1,0
1527609615,1,2
1527613219,0,1
1527616815,0,2
1527620414,1,0
1527624014,0,1
1527627615,3,2
1527631216,1,0
1527638416,1,0
1527642015,1,0
1527645616,9,0
1527649215,0,1
1527660021,0,1
1527663615,1,1
1527681615,0,1
1527685215,1,1
1527688816,1,0
1527696015,1,1
1527703217,1,0
1527706817,1,0
1527724864,1,5
1527728415,1,5
1527746415,0,3
1527753616,7,0
1527757216,0,5
1527760823,0,3
1527764415,0,10
1527768016,0,2
1527775214,1,0
1527778814,0,1
1527782415,0,1
1527786014,0,1
1527789614,0,1
1527793224,0,1
1527800415,2,4
1527804014,7,1
1527807615,5,1
1527811215,2,2
1527814817,6,1
1527818415,5,0
1527822015,1,2
1527825615,4,0
1527829215,2,0
1527832816,1,0
1527840015,1,0
1527843615,1,1
1527847215,1,1
1527858015,1,0
1527861619,0,2
1527865215,0,1
1527879621,0,2
1527890416,1,0
1527894015,1,0
1527897615,1,2
1527904815,0,2
1527908415,0,1
1527912016,1,1
1527915615,0,0
1527919214,0,0
1527922816,1,0
1527926415,1,0
1527930016,0,0
1527933614,1,1
1527937219,0,0
1527940815,2,0
1527944416,0,0
1527948015,0,0
1527951617,0,0
1527955216,0,0
1527958815,1,0
1527962416,0,0
1527966015,0,1
1527969615,0,0
1527973215,0,0
1527976820,0,0
1527980418,0,0
1527984016,0,0
1527987615,1,0
1527991215,0,0
1527994817,3,0
1527998415,1,0
1528002016,0,0
1528005615,1,2
1528009216,2,0
1528012816,1,2
1528016415,0,4
1528020015,1,4
1528023616,0,1
1528027215,1,1
1528030820,0,2
1528034423,0,1
1528038014,0,1
1528041617,1,0
1528045215,2,1
1528048821,0,3
1528052415,1,1
1528059615,0,1
1528063215,8,2
1528077614,0,2
1528088415,1,0
1528102817,5,0
1528106419,3,1
1528110016,5,8
1528117221,0,1
1528124420,1,0
1528128016,0,1
1528131616,0,1
1528138819,0,1
1528142414,1,1
1528146022,20,0
1528149616,9,0
1528160418,0,1
1528164018,1,2
1528171219,1,2
1528174816,5,1
1528178417,15,0
1528182018,1,0
1528185617,2,1
1528189217,0,1
1528192819,0,1
1528196417,1,0
1528200018,1,0
1528203619,1,2
1528207218,3,0
1528214425,0,1
1528221619,3,0
1528225218,0,1
1528228818,1,0
1528232417,1,1
1528239618,1,0
1528243218,0,2
1528246821,0,3
1528250423,0,12
1528254018,1,1
1528257620,1,0
1528261218,1,0
1528264822,1,0
1528268418,0,1
1528272024,0,1
1528275619,1,0
1528290018,0,1
1528293618,0,1
1528300818,1,2
1528308017,0,0
1528311619,2,1
1528318819,6,0
1528322417,1,0
1528329617,1,1
1528333217,2,1
1528340424,6,0
1528344019,6,0
1528347618,1,0
1528351218,3,0
1528358419,1,7
1528362019,1,0
1528365621,1,0
1528369222,1,1
1528372825,1,0
1528376418,2,0
1528380018,1,0
1528387221,3,0
1528398019,2,0
1528401619,1,0
1528405220,3,0
1528408819,9,8
1528412418,1,5
1528416019,1,2
1528419619,0,6
1528423217,0,5
1528426820,0,1
1528430418,0,3
1528434018,1,3
1528437619,0,1
1528441219,1,0
1528444817,2,1
1528452019,1,1
1528455618,8,0
1528462818,1,0
1528473618,1,0
1528477218,1,0
1528488020,1,0
1528491618,1,0
1528502422,2,2
1528506018,7,2
1528513219,0,1
1528516818,1,1
1528524020,1,0
1528527619,1,2
1528531220,0,1
1528538417,0,1
1528545618,1,1
1528549219,2,0
1528560018,0,1
1528574420,1,0
1528578019,0,2
1528581620,1,0
1528592420,0,2
1528599618,1,1
1528603219,5,1
1528606822,1,0
1528610419,4,1
1528614018,2,2
1528617620,3,1
1528621219,1,0
1528624820,6,0
1528628420,2,0
1528632019,7,0
1528635620,4,0
1528639225,1,0
1528642822,4,1
1528646420,4,0
1528650020,2,3
1528653626,3,0
1528657220,1,1
1528660821,2,0
1528664421,1,0
1528668022,1,8
1528671620,2,1
1528686020,1,0
1528689621,1,0
1528693221,11,0
1528696820,2,0
1528700421,4,0
1528704022,1,0
1528707622,1,5
1528711221,0,2
1528714829,2,7
1528722021,2,0
1528729221,1,1
1528732821,1,1
1528740021,1,0
1528747221,2,1
1528750820,0,20
1528754419,4,9
1528758021,2,0
1528761620,6,0
1528765220,1,0
1528768820,0,2
1528772419,1,0
1528779620,0,5
1528783219,0,15
1528790423,0,1
1528801225,9,1
1528804819,0,2
1528808420,0,2
1528819219,2,1
1528822820,0,1
1528826421,0,3
1528833619,1,1
1528837219,1,1
1528844436,0,2
1528848019,1,1
1528851619,0,1
1528855218,2,0
1528858819,1,0
1528869619,1,0
1528873219,1,0
1528876818,1,0
1528884051,1,0
1528887619,1,0
1528894819,0,1
1528902020,1,0
1528909219,0,1
1528916419,0,1
1528923621,0,1
1528927218,1,1
1528930819,0,1
1528934419,1,1
1528938022,0,2
1528941621,1,1
1528945219,4,1
1528948819,4,9
1528956020,2,4
