DateTime,AddedIPs,RemovedIPs
1525762817,1,1
1525766417,1,2
1525770017,1,0
1525773618,11,0
1525777217,13,1
1525780817,1,2
1525784417,1,1
1525788018,0,1
1525795215,0,2
1525809614,0,1
1525813217,0,1
1525816814,0,1
1525820416,0,1
1525827617,1,0
1525831219,1,0
1525834818,0,1
1525852812,0,1
1525856417,3,0
1525860014,0,2
1525863615,1,0
1525867213,0,1
1525888814,1,0
1525892414,5,0
1525903220,1,0
1525910413,3,0
1525914013,2,0
1525917613,1,0
1525921213,1,3
1525924813,1,7
1525932013,3,0
1525935616,1,0
1525942813,1,0
1525950013,1,0
1525953613,0,1
1525968012,0,2
1525975213,0,1
1525986012,0,1
1525989617,0,2
1525993212,0,2
1525996813,1,1
1526000413,1,2
1526004013,0,1
1526007614,1,1
1526018413,1,2
1526022016,1,2
1526025612,0,1
1526029212,1,1
1526032812,1,1
1526036412,1,6
1526040012,0,4
1526043611,1,3
1526050812,1,6
1526061612,0,1
1526065214,0,3
1526072411,1,1
1526076011,0,1
1526079612,1,0
1526090411,1,2
1526094011,0,1
1526101211,0,1
1526112012,1,0
1526115611,0,1
1526155211,0,2
1526162411,0,1
1526169611,0,1
1526173211,1,0
1526194813,1,0
1526202011,0,1
1526209211,0,1
1526212810,0,2
1526216411,1,0
1526220015,0,1
1526223611,0,1
1526230811,0,2
1526234411,1,0
1526241610,0,1
1526256011,1,1
1526263211,0,1
1526266811,0,1
1526270410,0,1
1526284811,0,1
1526292011,0,1
1526295610,0,1
1526299210,0,1
1526306410,0,0
1526313611,0,1
1526338810,0,1
1526342410,1,0
1526346011,0,1
1526353215,0,1
1526356810,0,1
1526360411,1,1
1526364010,1,1
1526367610,1,2
1526374810,0,1
1526378410,1,8
1526382009,0,12
1526385609,1,0
1526400010,3,0
1526403611,3,0
1526407209,2,0
1526410810,5,0
1526414411,8,0
1526418010,3,0
1526421610,4,0
1526425211,2,0
1526428811,2,0
1526436010,1,0
1526439610,1,0
1526443211,5,0
1526446813,13,0
1526450412,5,0
1526454012,2,0
1526457612,0,1
1526461212,1,1
1526464811,1,1
1526472012,3,0
1526493612,0,1
1526497212,0,8
1526515212,1,0
1526518812,1,0
1526536811,0,2
1526544012,0,1
1526547611,1,3
1526551211,0,3
1526554811,0,1
1526558411,0,1
1526562011,2,0
1526580011,2,0
1526590815,0,1
1526594411,1,0
1526601615,0,1
1526605211,1,2
1526612412,1,1
1526616011,1,1
1526619611,1,0
1526626815,2,2
1526634012,1,0
1526641212,0,1
1526644821,2,1
1526662813,1,0
1526677212,2,0
1526684412,1,1
1526695212,0,1
1526698812,1,0
1526716812,0,1
1526742012,1,0
1526760011,1,0
1526778012,1,0
1526781611,1,0
1526792412,1,0
1526796012,5,0
1526799612,5,0
1526814013,10,0
1526817613,1,0
1526821215,0,1
1526839213,1,0
1526853620,0,1
1526857213,1,0
1526868013,1,0
1526932813,0,1
1526940013,1,0
1526943613,0,1
1526950813,1,0
1526954413,0,1
1526958013,1,0
1526965213,0,3
1526968812,1,0
1526972413,0,1
1526986812,1,0
1526990412,1,1
1527001213,1,1
1527004813,0,1
1527008412,2,2
1527012014,1,2
1527015613,0,3
1527019212,0,6
1527022812,0,3
1527026412,1,5
1527030012,0,2
1527033612,1,0
1527040814,0,2
1527044412,1,0
1527048012,0,3
1527051613,1,16
1527055211,0,5
1527058810,0,3
1527062410,1,2
1527066010,0,1
1527069612,0,1
1527076810,0,1
1527087611,0,1
1527102010,0,1
1527112810,0,3
1527116411,0,3
1527120009,3,1
1527123611,5,2
1527127210,1,0
1527134413,0,1
1527141610,1,1
1527148810,1,0
1527156011,0,1
1527159611,10,0
1527199211,0,1
1527202813,1,0
1527213610,0,1
1527220811,0,1
1527231611,0,4
1527235211,0,1
1527238811,1,1
1527242411,2,1
1527246010,1,0
1527249611,0,1
1527253211,1,0
1527267611,1,0
1527274821,1,0
1527285611,1,0
1527289210,0,0
1527292810,1,1
1527296411,0,1
1527300011,0,0
1527303610,0,0
1527307211,0,0
1527310811,1,0
1527314418,0,0
1527318013,0,0
1527321610,0,0
1527325211,0,0
1527328811,0,0
1527332414,0,0
1527336010,0,0
1527339610,0,0
1527343211,0,0
1527346811,0,0
1527350411,0,0
1527354010,0,0
1527357613,0,2
1527361210,1,1
1527364812,0,0
1527368412,0,1
1527372010,0,0
1527375610,0,0
1527379211,0,0
1527382810,0,0
1527386411,0,0
1527390011,0,1
1527393611,1,0
1527397211,0,0
1527400810,0,5
1527404410,0,5
1527411610,5,0
1527415211,4,0
1527418810,0,9
1527433210,1,0
1527436809,0,1
1527454810,0,1
1527505211,7,0
