DateTime,AddedIPs,RemovedIPs
1526933009,1,1
1526936624,2,1
1526940218,1,1
1526943821,0,2
1526947428,1,2
1526954622,2,1
1526958227,2,0
1526961779,1,1
1526965398,0,1
1526969028,1,0
1526972621,0,1
1526976226,0,3
1526979823,1,0
1526987019,0,1
1526994199,4,1
1526997825,0,1
1527001427,2,0
1527005034,0,1
1527008634,1,1
1527012191,3,0
1527015802,2,1
1527019415,0,1
1527023005,1,2
1527026614,4,0
1527030212,1,0
1527033816,3,1
1527037415,2,2
1527041028,2,0
1527044625,1,0
1527048216,4,0
1527051827,2,1
1527059014,1,0
1527073420,1,0
1527077028,1,1
1527084233,2,2
1527087829,0,2
1527098599,2,1
1527102199,1,1
1527105818,1,0
1527109402,0,2
1527112994,2,1
1527116619,4,0
1527120221,3,3
1527123834,2,1
1527127415,1,1
1527131008,1,2
1527134596,0,3
1527138218,0,2
1527141840,0,3
1527145446,1,1
1527149023,1,2
1527152641,1,2
1527156243,2,2
1527159828,0,3
1527163431,0,1
1527167036,0,1
1527170628,0,1
1527177833,1,2
1527181445,0,1
1527185042,1,1
1527188624,0,3
1527195836,1,12
1527199442,0,18
1527202991,3,0
1527206587,1,1
1527210208,1,3
1527213821,3,1
1527217426,2,1
1527221010,1,1
1527224609,2,3
1527228200,2,2
1527231815,2,2
1527246210,0,1
1527249832,1,0
1527253426,8,1
1527257027,16,0
1527260633,1,1
1527264222,3,0
1527267810,3,5
1527271417,2,0
1527275009,1,2
1527278619,0,2
1527282228,2,2
1527285833,3,1
1527289416,0,1
1527293024,1,0
1527296629,0,1
1527300207,1,0
1527303834,3,1
1527307419,1,3
1527311021,1,0
1527314595,1,0
1527318221,0,4
1527321834,0,2
1527325429,444,0
1527329034,0,0
1527332626,1,1
1527336229,2,1
1527339880,2,1
1527343405,3,2
1527347015,4,0
1527350607,4,1
1527354207,5,0
1527357813,5,0
1527361410,3,2
1527365025,0,0
1527368629,3,1
1527372221,4,3
1527375816,0,0
1527379430,2,2
1527383022,1,0
1527386614,1,1
1527390219,2,2
1527393795,1,0
1527397418,1,0
1527401008,0,1
1527404617,2,1
1527408222,0,1
1527411820,2,1
1527415428,0,1
1527419027,0,1
1527422633,0,1
1527429843,1,0
1527433441,2,2
1527437039,3,0
1527440639,5,1
1527444240,2,3
1527447833,1,0
1527451427,0,2
1527458625,0,2
1527462190,1,2
1527465791,3,1
1527469400,0,2
1527473002,4,0
1527476578,0,2
1527480178,3,1
1527483813,1,3
1527487362,2,1
1527491029,1,0
1527494627,0,2
1527498225,0,3
1527501823,0,1
1527505437,2,1
1527509028,0,1
1527512628,1,15
1527516229,2,11
1527523418,1,1
1527530637,5,0
1527534227,1,0
1527537822,3,1
1527541420,2,2
1527545036,1,2
1527548639,2,1
1527552222,3,1
1527555822,3,1
1527559426,1,1
1527563027,1,1
1527566623,1,1
1527570235,1,0
1527573757,1,1
1527577415,1,1
1527581034,1,1
1527584635,1,1
1527588222,0,2
1527591823,0,2
1527599015,8,2
1527602632,24,1
1527606237,1,1
1527613450,1,3
1527616981,0,3
1527620630,7,1
1527627843,0,1
1527631436,0,1
1527635042,0,1
1527638649,0,2
1527642242,0,2
1527645831,2,2
1527649432,2,2
1527653031,0,4
1527656632,1,1
1527660238,0,3
1527663833,1,1
1527667438,2,1
1527671031,1,1
1527674611,0,1
1527678225,2,1
1527681835,2,1
1527685439,1,0
1527689030,1,2
1527692640,1,0
1527699839,3,0
1527707037,1,1
1527710638,1,1
1527714222,1,0
1527724876,7,1
1527728566,1,2
1527735810,1,2
1527739428,4,1
1527743020,1,4
1527746632,3,2
1527750220,3,3
1527753830,0,1
1527757425,1,3
1527761037,0,1
1527764629,2,0
1527768229,1,0
1527771821,1,0
1527775414,1,0
1527779024,2,0
1527782630,0,1
1527786236,0,1
1527789835,1,2
1527793422,1,0
1527797030,1,1
1527800630,0,1
1527804230,28,0
1527807829,3,2
1527811433,6,1
1527815038,1,1
1527818635,2,2
1527822220,0,4
1527825819,0,2
1527829418,0,4
1527833015,3,3
1527847438,0,1
1527851030,0,1
1527858242,2,9
1527861830,12,11
1527865433,0,1
1527868997,2,0
1527876152,2,1
1527879792,3,1
1527883389,1,1
1527886997,1,3
1527890630,2,0
1527894229,2,0
1527897818,2,1
1527901412,1,3
1527905014,2,1
1527908623,3,1
1527912225,4,0
1527915840,0,4
1527919394,3,2
1527923002,0,1
1527926599,1,1
1527930200,2,0
1527933769,0,0
1527937421,0,1
1527941041,0,2
1527944624,0,2
1527948217,0,0
1527951841,0,2
1527955386,3,3
1527959032,0,4
1527962634,1,4
1527966209,2,2
1527969807,2,1
1527973432,0,2
1527976997,0,3
1527980620,0,0
1527984202,1,1
1527987796,1,1
1527991387,2,0
1527994986,0,1
1527998602,0,2
1528002203,2,1
1528005815,1,1
1528009401,2,0
1528013015,0,1
1528016618,0,2
1528027418,1,0
1528034604,2,2
1528041807,0,3
